Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.008,16.108,16.008,16.101,8105,0
20050228,16.287,16.287,15.98,16.058,14432,0
20050301,16.093,16.093,16.067,16.086,3339,0
20050302,16.051,16.081,16.043,16.043,4324,0
20050303,16.086,16.093,16.058,16.058,3764,0
20050304,16.331,16.339,16.318,16.318,4868,0
20050307,16.008,16.279,16.008,16.279,6887,0
20050308,16.698,16.698,16.279,16.331,4738,0
20050309,16.108,16.279,16.108,16.203,6053,0
20050310,16.217,16.233,16.186,16.203,7350,0
20050311,16.27,16.27,16.233,16.233,5850,0
20050314,16.668,16.668,16.093,16.142,16696,0
20050315,16.179,16.179,16.108,16.108,8354,0
20050316,16.008,16.116,16.008,16.043,10340,0
20050317,16.458,16.458,16.051,16.101,4553,0
20050318,15.929,16.233,15.929,15.943,6472,0
20050321,17.219,17.219,15.748,15.823,11390,0
20050322,16.067,16.067,15.631,15.631,14938,0
20050323,15.64,15.718,15.52,15.534,37136,0
20050324,15.413,15.598,15.404,15.554,124620,0
20050328,15.624,15.624,15.491,15.497,8143,0
20050329,15.435,15.44,15.349,15.349,6887,0
20050330,15.381,15.554,15.381,15.554,3339,0
20050331,15.514,15.527,15.497,15.52,10861,0
20050401,15.618,15.618,15.505,15.505,2089,0
20050404,16.812,16.812,15.304,15.42,43659,0
20050405,15.514,15.547,15.514,15.547,4073,0
20050406,15.598,15.624,15.586,15.586,6186,0
20050407,15.631,15.741,15.631,15.701,5827,0
20050408,15.854,15.854,15.613,15.676,8271,0
20050411,15.732,15.748,15.707,15.748,4267,0
20050412,15.578,15.693,15.541,15.693,42400,0
20050413,15.605,15.657,15.586,15.586,4594,0
20050414,15.484,15.484,15.461,15.461,36761,0
20050415,15.349,15.435,15.244,15.244,25417,0
20050418,15.168,15.218,15.168,15.197,3868,0
20050419,15.304,15.381,15.304,15.381,4801,0
20050420,15.244,15.298,15.224,15.224,39596,0
20050421,15.319,15.404,15.304,15.404,9609,0
20050422,16.318,16.318,15.319,15.341,83665,0
20050425,15.282,15.447,15.282,15.447,6565,0
20050426,15.319,15.374,15.311,15.333,2923,0
20050427,15.64,15.64,15.162,15.26,114036,0
20050428,15.181,15.181,15.138,15.138,46859,0
20050429,15.631,15.631,15.244,15.244,4900,0
20050502,16.051,16.051,15.268,15.311,24247,0
20050503,16.749,16.749,15.298,15.311,47997,0
20050504,15.205,15.547,15.205,15.547,6056,0
20050505,15.593,15.605,15.541,15.57,23080,0
20050506,15.562,15.562,15.547,15.547,837,0
20050509,15.454,15.554,15.44,15.554,22139,0
20050510,15.42,15.42,15.341,15.367,24645,0
20050511,15.36,15.36,15.282,15.333,2089,0
20050512,15.251,15.26,15.162,15.162,4315,0
20050513,14.895,15.138,14.895,15.089,7101,0
20050516,15.413,15.413,15.075,15.146,10582,0
20050517,15.08,15.168,15.067,15.168,6072,0
20050518,15.341,15.353,15.341,15.353,2923,0
20050519,15.319,15.381,15.319,15.381,837,0
20050520,15.298,15.311,15.26,15.311,5327,0
20050523,15.64,15.64,15.001,15.427,5838,0
20050524,15.748,15.748,15.367,15.396,9191,0
20050525,15.396,15.396,15.36,15.381,2506,0
20050526,15.598,15.598,15.374,15.388,37672,0
20050527,15.353,15.461,15.353,15.454,5095,0
20050531,15.275,15.275,15.224,15.244,4491,0
20050601,15.289,15.333,15.289,15.326,9470,0
20050602,15.349,15.396,15.319,15.396,4324,0
20050603,15.707,15.707,15.251,15.282,20987,0
20050606,15.823,15.823,15.311,15.311,10114,0
20050607,15.388,15.454,15.388,15.454,6686,0
20050608,15.514,15.514,15.427,15.427,2447,0
20050609,15.251,15.413,15.251,15.404,5349,0
20050610,15.333,15.333,15.333,15.333,2479,0
20050613,15.205,15.275,15.205,15.275,4712,0
20050614,15.484,18.284,15.304,15.326,44087,0
20050615,15.527,15.527,15.349,15.349,2917,0
20050616,15.388,15.435,15.388,15.435,2089,0
20050617,15.714,15.714,15.497,15.52,9863,0
20050620,15.666,15.666,15.319,15.374,9734,0
20050621,15.44,15.44,15.427,15.427,1366,0
20050622,15.547,15.547,15.374,15.427,28179,0
20050623,15.367,15.396,15.349,15.349,4501,0
20050624,15.289,15.289,15.251,15.251,5652,0
20050627,15.676,15.676,14.694,15.244,9501,0
20050628,15.268,15.304,15.268,15.304,23496,0
20050629,15.447,15.447,15.26,15.311,43338,0
20050630,15.505,16.051,15.238,15.238,4094,0
20050701,15.319,15.319,15.23,15.251,10619,0
20050705,15.823,15.823,15.168,15.289,6044,0
20050706,15.353,15.353,15.289,15.289,3635,0
20050707,15.075,15.181,15.038,15.181,9843,0
20050708,15.87,15.87,15.211,15.298,55273,0
20050711,15.505,15.505,15.427,15.491,10957,0
20050712,15.578,15.648,15.578,15.648,13674,0
20050713,15.87,15.907,15.527,15.527,3339,0
20050714,15.598,15.598,15.598,15.598,417,0
20050715,15.527,15.57,15.527,15.57,5444,0
20050718,15.238,15.554,15.238,15.527,6951,0
20050719,15.972,15.972,15.469,15.547,5998,0
20050720,15.238,15.491,15.238,15.491,1252,0
20050721,15.562,15.631,15.562,15.631,5429,0
20050722,15.878,15.959,15.547,15.586,6571,0
20050725,15.707,15.707,15.541,15.578,3090,0
20050726,15.534,15.562,15.534,15.562,1670,0
20050727,15.174,15.676,14.247,15.676,5429,0
20050728,15.44,15.815,15.44,15.778,14628,0
20050729,15.8,15.8,15.732,15.732,4449,0
20050801,15.886,15.915,15.886,15.901,5850,0
20050802,15.901,16.008,15.901,15.993,4935,0
20050803,16.108,16.134,15.754,16.128,12763,0
20050804,16.244,16.244,16.02,16.02,2942,0
20050805,16.279,16.279,15.901,15.901,6951,0
20050808,16.195,16.195,16.026,16.026,7707,0
20050809,15.921,16.239,15.921,16.058,173800,0
20050810,16.318,16.347,16.295,16.323,10566,0
20050811,16.347,16.481,16.347,16.481,148587,0
20050812,16.473,16.473,16.395,16.458,4178,0
20050815,16.374,16.41,16.366,16.41,7441,0
20050816,16.481,16.481,16.203,16.203,5409,0
20050817,16.195,16.225,16.122,16.122,7521,0
20050818,15.993,16.008,15.993,16.008,2506,0
20050819,16.116,16.122,16.116,16.122,7936,0
20050822,16.355,16.355,16.093,16.203,7825,0
20050823,15.993,16.142,15.993,16.101,17761,0
20050824,16.086,16.116,16.035,16.035,16269,0
20050825,15.951,16.067,15.951,16.067,5273,0
20050826,16.496,16.496,15.929,15.929,14993,0
20050829,16.122,16.122,15.907,15.929,18234,0
20050830,15.878,15.878,15.848,15.878,5160,0
20050831,16.128,16.172,16.128,16.172,11323,0
20050901,16.339,16.417,16.331,16.395,15995,0
20050902,16.347,16.473,16.347,16.473,6705,0
20050906,16.618,16.638,16.597,16.633,6887,0
20050907,16.605,16.654,16.605,16.633,10841,0
20050908,16.625,16.625,16.517,16.517,5977,0
20050909,16.597,16.711,16.597,16.698,9212,0
20050912,16.566,16.566,16.547,16.554,2089,0
20050913,16.554,16.554,16.417,16.417,6224,0
20050914,16.244,16.539,16.244,16.488,6162,0
20050915,16.554,16.554,16.481,16.481,5203,0
20050916,16.682,16.682,16.503,16.581,8271,0
20050919,16.554,16.554,16.496,16.503,7196,0
20050920,16.554,16.573,16.458,16.458,3826,0
20050921,16.69,16.891,16.431,16.445,10208,0
20050922,16.41,16.425,16.318,16.395,38180,0
20050923,16.347,16.366,16.339,16.339,6610,0
20050926,16.804,16.804,16.402,16.503,34765,0
20050927,16.438,16.481,16.41,16.481,6267,0
20050928,16.638,16.682,16.638,16.661,16223,0
20050929,16.638,16.79,16.638,16.79,6267,0
20050930,16.698,16.698,16.69,16.698,2832,0
20051003,16.812,16.812,16.618,16.654,10413,0
20051004,16.763,16.763,16.589,16.589,8800,0
20051005,16.573,16.581,16.445,16.445,19805,0
20051006,16.481,16.481,16.295,16.355,6204,0
20051007,16.27,16.417,16.27,16.402,13371,0
20051010,16.366,16.366,16.279,16.323,9044,0
20051011,16.355,16.355,16.331,16.331,5597,0
20051012,16.203,16.302,16.203,16.239,3761,0
20051013,16.008,16.108,15.965,16.108,10487,0
20051014,16.239,16.31,16.142,16.287,9832,0
20051017,16.172,16.203,16.172,16.203,1252,0
20051018,16.026,16.035,15.965,15.965,23310,0
20051019,15.886,16.051,15.8,16.051,17347,0
20051020,15.886,15.886,15.714,15.725,13922,0
20051021,15.64,15.848,15.64,15.762,13458,0
20051024,15.714,15.98,15.714,15.98,10861,0
20051025,15.993,16.001,15.965,16.001,6267,0
20051026,16.035,16.086,15.993,15.993,8616,0
20051027,15.993,15.993,15.901,15.901,5090,0
20051028,16.014,16.014,16.008,16.008,1881,0
20051031,16.347,16.395,16.158,16.195,20036,0
20051101,16.225,16.225,16.203,16.21,7309,0
20051102,16.014,16.425,16.014,16.425,5703,0
20051103,16.645,16.645,16.438,16.466,50510,0
20051104,16.366,16.366,16.257,16.331,8314,0
20051107,16.517,16.517,16.279,16.318,6267,0
20051108,16.108,16.31,16.108,16.302,3806,0
20051109,16.431,16.431,16.15,16.279,7832,0
20051110,16.217,16.225,16.158,16.217,5076,0
20051111,16.295,16.295,16.295,16.295,1376,0
20051114,16.458,16.458,16.252,16.264,8048,0
20051115,16.172,16.233,16.128,16.128,6716,0
20051116,16.035,16.122,16.035,16.108,59011,0
20051117,16.295,16.331,16.239,16.331,13983,0
20051118,16.517,16.517,16.382,16.425,8354,0
20051121,16.554,16.573,16.438,16.496,12211,0
20051122,16.573,16.573,16.374,16.554,9163,0
20051123,16.547,16.625,16.547,16.625,5885,0
20051125,16.573,16.573,16.517,16.532,2530,0
20051128,16.488,16.532,16.488,16.496,3339,0
20051129,16.473,16.703,16.452,16.496,15560,0
20051130,16.417,16.417,16.355,16.355,4178,0
20051201,16.554,16.645,16.511,16.645,9631,0
20051202,16.633,16.682,16.633,16.682,3270,0
20051205,16.812,16.812,16.654,16.726,46515,0
20051206,16.763,16.849,16.763,16.782,48458,0
20051207,16.874,16.874,16.605,16.618,8687,0
20051208,16.742,16.742,16.711,16.711,1264,0
20051209,16.749,16.749,16.749,16.749,893,0
20051212,16.883,16.928,16.883,16.928,7621,0
20051213,16.919,17.007,16.919,16.977,8939,0
20051214,16.977,17.007,16.977,16.992,8143,0
20051215,16.977,16.977,16.812,16.812,5803,0
20051216,16.883,16.919,16.856,16.856,7856,0
20051219,17.019,17.019,16.849,16.849,10066,0
20051220,16.812,16.812,16.776,16.776,2279,0
20051221,16.928,16.928,16.833,16.849,24624,0
20051222,16.782,16.904,16.782,16.883,5712,0
20051223,16.9,16.933,16.9,16.928,7936,0
20051227,17.07,17.07,16.796,16.796,13318,0
20051228,17.085,17.085,16.883,16.9,10570,0
20051229,16.928,16.939,16.904,16.904,7630,0
20051230,17,17,16.711,16.818,73295,0
20060103,17.04,17.328,17.04,17.328,28425,0
20060104,17.509,17.537,17.43,17.52,23260,0
20060105,17.732,17.732,17.449,17.472,13883,0
20060106,17.693,17.766,17.623,17.753,15535,0
20060109,17.903,17.903,17.675,17.725,12107,0
20060110,17.725,17.725,17.438,17.553,34312,0
20060111,17.579,17.667,17.567,17.667,2425,0
20060112,17.579,17.623,17.515,17.515,26339,0
20060113,17.61,17.651,17.458,17.587,92235,0
20060117,17.515,17.515,17.38,17.472,24212,0
20060118,17.442,17.442,17.191,17.271,19801,0
20060119,17.415,17.458,17.32,17.43,13580,0
20060120,17.63,17.63,17.191,17.191,21164,0
20060123,17.393,17.442,17.328,17.423,11235,0
20060124,17.449,17.449,17.388,17.423,48630,0
20060125,17.515,17.529,17.415,17.472,9233,0
20060126,17.716,17.732,17.651,17.716,8354,0
20060127,17.651,17.861,17.651,17.817,16670,0
20060130,17.93,17.93,17.76,17.81,16172,0
20060131,17.953,17.953,17.789,17.903,23481,0
20060201,17.745,17.945,17.745,17.897,5336,0
20060202,17.725,17.732,17.693,17.709,10704,0
20060203,17.675,17.675,17.063,17.61,12379,0
20060206,17.587,17.587,17.529,17.553,15257,0
20060207,17.553,17.61,17.393,17.4,8821,0
20060208,17.458,17.458,17.366,17.449,5336,0
20060209,17.716,17.716,17.579,17.579,15603,0
20060210,17.579,17.579,17.48,17.537,12766,0
20060213,17.529,17.529,17.438,17.465,34165,0
20060214,17.488,17.984,17.449,17.639,8450,0
20060215,17.545,17.587,17.472,17.488,28199,0
20060216,17.515,17.623,17.509,17.623,20924,0
20060217,17.61,17.693,17.603,17.66,8885,0
20060221,17.861,17.861,17.639,17.651,33777,0
20060222,17.693,17.745,17.693,17.725,12716,0
20060223,17.804,17.81,17.725,17.753,39705,0
20060224,17.732,17.81,17.732,17.804,12426,0
20060227,17.817,17.831,17.76,17.817,21716,0
20060228,17.817,17.817,17.61,17.651,16570,0
20060301,17.817,17.817,17.515,17.81,23017,0
20060302,17.745,17.804,17.732,17.804,6913,0
20060303,17.732,17.831,17.732,17.831,3982,0
20060306,17.976,17.984,17.725,17.732,35260,0
20060307,17.567,17.567,17.515,17.545,5118,0
20060308,17.278,17.603,17.278,17.603,11157,0
20060309,17.745,17.745,17.603,17.603,2795,0
20060310,17.623,17.817,17.623,17.804,13168,0
20060313,17.976,17.976,17.937,17.969,17622,0
20060314,17.953,18.198,17.675,18.198,29495,0
20060315,18.386,18.386,18.176,18.249,7957,0
20060316,18.326,18.35,18.234,18.311,15452,0
20060317,18.326,18.563,18.284,18.326,8577,0
20060320,18.556,18.556,18.28,18.304,16202,0
20060321,18.098,18.28,18.098,18.161,14784,0
