Date,Open,High,Low,Close,Volume,OpenInt
20071116,39.975,40.599,39.751,40.558,62972,0
20071119,41.787,41.787,38.203,38.381,19002,0
20071120,39.743,39.785,38.538,39.498,9136,0
20071121,38.669,38.669,37.443,37.748,2070,0
20071126,38.891,39.202,38.243,38.243,9014,0
20071127,38.243,39.021,38.243,38.948,8892,0
20071128,39.859,40.457,39.679,40.457,19366,0
20071129,40.688,41.066,40.221,40.96,21681,0
20071130,41.425,41.625,40.526,40.526,11450,0
20071203,41.329,41.329,40.376,40.376,6821,0
20071204,40.876,40.876,40.444,40.444,148721,0
20071205,41.159,41.347,40.844,40.977,234473,0
20071206,41.746,42.258,41.329,42.258,18149,0
20071207,42.258,42.258,41.101,41.179,12546,0
20071210,42.083,42.083,40.712,41.051,7553,0
20071211,41.23,41.347,39.375,39.604,7430,0
20071212,41.347,41.347,39.308,39.868,83800,0
20071213,39.089,39.623,38.759,39.555,32524,0
20071214,39.736,39.736,38.717,38.8,18759,0
20071217,38.792,38.792,37.1,37.1,29479,0
20071218,39.261,39.261,37.125,37.635,29233,0
20071219,38.891,38.948,38.34,38.752,16200,0
20071220,40.483,40.483,38.011,38.752,6454,0
20071221,39.859,39.868,39.432,39.868,5114,0
20071224,40.449,40.449,40.213,40.221,2314,0
20071226,40.483,40.483,40.205,40.205,6091,0
20071227,39.613,39.646,39.219,39.219,25332,0
20071228,40.162,40.205,39.212,39.425,30329,0
20071231,40.804,40.804,39.366,39.48,18149,0
20080102,39.408,39.408,38.243,38.488,17907,0
20080103,39.933,39.933,38.53,38.588,23632,0
20080104,38.554,38.588,37.48,37.675,15715,0
20080107,38.948,38.948,37.511,38.11,14249,0
20080108,39.048,39.048,37.561,37.719,38611,0
20080109,39.177,39.177,38.103,38.817,1704,0
20080110,39.728,39.728,37.764,38.832,33375,0
20080111,37.561,38.046,37.519,37.519,16686,0
20080114,37.864,37.979,37.601,37.899,25214,0
20080115,37.764,37.848,36.181,36.511,21803,0
20080116,35.507,35.731,34.703,35.13,23994,0
20080117,36.266,36.266,35.008,35.008,10844,0
20080118,34.271,36.207,34.271,35.787,5847,0
20080122,36.116,36.354,31.895,35.565,10353,0
20080123,35.581,35.581,33.127,34.572,8892,0
20080124,35.13,35.723,35.13,35.706,19853,0
20080125,37.635,37.635,35.384,35.607,6944,0
20080128,35.337,35.337,34.811,35.252,7553,0
20080129,35.69,35.769,35.468,35.589,19366,0
20080130,35.04,35.723,34.778,34.859,9501,0
20080131,34.631,35.811,34.335,35.811,12180,0
20080201,36.257,36.257,35.836,35.836,2557,0
20080204,37.28,37.28,36.526,36.641,7430,0
20080205,36.928,36.928,34.709,35.097,9625,0
20080206,34.909,35.147,33.874,33.874,14007,0
20080207,34.006,34.687,33.423,34.35,4020,0
20080208,34.67,34.67,34.211,34.408,9743,0
20080211,34.318,34.661,33.676,34.653,4384,0
20080212,35,35.368,34.835,34.835,5721,0
20080213,35.228,35.631,34.835,35.631,9868,0
20080214,35.746,36.1,35.589,35.589,2438,0
20080215,36.073,36.073,35.384,35.549,20217,0
20080219,37.184,37.184,35.943,35.976,14495,0
20080220,36.073,36.207,35.451,36.207,11936,0
20080221,36.896,36.896,35.402,35.402,4140,0
20080222,35.87,35.87,35.277,35.68,7187,0
20080225,36.444,36.444,35.699,36.164,7430,0
20080226,36.394,36.911,36.354,36.871,10233,0
20080227,35.827,37.462,35.827,37.273,30329,0
20080228,37.133,37.168,36.936,37.027,1094,0
20080229,37.288,37.288,35.731,35.731,5721,0
20080303,35.894,35.976,35.614,35.699,14495,0
20080304,36.28,36.28,34.769,35.202,14249,0
20080305,36.157,36.157,35.427,35.556,17175,0
20080306,35.549,35.607,34.9,35.166,1829,0
20080307,35.295,35.295,34.934,34.949,1094,0
20080310,34.991,34.991,34.482,34.588,8405,0
20080311,35.196,35.649,34.958,35.236,60779,0
20080312,35.836,35.836,34.982,35.082,6821,0
20080313,34.071,34.243,33.537,34.243,88916,0
20080314,35.295,35.295,33.217,33.217,2801,0
20080317,32.806,32.806,32.322,32.783,133496,0
20080318,32.889,34.096,32.889,34.096,48720,0
20080319,34.736,34.736,32.922,32.922,8041,0
20080320,33.997,34.335,32.774,33.3,3651,0
20080324,34.203,36.026,34.203,35.754,30815,0
20080325,37.109,37.109,35.442,36.043,25822,0
20080326,35.795,35.795,35.459,35.477,6212,0
20080327,35.769,35.769,35.13,35.286,6335,0
20080328,35.903,35.903,35.573,35.589,12546,0
20080331,36.257,36.257,35.311,35.468,17050,0
20080401,37.027,37.232,36.266,37.232,14980,0
20080402,37.743,37.743,36.543,36.977,6821,0
20080403,37.151,37.874,37.151,37.519,8284,0
20080404,38.193,38.193,37.168,37.487,28135,0
20080407,38.398,38.398,37.79,37.79,61268,0
20080408,37.764,37.764,37.176,37.323,8163,0
20080409,37.19,37.297,36.421,36.658,7430,0
20080410,37.133,37.453,37.092,37.273,8648,0
20080411,36.444,38.252,36.444,36.945,2201,0
20080414,37.814,37.814,36.945,36.945,10955,0
20080415,36.945,37.133,36.854,37.027,17011,0
20080416,37.601,38.26,37.437,38.119,16845,0
20080417,38.144,38.144,37.239,37.578,14637,0
20080418,38.389,38.389,37.986,38.135,21232,0
20080421,38.269,38.538,37.97,38.26,6869,0
20080422,38.554,38.554,37.38,38.011,41845,0
20080423,38.522,39.113,38.488,38.997,20853,0
20080424,38.882,39.005,38.365,39.005,8655,0
20080425,39.448,40.418,38.291,38.291,71381,0
20080428,39.382,39.646,39.013,39.276,13352,0
20080429,39.193,39.193,38.652,39.177,4963,0
20080430,40.295,40.927,38.948,39.441,99202,0
20080501,39.663,39.877,39.104,39.81,16483,0
20080502,40.574,40.574,39.343,39.712,142187,0
20080505,39.967,39.967,39.17,39.408,46082,0
20080506,39.475,39.743,39.235,39.736,17528,0
20080507,39.669,39.669,38.324,38.324,57308,0
20080508,38.175,38.554,38.144,38.269,24406,0
20080509,37.626,37.929,37.519,37.912,7428,0
20080512,37.719,38.144,37.719,38.029,27982,0
20080513,38.792,38.792,38.243,38.284,25094,0
20080514,38.496,38.989,38.496,38.792,34172,0
20080515,39.104,39.145,38.997,39.104,15826,0
20080516,39.418,39.504,39.261,39.504,42753,0
20080519,40.024,40.024,39.318,39.728,10313,0
20080520,39.162,39.162,37.848,38.128,50431,0
20080521,38.414,38.47,37.593,38.046,31033,0
20080522,38.193,38.193,38.068,38.128,18268,0
20080523,37.141,37.389,36.073,37.1,163961,0
20080527,37.109,37.537,36.977,37.537,41124,0
20080528,37.986,37.986,36.928,37.357,35490,0
20080529,37.315,38.119,37.315,37.929,148124,0
20080530,38.47,38.47,37.84,38.011,9078,0
20080602,38.307,38.307,37.371,37.65,22403,0
20080603,37.814,37.84,37.265,37.494,21669,0
20080604,37.608,37.608,37.168,37.414,13553,0
20080605,37.511,38.052,37.471,38.052,36584,0
20080606,37.397,37.864,36.468,36.468,15522,0
20080609,37.043,37.043,36.534,36.626,42862,0
20080610,36.88,36.88,35.477,36.073,13593,0
20080611,36.001,36.173,35.384,35.769,12789,0
20080612,35.507,36.026,35.507,35.581,17739,0
20080613,36.035,36.035,35.261,35.525,13231,0
20080616,35.827,35.827,35.549,35.819,3325,0
20080617,34.819,36.32,34.819,35.924,8301,0
20080618,36.173,36.181,35.672,35.961,10428,0
20080619,35.622,35.943,35.311,35.916,43284,0
20080620,35.916,35.916,34.803,34.803,4559,0
20080623,34.943,34.943,34.555,34.744,5543,0
20080624,34.581,35.008,34.482,34.754,2731,0
20080625,35.507,35.541,35.13,35.22,6954,0
20080626,34.524,36.092,33.958,33.958,5882,0
20080627,34.063,34.063,33.519,33.72,4831,0
20080630,33.898,34.015,33.744,34.015,3619,0
20080701,33.373,33.511,32.906,33.474,61095,0
20080702,33.481,33.62,32.84,32.84,6590,0
20080703,32.783,32.906,32.627,32.741,5324,0
20080707,33.341,33.456,32.627,33.062,10242,0
20080708,32.644,33.021,32.644,33.021,9031,0
20080709,32.93,33.178,32.471,32.471,26100,0
20080710,32.322,32.996,32.266,32.715,50872,0
20080711,32.644,33.497,32.396,33.274,6245,0
20080714,33.25,33.25,32.61,32.94,9064,0
20080715,31.756,32.275,31.246,32.035,89718,0
20080716,32.816,32.94,31.725,32.816,14892,0
20080717,33.62,33.62,32.692,33.054,11449,0
20080718,32.84,34.482,32.84,33.209,74202,0
20080721,33.816,34.778,33.703,33.874,159518,0
20080722,33.661,34.318,33.578,34.318,35049,0
20080723,34.358,35.03,34.358,34.728,19419,0
20080724,35.295,35.295,33.832,33.981,683727,0
20080725,34.006,34.31,34.006,34.015,24997,0
