Date,Open,High,Low,Close,Volume,OpenInt
20140313,19.815,19.815,19.082,19.161,8879,0
20140314,19.239,19.249,19.166,19.166,1114171,0
20140317,19.407,19.407,19.309,19.309,8393,0
20140318,19.299,19.504,19.249,19.465,42617,0
20140319,19.66,19.66,19.339,19.436,74631,0
20140320,19.534,19.534,19.417,19.465,46274,0
20140321,19.592,19.679,19.485,19.524,17172,0
20140324,19.728,19.738,19.21,19.319,61641,0
20140325,19.475,19.495,19.315,19.368,5185,0
20140326,19.544,19.544,19.043,19.053,39326,0
20140327,18.914,19.013,18.796,18.856,22410,0
20140328,19.082,19.141,18.875,18.905,38281,0
20140331,19.122,19.309,19.115,19.249,10696,0
20140401,19.299,19.455,19.289,19.436,14088,0
20140402,19.495,19.582,19.467,19.573,28355,0
20140403,19.504,19.534,19.368,19.455,48330,0
20140404,19.64,19.64,19.013,19.053,31595,0
20140407,18.924,19.151,18.554,18.628,17483,0
20140408,18.775,18.903,18.698,18.816,13245,0
20140409,19.053,19.092,18.846,19.092,40110,0
20140410,19.072,19.092,18.614,18.698,68531,0
20140411,18.826,18.826,18.494,18.542,109491,0
20140414,18.895,18.895,18.405,18.542,12662,0
20140415,18.698,18.736,18.229,18.581,51943,0
20140416,18.806,18.806,18.62,18.776,15442,0
20140417,18.836,19.013,18.786,18.974,79000,0
20140421,19.008,19.013,18.895,19,9252,0
20140422,19.043,19.269,19.043,19.229,7519,0
20140423,19.359,19.359,19.102,19.141,19504,0
20140424,19.239,19.239,19.053,19.159,21973,0
20140425,18.954,18.993,18.796,18.846,20127,0
20140428,18.924,18.944,18.534,18.756,28468,0
20140429,18.924,18.974,18.666,18.707,49177,0
20140430,18.689,18.824,18.659,18.816,8965,0
20140501,18.993,18.993,18.514,18.646,136971,0
20140502,18.866,18.895,18.756,18.756,22072,0
20140505,18.519,18.62,18.519,18.62,11408,0
20140506,18.552,18.581,18.327,18.375,22631,0
20140507,18.239,18.504,18.218,18.374,22218,0
20140508,18.356,18.425,18.011,18.09,21025,0
20140509,18.031,18.298,17.971,18.298,44689,0
20140512,18.425,18.816,18.425,18.796,48919,0
20140513,18.806,18.836,18.61,18.639,46589,0
20140514,18.465,18.465,18.199,18.239,30919,0
20140515,18.708,18.708,17.835,18.06,25892,0
20140516,18.288,18.288,17.894,18.179,30952,0
20140519,18.159,18.405,18.159,18.405,24343,0
20140520,18.366,18.504,18.001,18.09,23115,0
20140521,18.129,18.169,18.001,18.149,10727,0
20140522,18.269,18.279,18.1,18.209,35437,0
20140523,18.209,18.465,18.209,18.46,10409,0
20140527,18.746,18.895,18.659,18.786,24034,0
20140528,18.649,18.914,18.649,18.718,42013,0
20140529,18.698,18.728,18.571,18.629,16389,0
20140530,18.679,18.708,18.534,18.571,90809,0
20140602,18.298,18.475,18.279,18.405,6721,0
20140603,18.465,18.856,18.259,18.326,5309,0
20140604,18.279,18.348,18.219,18.249,23047,0
20140605,18.393,18.728,18.377,18.728,18354,0
20140606,18.974,19.043,18.895,19.043,47176,0
20140609,18.974,19.259,18.974,19.259,15359,0
20140610,19.329,19.329,19.131,19.2,30360,0
20140611,19.239,19.239,18.934,18.974,7844,0
20140612,18.826,18.885,18.679,18.718,23102,0
20140613,18.766,18.806,18.639,18.669,18345,0
20140616,18.534,18.659,18.524,18.649,10576,0
20140617,18.669,18.856,18.553,18.762,16661,0
20140618,18.756,18.88,18.689,18.88,9504,0
20140619,18.826,18.964,18.826,18.964,12727,0
20140620,19.042,19.043,18.956,19.003,20697,0
20140623,18.993,19.161,18.856,18.914,22115,0
20140624,19.035,19.094,18.795,18.795,12969,0
20140625,18.719,18.886,18.699,18.876,8855,0
20140626,18.817,19.084,18.817,18.847,12517,0
20140627,18.955,19.005,18.955,18.995,6845,0
20140630,18.955,19.094,18.955,19.084,21207,0
20140701,19.271,19.37,19.271,19.271,11568,0
20140702,19.37,19.399,19.231,19.251,16780,0
