Date,Open,High,Low,Close,Volume,OpenInt
20110502,20.493,20.493,20.493,20.493,261,0
20110504,20.247,20.247,19.987,19.987,832,0
20110505,20.13,20.13,20.13,20.13,275,0
20110506,19.968,19.968,19.968,19.968,511,0
20110509,19.995,20.247,19.995,20.219,1883,0
20110510,20.375,20.375,20.375,20.375,388,0
20110511,20.443,20.443,20.325,20.325,568,0
20110512,20.12,20.365,20.12,20.365,606,0
20110513,20.18,20.18,20.18,20.18,100,0
20110517,19.597,19.655,19.597,19.655,10882,0
20110518,19.733,19.84,19.733,19.84,899,0
20110519,20.1,20.16,20.061,20.061,693,0
20110520,19.821,20.013,19.821,19.948,1136,0
20110523,19.587,19.587,19.51,19.51,789,0
20110524,19.55,19.55,19.55,19.55,315,0
20110525,19.693,19.693,19.46,19.693,305,0
20110526,19.674,19.958,19.674,19.938,1344,0
20110527,20.022,20.061,20.022,20.061,822,0
20110531,20.219,20.219,20.061,20.091,10085,0
20110601,20.071,20.071,19.693,19.693,7769,0
20110602,19.665,19.802,19.665,19.802,455,0
20110603,19.393,19.625,19.383,19.567,8263,0
20110607,19.275,19.275,19.255,19.255,770,0
20110608,19.023,19.023,19.004,19.004,986,0
20110609,19.053,19.139,19.053,19.139,1865,0
20110615,18.868,18.868,18.868,18.868,616,0
20110616,18.849,18.859,18.644,18.644,2635,0
20110617,18.888,18.888,18.77,18.77,1543,0
20110620,18.936,18.965,18.936,18.965,1286,0
20110621,19.413,19.413,19.413,19.413,297,0
20110622,19.393,19.46,19.393,19.46,530,0
20110623,19.255,19.47,19.255,19.47,382,0
20110624,19.374,19.374,19.374,19.374,409,0
20110627,19.393,19.51,19.335,19.5,2006,0
20110628,19.587,19.802,19.587,19.802,816,0
20110629,19.811,20.022,19.811,20.013,2401,0
20110630,20.15,20.209,20.15,20.209,621,0
20110701,20.335,20.522,20.325,20.473,112063,0
20110705,20.591,20.591,20.591,20.591,331,0
20110706,20.679,20.756,20.679,20.756,2661,0
20110707,20.94,21.057,20.94,20.987,190901,0
20110708,20.708,20.852,20.708,20.852,12112,0
20110711,20.708,20.708,20.335,20.335,1007,0
20110712,20.365,20.395,20.257,20.257,7295,0
20110713,20.551,20.611,20.365,20.385,3804,0
20110714,20.522,20.561,20.013,20.17,16828,0
20110715,20.16,20.209,20.1,20.209,1457,0
20110718,20.209,20.209,19.86,19.977,20081,0
20110719,20.325,20.483,20.276,20.463,4867,0
20110720,20.276,20.355,20.219,20.306,4129,0
20110721,20.473,20.473,20.395,20.443,2392,0
20110722,20.463,20.611,20.385,20.541,8142,0
20110725,20.483,20.531,20.355,20.355,2214,0
20110726,20.229,20.239,20.229,20.239,675,0
20110727,19.655,19.655,19.655,19.655,116,0
20110728,19.674,19.684,19.587,19.587,1642,0
20110729,19.47,19.47,19.46,19.46,557,0
20110801,19.393,19.393,19.129,19.305,11677,0
20110802,19.285,19.344,18.878,18.878,616,0
20110803,18.79,18.859,18.624,18.859,13380,0
20110804,18.498,18.498,17.738,17.738,30725,0
20110805,17.776,17.786,17.017,17.426,298193,0
20110808,16.882,16.882,16.268,16.347,6864,0
20110809,16.61,16.63,16.082,16.511,26355,0
20110810,16.728,16.939,16.728,16.93,3320,0
20110811,16.864,17.407,16.63,17.407,2301,0
20110812,17.728,17.728,17.387,17.632,3684,0
