Date,Open,High,Low,Close,Volume,OpenInt
20080716,16.303,21.315,16.296,17.428,54424,0
20080717,17.595,17.779,17.26,17.266,127343,0
20080718,18.508,18.508,17.135,17.435,41505,0
20080721,21.385,21.385,17.504,17.713,137613,0
20080722,17.689,17.786,17.542,17.786,57536,0
20080723,17.965,17.965,17.683,17.683,84007,0
20080724,17.899,17.899,17.61,17.61,61976,0
20080725,17.595,17.668,17.547,17.603,16623,0
20080728,17.676,17.676,17.519,17.519,30169,0
20080729,17.401,17.401,17.26,17.337,46385,0
20080730,17.576,17.683,17.428,17.676,42000,0
20080731,17.644,17.644,17.296,17.296,57270,0
20080801,17.359,18.658,17.17,17.288,204642,0
20080804,17.288,17.307,17.052,17.052,80665,0
20080805,17.275,17.37,17.093,17.337,46603,0
20080806,17.12,17.17,17.052,17.157,43014,0
20080807,17.113,17.12,16.973,17.031,8185,0
20080808,16.945,17.086,16.897,16.973,36522,0
20080811,16.865,16.865,16.468,16.563,24858,0
20080812,16.529,16.529,16.173,16.241,47328,0
20080813,16.261,16.43,16.212,16.416,34736,0
20080814,16.617,16.617,16.446,16.48,24807,0
20080815,16.416,16.416,16.151,16.29,47972,0
20080818,16.514,16.611,16.311,16.394,133243,0
20080819,16.535,16.597,16.43,16.557,25891,0
20080820,16.472,16.5,16.173,16.332,40898,0
20080821,16.402,16.605,16.346,16.597,16553,0
20080822,16.48,16.521,16.212,16.254,28674,0
20080825,16.241,16.29,15.899,16.016,134880,0
20080826,16.107,16.173,16.031,16.123,15931,0
20080827,16.06,16.151,16.024,16.101,26093,0
20080828,16.234,16.234,15.746,15.975,96709,0
20080829,16.009,16.067,15.795,15.795,85132,0
20080902,16.016,16.016,15.674,15.821,40131,0
20080903,15.821,15.862,15.795,15.843,12330,0
20080904,17.105,17.105,15.394,15.394,14754,0
20080905,15.34,15.442,15.198,15.442,49240,0
20080908,15.29,15.36,15.088,15.146,26536,0
20080909,15.234,15.29,14.801,14.842,32053,0
20080910,14.97,15.047,14.801,14.97,7597,0
20080911,14.787,14.9,14.683,14.836,9822,0
20080912,14.879,14.879,14.792,14.814,6558,0
20080915,13.726,13.968,13.571,13.62,53278,0
20080916,13.587,13.78,12.285,13.74,30594,0
20080917,14.131,14.396,13.968,14.163,29314,0
20080918,20.001,20.001,13.829,14.137,20580,0
20080919,14.551,19.64,14.551,15.271,99345,0
20080922,14.766,15.501,14.683,15.248,16293,0
20080923,14.576,16.731,14.012,14.367,40848,0
20080924,14.185,14.214,13.977,13.99,50665,0
20080925,14.172,14.241,14.125,14.131,25367,0
20080926,13.99,14.131,13.99,14.131,1598,0
20080929,14.207,14.207,13.278,13.537,19015,0
20080930,13.906,14.198,13.74,14.198,10584,0
20081001,13.947,14.151,13.849,14.088,13730,0
20081002,13.928,13.928,13.537,13.643,6049,0
20081003,13.643,13.754,13.334,13.347,20357,0
20081006,13.068,13.068,11.755,12.488,209134,0
20081007,12.181,12.58,11.776,11.88,135473,0
