Date,Open,High,Low,Close,Volume,OpenInt
20140613,43.431,43.431,43.431,43.431,13819,0
20140616,43.483,43.483,43.447,43.465,5061,0
20140617,43.431,43.431,43.431,43.431,1158,0
20140618,43.416,43.46,43.416,43.46,39083,0
20140619,43.473,43.483,43.412,43.412,9811,0
20140620,43.493,43.493,43.465,43.465,1106,0
20140623,43.552,43.552,43.46,43.46,1013,0
20140624,43.479,43.511,43.479,43.511,6680,0
20140625,43.559,43.559,43.555,43.559,5470,0
20140626,43.582,43.587,43.582,43.587,4363,0
20140627,43.608,43.608,43.608,43.608,4645,0
20140630,43.63,43.63,43.63,43.63,4608,0
20140702,43.533,43.533,43.533,43.533,1158,0
20140703,43.385,43.407,43.385,43.407,1037,0
20140709,43.559,43.587,43.559,43.587,18429,0
20140710,43.621,43.63,43.6,43.6,13840,0
20140711,43.673,43.673,43.648,43.648,1489,0
20140714,43.625,43.625,43.574,43.578,9698,0
20140715,43.578,43.6,43.569,43.569,26723,0
20140716,43.578,43.578,43.578,43.578,2367,0
20140717,43.648,43.683,43.621,43.683,35268,0
20140718,43.758,43.758,43.621,43.621,2541,0
20140721,43.645,43.645,43.645,43.645,6915,0
20140722,43.664,43.664,43.664,43.664,1644,0
20140723,43.702,43.71,43.702,43.71,2745,0
20140725,43.683,43.683,43.683,43.683,839,0
20140729,43.673,43.673,43.648,43.648,1113,0
20140730,43.6,43.6,43.6,43.6,701,0
20140731,43.479,43.479,43.452,43.479,1309,0
20140801,43.46,43.562,43.46,43.548,3851,0
20140806,43.604,43.604,43.604,43.604,2329,0
20140807,43.698,43.698,43.698,43.698,1536,0
20140808,43.72,43.743,43.72,43.743,5276,0
20140813,43.71,43.71,43.71,43.71,391,0
20140815,43.951,43.951,43.951,43.951,219,0
20140820,43.822,43.822,43.781,43.781,3279,0
20140822,43.826,43.843,43.793,43.843,5401,0
20140826,43.903,43.903,43.903,43.903,2468,0
20140827,43.951,43.951,43.951,43.951,249,0
20140902,43.916,43.916,43.803,43.803,10310,0
20140904,43.936,43.936,43.916,43.916,1204,0
20140908,43.862,43.862,43.835,43.835,1198,0
20140909,43.849,43.849,43.743,43.789,2778,0
20140911,43.724,43.724,43.724,43.724,352,0
20140915,43.64,43.64,43.64,43.64,1154,0
20140917,43.613,43.613,43.613,43.613,2986,0
20140918,43.574,43.574,43.574,43.574,3440,0
20140919,43.621,43.673,43.621,43.673,716,0
20140922,43.715,43.715,43.715,43.715,322,0
20140923,43.724,43.724,43.724,43.724,2455,0
20140925,43.753,43.753,43.753,43.753,459,0
20140926,43.691,43.706,43.691,43.706,559,0
20140929,43.753,44.574,43.715,43.743,88431,0
20140930,43.739,43.739,43.654,43.654,32884,0
20141001,43.862,43.921,43.862,43.921,732,0
20141007,44.057,44.057,44.049,44.049,1002,0
20141008,44.067,44.067,44.067,44.067,1315,0
20141013,44.2,44.2,44.191,44.191,4645,0
20141014,44.95,44.95,44.223,44.223,3602,0
20141017,44.25,44.25,44.25,44.25,908,0
20141020,44.25,44.337,44.25,44.337,2375,0
20141021,44.332,44.332,44.25,44.25,1016,0
20141022,44.296,44.296,44.296,44.296,908,0
20141023,44.24,44.24,44.186,44.223,4896,0
20141024,44.231,44.24,44.158,44.158,1345,0
20141027,44.264,44.264,44.196,44.2,9225,0
20141029,44.186,44.186,44.177,44.177,2864,0
20141030,44.191,44.191,44.191,44.191,1013,0
20141031,44.177,44.186,44.109,44.163,5954,0
20141103,44.084,44.134,44.067,44.134,2676,0
20141104,44.163,44.163,44.067,44.144,2289,0
20141105,44.062,44.062,44.045,44.054,2827,0
20141106,44.096,44.096,44.076,44.076,1167,0
20141110,44.084,44.084,44.084,44.084,457,0
20141112,44.088,44.088,44.081,44.081,1181,0
20141114,44.13,44.134,44.1,44.134,2348,0
20141117,44.02,44.02,44.02,44.02,734,0
20141118,44.062,44.062,44.062,44.062,352,0
20141119,44.014,44.024,44.014,44.014,1604,0
20141124,44.144,44.218,44.144,44.21,2389,0
20141125,44.25,44.25,44.25,44.25,363,0
20141126,44.364,44.364,44.361,44.361,443,0
20141202,44.214,44.214,44.214,44.214,346,0
20141203,44.223,44.223,44.2,44.2,849,0
20141204,44.235,44.259,44.227,44.259,2053,0
20141205,44.158,44.177,44.134,44.158,9013,0
20141208,44.148,44.227,44.148,44.227,3284,0
20141209,44.29,44.754,44.191,44.191,15350,0
20141210,44.231,44.231,44.231,44.231,461,0
20141211,44.259,44.259,44.259,44.259,437,0
20141212,44.223,44.332,44.223,44.332,8740,0
20141215,44.245,44.245,44.177,44.177,3307,0
20141216,44.218,44.231,44.218,44.231,1047,0
20141217,44.25,44.28,44.196,44.231,3128,0
20141218,44.181,44.181,44.163,44.163,916,0
20141224,44.13,44.139,44.13,44.13,1716,0
20141226,44.214,44.214,44.214,44.214,631,0
20141231,44.357,44.378,44.31,44.31,3207,0
20150102,44.487,44.487,44.44,44.469,1940,0
20150105,44.469,44.516,44.448,44.516,4660,0
20150106,44.556,44.568,44.556,44.568,1800,0
20150108,44.595,44.612,44.595,44.612,1791,0
20150109,44.713,44.713,44.695,44.695,995,0
20150113,44.764,44.764,44.764,44.764,7406,0
20150114,44.87,44.915,44.821,44.821,4951,0
20150115,44.887,44.887,44.887,44.887,929,0
20150116,44.924,44.924,44.87,44.87,2431,0
20150121,44.945,44.945,44.92,44.92,1667,0
20150122,44.924,44.924,44.825,44.833,1659,0
20150126,44.982,44.995,44.924,44.987,2367,0
20150127,45.013,45.054,44.982,44.982,2120,0
20150128,45.022,45.022,45.022,45.022,647,0
20150129,45.058,45.074,44.982,45.074,1991,0
20150130,45.242,45.283,45.242,45.283,7793958,0
20150202,45.145,45.187,44.825,45.054,237419,0
20150203,44.879,45.187,44.862,44.915,89010,0
20150204,44.915,45.293,44.862,44.95,487010,0
20150205,44.92,44.989,44.853,44.891,381281,0
20150206,44.807,44.879,44.657,44.749,44060,0
20150209,44.695,44.802,44.653,44.708,11039,0
20150210,44.672,44.699,44.578,44.639,324750,0
20150211,44.605,44.699,44.56,44.599,725451,0
20150212,44.631,44.726,44.612,44.682,654948,0
20150213,44.639,44.682,44.568,44.578,385535,0
20150217,44.542,44.565,44.453,44.506,129458,0
20150218,44.478,44.644,44.478,44.605,38041,0
20150219,44.612,44.91,44.528,44.703,37163,0
20150220,44.829,44.829,44.663,44.708,14436,0
20150223,44.774,44.833,44.726,44.733,47327,0
20150224,44.789,44.982,44.764,44.882,20994,0
20150225,44.962,45.022,44.891,44.978,5707,0
20150226,44.998,45.819,44.794,44.879,27254,0
20150227,44.897,45.768,44.853,44.968,12059,0
20150302,45.036,45.904,44.758,44.901,99208,0
20150303,44.924,45.477,44.833,44.858,78599,0
20150304,44.897,44.982,44.754,44.87,108954,0
20150305,44.87,45.026,44.738,44.873,93096,0
20150306,45.116,45.477,44.521,44.528,21067,0
20150309,44.989,44.989,44.599,44.609,66144,0
20150310,44.784,44.784,44.648,44.758,41229,0
20150311,44.802,44.95,44.73,44.858,121181,0
20150312,44.812,44.933,44.521,44.802,107589,0
20150313,44.853,44.882,44.726,44.789,124350,0
20150316,44.87,44.891,44.768,44.768,3853,0
20150317,44.897,44.897,44.758,44.779,47794,0
20150318,44.928,45.219,44.843,45.187,109410,0
20150319,45.154,45.764,44.989,45.121,166029,0
20150320,45.121,45.388,45.074,45.27,69086,0
20150323,45.283,45.373,45.154,45.261,53231,0
20150324,45.302,45.398,45.178,45.398,14950,0
20150325,45.307,45.402,45.257,45.322,76790,0
20150326,45.201,45.275,45.102,45.164,65009,0
20150327,45.27,45.302,45.228,45.302,7020,0
20150330,45.283,46.25,45.201,45.283,26274,0
20150331,45.204,45.423,45.159,45.364,185281,0
20150401,45.164,45.364,45.142,45.275,108046,0
20150402,45.214,45.242,45.111,45.164,232623,0
20150406,45.257,45.302,45.191,45.232,89689,0
20150407,45.168,45.333,45.168,45.27,38399,0
20150408,45.228,45.307,45.214,45.297,214504,0
20150409,45.247,45.275,45.125,45.204,596925,0
20150410,45.204,45.283,45.182,45.242,31942,0
20150413,45.242,45.345,45.204,45.317,61608,0
20150414,45.388,45.506,45.345,45.35,46885,0
20150415,45.412,45.502,45.341,45.388,27364,0
20150416,45.388,45.388,45.324,45.369,2858,0
20150417,45.312,45.416,45.224,45.252,100568,0
20150420,45.369,45.369,45.283,45.333,39260,0
20150421,45.333,45.445,45.252,45.302,21298,0
20150422,45.237,45.293,45.187,45.187,14728,0
20150423,45.209,45.328,45.159,45.214,5433,0
20150424,45.232,45.42,45.201,45.42,42359,0
20150427,45.297,45.441,45.297,45.333,4983,0
20150428,45.275,45.312,45.173,45.173,8833,0
20150429,45.102,45.164,44.924,45.062,25598,0
20150430,44.968,45.093,44.968,45.07,17891,0
20150501,44.928,44.942,44.92,44.942,3386,0
20150504,44.879,44.955,44.879,44.897,11305,0
20150505,44.829,44.848,44.764,44.821,8144,0
20150506,44.802,44.807,44.667,44.708,16035,0
20150507,44.754,44.817,44.708,44.807,31918,0
20150508,44.937,45.036,44.928,44.982,5198,0
20150511,44.853,44.862,44.741,44.746,14696,0
20150512,44.695,44.754,44.695,44.73,4995,0
20150513,44.749,44.789,44.675,44.686,18772,0
20150514,44.703,44.789,44.653,44.789,8363,0
20150515,44.802,44.955,44.802,44.942,7093,0
20150518,44.862,44.891,44.703,44.703,33350,0
20150519,44.644,44.738,44.644,44.648,11758,0
20150520,44.667,44.713,44.595,44.595,14245,0
20150521,44.764,44.825,44.764,44.821,10626,0
20150522,44.789,44.887,44.768,44.774,13566,0
20150526,44.784,44.937,44.784,44.907,28684,0
20150527,44.848,44.928,44.848,44.928,13340,0
20150528,44.882,45.007,44.879,44.897,11041,0
20150529,44.942,45.007,44.87,45.004,10851,0
20150601,44.945,44.982,44.858,44.873,2931,0
20150602,44.758,44.807,44.726,44.726,6784,0
20150603,44.639,44.653,44.639,44.653,1351,0
20150604,44.599,44.644,44.599,44.616,8348,0
20150605,44.595,44.595,44.422,44.525,20770,0
20150608,44.56,44.565,44.408,44.532,3839,0
20150609,44.475,44.481,44.322,44.428,15897,0
20150610,44.318,44.318,44.245,44.245,2906,0
20150611,44.25,44.525,44.25,44.525,4268,0
20150612,44.487,44.547,44.461,44.469,2931,0
20150615,44.585,44.585,44.344,44.344,8348,0
20150616,44.501,44.525,44.418,44.418,3606,0
