Date,Open,High,Low,Close,Volume,OpenInt
20110323,27.512,27.771,27.317,27.743,3206,0
20110324,28.221,28.221,27.697,27.761,4191,0
20110325,28.195,28.317,28.123,28.123,123096,0
20110328,27.973,27.973,27.947,27.965,1363,0
20110329,27.826,28.02,27.826,27.991,3248,0
20110330,28.269,28.401,28.168,28.353,17797,0
20110331,28.541,28.645,28.503,28.645,1386,0
20110401,28.943,28.963,28.613,28.661,5512,0
20110404,28.832,28.869,28.805,28.832,3155,0
20110405,28.722,29.075,28.722,28.935,2230,0
20110406,29.166,29.166,28.898,28.973,3182,0
20110407,28.869,29.001,28.759,28.759,4372,0
20110408,28.777,28.777,28.123,28.221,13539,0
20110411,28.213,28.269,28.029,28.15,4019,0
20110412,27.79,27.9,27.715,27.733,3329,0
20110413,27.743,27.743,27.336,27.449,4606,0
20110414,27.336,27.485,27.297,27.412,1358,0
20110415,27.521,27.836,27.466,27.781,5751,0
20110418,27.566,27.566,27.234,27.243,3804,0
20110419,27.557,27.557,27.161,27.262,6496,0
20110420,27.743,27.808,27.585,27.808,1735,0
20110421,27.853,27.92,27.853,27.871,1886,0
20110425,27.826,27.826,27.705,27.705,1034,0
20110426,28.039,28.353,28.039,28.353,1679,0
20110427,28.24,28.289,28.204,28.289,1277,0
20110428,28.297,28.392,28.297,28.392,2253,0
20110429,28.615,28.645,28.56,28.607,1865,0
20110502,28.549,28.67,28.454,28.454,2227,0
20110503,28.279,28.317,27.991,28.075,7276,0
20110504,27.881,27.92,27.688,27.808,2119,0
20110505,27.705,27.705,27.538,27.705,916,0
20110506,28.048,28.113,27.845,27.845,1888,0
20110509,27.799,28.084,27.799,28.075,2075,0
20110510,28.501,28.605,28.501,28.52,3140,0
20110511,28.473,28.529,28.048,28.075,5418,0
20110512,27.947,28.345,27.863,28.26,3051,0
20110513,28.094,28.113,27.743,27.845,1474,0
20110516,27.585,27.79,27.529,27.594,5780,0
20110517,27.327,27.385,27.189,27.234,4511,0
20110518,27.327,27.548,27.327,27.548,2984,0
20110519,27.529,27.92,27.529,27.66,1597,0
20110520,27.421,27.557,27.317,27.557,3019,0
20110523,26.816,27.039,26.726,27.01,9104,0
20110524,26.983,26.983,26.744,26.864,2138,0
20110525,26.882,27.066,26.864,27.066,2732,0
20110526,26.919,27.28,26.845,27.28,5108,0
20110527,27.484,27.484,27.4,27.4,1434,0
20110531,27.533,27.896,27.533,27.896,1387,0
20110601,27.548,27.548,27.114,27.114,1666,0
20110602,27.039,27.095,26.892,26.992,2150,0
20110603,26.439,26.634,26.3,26.447,2598,0
20110606,26.329,26.392,26.142,26.19,6701,0
20110607,26.232,26.343,26.232,26.343,1789,0
20110608,25.891,26.158,25.891,25.963,2907,0
20110609,26.075,26.094,26.01,26.01,1925,0
20110610,25.568,25.789,25.568,25.733,3544,0
20110613,25.755,25.755,25.645,25.645,548,0
20110614,26.177,26.259,26.158,26.24,1596,0
20110615,25.972,26.149,25.837,25.926,1556,0
20110616,25.972,26.158,25.972,26.075,5228,0
20110617,26.187,26.326,25.945,25.945,3939,0
20110620,25.9,26.307,25.9,26.094,1087,0
20110621,26.742,26.742,26.549,26.699,2212,0
20110622,26.717,26.742,26.717,26.742,762,0
20110623,26.204,26.53,26.121,26.53,13649,0
20110624,26.511,26.511,26.372,26.399,1540,0
20110627,26.491,26.68,26.491,26.68,2022,0
20110628,26.807,26.917,26.807,26.908,248227,0
20110629,26.917,27.093,26.852,27.093,22128,0
20110630,27.435,27.544,27.417,27.544,12216,0
20110701,27.519,28.112,27.519,28.112,6778,0
20110705,28.122,28.167,28,28.14,6117,0
20110706,28.176,28.382,28.074,28.353,4007,0
20110707,28.642,28.869,28.642,28.869,3826,0
20110708,28.463,28.538,28.325,28.538,2744,0
20110711,28.185,28.306,27.928,27.99,4848,0
20110712,28.019,28.149,28.009,28.149,441,0
20110713,28.149,28.23,28.149,28.212,1784,0
20110714,28.288,28.288,27.649,27.649,2667,0
20110715,27.696,27.75,27.688,27.688,1925,0
20110718,27.502,27.502,27.197,27.27,4151,0
20110719,27.455,27.696,27.455,27.696,1753,0
20110720,27.658,27.806,27.658,27.714,2168,0
20110721,27.919,28.259,27.909,28.22,2515,0
20110722,28.083,28.259,28.083,28.259,2338,0
20110725,27.806,28.131,27.806,27.909,5089,0
20110726,27.581,27.581,27.36,27.47,9787,0
20110727,27.232,27.232,26.604,26.67,6905,0
20110728,26.803,26.876,26.506,26.506,2641,0
20110729,26.107,26.703,26.088,26.646,3885,0
20110801,26.585,26.807,26.269,26.445,1777,0
20110802,26.301,26.301,25.513,25.542,1837,0
20110803,24.993,25.577,24.882,25.558,1560,0
20110804,25.158,25.196,24.362,24.38,12103,0
20110805,24.447,24.632,23.928,24.259,2639,0
20110808,23.457,23.753,22.818,23.057,7792,0
20110809,22.621,23.178,21.892,23.178,8887,0
20110810,22.76,22.799,22.392,22.392,3312,0
20110811,22.429,23.354,21.948,23.113,9125,0
20110812,23.3,23.334,22.835,23.215,3864,0
20110815,23.539,23.771,23.484,23.771,1757,0
20110816,23.613,23.632,23.372,23.632,1098,0
20110817,23.707,23.707,23.263,23.344,2060,0
20110818,22.429,22.429,21.817,21.883,1723,0
20110819,21.486,22.059,21.486,21.614,4691,0
20110822,22.123,22.123,21.641,21.687,1580,0
20110823,21.855,22.686,21.855,22.686,2919,0
20110824,22.595,23.197,22.595,23.187,3630,0
20110825,23.159,23.159,22.64,22.658,1557,0
20110826,22.271,23.292,22.271,23.292,3041,0
20110829,23.796,24.409,23.796,24.409,1903,0
20110830,24.437,24.796,24.295,24.796,1799,0
20110831,24.72,25.009,24.636,24.636,1270,0
20110901,24.786,24.786,23.908,23.908,1815,0
20110902,23.556,23.556,22.992,22.992,3490,0
20110906,22.223,22.834,22.129,22.834,1197,0
20110907,23.353,23.689,23.149,23.689,2891,0
20110908,23.494,23.585,23.243,23.243,535,0
20110909,22.862,22.929,22.371,22.446,1467,0
20110912,22.105,22.649,22.002,22.585,9281,0
20110913,23.092,23.121,22.694,23.121,6830,0
20110914,23.028,23.823,23.028,23.585,1235,0
20110915,23.715,23.779,23.622,23.753,677,0
20110916,23.938,24.059,23.632,23.632,3415,0
20110919,23.028,23.281,23.028,23.102,2146,0
20110920,23.362,23.437,22.825,22.825,3478,0
20110921,22.465,22.528,21.766,21.795,1677,0
20110922,21.016,21.24,20.665,20.898,3758,0
20110923,21.035,21.37,21.035,21.336,1669,0
20110926,21.527,21.843,21.202,21.843,4002,0
20110927,22.76,23.056,22.546,22.546,2901,0
20110928,22.017,22.129,21.657,21.657,5913,0
20110929,22.288,22.288,21.555,22.103,5620,0
20110930,21.771,21.996,21.486,21.486,2323,0
20111003,21.36,21.408,20.45,20.45,2048,0
20111004,20.194,21.647,20.194,21.647,4265,0
20111005,21.971,22.307,21.908,22.297,3556,0
20111006,22.241,22.891,22.158,22.657,2570,0
20111007,22.881,22.881,22.037,22.409,659,0
20111010,22.704,23.021,22.704,22.816,1919,0
20111011,23.252,23.362,23.14,23.362,2227,0
20111012,23.66,23.734,23.66,23.734,1632,0
20111013,23.861,23.861,23.299,23.437,6767,0
20111014,24.106,24.134,23.797,24.134,3694,0
20111017,23.986,23.986,23.334,23.437,1676,0
20111018,23.112,24.171,23.102,24.171,878,0
20111019,23.928,24.041,23.549,23.549,1005,0
20111020,23.565,23.565,22.939,23.457,1492,0
20111021,23.967,23.967,23.763,23.763,2187,0
20111024,24.54,24.781,24.54,24.781,1461,0
20111025,24.179,24.391,24.179,24.315,2834,0
20111026,24.484,24.484,24.069,24.457,2700,0
20111027,25.43,26.235,25.392,26.033,3268,0
20111028,26.088,26.115,25.773,25.885,5298,0
20111031,25.385,25.46,25.293,25.293,1667,0
20111101,24.296,24.467,23.948,24.25,5830,0
20111102,24.596,24.596,24.596,24.596,120,0
20111103,24.986,25.552,24.986,25.552,2031,0
20111104,25.036,25.297,25.026,25.297,1095,0
20111107,24.913,24.913,24.865,24.875,2389,0
20111108,25.513,25.654,25.051,25.654,1984,0
20111109,24.913,24.996,24.586,24.586,4005,0
20111110,24.808,24.808,24.558,24.558,1899,0
20111111,25.43,25.459,25.355,25.383,1783,0
20111114,25.207,25.207,24.958,24.958,574,0
20111115,24.894,25.487,24.894,25.449,842,0
20111116,25.105,25.42,24.958,24.958,2936,0
20111117,24.865,24.884,24.615,24.615,1070,0
20111118,24.548,24.7,24.457,24.691,1098,0
20111121,24.096,24.096,23.842,23.928,2705,0
20111122,23.976,23.976,23.549,23.632,2220,0
20111123,23.233,23.272,22.919,23.011,5832,0
20111125,23.14,23.14,22.968,22.968,444,0
20111128,23.457,23.724,23.457,23.512,1167,0
20111129,24.106,24.106,23.641,23.763,4590,0
20111130,25.133,25.133,24.948,24.948,1237,0
20111201,25.225,25.302,25.076,25.076,5124,0
20111202,25.518,25.528,25.136,25.155,3839,0
20111205,25.597,25.636,25.346,25.374,2151,0
20111206,25.472,25.482,25.454,25.454,1206,0
20111207,25.09,25.557,25.08,25.557,773,0
20111208,25.454,25.454,24.952,24.952,2129,0
20111209,24.83,25.492,24.83,25.472,1354,0
20111212,25.041,25.041,24.846,24.865,1048,0
20111213,25.211,25.387,24.542,24.542,4816,0
20111214,24.242,24.326,24.164,24.209,1931,0
20111215,24.296,24.42,24.296,24.382,826,0
20111216,25.036,25.036,24.533,24.533,2010,0
20111219,24.907,24.907,24.235,24.235,3069,0
20111220,24.774,25.305,24.774,25.297,2533,0
20111221,25.099,25.584,24.926,25.584,3497,0
20111222,25.696,25.827,25.67,25.67,1264,0
20111223,25.696,25.713,25.696,25.705,1336,0
20111227,25.566,25.891,25.566,25.891,106226,0
20111228,25.482,25.733,25.22,25.22,1838,0
20111229,25.5,25.641,25.5,25.641,7068,0
20111230,25.638,25.693,25.451,25.451,1311,0
20120103,25.992,26.094,25.908,26.03,4989,0
20120104,25.817,25.817,25.723,25.817,2671,0
20120105,25.972,25.972,25.557,25.873,5540,0
20120106,25.873,25.992,25.807,25.865,7828,0
20120109,25.955,25.955,25.881,25.955,3996,0
20120110,26.345,26.457,26.308,26.402,3056,0
20120111,26.382,26.533,26.382,26.533,3367,0
20120112,26.447,26.764,26.447,26.764,1170,0
20120113,26.457,26.572,26.447,26.447,2411,0
20120117,26.635,26.727,26.494,26.494,2073,0
20120118,26.674,26.674,26.674,26.674,212,0
20120119,27.079,27.089,27.042,27.042,1479,0
20120120,27.042,27.042,26.941,26.941,2071,0
20120123,26.711,26.876,26.711,26.847,918,0
20120124,26.904,27.079,26.904,27.079,3990,0
20120125,26.995,27.211,26.995,27.127,1944,0
20120126,27.238,27.238,27.051,27.089,1836,0
20120127,27.079,27.341,27.079,27.341,345351,0
20120130,27.136,27.22,26.941,27.165,35838,0
20120131,27.37,27.37,26.911,27.21,5249,0
