Date,Open,High,Low,Close,Volume,OpenInt
20101116,47.625,47.625,46.806,46.806,5233,0
20101117,47.06,47.318,46.949,47.207,30455,0
20101118,47.778,48.243,47.753,47.969,9038,0
20101119,47.851,48.216,47.607,48.191,12831,0
20101122,47.918,48.209,47.625,48.115,9795,0
20101123,47.745,47.823,47.413,47.687,10265,0
20101124,48.235,48.704,48.235,48.648,24893,0
20101126,48.425,48.704,48.425,48.533,17139,0
20101129,48.209,48.561,47.909,48.561,41174,0
20101130,47.936,48.311,47.805,48.013,26649,0
20101201,48.974,49.171,48.921,49.101,31084,0
20101202,49.083,49.632,49.048,49.632,26953,0
20101203,49.583,50.018,49.357,50.018,5453,0
20101206,49.907,50.329,49.811,50.278,16098,0
20101207,50.884,50.884,50.482,50.499,20062,0
20101208,50.68,50.756,50.394,50.506,21310,0
20101209,50.833,50.833,50.53,50.764,28698,0
20101210,50.79,51.432,50.713,51.339,18286,0
20101213,51.38,51.571,51.156,51.156,15453,0
20101214,51.243,51.416,51.073,51.125,10875,0
20101215,51.046,51.527,50.848,50.857,26279,0
20101216,50.817,50.817,50.817,50.817,119,0
20101217,51.149,51.347,50.945,51.297,18780,0
20101220,51.416,51.784,51.398,51.553,3498,0
20101221,51.827,52.188,51.778,52.119,12443,0
20101222,52.247,52.505,52.247,52.317,6066,0
20101223,52.376,52.452,52.188,52.196,3315,0
20101227,51.673,52.154,51.673,52.136,13298,0
20101228,51.964,52.127,51.82,52.005,12594,0
20101229,52.086,52.162,52.086,52.1,6884,0
20101230,52.264,52.264,52.077,52.077,5301,0
20101231,51.988,52.162,51.702,51.745,35107,0
20110103,52.171,52.898,52.171,52.788,39773,0
20110104,53.027,53.027,51.484,51.921,2823,0
20110105,52.229,52.299,52.119,52.299,2451,0
20110106,52.086,52.086,52.086,52.086,201,0
20110107,52.299,52.299,51.768,51.768,787,0
20110110,51.656,51.852,51.656,51.852,641,0
20110111,52.221,52.256,52.221,52.247,2451,0
20110112,52.77,52.77,52.434,52.623,1493,0
20110113,52.659,52.676,52.623,52.631,1398,0
20110118,53.104,53.104,52.813,53.068,1335,0
20110119,53.14,53.148,51.81,51.81,1750,0
20110120,51.416,51.673,51.416,51.665,1436,0
20110121,51.307,51.307,51.307,51.307,291,0
20110124,51.68,51.689,51.68,51.689,2332,0
20110125,51.371,51.698,51.371,51.698,2767,0
20110126,52.29,52.64,52.29,52.564,1868,0
20110128,52.299,52.299,51.596,51.596,1007,0
20110131,51.988,51.996,51.763,51.789,3771,0
20110203,52.615,52.742,52.119,52.676,15138,0
20110204,52.623,52.623,52.326,52.326,6177,0
20110207,52.461,53.318,52.461,53.043,3461,0
20110208,53.06,53.3,53.018,53.293,2534,0
20110209,53.448,53.448,53.277,53.277,933,0
20110210,53.06,53.318,53.01,53.209,2056,0
20110211,53.327,53.645,53.327,53.645,2451,0
20110215,54.055,54.08,53.844,53.844,2799,0
20110216,54.194,54.305,54.021,54.271,2616,0
20110218,54.965,54.965,54.768,54.768,1441,0
20110222,54.227,54.235,53.586,53.586,668,0
20110223,53.568,53.568,52.597,52.942,2575,0
20110224,52.631,52.631,52.588,52.631,583,0
20110228,53.998,53.998,53.998,53.998,979,0
20110301,54.07,54.235,53.396,53.396,4987,0
20110302,53.31,53.31,53.234,53.3,491,0
20110303,54.432,54.432,54.432,54.432,467,0
20110304,54.012,54.012,54.012,54.012,119,0
20110307,53.91,53.91,53.448,53.448,583,0
20110308,53.31,53.852,53.252,53.852,1434,0
20110309,54.177,54.177,54.055,54.177,1378,0
20110310,52.751,52.88,52.751,52.88,1167,0
20110311,52.864,52.864,52.864,52.864,380,0
20110314,52.154,52.513,52.154,52.513,334,0
20110315,51.494,52.171,51.416,52.154,1537,0
20110316,51.656,51.689,51.269,51.347,5599,0
20110317,51.937,51.997,51.937,51.997,2726,0
20110318,52.345,52.345,52.345,52.345,119,0
20110321,53.277,53.441,53.261,53.359,11360,0
20110322,53.661,53.661,53.242,53.368,2566,0
20110323,52.88,53.415,52.848,53.406,3732,0
20110324,53.53,53.53,53.261,53.448,2741,0
20110325,53.765,54.383,53.765,54.185,3552,0
20110328,54.055,54.168,53.756,53.756,467,0
20110329,54.161,54.161,53.784,54.161,350,0
20110330,54.733,54.838,54.733,54.838,818,0
20110331,55.07,55.078,55.062,55.078,1750,0
20110401,55.547,55.547,55.275,55.35,702,0
20110404,55.506,55.556,55.445,55.484,2683,0
20110405,55.667,55.727,55.658,55.727,1424,0
20110406,55.84,55.847,55.717,55.84,3965,0
20110407,55.49,55.565,55.436,55.565,1633,0
20110408,55.736,55.736,54.829,54.847,9786,0
20110411,54.218,54.218,54.218,54.218,467,0
20110412,54.185,54.185,53.612,53.612,7581,0
20110413,53.677,53.677,53.261,53.522,2918,0
20110414,53.209,53.756,53.209,53.756,9296,0
20110415,54.012,54.203,53.998,54.194,8747,0
20110418,53.352,53.568,53.13,53.396,8563,0
20110419,53.721,53.721,53.234,53.456,2928,0
20110420,54.295,54.331,54.005,54.177,3134,0
20110421,54.46,54.485,54.365,54.485,2216,0
20110425,54.544,54.554,54.34,54.554,1985,0
20110426,54.674,55.428,54.674,55.31,6778,0
20110427,55.237,55.31,55.169,55.22,4547,0
20110428,55.547,55.727,55.53,55.727,11989,0
20110429,55.781,56.034,55.669,55.939,11138,0
20110502,56.037,56.147,55.31,55.31,8376,0
20110503,55.23,55.329,54.509,54.889,8747,0
20110504,54.829,54.881,54.08,54.211,10029,0
20110505,53.971,54.356,53.703,53.793,702,0
20110509,54.365,54.365,54.365,54.365,583,0
20110510,55.237,55.237,54.768,55.152,1286,0
20110511,54.914,54.914,54.527,54.527,886,0
20110513,54.062,54.656,54.062,54.08,350,0
20110516,53.988,53.988,53.668,53.668,471,0
20110517,53.456,53.456,52.942,53.269,2334,0
20110518,53.852,53.998,53.844,53.998,1609,0
20110519,54.08,54.161,54.062,54.099,757,0
20110520,53.928,53.998,53.604,53.686,8781,0
20110523,53.088,53.112,52.898,52.898,5744,0
20110524,52.711,52.761,52.711,52.761,350,0
20110525,53.096,53.096,52.986,52.986,583,0
20110526,53.121,53.746,53.104,53.746,583,0
20110527,54.012,54.099,54.012,54.099,583,0
20110531,54.751,54.751,54.751,54.751,350,0
20110601,54.759,54.759,53.285,53.285,1004,0
20110602,53.433,53.433,53.234,53.234,1167,0
20110603,52.571,52.742,52.532,52.532,2509,0
20110606,52.558,52.558,51.827,51.859,2888,0
20110607,52.059,52.282,52.041,52.127,5141,0
20110608,51.82,51.82,51.527,51.527,1012,0
20110609,51.371,51.759,51.371,51.759,1514,0
20110610,51.097,51.097,50.499,50.695,3032,0
20110613,50.6,50.672,50.592,50.672,1807,0
20110614,51.091,51.199,51.091,51.199,1248,0
20110616,50.937,51.064,50.713,51.064,5429,0
20110617,51.553,51.665,51.191,51.243,1247,0
20110620,51.081,51.759,51.081,51.698,3149,0
20110621,52.1,52.623,52.1,52.623,1319,0
20110622,52.848,52.89,52.848,52.864,1750,0
20110623,51.553,51.869,51.107,51.869,2887,0
20110624,52.145,52.145,51.698,51.879,818,0
20110627,51.903,52.136,51.903,52.136,467,0
20110629,52.88,52.908,52.855,52.855,1868,0
20110630,53.505,53.64,53.505,53.64,1871,0
20110701,53.677,54.416,53.677,54.365,1431,0
20110705,54.374,54.383,54.295,54.305,1667,0
20110706,54.348,54.527,54.177,54.527,1310,0
20110707,55.383,55.383,55.383,55.383,119,0
20110708,54.829,54.829,54.829,54.829,523,0
20110711,54.305,54.527,53.827,53.844,6369,0
20110712,53.793,53.793,53.793,53.793,232,0
20110713,54.603,54.725,54.509,54.509,5015,0
20110714,54.262,54.262,53.359,53.359,702,0
20110718,53.293,53.387,52.711,52.711,1514,0
20110719,53.164,53.775,53.164,53.738,5190,0
20110720,53.686,53.694,53.54,53.559,4085,0
20110721,54.021,54.527,54.021,54.485,5130,0
20110722,54.315,54.393,54.151,54.393,7872,0
20110725,53.645,54.08,53.594,53.981,6169,0
20110726,53.746,53.746,53.513,53.668,1697,0
20110727,53.034,53.034,51.964,51.964,2566,0
20110728,52.069,52.513,51.964,51.964,1571,0
20110729,51.208,52.127,51.208,51.887,7815,0
20110801,52.487,52.487,51.174,51.605,12219,0
20110802,51.543,51.741,50.112,50.112,3006,0
20110803,49.752,50.191,49.306,50.191,2511,0
20110805,47.833,48.389,46.623,47.248,10703,0
20110808,45.464,45.593,42.773,42.773,5567,0
20110809,44.678,44.712,42.415,44.712,1369,0
20110810,44.146,44.319,43.157,43.157,3951,0
20110811,43.707,44.187,43.134,43.984,3032,0
20110812,45.68,45.68,45.149,45.251,5365,0
20110815,45.876,46.623,45.696,46.623,21967,0
20110816,46.022,46.118,45.629,45.792,3151,0
20110817,46.272,46.334,45.612,45.946,1352,0
20110818,44.532,44.589,43.45,43.684,2818,0
20110819,42.704,43.734,42.192,42.877,5583,0
20110822,44.138,44.138,42.654,42.654,2105,0
20110823,42.988,44.549,42.721,44.549,11615,0
20110824,44.532,45.348,44.532,45.251,7605,0
20110825,45.999,45.999,44.001,44.247,3377,0
20110826,43.803,45.009,43.803,45.009,1868,0
20110830,46.922,47.257,46.535,47.248,4470,0
20110831,47.734,47.812,46.969,46.969,1595,0
20110901,46.982,47.616,45.963,45.989,2348,0
20110902,45.33,45.33,44.381,44.381,2722,0
20110906,42.859,44.092,42.859,44.092,1817,0
20110907,45.183,45.876,45.183,45.844,1547,0
20110908,45.938,45.938,45.259,45.259,832,0
20110909,44.565,44.565,43.769,43.795,2716,0
20110912,43.398,44.146,43.398,44.146,583,0
20110913,44.384,44.736,44.344,44.736,3071,0
20110914,44.445,44.695,44.436,44.695,6200,0
20110915,45.714,45.866,45.621,45.621,467,0
20110916,46.512,46.535,46.308,46.535,350,0
20110919,45.209,45.209,45.209,45.209,702,0
20110920,45.415,45.415,44.779,44.779,933,0
20110921,44.73,44.865,43.149,43.149,1398,0
20110922,41.711,42.458,41.342,41.436,12949,0
20110928,44.065,44.065,42.859,42.859,1285,0
20110929,42.523,43.04,42.465,43.04,585,0
20110930,42.323,42.838,42.15,42.15,933,0
20111003,41.677,41.677,40.234,40.234,812,0
20111005,42.664,42.673,42.664,42.673,343,0
20111006,42.893,43.788,42.757,43.788,1660,0
20111007,43.821,43.821,43.245,43.245,2975,0
20111011,44.687,44.703,44.565,44.565,1285,0
20111012,45.507,45.507,45.507,45.507,175,0
20111013,44.856,45.33,44.856,45.33,775,0
20111014,45.91,45.91,45.91,45.91,119,0
20111017,45.85,45.85,44.687,44.687,601,0
20111018,44.436,44.487,44.384,44.487,583,0
20111019,46.127,46.316,45.321,45.321,1514,0
20111020,45.089,45.387,44.761,45.387,1934,0
20111021,46.408,46.408,46.383,46.383,232,0
20111025,47.257,47.257,46.965,47.001,2060,0
20111101,46.535,46.761,46.535,46.761,1589,0
20111102,47.06,47.085,47.06,47.085,686,0
20111103,47.918,48.492,47.918,48.492,1167,0
20111104,48.513,48.513,48.513,48.513,361,0
20111109,47.786,47.786,47.582,47.582,900,0
20111110,47.455,47.455,47.077,47.171,583,0
20111111,47.96,48.175,47.96,48.175,350,0
20111114,48.03,48.03,47.566,47.566,2246,0
20111115,47.796,47.796,47.796,47.796,159,0
20111117,46.974,46.974,46.974,46.974,809,0
20111118,46.83,46.83,46.83,46.83,528,0
20111121,46.21,46.219,45.807,46.168,2184,0
20111125,43.779,44.436,43.779,44.436,808,0
20111128,45.348,45.363,45.002,45.168,2289,0
20111130,47.066,47.142,47.066,47.142,795,0
20111201,47.96,47.96,47.96,47.96,203,0
20111206,48.679,48.679,48.679,48.679,836,0
20111207,48.281,48.569,48.281,48.569,626,0
20111208,48.228,48.228,48.228,48.228,380,0
20111209,48.211,48.211,48.211,48.211,1426,0
20111214,46.478,46.725,46.478,46.715,2157,0
20111215,46.725,47.231,46.725,47.231,1290,0
20111219,47.257,47.257,46.888,46.888,1198,0
20111220,48.175,48.235,48.132,48.209,1809,0
20111221,48.279,48.514,48.279,48.514,745,0
20111222,49.374,49.374,49.374,49.374,467,0
20111223,49.452,49.452,49.14,49.218,1996,0
20111227,49.261,49.617,49.261,49.506,4722,0
20111228,49.088,49.088,48.695,48.896,5339,0
20111229,48.686,49.019,48.622,49.019,3220,0
20111230,49.202,49.202,49.202,49.202,359,0
20120103,50.008,50.008,50.008,50.008,341,0
20120104,49.383,49.41,49.305,49.305,751,0
20120105,49.178,49.798,48.961,49.681,19396,0
20120109,49.765,49.765,49.392,49.653,1159,0
20120110,50.304,50.304,50.304,50.304,229,0
20120112,50.57,50.57,50.57,50.57,979,0
20120113,50.304,50.304,50.054,50.166,1557,0
20120120,51.442,51.545,51.442,51.545,1274,0
20120124,51.65,51.692,51.65,51.692,928,0
