Date,Open,High,Low,Close,Volume,OpenInt
20171103,8.17,8.4839,5.87,6.05,523518,0
20171106,6.01,6.46,5.6,5.61,70651,0
20171107,5.6,5.7021,5.6,5.6,32567,0
20171108,5.6,5.65,5.6,5.6,118463,0
20171109,5.6,5.63,5.6,5.601,34684,0
20171110,5.65,5.76,5.61,5.72,9844,0
20171113,5.76,6.189,5.72,5.91,21746,0
20171114,6.15,6.35,5.65,5.97,60435,0
20171115,5.91,6.24,5.79,6.24,36785,0
20171116,6.2,6.59,6.2,6.52,33634,0
20171117,6.7,6.89,6.59,6.89,31430,0
20171120,7,7.84,6.98,7.34,56051,0
20171121,7.65,7.65,7.36,7.42,40067,0
20171122,7.5,7.503,6.9,6.95,23161,0
20171124,6.85,7.21,6.85,6.87,25474,0
20171127,6.87,7.2,6.8293,6.9,23785,0
20171128,6.87,6.881,6.7079,6.79,6315,0
20171129,6.82,7.05,6.54,6.78,25496,0
20171130,6.67,6.9,6.64,6.75,2902,0
20171201,6.4,6.9,6.4,6.79,13688,0
20171204,6.79,6.79,6.4,6.46,22783,0
20171205,6.41,6.41,5.8801,5.98,21787,0
20171206,6,6.11,5.8,5.89,18021,0
20171207,5.91,6.2572,5.81,6,6357,0
20171208,5.92,6.24,5.92,6.05,2474,0
20171211,5.98,6.2,5.95,5.96,18542,0
20171212,6.1,6.1099,5.69,5.84,19589,0
20171213,5.85,6,5.51,5.53,19062,0
20171214,5.58,5.79,5.54,5.54,15393,0
20171215,5.55,5.7,5,5,54051,0
20171218,5,5.22,5,5.14,40731,0
20171219,5.18,5.24,5.02,5.03,25243,0
20171220,5.1516,5.1516,4.82,4.82,26442,0
20171221,4.89,5.21,4.85,5.16,14681,0
20171222,5.02,5.03,4.95,4.95,16072,0
20171226,4.9691,5.05,4.9691,5.01,10397,0
20171227,5.01,5.02,4.91,4.92,61680,0
20171228,4.98,5.115,4.94,5.05,5712,0
20171229,5.05,5.25,5.05,5.25,6813,0
20180102,5.25,5.5463,5.06,5.31,4685,0
20180103,5.6,5.6216,5.2014,5.28,9505,0
20180104,5.27,5.46,5.1462,5.315,2988,0
20180105,5.3,5.5284,5.3,5.51,2814,0
20180108,5.55,5.55,5.18,5.24,26341,0
20180109,5.2139,5.4388,5.21,5.24,11219,0
20180110,5.5285,5.55,5.1601,5.19,15617,0
20180111,5.24,5.395,5.22,5.24,2247,0
20180112,5.27,5.38,5.03,5.17,12844,0
20180116,5.2,5.23,4.81,4.94,32165,0
20180117,4.81,5.07,4.81,5,16682,0
20180118,5,5.0247,4.96,4.96,3267,0
20180119,4.82,5.03,4.8,4.99,30300,0
20180122,5,5.0159,4.7437,4.75,33622,0
20180123,5,5.969,5,5.66,304619,0
20180124,5.72,6.35,5.3,5.4299,168847,0
20180125,5.49,5.71,5.31,5.31,104183,0
20180126,5.3,5.3999,5.25,5.3,41997,0
20180129,5.5534,5.5534,5.35,5.43,18346,0
20180130,5.46,5.4652,5.11,5.11,33279,0
20180131,5.14,5.52,5.14,5.37,66858,0
20180201,5.3,6.29,5.3,6,155766,0
20180202,6.01,6.29,5.8651,6.11,36671,0
20180205,6.19,6.835,6.18,6.75,64852,0
20180206,6.33,6.83,6.12,6.83,45378,0
20180207,6.78,6.92,6.61,6.61,8487,0
20180208,6.78,6.7801,6.33,6.44,14485,0
20180209,6.45,6.9267,6.447,6.5,51306,0
20180212,6.45,6.5802,6.45,6.5802,4842,0
20180213,6.8161,6.8161,6.42,6.52,17296,0
20180214,6.5301,6.6,6.2,6.24,23237,0
20180215,6.23,6.65,6.23,6.41,56940,0
20180216,6.6,6.6,6.4,6.48,24412,0
20180220,6.514,6.6541,6.514,6.57,2506,0
20180221,6.65,7.4399,6.6,6.85,35454,0
20180222,7,7.16,6.965,7.0101,8159,0
20180223,7.21,7.3799,7,7.16,36235,0
20180226,7.25,7.3247,6.9701,6.99,15380,0
20180227,7.04,7.09,6.99,7.09,36586,0
20180228,7,7.05,6.72,6.8,27834,0
20180301,6.71,6.9756,6.5895,6.72,4365,0
20180302,6.76,7.24,6.63,7.24,36247,0
20180305,8,8.44,7.501,7.855,165945,0
20180306,8.04,13.1899,7.96,11,1210124,0
20180307,11.2,12.7289,10.4701,11.99,293450,0
20180308,12.11,13.74,12.11,13.46,250584,0
20180309,13.7,13.7,12.67,13.13,160359,0
20180312,13.04,14.499,13.034,13.7,103757,0
20180313,13.66,14.59,13.6,14.24,50524,0
20180314,14.48,15.5951,14.48,14.94,76412,0
20180315,15,15.5138,13.011,14.03,70984,0
20180316,14.24,14.39,12,12.44,205950,0
20180319,12.4,12.598,10.5,11.43,271843,0
20180320,11.51,13.569,11.161,13.17,70270,0
20180321,13.22,13.6,11.7201,12.25,41544,0
20180322,12.15,12.57,11.87,12.5,32124,0
20180323,13.05,13.33,12.54,12.91,73468,0
20180326,13.1,13.1,12.5,12.78,38206,0
20180327,12.73,13.04,12.091,12.89,35816,0
20180328,12.81,12.81,12.25,12.38,25955,0
20180329,12.25,12.41,12,12.3,15618,0
20180402,12.19,12.74,12.19,12.31,35256,0
20180403,12.55,12.55,12.14,12.31,18595,0
20180404,12.13,12.83,11.8,12.3,32784,0
20180405,12.5,12.5,11.8,12,40709,0
20180406,11.87,11.98,11.8,11.8,11841,0
20180409,11.92,12.2,11.901,12,18071,0
20180410,12,12.71,12,12.51,40262,0
20180411,12.62,12.74,12.2,12.74,42976,0
20180412,12.74,14,12.74,13.9,67628,0
20180413,13.99,14.38,13.3,13.59,35972,0
20180416,13.83,14.18,12.44,12.7,49407,0
20180417,12.82,12.85,12.16,12.31,35200,0
20180418,12.26,12.48,12.01,12.04,35124,0
20180419,12.19,12.3,11.67,11.99,59949,0
20180420,11.85,12.21,11.77,11.84,23202,0
20180423,11.8766,11.8766,11.33,11.4,33687,0
20180424,11.29,11.35,10.2321,10.51,69028,0
20180425,10.52,10.77,10.4,10.61,24916,0
20180426,10.7,10.88,10.27,10.27,14552,0
20180427,10.31,10.31,10.01,10.09,36426,0
20180430,10.09,10.32,10.09,10.1,9370,0
20180501,10.1,10.37,10.1,10.12,7607,0
20180502,10.095,10.41,10.05,10.16,6638,0
20180503,10.24,10.41,10.18,10.3,24071,0
20180504,10.49,10.84,10.3,10.81,24532,0
20180507,10.87,12.79,10.87,12.51,36328,0
20180508,12.08,12.08,10.58,11.54,78390,0
20180509,11.38,11.93,11.38,11.75,26916,0
20180510,11.97,12.11,11.65,12.04,89444,0
20180511,12.08,12.16,11.56,12.09,42461,0
20180514,12.07,12.07,11.5154,11.89,20007,0
20180515,11.78,12.07,11.66,11.89,29607,0
20180516,11.82,12,11.63,11.75,16051,0
20180517,11.84,11.84,11.36,11.4,36986,0
20180518,11.36,11.3933,11.14,11.31,22980,0
20180521,11.4,11.4751,11.18,11.23,12305,0
20180522,11.21,11.49,11.1401,11.25,64022,0
20180523,11.19,11.2,11,11.02,12731,0
20180524,11.07,11.98,11,11.72,67832,0
20180525,11.6,11.6,11.2,11.23,25286,0
20180529,11.26,11.64,11.23,11.54,58160,0
20180530,11.5819,12.8,11.5819,12.53,169794,0
20180531,12.28,13.01,12.28,12.71,112768,0
20180601,12.7,14.9799,12.5382,14.06,301652,0
20180604,14.1,14.23,12.78,13.48,103916,0
20180605,13.4,13.59,12.51,12.59,53248,0
20180606,12.68,12.7264,12.46,12.63,23748,0
20180607,12.61,12.61,12.08,12.22,31226,0
20180608,12.28,12.4165,12,12.07,43522,0
20180611,12,12.77,11.9,12.76,91817,0
20180612,12.86,13.61,12.86,13.44,91131,0
20180613,13.48,14,13.18,13.36,99270,0
20180614,13.49,13.8,13.26,13.41,93589,0
20180615,13.36,13.99,13.15,13.98,161680,0
20180618,13.99,14.7999,13.4201,13.58,168020,0
20180619,13.39,13.84,12.63,12.71,145508,0
20180620,12.83,13.26,12.56,12.96,82480,0
20180621,13,13,11.54,11.94,158488,0
20180622,11.94,12.72,11.801,12.54,915860,0
20180625,12.43,12.71,11.83,11.96,100663,0
20180626,12.04,12.235,11.68,11.93,115130,0
20180627,11.99,12.0465,11.01,11.05,107890,0
20180628,11.03,11.32,10.82,10.89,54858,0
20180629,11,11.09,10.475,10.78,71757,0
20180702,10.78,10.81,9.83,10.02,99461,0
20180703,10.07,11.01,9.9342,10.99,43448,0
20180705,10.98,11.22,10.5,10.62,100380,0
20180706,10.66,11.08,10.66,10.85,44378,0
20180709,10.83,11.37,10.661,11.26,35744,0
20180710,11.32,11.5,11.13,11.38,30476,0
20180711,11.26,11.49,10.8,10.89,73880,0
20180712,10.98,12.49,10.9,12.44,190914,0
20180713,12.5,12.91,12.26,12.63,111799,0
20180716,12.69,13.15,12.09,12.34,130174,0
20180717,12.33,12.7595,12.25,12.42,46937,0
20180718,12.42,12.79,12.22,12.36,29504,0
20180719,12.38,12.48,12.0835,12.45,19429,0
20180720,12.41,12.85,12.2956,12.68,33734,0
20180723,12.81,13.92,12.48,13.43,160398,0
20180724,13.62,13.8,13.22,13.62,50000,0
20180725,13.6,13.6589,13.05,13.47,26448,0
20180726,13.5,13.78,13.4027,13.66,39600,0
20180727,13.7,13.7,13.06,13.24,55687,0
20180730,13.3,13.4,12.7,12.78,35142,0
20180731,12.92,13.5,12.88,12.96,51146,0
20180801,13.05,13.85,12.8,13.85,78705,0
20180802,13.94,14.4,13.5501,14.29,109350,0
20180803,14.26,14.8,14.2,14.74,112886,0
20180806,14.8,14.83,14.45,14.67,74060,0
20180807,15,15.01,13.58,13.74,255424,0
20180808,14.15,14.64,13.7568,14.54,81449,0
20180809,14.68,14.83,14.27,14.63,103236,0
20180810,14.55,14.8,14.03,14.75,54971,0
20180813,14.7,14.9,13.52,13.75,119942,0
20180814,13.73,13.89,12.91,13.36,52506,0
20180815,13.1,13.244,12.1848,12.82,74166,0
20180816,12.76,13.34,12.35,12.97,30549,0
20180817,12.97,13.08,12.69,12.75,18168,0
20180820,12.781,13,12.52,12.84,28074,0
20180821,12.96,13.5,12.96,13.5,46293,0
20180822,13.54,13.568,13.06,13.09,30266,0
20180823,13.03,13.25,12.9001,13.12,19071,0
20180824,13.12,13.5,13.12,13.5,28563,0
20180827,13.67,13.82,13.56,13.75,39005,0
20180828,13.87,14.128,13.6,13.96,103520,0
20180829,14.03,14.36,13.5725,13.84,89239,0
20180830,13.84,14.09,13.83,14.01,16850,0
20180831,14.03,14.2,14.03,14.11,32258,0
20180904,14.1,14.1,13.52,13.67,28629,0
20180905,13.6,13.83,13.2,13.64,35203,0
20180906,13.63,13.71,13.13,13.3,16394,0
20180907,13.25,13.6,13,13.47,16132,0
20180910,13.57,13.57,12.69,12.74,48649,0
20180911,12.7,12.71,12.28,12.51,29312,0
20180912,12.4,12.5,11.05,11.35,105291,0
20180913,11.54,12.44,11.54,12.135,24940,0
20180914,12.07,12.39,11.41,11.69,32318,0
20180917,11.68,12.24,11.68,12.02,19993,0
20180918,12.01,12.36,11.86,11.89,27108,0
20180919,11.85,11.9204,11.48,11.71,25795,0
20180920,12.001,12.42,12.0001,12.26,14403,0
20180921,12.25,12.35,11.88,11.91,33793,0
20180924,11.85,11.85,11.56,11.64,11206,0
20180925,11.69,11.98,11.2033,11.29,30953,0
20180926,11.32,11.4,11.07,11.09,27139,0
20180927,11.05,11.24,10.77,10.85,36993,0
20180928,11.11,11.175,10.8363,11.07,31119,0
20181001,11.19,11.55,11.1,11.32,22253,0
20181002,11.3,11.59,11.01,11.03,15391,0
20181003,11,11.2,11,11.17,20902,0
20181004,11.09,11.2,10.85,10.93,14588,0
20181005,10.92,10.92,10.23,10.35,87273,0
20181008,10.29,10.88,10.29,10.71,17879,0
20181009,10.68,11.2,10.68,11.1,20194,0
20181010,11.09,11.09,10.25,10.31,30876,0
20181011,10.2,10.5,9.86,9.96,77905,0
20181012,10.25,10.39,10.1283,10.27,27092,0
20181015,10.39,10.7,10.37,10.69,21995,0
20181016,10.62,10.85,10.28,10.35,25765,0
20181017,10.36,10.425,10.1,10.28,6315,0
20181018,10.67,10.67,9.94,10.07,51478,0
20181019,10.06,10.45,10.06,10.24,20847,0
20181022,9.99,10.14,9.99,10.07,14997,0
20181023,9.83,10.04,9.65,9.82,53816,0
20181024,9.83,9.86,9.61,9.61,20512,0
20181025,9.68,9.84,9.51,9.65,30724,0
20181026,9.5,9.63,9.29,9.45,25193,0
20181029,9.54,9.96,9.32,9.47,19509,0
20181030,9.31,9.57,9.29,9.47,21489,0
20181031,9.59,9.74,9.5,9.55,17376,0
20181101,9.59,10,9.55,10,7858,0
20181102,10,10.18,9.9,10.02,26296,0
20181105,10.03,10.1,9.8,9.99,12644,0
20181106,10,10.12,9.94,10,8734,0
20181107,10.01,10.3,9.95,10.3,35994,0
20181108,10.3,12,10.3,12,153360,0
20181109,11.8,11.8,11.45,11.73,32766,0
20181112,11.8,11.8,11.28,11.3,30562,0
20181113,11.34,11.6,11.19,11.46,28478,0
20181114,11.73,11.73,11.2,11.35,20454,0
20181115,11.2,11.72,10.66,11.52,17415,0
20181116,11.43,11.45,10.871,11.23,30970,0
20181119,11.3,11.3,10.83,10.94,15750,0
20181120,10.82,10.89,9.7,10.44,26248,0
20181121,10.48,11.09,10.48,10.99,17135,0
20181123,10.67,11.07,10.59,10.85,9319,0
20181126,11.03,11.25,10.881,11.12,12971,0
20181127,11.07,11.07,10.42,10.76,22341,0
20181128,10.77,11.26,10.55,11.03,39353,0
20181129,11.02,11.11,10.8,11,13475,0
20181130,11.01,11.3,10.89,11.15,21016,0
20181203,11.41,11.45,10.91,11.035,11944,0
20181204,11.03,11.1,10.32,10.47,29230,0
20181206,10.47,10.78,10.1,10.78,15792,0
20181207,10.67,10.99,10.13,10.47,25509,0
20181210,10.52,10.66,10.29,10.38,12103,0
20181211,10.37,10.74,10.37,10.64,1293,0
20181212,10.96,10.96,10.7,10.78,12429,0
20181213,10.95,10.95,10.3802,10.62,7804,0
20181214,10.86,10.86,10.41,10.41,3618,0
20181217,10.39,10.72,10.06,10.27,29311,0
20181218,10.31,10.55,10.22,10.22,12217,0
20181219,10.39,10.55,10.11,10.15,17472,0
20181220,10.33,10.5,10.04,10.26,28071,0
20181221,10.25,10.3,10.11,10.26,46759,0
20181224,10.1,10.49,10.06,10.06,14811,0
20181226,10.32,10.5,10.04,10.42,27541,0
20181227,10.36,10.5,10.1002,10.46,32784,0
20181228,10.5,10.5,10.21,10.47,28124,0
20181231,10.55,10.98,10.27,10.88,19796,0
20190102,10.77,10.99,10.62,10.87,26279,0
