Date,Open,High,Low,Close,Volume,OpenInt
20050225,52.091,52.215,50.356,52.16,11076,0
20050228,51.25,53.493,51.25,53.493,15187,0
20050301,52.16,53.558,52.16,53.558,8900,0
20050302,53.071,53.071,50.572,51.184,47679,0
20050303,51.241,51.383,50.562,51.067,12598,0
20050304,51.194,52.008,50.832,51.076,8234,0
20050307,50.793,51.318,50.664,51.076,11578,0
20050308,50.784,51.366,50.784,50.784,6301,0
20050309,50.784,51.067,49.868,49.868,11831,0
20050310,50.422,51.011,49.868,50.224,15463,0
20050311,50.059,50.291,49.927,50.104,2885,0
20050314,49.767,49.767,48.283,48.378,18025,0
20050315,48.105,48.694,48.105,48.498,18843,0
20050316,48.405,48.405,46.836,47.351,36914,0
20050317,46.808,47.189,46.667,47.189,16574,0
20050318,47.123,47.123,46.438,46.438,30254,0
20050321,46.667,46.943,46.321,46.321,25341,0
20050322,46.531,47.016,46.418,46.418,18496,0
20050323,47.107,47.343,46.37,46.522,20509,0
20050324,46.667,47.15,46.447,46.447,16888,0
20050328,48.405,48.955,46.659,46.77,126583,0
20050329,47.053,47.305,46.493,46.731,36253,0
20050330,47.123,47.529,45.753,47.529,49623,0
20050331,47.482,48.293,47.434,48.227,25320,0
20050401,48.04,48.171,47.583,47.761,12405,0
20050404,47.667,49.29,47.639,49.162,14037,0
20050405,48.479,49.741,48.479,48.993,7682,0
20050406,49.6,50.032,48.378,48.415,13589,0
20050407,48.105,48.843,47.854,48.134,8869,0
20050408,47.453,47.677,47.115,47.361,3872,0
20050411,47.351,47.695,47.115,47.557,8997,0
20050412,47.123,48.498,46.779,47.836,9281,0
20050413,48.188,48.188,46.667,46.703,23032,0
20050414,47.305,48.256,46.228,47.677,14408,0
20050415,46.885,47.63,45.772,45.772,18452,0
20050418,45.753,45.753,44.016,45.201,52453,0
20050419,45.568,46.218,45.063,45.753,23298,0
20050420,45.763,46.055,43.521,43.878,28709,0
20050421,44.68,44.68,43.878,44.157,34292,0
20050422,44.725,44.725,43.494,43.569,40233,0
20050425,43.655,44.137,42.709,43.103,37137,0
20050426,43.373,44.026,43.04,43.26,16296,0
20050427,43.468,44.083,43.011,43.26,19146,0
20050428,43.914,44.054,43.165,43.184,14865,0
20050429,43.232,46.38,43.011,46.302,52443,0
20050502,45.884,46.351,45.053,45.689,27476,0
20050503,45.568,45.725,44.923,45.651,16020,0
20050504,45.296,46.418,45.119,45.809,33827,0
20050505,45.41,45.884,44.438,44.942,49364,0
20050506,45.147,45.706,44.782,45.521,4931,0
20050509,45.521,45.521,44.279,45.035,14421,0
20050510,45.035,45.211,44.616,45.025,6783,0
20050511,44.782,45.015,44.512,44.773,9221,0
20050512,44.979,45.015,44.345,44.345,18180,0
20050513,43.569,43.923,43.511,43.541,8144,0
20050516,43.906,44.839,43.906,44.438,16724,0
20050517,45.156,45.165,43.802,44.306,19069,0
20050518,44.606,45.082,43.951,44.754,13223,0
20050519,45.287,45.296,44.147,44.381,9494,0
20050520,45.221,45.296,44.242,45.119,8493,0
20050523,46.019,46.019,44.12,44.68,35241,0
20050524,45.306,45.53,44.791,44.979,24271,0
20050525,45.306,45.586,44.653,45.015,20409,0
20050526,45.306,45.781,44.859,45.66,16978,0
20050527,46.36,46.428,45.549,45.689,6343,0
20050531,46.4,47.462,45.98,47.132,16927,0
20050601,47.864,47.864,47.227,47.648,18884,0
20050602,48.275,48.312,47.539,47.695,17232,0
20050603,47.548,47.639,47.218,47.529,7771,0
20050606,47.893,47.893,47.123,47.324,19335,0
20050607,47.123,47.947,46.722,47.406,34774,0
20050608,48.349,48.349,46.62,46.904,18758,0
20050609,46.76,47.575,46.549,47.17,7430,0
20050610,46.904,46.904,46.351,46.601,9969,0
20050613,47.107,47.836,45.817,46.447,58206,0
20050614,47.08,47.08,46.126,46.418,10889,0
20050615,47.132,47.132,46.228,46.713,8611,0
20050616,46.667,46.808,46.522,46.808,11940,0
20050617,47.15,47.15,46.438,46.667,24261,0
20050620,46.667,46.836,46.4,46.808,15331,0
20050621,47.387,47.387,46.667,46.798,11249,0
20050622,46.54,46.904,46.493,46.808,5892,0
20050623,47.434,47.434,45.753,45.911,6544,0
20050624,45.763,46.63,45.306,46.438,86380,0
20050627,46.074,46.36,45.781,46.209,11460,0
20050628,46.246,47.695,46.246,47.434,7699,0
20050629,47.14,47.236,46.63,47.17,13081,0
20050630,47.236,48.965,46.567,48.014,45562,0
20050701,48.965,48.965,48.227,48.517,11604,0
20050705,48.312,48.312,47.854,48.218,8888,0
20050706,48.078,48.246,47.482,47.817,6783,0
20050707,47.343,48.114,46.351,48.114,1789,0
20050708,46.836,48.572,46.836,48.572,6239,0
20050711,47.912,49.479,47.912,49.244,12208,0
20050712,49.897,49.897,49.116,49.547,19220,0
20050713,49.897,50.756,49.554,50.141,8749,0
20050714,50.879,51.337,50.022,50.727,18610,0
20050715,50.013,50.656,49.946,50.636,6452,0
20050718,50.394,50.975,49.154,50.598,11690,0
20050719,50.068,50.636,49.927,49.927,6578,0
20050720,48.955,49.936,48.955,49.76,4402,0
20050721,49.713,51.058,48.965,49.887,4463,0
20050722,50.347,51.346,48.965,50.907,11920,0
20050725,50.347,52.188,50.347,51.581,17567,0
20050726,51.346,52.747,51.346,52.334,11372,0
20050727,52.188,52.188,50.747,51.608,5180,0
20050728,51.812,52.26,51.168,52.081,9834,0
20050729,51.346,52.989,51.346,52.691,6487,0
20050801,52.804,52.83,51.793,51.869,6501,0
20050802,51.869,51.869,50.946,51.233,3486,0
20050803,51.029,51.184,50.15,51.039,8601,0
20050804,51.039,51.204,50.206,50.206,5910,0
20050805,49.946,50.004,48.657,49.469,20447,0
20050808,48.919,49.61,48.405,49.61,8326,0
20050809,48.919,49.82,48.919,49.537,10979,0
20050810,49.469,49.995,49.022,49.423,8950,0
20050811,48.749,49.317,48.591,49.031,5052,0
20050812,48.171,49.031,47.15,47.591,11185,0
20050815,44.016,47.227,44.016,46.009,81814,0
20050816,45.845,46.438,45.268,46.174,17884,0
20050817,45.613,46.292,45.568,45.743,14718,0
20050818,45.4,45.549,44.725,44.82,11191,0
20050819,44.242,45.513,44.242,45.315,8068,0
20050822,45.371,46.447,45.371,46.228,22915,0
20050823,45.24,45.931,45.24,45.698,14129,0
20050824,46.029,46.593,45.921,46.209,16063,0
20050825,46.218,46.601,45.874,45.95,4396,0
20050826,46.218,46.77,46.037,46.037,11772,0
20050829,46.029,46.117,45.98,46.074,5905,0
20050830,46.209,46.209,45.4,45.931,12039,0
20050831,46.209,48.788,45.576,48.536,57804,0
20050901,47.657,48.124,47.5,47.657,18149,0
20050902,47.61,47.61,46.798,46.798,9571,0
20050906,46.282,47.52,45.999,47.324,19216,0
20050907,46.914,47.548,46.456,46.865,18410,0
20050908,46.493,46.934,46.246,46.865,11811,0
20050909,47.482,47.677,47.295,47.566,11234,0
20050912,47.591,47.798,46.961,47.132,15734,0
20050913,46.466,46.914,46.466,46.64,8628,0
20050914,47.246,47.266,46.39,46.512,8156,0
20050915,46.493,47.198,46.046,46.282,13110,0
20050916,46.282,47.071,46.282,47.071,28361,0
20050919,46.164,46.54,45.999,46.108,9074,0
20050920,46.331,46.61,45.381,45.715,7099,0
20050921,45.278,45.921,45.165,45.753,8992,0
20050922,45.753,46.331,45.063,46.155,10927,0
20050923,46.029,46.029,45.503,45.725,4602,0
20050926,45.734,46.046,45.092,45.41,9706,0
20050927,45.044,46.447,45.044,46.428,14286,0
20050928,45.513,45.874,44.887,45.874,8269,0
20050929,45.092,46.466,44.801,46.466,5452,0
20050930,45.781,48.536,45.586,47.893,42323,0
20051003,47.529,47.836,45.193,45.494,31557,0
20051004,45.622,45.743,45.138,45.174,7464,0
20051005,45.138,45.428,42.888,42.888,38200,0
20051006,43.194,43.411,42.756,42.945,31313,0
20051007,43.511,43.511,42.663,42.663,36013,0
20051010,43.747,43.747,42.077,42.476,49416,0
20051011,43.364,43.364,42.281,42.376,8610,0
20051012,42.057,42.357,40.142,40.788,28534,0
20051013,40.423,40.423,39.695,40.386,37100,0
20051014,40.105,42.748,39.397,42.748,24313,0
20051017,43.075,43.502,42.57,42.878,5458,0
20051018,42.945,43.309,42.644,42.775,7217,0
20051019,42.347,42.367,41.19,42.32,8656,0
20051020,42.339,42.813,41.153,41.153,27316,0
20051021,40.944,41.777,40.778,41.096,4717,0
20051024,40.593,42.842,40.206,42.842,6074,0
20051025,43.521,43.521,41.237,41.999,4832,0
20051026,41.536,42.644,41.536,42.383,4284,0
20051027,41.403,41.656,40.142,40.376,23746,0
20051028,40.34,40.871,40.03,40.376,10608,0
20051031,40.142,41.431,40.142,41.105,8634,0
20051101,41.262,41.262,39.91,40.395,12156,0
20051102,39.929,41.545,39.929,41.422,34737,0
20051103,41.545,41.545,40.983,41.078,8171,0
20051104,41.327,41.46,40.906,41.327,5737,0
20051107,41.526,42.271,41.198,41.971,11027,0
20051108,41.28,42.7,41.28,42.008,10057,0
20051109,42.008,42.58,42.008,42.135,6222,0
20051110,41.327,42.196,41.327,42.196,5060,0
20051111,42.008,42.376,41.665,41.665,6145,0
20051114,41.545,41.545,40.142,40.993,14571,0
20051115,40.983,41.364,40.63,41.114,9278,0
20051116,41.003,41.003,40.142,40.142,49019,0
20051117,39.938,41.675,39.919,41.05,16325,0
20051118,41.701,41.748,40.489,40.657,7451,0
20051121,40.152,40.861,39.901,40.852,10735,0
20051122,40.189,40.657,40.189,40.526,4532,0
20051123,40.234,42.842,40.234,42.196,10026,0
20051125,42.589,42.615,42.413,42.413,749,0
20051128,42.691,43.212,42.057,43.04,25762,0
20051129,43.128,43.531,43.075,43.531,1395,0
20051130,43.27,43.27,42.008,42.765,19090,0
20051201,42.393,43.511,42.393,42.945,12366,0
20051202,42.301,42.907,42.301,42.907,5461,0
20051205,42.008,42.449,41.758,42.224,5951,0
20051206,42.153,42.542,41.45,42.205,14681,0
20051207,42.291,42.339,41.859,42.038,8438,0
20051208,41.601,42.514,41.601,42.476,8345,0
20051209,41.945,42.804,41.917,42.291,11324,0
20051212,42.992,43.011,41.619,43.011,9421,0
20051213,42.57,42.86,42.56,42.663,4198,0
20051214,42.57,43.309,42.55,43.194,11756,0
20051215,43.511,43.511,42.634,42.945,5752,0
20051216,42.945,43.511,42.55,42.55,26423,0
20051219,42.038,42.589,42.038,42.431,10839,0
