Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.3124,8.027,7.2561,7.5099,11250,0
20050228,7.2466,7.2842,6.6173,7.115,17600,0
20050301,7.0868,7.3502,7.0868,7.3218,3511,0
20050302,7.3218,7.6978,7.3218,7.5664,18406,0
20050303,7.6037,7.7543,7.5195,7.6133,30523,0
20050304,7.6133,7.8015,7.6133,7.7825,34742,0
20050307,7.7825,7.7825,7.707,7.7635,19320,0
20050308,7.6133,7.8765,7.6133,7.848,15487,0
20050309,7.6883,7.9892,7.5848,7.9892,13082,0
20050310,7.9892,7.9892,7.6321,7.7543,21123,0
20050311,7.8015,7.8952,7.7448,7.8201,4682,0
20050314,7.8201,7.8201,7.7543,7.7731,6400,0
20050315,7.8201,7.8201,7.8015,7.8015,376,0
20050316,7.6699,7.7731,7.5944,7.6321,14697,0
20050317,7.5944,7.7543,7.5848,7.7543,6692,0
20050318,7.6417,7.7259,7.1714,7.2466,12972,0
20050321,7.0494,7.275,6.7575,7.1998,27278,0
20050322,7.0211,7.3029,7.0211,7.2933,794,0
20050323,7.1245,7.2656,6.9271,7.2656,10576,0
20050324,7.3314,7.4062,7.04,7.3218,7439,0
20050328,6.9271,7.1527,6.9271,7.1527,2126,0
20050329,7.0965,7.2185,6.9175,6.9927,3330,0
20050330,7.04,7.0494,6.6918,6.6918,7582,0
20050331,6.7299,6.9836,6.6918,6.9836,3295,0
20050401,7.0023,7.0965,6.636,6.9271,6387,0
20050404,6.7207,6.786,6.5794,6.6544,5105,0
20050405,7.1527,7.1618,6.476,6.5604,9266,0
20050406,6.4663,6.5794,6.0343,6.1094,26160,0
20050407,6.1094,6.1942,6.006,6.1188,18369,0
20050408,6.0158,6.1094,5.9119,6.1094,4346,0
20050411,5.8273,5.893,5.5265,5.5454,45907,0
20050412,5.5454,5.63,5.5454,5.63,5105,0
20050413,5.5737,5.6863,5.5737,5.6863,35110,0
20050414,5.6959,6.006,5.6397,5.7427,15653,0
20050415,5.6489,5.9776,5.1693,5.6205,53145,0
20050418,5.179,5.7712,5.179,5.7712,4999,0
20050419,5.7148,5.8085,5.4514,5.5454,7874,0
20050420,5.6863,5.9211,5.4235,5.4235,24431,0
20050421,5.5265,5.6583,5.4985,5.5363,3820,0
20050422,5.4702,5.5832,5.3104,5.3857,20311,0
20050425,5.4139,5.5737,5.3763,5.4702,27932,0
20050426,5.4514,5.5078,5.4514,5.5078,958,0
20050427,5.5169,5.6205,5.3857,5.3857,3034,0
20050428,5.4514,5.5551,5.2446,5.2633,17789,0
20050429,5.2352,5.32,4.9911,5.0283,81750,0
20050502,5.0378,5.1693,5.0378,5.1131,14736,0
20050503,5.1693,5.1693,4.7558,4.8968,41288,0
20050504,4.9911,5.0567,4.7936,5.019,37345,0
20050505,4.8501,4.8501,3.9005,4.0417,147754,0
20050506,3.9851,3.9851,3.6653,3.7596,60795,0
20050509,3.8539,3.8539,3.6653,3.7409,61443,0
20050510,3.7126,3.7316,3.5343,3.6653,25300,0
20050511,3.5717,3.6845,3.5343,3.6377,13357,0
20050512,3.6747,3.7316,3.6747,3.7126,5063,0
20050513,3.7596,3.7785,3.5343,3.5717,26463,0
20050516,3.6186,3.6653,3.5247,3.5717,15183,0
20050517,3.4588,3.6281,3.44,3.5151,14107,0
20050518,3.5247,3.6186,3.4307,3.4307,15183,0
20050519,3.5997,3.91,3.5997,3.8064,23808,0
20050520,3.816,3.9851,3.816,3.9851,9991,0
20050523,3.9947,4.0417,3.8539,3.8539,9999,0
20050524,3.8255,3.9851,3.8064,3.8064,25887,0
20050525,4.0417,4.0417,3.8255,3.8255,8809,0
20050526,3.9289,3.9289,3.8064,3.8539,13300,0
20050527,3.891,4.0136,3.891,4.0041,13138,0
20050531,4.0982,4.5114,4.0982,4.4928,16224,0
20050601,4.5585,4.6993,4.5022,4.6993,13969,0
20050602,4.5585,4.6524,4.5022,4.6524,11772,0
20050603,4.6151,4.6151,4.5869,4.5869,1958,0
20050606,4.5114,4.5585,4.3987,4.446,12236,0
20050607,4.4645,4.4645,4.4174,4.4362,5426,0
20050608,4.4362,4.4362,4.1449,4.1637,16066,0
20050609,4.0229,4.4362,4.0229,4.3046,4257,0
20050610,4.1263,4.352,4.0603,4.2297,14053,0
20050613,4.1166,4.4645,4.0697,4.3141,5922,0
20050614,4.5022,4.5022,4.0789,4.2484,5034,0
20050615,4.286,4.4174,4.1449,4.1827,63355,0
20050616,4.2203,4.6056,4.2203,4.5869,39098,0
20050617,4.6056,4.6338,4.446,4.6338,8725,0
