Date,Open,High,Low,Close,Volume,OpenInt
20190917,10.11,10.15,10.08,10.15,4155179,0
20190918,10.13,10.15,10.12,10.14,901729,0
20190919,10.16,10.16,10.13,10.13,184041,0
20190920,10.1498,10.15,10.13,10.15,108791,0
20190923,10.15,10.17,10.15,10.15,172853,0
20190924,10.17,10.17,10.14,10.1487,13082,0
20190925,10.14,10.25,10.14,10.1501,22955,0
20190927,10.17,10.19,10.17,10.19,204105,0
20190930,10.17,10.19,10.16,10.19,59986,0
20191001,10.19,10.1973,10.19,10.19,1451,0
20191002,10.184,10.184,10.18,10.18,29580,0
20191003,10.18,10.18,10.175,10.18,3400,0
20191004,10.1861,10.1861,10.1861,10.1861,200,0
20191007,10.1871,10.19,10.18,10.18,3431,0
20191008,10.18,10.1856,10.17,10.183,501300,0
20191009,10.2,10.2,10.2,10.2,110,0
20191010,10.2,10.2068,10.18,10.2068,5990,0
20191011,10,10.25,10,10.2,61450,0
20191014,10.25,10.25,10.2,10.2,6150,0
20191015,10.2,10.24,10.2,10.24,11950,0
20191016,10.22,10.24,10.2,10.24,19080,0
20191017,10.19,10.28,10.18,10.25,90669,0
20191018,10.22,10.24,10.22,10.24,109700,0
20191021,10.18,10.24,10.18,10.24,36102,0
20191022,10.25,10.25,10.22,10.24,26196,0
20191023,10.24,10.24,10.225,10.225,10542,0
20191024,10.2005,10.25,10.2005,10.25,9782,0
20191025,10.21,10.255,10.21,10.2473,12798,0
20191028,10.24,10.28,10.216,10.28,29104,0
20191030,10.18,10.3,10.18,10.2852,25708,0
20191031,10.25,10.28,10.25,10.25,689675,0
20191101,10.3,10.3,10.27,10.27,1450,0
20191104,10.25,10.27,10.25,10.27,775,0
20191105,10.3,10.3,10.3,10.3,319038,0
20191106,10.29,10.32,10.27,10.32,27200,0
20191107,10.1,10.35,10.1,10.35,8940,0
20191108,10.29,10.35,10.27,10.35,3952,0
20191111,10.2963,10.34,10.2702,10.34,400,0
20191112,10.27,10.33,10.27,10.33,645,0
20191113,10.31,10.33,10.31,10.33,200,0
20191115,10.34,10.34,10.34,10.34,400,0
20191118,10.34,10.34,10.2969,10.2969,500,0
20191119,10.2701,10.3,10.2701,10.2901,100775,0
20191120,10.2858,10.32,10.27,10.32,21800,0
20191121,10.32,10.32,10.294,10.32,14960,0
20191122,10.2949,10.2949,10.2949,10.2949,100,0
20191125,10.28,10.32,10.28,10.32,651,0
20191126,10.2892,10.32,10.2892,10.32,550,0
20191127,10.32,10.32,10.27,10.27,3302,0
20191129,10.31,10.31,10.31,10.31,5700,0
20191202,10.35,10.35,10.35,10.35,1126,0
20191203,10.33,10.35,10.2939,10.35,5500,0
20191204,10.32,10.32,10.2919,10.32,101265,0
20191205,10.32,10.32,10.2909,10.32,6142,0
20191206,10.32,10.4,10.28,10.32,14912,0
20191209,10.35,10.35,10.3,10.3252,11850,0
20191210,10.29,10.4,10.2727,10.35,5724,0
20191212,10.32,10.4,10.25,10.35,32857,0
20191213,10.32,10.39,10.32,10.39,97057,0
20191217,10.33,10.4,10.33,10.4,192241,0
20191218,10.385,10.4,10.385,10.39,3316,0
20191224,11.2,11.2,10.32,10.55,502,0
20191227,10.47,10.5,10.47,10.5,5100,0
20191230,10.5,10.5,10.5,10.5,457,0
20191231,10.47,10.48,10.47,10.47,173565,0
20200102,10.46,10.46,10.46,10.46,3198,0
20200103,10.48,10.55,10.47,10.55,95100,0
20200106,10.5507,10.5507,10.5507,10.5507,100,0
20200108,10.5,10.62,10.5,10.5,33615,0
20200110,10.5,10.6,10.5,10.6,111100,0
20200113,10.6,10.6,10.6,10.6,213800,0
20200116,10.45,10.76,10.45,10.6,237300,0
20200121,10.6,11.89,10.5,11.89,56900,0
20200122,10.64,10.65,10.576,10.6,4505,0
20200123,10.43,10.65,10.43,10.65,176381,0
