Date,Open,High,Low,Close,Volume,OpenInt
20050225,13.966,14.238,13.958,14.143,3099755,0
20050228,14.062,14.179,13.723,13.841,2625384,0
20050301,13.966,14.158,13.929,14.091,2126886,0
20050302,13.88,14.04,13.833,13.913,2650197,0
20050303,13.913,13.936,13.503,13.577,4495312,0
20050304,13.708,13.738,13.546,13.636,5105640,0
20050307,13.482,13.621,13.466,13.546,4978603,0
20050308,13.392,13.482,13.244,13.334,3078455,0
20050309,13.283,13.362,13.186,13.207,2053647,0
20050310,13.362,13.415,13.186,13.334,3183019,0
20050311,13.392,13.443,13.009,13.047,2864048,0
20050314,13.083,13.193,13.017,13.165,2366886,0
20050315,13.26,13.267,12.914,12.914,2678991,0
20050316,12.869,12.986,12.73,12.782,4886018,0
20050317,12.89,12.958,12.745,12.848,6690678,0
20050318,12.766,12.766,12.649,12.693,2441080,0
20050321,12.634,12.686,12.443,12.554,2832830,0
20050322,12.826,13.033,12.679,12.709,3767007,0
20050323,12.782,13.002,12.753,12.877,2868146,0
20050324,12.883,12.952,12.782,12.782,1387743,0
20050328,12.766,12.979,12.686,12.693,1402453,0
20050329,12.604,12.774,12.391,12.414,2566641,0
20050330,12.48,12.766,12.48,12.753,2807051,0
20050331,12.766,12.848,12.443,12.671,3932079,0
20050401,12.649,12.724,12.316,12.376,3838343,0
20050404,12.267,12.303,12.149,12.238,2586306,0
20050405,12.179,12.238,12.096,12.134,1845521,0
20050406,12.207,12.238,12.12,12.156,2395526,0
20050407,12.127,12.275,12.088,12.275,2685839,0
20050408,12.399,12.502,12.347,12.406,1735842,0
20050411,12.517,12.524,12.287,12.383,1458516,0
20050412,12.192,12.383,12.03,12.324,3636526,0
20050413,11.589,11.634,11.48,11.545,12505516,0
20050414,11.575,11.604,11.419,11.434,3840590,0
20050415,11.355,11.391,11.133,11.192,5669395,0
20050418,11.184,11.332,11.104,11.302,3388040,0
20050419,11.442,11.516,11.302,11.509,2656699,0
20050420,11.642,11.664,11.434,11.486,2651374,0
20050421,11.817,11.899,11.656,11.847,3640914,0
20050422,11.862,11.884,11.679,11.721,1837992,0
20050425,11.788,11.832,11.648,11.698,1445845,0
20050426,11.295,11.56,11.295,11.398,4079497,0
20050427,11.214,11.442,11.147,11.363,2508825,0
20050428,10.861,11.118,10.825,10.957,5086130,0
20050429,10.889,11,10.53,10.949,4678031,0
20050502,10.972,11.008,10.833,10.913,2638913,0
20050503,11.053,11.17,11.016,11.089,2032266,0
20050504,11.221,11.363,11.17,11.325,3234345,0
20050505,11.494,11.612,11.412,11.449,2955842,0
20050506,11.419,11.472,11.383,11.434,2909132,0
20050509,11.509,11.516,11.378,11.509,1074033,0
20050510,11.339,11.457,11.28,11.37,1665665,0
20050511,11.363,11.449,11.243,11.442,1432386,0
20050512,11.37,11.56,11.325,11.37,3148243,0
20050513,11.509,12.142,11.494,11.935,4937139,0
20050516,11.832,12.068,11.832,12.045,1871497,0
20050517,11.959,12.215,11.928,12.104,2594956,0
20050518,11.986,12.324,11.935,12.259,4080675,0
20050519,12.045,12.12,11.943,11.966,2583674,0
20050520,11.884,12.076,11.884,12.06,1268540,0
20050523,12.104,12.281,12.088,12.23,2545829,0
20050524,11.951,12.192,11.928,12.179,3692821,0
20050525,12.192,12.222,12.053,12.127,1501158,0
20050526,12.295,12.48,12.287,12.48,2384736,0
20050527,12.48,12.509,12.371,12.472,2671410,0
20050531,12.466,12.466,12.172,12.179,2246575,0
20050601,12.088,12.383,12.076,12.281,1456138,0
20050602,12.371,12.737,12.363,12.701,3924075,0
20050603,12.619,12.649,12.443,12.45,2728581,0
20050606,12.281,12.316,12.156,12.267,1528773,0
20050607,12.23,12.347,12.104,12.12,2001945,0
