Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.863,17.161,16.751,17.096,143006,0
20050228,17.141,17.491,17.003,17.378,198196,0
20050301,17.247,18.177,17.238,18.167,348595,0
20050302,17.938,19.12,17.938,18.428,243297,0
20050303,18.634,18.791,18.399,18.523,116095,0
20050304,18.689,18.689,18.015,18.073,120373,0
20050307,18.13,18.466,18.112,18.204,107988,0
20050308,18.177,18.329,17.938,17.938,100189,0
20050309,17.865,18.083,17.509,17.707,193293,0
20050310,17.91,17.91,17.32,17.329,87835,0
20050311,17.276,17.5,16.863,17.114,159484,0
20050314,17.161,17.473,17.161,17.339,115214,0
20050315,18.035,20.078,18.035,19.918,554643,0
20050316,19.675,20.609,19.533,20.445,267549,0
20050317,20.283,20.704,20.225,20.274,225815,0
20050318,19.909,20.704,19.899,20.254,223118,0
20050321,20.525,20.56,20.274,20.35,104741,0
20050322,20.396,20.462,20.225,20.33,124656,0
20050323,20.234,20.685,20.225,20.378,224345,0
20050324,20.254,20.704,20.234,20.452,107030,0
20050328,20.609,20.704,20.368,20.378,234052,0
20050329,20.462,20.665,20.378,20.452,139102,0
20050330,20.656,20.973,20.589,20.761,142473,0
20050331,20.938,20.938,20.426,20.656,175795,0
20050401,20.488,20.55,20.416,20.541,68217,0
20050404,20.416,21.05,20.312,20.948,64297,0
20050405,21.089,21.51,20.589,21.079,125143,0
20050406,21.05,21.612,21.05,21.481,144873,0
20050407,21.631,21.669,21.339,21.669,93229,0
20050408,21.5,22.032,21.379,21.408,70761,0
20050411,21.622,21.986,21.369,21.53,101202,0
20050412,21.369,21.771,21.369,21.64,104835,0
20050413,21.659,21.959,21.464,21.549,64158,0
20050414,21.762,21.865,20.187,20.33,152670,0
20050415,20.471,20.569,19.675,19.784,81106,0
20050418,19.675,19.675,18.369,19.335,193470,0
20050419,19.129,20.872,19.129,20.704,162007,0
20050420,20.646,21.669,19.619,21.06,347143,0
20050421,21.089,21.762,20.665,21.659,200282,0
20050422,21.631,21.995,20.872,21.781,229419,0
20050425,21.828,22.95,21.828,22.272,163455,0
20050426,22.415,22.415,20.79,21.64,337864,0
20050427,21.549,22.671,21.416,22.263,206328,0
20050428,22.156,22.539,21.707,21.707,247239,0
20050429,21.781,21.922,20.938,21.828,134495,0
20050502,21.733,21.828,21.275,21.54,142780,0
20050503,21.603,21.603,21.173,21.31,89925,0
20050504,21.5,21.5,20.973,21.369,82624,0
20050505,21.398,21.398,20.396,20.835,141653,0
20050506,21.011,21.011,20.36,20.761,51866,0
20050509,20.695,20.929,20.506,20.929,58726,0
20050510,20.626,21.136,20.531,21.003,69168,0
20050511,21.145,21.388,20.704,21.136,139245,0
20050512,21.05,21.227,20.406,20.626,113734,0
20050513,20.809,20.938,19.851,20.111,57252,0
20050516,20.137,20.724,20.002,20.56,42916,0
20050517,20.426,20.488,19.084,19.71,175881,0
20050518,19.756,20.302,19.446,20.283,106290,0
20050519,20.292,20.312,19.343,19.465,108379,0
20050520,19.465,19.918,19.017,19.832,66128,0
20050523,19.774,19.936,19.398,19.398,80842,0
20050524,19.703,19.703,18.718,18.887,147365,0
20050525,18.738,19.007,18.504,18.597,87317,0
20050526,18.643,19.007,18.186,18.998,138925,0
20050527,19.084,19.553,18.979,19.417,59832,0
20050531,19.513,20.781,19.513,20.541,129494,0
20050601,20.531,20.845,19.909,20.845,125960,0
20050602,20.761,21.444,20.733,21.424,121693,0
20050603,21.454,21.5,20.714,21.07,81544,0
20050606,21.041,21.424,20.862,21.33,73161,0
20050607,21.388,22.156,21.349,21.922,161694,0
20050608,21.884,22.052,21.593,21.593,59091,0
