Date,Open,High,Low,Close,Volume,OpenInt
20050228,23.372,23.654,23.372,23.654,12452,0
20050301,23.654,23.959,23.526,23.959,16795,0
20050302,24.032,25.293,24.032,24.794,10052,0
20050307,24.794,24.794,24.794,24.794,397,0
20050309,24.662,24.703,24.662,24.703,1187,0
20050310,24.662,24.662,24.662,24.662,397,0
20050317,23.904,23.904,23.904,23.904,397,0
20050324,23.873,23.925,23.873,23.925,4348,0
20050328,24.267,24.662,24.267,24.283,3560,0
20050330,24.162,24.162,23.61,23.61,3954,0
20050331,23.776,23.776,23.776,23.776,2934,0
20050406,23.776,23.776,23.776,23.776,397,0
20050411,23.465,23.465,23.465,23.465,792,0
20050412,23.411,23.411,23.395,23.395,1187,0
20050415,23.411,23.411,23.411,23.411,397,0
20050418,23.776,23.776,22.901,23.526,6437,0
20050419,22.917,22.917,22.765,22.765,8614,0
20050422,23.177,23.275,23.177,23.275,5929,0
20050427,23.169,23.169,23.169,23.169,435,0
20050428,23.526,23.526,23.275,23.275,1067,0
20050429,23.275,23.776,23.275,23.776,6723,0
20050502,23.526,23.776,23.526,23.776,5929,0
20050503,23.526,23.526,23.526,23.526,792,0
20050504,23.654,23.654,23.654,23.654,397,0
20050505,23.395,23.654,23.395,23.654,3954,0
20050506,23.715,23.967,23.144,23.153,15977,0
20050509,22.964,23.015,22.63,22.765,14626,0
20050510,22.765,23.904,22.765,23.654,5563,0
20050511,23.889,23.889,23.889,23.889,3585,0
20050512,23.889,23.904,22.863,23.904,7650,0
20050513,24.004,24.004,24.004,24.004,792,0
20050516,24.032,24.489,24.032,24.489,3560,0
20050517,24.489,24.759,24.489,24.601,1975,0
20050518,24.601,24.601,24.601,24.601,397,0
20050519,23.282,24.723,23.282,24.723,2371,0
20050520,24.723,24.723,24.723,24.723,2326,0
20050523,24.283,24.759,24.283,24.283,6884,0
20050524,24.723,24.852,24.723,24.852,6723,0
20050525,24.662,24.95,24.662,24.95,7945,0
20050526,24.966,25.293,24.966,25.293,10754,0
20050527,25.301,25.421,25.088,25.421,7114,0
20050531,25.293,25.293,25.293,25.293,397,0
20050601,25.475,25.712,24.717,24.723,1581,0
20050602,24.308,25.729,24.308,25.729,5022,0
20050606,25.8,26.812,25.8,26.812,3162,0
20050607,27.256,27.569,26.94,27.069,54861,0
20050608,27.569,27.699,26.704,27.319,11465,0
20050609,27.569,27.569,26.713,27.569,14465,0
20050610,27.674,27.986,26.886,27.585,43827,0
20050613,27.432,30.354,27.419,30.354,24577,0
20050614,29.087,29.976,27.886,29.331,15831,0
20050615,28.556,28.556,27.191,27.829,20890,0
20050616,26.909,27.829,26.895,27.797,8302,0
20050617,27.617,27.829,27.617,27.829,2845,0
20050620,27.069,27.829,27.069,27.812,13324,0
20050621,27.425,27.758,27.425,27.758,4942,0
20050622,27.569,27.829,27.312,27.829,5276,0
20050623,27.569,27.653,27.001,27.525,5273,0
20050624,27.56,29.071,26.956,28.298,878507,0
20050627,28.693,28.693,27.449,28.057,67962,0
20050628,27.432,27.91,27.432,27.829,32855,0
20050629,28.048,28.215,27.986,28.215,9911,0
20050630,28.298,28.298,27.569,27.964,18073,0
20050701,27.569,28.239,27.569,28.239,5379,0
20050705,28.328,28.754,27.608,28.328,26006,0
20050706,28.321,28.533,28.138,28.138,12607,0
20050707,27.852,28.405,27.821,28.405,5365,0
20050708,28.533,29.087,28.533,28.835,5956,0
