Date,Open,High,Low,Close,Volume,OpenInt
20070626,6.1473,6.1473,6.1473,6.1473,0,0
20070627,5.7628,5.7628,5.3972,5.5898,11706501,0
20070628,5.609,5.7124,5.5704,5.6664,1384506,0
20070629,5.6664,5.7428,5.5898,5.6664,1030925,0
20070702,5.647,5.7089,5.647,5.6857,369931,0
20070703,5.647,5.7428,5.647,5.724,237608,0
20070705,6.1427,6.1427,5.6664,5.8169,431542,0
20070706,5.8587,5.8587,5.6664,5.7585,184839,0
20070709,5.7428,5.7628,5.6857,5.7585,162250,0
20070710,5.7428,5.7972,5.701,5.7628,356035,0
20070711,5.7585,5.7628,5.7089,5.7628,655519,0
20070712,5.7628,5.8005,5.724,5.767,330477,0
20070713,5.724,5.8005,5.724,5.7472,209888,0
20070716,5.7428,5.8208,5.724,5.7585,291925,0
20070717,5.7277,5.7628,5.724,5.7628,209096,0
20070718,5.7585,5.7814,5.5819,5.701,533669,0
20070719,5.6857,5.7124,5.609,5.6664,370189,0
20070720,5.67,5.6857,5.6125,5.6279,374430,0
20070723,5.6434,5.6552,5.609,5.647,129093,0
20070724,5.5734,5.6552,5.5317,5.647,314735,0
20070725,5.5508,5.651,5.4971,5.647,195543,0
20070726,5.5125,5.5125,4.7829,5.175,918976,0
20070727,5.0594,5.1859,4.8018,5.0365,489972,0
20070730,5.0594,5.3703,5.0171,5.0938,377631,0
20070731,4.9442,5.1401,4.8518,5.0554,515236,0
20070801,4.9555,5.0401,4.8711,4.9903,626610,0
20070802,4.9555,5.0631,4.8902,4.9748,420610,0
20070803,4.9211,4.9555,4.8595,4.9131,328739,0
20070806,4.8902,5.0401,4.752,4.9978,1288885,0
20070807,4.8711,4.8827,4.7634,4.8444,216662,0
20070808,4.8404,4.9903,4.8404,4.9171,233428,0
20070809,4.8018,5.0324,4.8018,4.9481,430651,0
20070810,4.7138,4.9518,4.7138,4.8788,279323,0
20070813,4.8981,4.9939,4.8981,4.9633,205474,0
20070814,4.9633,4.9939,4.9481,4.9939,218883,0
20070815,4.9019,4.9939,4.8404,4.8981,512859,0
20070816,4.7291,4.9939,4.6101,4.8636,587103,0
20070817,4.9939,5.1477,4.8018,4.9786,568532,0
20070820,5.0401,5.3783,4.9748,5.3783,518431,0
20070821,5.3783,5.4971,5.1092,5.2857,410994,0
20070822,5.374,5.5125,5.3013,5.3972,522797,0
20070823,5.4353,5.5704,5.2857,5.4897,572828,0
20070824,5.4321,5.5704,5.2818,5.424,577827,0
20070827,5.4704,5.5669,5.305,5.4665,539479,0
20070828,5.3934,5.4321,5.3395,5.374,325781,0
20070829,5.3088,5.5399,5.2672,5.5317,80424,0
20070830,5.4856,5.6048,5.4856,5.6048,99783,0
20070831,5.609,5.6279,5.305,5.5704,110702,0
20070904,5.594,5.6279,5.4741,5.5399,130533,0
20070905,5.4665,5.6279,5.4286,5.5167,101052,0
20070906,5.4971,5.6197,5.4321,5.5627,198866,0
20070907,5.609,5.6895,5.4781,5.5317,275745,0
20070910,5.6739,5.6739,5.4553,5.5358,325878,0
20070911,5.6048,5.6048,5.4625,5.5549,215144,0
20070912,5.4897,5.4939,5.3552,5.4897,194226,0
20070913,5.4939,5.5704,5.4939,5.5317,153716,0
20070914,5.5048,5.5048,5.4704,5.4856,90542,0
20070917,5.4625,5.701,5.4474,5.594,158166,0
20070918,5.6397,5.6397,5.4971,5.6239,286783,0
20070919,5.647,5.7124,5.4665,5.5704,276234,0
20070920,5.5704,5.5704,5.4013,5.4704,227758,0
20070921,5.4939,5.7628,5.4553,5.7628,142208,0
20070924,5.7585,5.7585,5.5734,5.5819,74008,0
20070925,5.5778,5.6197,5.5358,5.5471,187020,0
20070926,5.5669,5.7585,5.5317,5.7277,194722,0
20070927,5.7355,6.0505,5.6739,6.0233,1029449,0
20070928,6.012,6.012,5.5704,5.5704,1760174,0
20071001,5.6048,5.7398,5.4741,5.594,415468,0
20071002,5.617,5.8086,5.5669,5.7743,269640,0
20071003,5.7398,5.8437,5.6358,5.7398,392465,0
20071004,5.7549,5.896,5.6588,5.8926,207167,0
20071005,5.9359,5.9542,5.8814,5.8814,285078,0
20071008,5.8814,5.9852,5.8208,5.9776,138059,0
20071009,5.9648,6.0276,5.8926,5.9504,167373,0
20071010,5.9504,6.0233,5.8272,5.9159,185351,0
20071011,5.9542,5.9542,5.8697,5.9504,151305,0
20071012,5.9542,5.9591,5.7277,5.8169,272943,0
20071015,5.8401,5.8697,5.7319,5.8697,126743,0
20071016,5.8734,5.9734,5.7628,5.9542,87134,0
