Date,Open,High,Low,Close,Volume,OpenInt
20190906,7.12,7.28,7.09,7.26,1124269,0
20190909,7.31,7.7,7.195,7.6,92050,0
20190910,7.71,7.88,7.18,7.34,72269,0
20190911,7.19,7.505,7.19,7.45,51803,0
20190912,7.37,7.37,7.27,7.3,84811,0
20190913,7.3,7.3,7.19,7.24,35043,0
20190916,7.24,7.26,6.89,7.1,126703,0
20190917,7.01,7.14,6.965,7.1,82457,0
20190918,7.09,7.4327,6.915,7.24,395710,0
20190919,7.21,7.38,7.1,7.35,538414,0
20190920,7.36,7.5,7.2,7.43,431911,0
20190923,7.33,7.43,7.04,7.07,55322,0
20190924,6.89,7.11,6.89,6.96,57575,0
20190925,6.88,6.89,6.25,6.33,259815,0
20190926,6.14,6.56,6.14,6.24,72402,0
20190927,6.22,6.57,6.22,6.48,31074,0
20190930,6.67,6.755,6.34,6.39,214778,0
20191001,6.3834,6.545,6.35,6.53,148606,0
20191002,6.45,6.69,6.45,6.67,39732,0
20191003,6.7,6.9752,6.57,6.94,90999,0
20191004,7.07,7.49,6.87,6.93,30813,0
20191007,7,7,6.6941,6.73,10336,0
20191008,6.9,7.055,6.16,6.37,60801,0
20191009,6.525,6.53,6.19,6.24,17112,0
20191010,6.28,6.76,6.28,6.51,55381,0
20191011,6.58,6.8,6.475,6.51,40002,0
20191014,6.7,7.15,6.6,6.61,44402,0
20191015,6.6,7.2,6.4083,7.04,121948,0
20191016,7.08,7.08,6.76,6.76,17560,0
20191017,6.87,7.15,6.77,7.09,9624,0
20191018,7,7.235,7,7.21,14567,0
20191021,6.88,7.2,6.88,7.15,20848,0
20191022,6.94,7.05,6.86,7.05,13252,0
20191023,6.99,7.03,6.5,7.03,59064,0
20191024,7.03,7.09,6.795,6.89,21639,0
20191025,6.89,7.21,6.795,7.21,8365,0
20191028,7.02,7.13,6.74,6.93,33695,0
20191029,6.8,6.98,6.73,6.79,13964,0
20191030,6.79,6.87,6.51,6.65,205675,0
20191031,6.64,6.86,6.515,6.68,34826,0
20191101,6.78,7.47,6.69,7.35,70810,0
20191104,7.35,7.46,6.78,6.78,52545,0
20191105,6.87,7.12,6.78,6.92,60954,0
20191106,6.9463,6.95,6.59,6.59,15201,0
20191107,6.35,6.71,6.2,6.46,44958,0
20191108,6.45,6.79,6.16,6.22,59969,0
20191111,6.46,6.5,6.25,6.47,27722,0
20191112,6.34,6.42,5.86,5.96,86737,0
20191113,6.19,6.19,5.55,5.76,44634,0
20191114,5.55,6.14,5.55,6.12,59985,0
20191115,6.09,6.69,5.57,6.55,111766,0
20191118,6.59,6.6858,6.36,6.5799,68759,0
20191119,6.61,7.03,6.59,6.97,106447,0
20191120,6.8,6.96,6.6,6.82,43870,0
20191121,6.63,6.97,6.62,6.78,11777,0
20191122,6.83,7.14,6.75,7.07,38820,0
20191125,7.05,7.1,6.8,7.02,52436,0
20191126,6.83,7.05,6.8,6.9,38198,0
20191127,6.8,7.07,6.8,7.01,191381,0
20191129,6.6233,7.02,6.62,7,114501,0
20191202,6.87,7.085,6.85,6.91,169626,0
20191203,6.79,6.99,6.79,6.94,15424,0
20191204,6.81,7,6.63,6.97,74033,0
20191205,6.98,7.03,6.93,6.93,38523,0
20191206,6.91,7.26,6.91,7.26,135722,0
20191209,7.38,7.38,6.86,6.97,99571,0
20191210,6.85,7.12,6.85,7.01,109490,0
20191211,7.01,7.15,6.95,6.99,123391,0
20191212,6.87,7.17,6.87,7.03,321756,0
20191213,6.96,7.18,6.92,6.98,75471,0
20191216,7.15,7.27,6.97,7.09,85384,0
20191217,7.06,7.1,6.98,6.98,73563,0
20191218,7,7.11,6.92,6.92,161906,0
20191219,7.015,7.015,6.73,6.8,228310,0
20191220,6.7,6.96,6.7,6.91,117695,0
20191223,6.9,6.92,6.795,6.86,729387,0
20191224,6.7913,6.86,6.77,6.82,71492,0
20191226,6.85,6.98,6.835,6.9,92797,0
20191227,6.95,7.34,6.88,7.32,454600,0
20191230,7.33,7.6,7.24,7.5,229515,0
20191231,7.46,7.7,7.385,7.6,158297,0
20200102,7.93,7.93,7.64,7.75,143967,0
20200103,7.75,8.35,7.75,8.24,1797937,0
20200106,8.29,8.34,8.2352,8.3,149660,0
20200107,8.29,8.32,7.81,7.96,131832,0
20200108,8.19,8.3,7.95,8,72765,0
20200109,8.01,9.02,8.01,8.55,313193,0
20200110,8.61,8.82,8.36,8.5,160708,0
20200113,8.53,8.65,8.3337,8.53,140368,0
20200114,8.61,8.79,8.48,8.63,103579,0
20200115,8.63,8.955,8.6,8.67,425852,0
20200116,8.89,8.89,8.49,8.6,65314,0
20200117,8.59,8.85,8.4499,8.77,233412,0
20200121,8.9,8.9,8.42,8.46,72793,0
20200122,8.46,8.64,8.36,8.64,75097,0
20200123,8.46,8.84,8.42,8.61,87049,0
