Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.048,14.531,14.048,14.527,7325,0
20050228,14.416,14.527,14.416,14.523,8265,0
20050301,14.437,14.527,14.416,14.42,2984,0
20050302,14.42,14.531,14.42,14.531,1544,0
20050303,14.531,14.646,14.48,14.493,19376,0
20050304,14.454,14.612,14.437,14.454,13970,0
20050307,14.437,14.437,14.437,14.437,1028,0
20050308,14.437,14.437,14.437,14.437,7568,0
20050309,14.437,14.493,14.437,14.493,5415,0
20050311,14.612,14.612,14.513,14.513,3035,0
20050314,14.531,14.531,14.454,14.454,9709,0
20050315,14.629,14.629,14.437,14.463,4545,0
20050316,14.437,14.531,14.437,14.523,2984,0
20050317,14.531,14.531,14.531,14.531,1812,0
20050318,14.531,14.531,14.531,14.531,2600,0
20050321,14.531,14.531,14.437,14.437,7325,0
20050322,14.493,14.493,14.493,14.493,868,0
20050323,14.475,14.475,14.475,14.475,2580,0
20050324,14.475,14.475,14.416,14.416,9609,0
20050328,14.437,14.437,14.356,14.356,7085,0
20050329,14.348,14.358,14.348,14.358,1544,0
20050330,14.348,14.378,14.348,14.348,4130,0
20050331,14.339,14.339,14.244,14.244,4042,0
20050401,14.24,14.24,14.24,14.24,274,0
20050404,14.15,14.168,14.15,14.164,4390,0
20050405,14.168,14.168,14.164,14.164,2138,0
20050406,14.189,14.24,14.146,14.146,16406,0
20050407,14.164,14.287,14.164,14.168,3152,0
20050413,14.164,14.164,14.164,14.164,928,0
20050414,14.146,14.146,13.856,13.87,7356,0
20050415,14.339,14.339,13.467,13.532,19658,0
20050418,15.159,15.159,14.079,14.079,8303,0
20050419,15.057,15.057,13.834,14.022,9833,0
20050420,13.834,14.022,13.834,14.022,7670,0
20050421,13.977,14.026,13.732,13.804,11794,0
20050422,13.754,13.754,13.673,13.673,15730,0
20050425,13.784,13.834,13.634,13.634,5345,0
20050426,13.629,13.834,13.629,13.825,7374,0
20050427,13.808,13.808,13.646,13.646,5701,0
20050428,13.629,13.763,13.629,13.65,735,0
20050429,13.629,13.754,13.467,13.467,8827,0
20050502,13.429,13.429,13.223,13.231,3071,0
20050503,13.323,13.323,13.12,13.12,3485,0
20050504,14.236,14.236,12.92,13.023,7645,0
20050505,13.493,13.493,13.12,13.142,11319,0
20050506,13.834,13.834,13.142,13.493,5090,0
20050509,14.24,14.24,13.12,13.142,9907,0
20050510,13.528,13.528,13.386,13.386,982,0
20050511,13.594,13.594,13.429,13.472,4282,0
20050512,13.408,13.566,13.408,13.566,1438,0
20050513,14.446,14.446,13.352,13.352,19444,0
20050516,13.184,13.281,13.023,13.023,13742,0
20050517,13.164,13.259,13.023,13.235,4906,0
20050518,13.604,13.622,13.16,13.326,4370,0
20050519,13.194,13.194,13.142,13.142,2596,0
20050520,13.281,13.281,13.281,13.281,1227,0
20050523,13.142,13.326,12.531,13.027,34607,0
20050524,13.604,13.604,13.023,13.041,3241,0
20050525,13.062,13.062,13.041,13.041,1396,0
20050526,13.023,13.276,13.023,13.276,1328,0
20050527,13.041,13.223,13.023,13.023,9893,0
20050531,13.023,13.023,12.92,12.92,2912,0
20050601,13.023,13.254,12.92,13.254,2706,0
20050602,13.133,13.223,13.133,13.223,1068,0
