Date,Open,High,Low,Close,Volume,OpenInt
20140623,231.94,231.94,231.94,231.94,60,0
20140626,227.94,227.94,227.94,227.94,50,0
20140627,211.94,227.94,211.94,223.94,147,0
20140630,227.94,227.94,219.94,219.94,68,0
20140702,231.13,231.13,205.55,219.54,44,0
20140703,218.74,218.74,213.54,213.54,23,0
20140707,231.94,231.94,217.14,219.94,66,0
20140708,222.9,222.9,221.94,221.94,22,0
20140709,221.95,221.95,215.14,215.14,89,0
20140710,217.38,219.94,217.14,219.94,108,0
20140714,203.15,203.15,203.15,203.15,28,0
20140715,209.14,209.14,200.35,200.35,79,0
20140716,199.95,201.95,197.95,198.75,355,0
20140717,198.75,203.95,197.95,197.95,77,0
20140718,201.95,209.94,201.95,203.95,18,0
20140721,211.94,211.94,211.94,211.94,129,0
20140722,219.94,219.94,212.34,212.34,52,0
20140723,215.94,216.74,213.94,213.94,129,0
20140725,211.94,213.95,211.94,211.94,223,0
20140728,201.95,207.95,197.71,197.71,213,0
20140729,195.95,199.95,195.95,197.95,41,0
20140730,189.95,189.95,189.95,189.95,8,0
20140731,191.95,191.95,189.95,189.95,11,0
20140801,189.55,189.55,183.95,184.36,36,0
20140804,187.95,189.54,187.95,189.54,29,0
20140805,179.95,179.95,175.15,175.15,66,0
20140806,170.35,170.35,170.35,170.35,35,0
20140807,170.35,170.36,159.96,168.76,194,0
20140808,176.35,176.35,169.96,175.95,26,0
20140811,177.15,177.15,177.15,177.15,28,0
20140814,174.35,175.15,169.96,169.96,30,0
20140815,174.35,183.95,174.35,183.95,478,0
20140818,225.94,227.94,225.94,227.14,95,0
20140819,218.74,218.74,209.95,211.94,52,0
20140821,214.62,214.62,214.62,214.62,5,0
20140822,205.55,205.55,205.55,205.55,25,0
20140825,213.54,213.54,213.54,213.54,50,0
20140826,205.66,208.66,205.66,208.66,13,0
20140827,205.13,208.34,203.55,205.95,175,0
20140828,198.75,198.75,193.55,197.95,54,0
20140829,181.95,183.95,179.95,180.75,429,0
20140902,211.14,211.94,208.34,208.35,746,0
20140903,206.75,206.75,202.35,203.95,158,0
20140905,199.55,199.55,190.35,195.55,103,0
20140908,189.15,191.15,189.15,191.15,79,0
20140909,187.56,187.56,187.56,187.56,50,0
20140911,193.94,193.95,187.95,187.95,115,0
20140912,189.47,189.47,189.47,189.47,10,0
20140915,191.55,191.55,187.95,187.95,145,0
20140916,186.35,186.35,186.35,186.35,13,0
20140917,187.95,192.75,187.95,192.35,232,0
20140918,181.96,184.86,181.96,184.86,31,0
20140919,179.96,179.96,179.96,179.96,10,0
20140922,179.96,179.96,171.15,173.07,207,0
20140924,171.15,171.95,171.15,171.15,123,0
20140925,171.29,171.29,171.15,171.16,38,0
20140926,173.95,177.96,173.87,177.95,229,0
20140929,177.95,177.95,169.96,169.96,27,0
20140930,169.96,171.55,169.96,170.75,25,0
20141001,169.96,171.27,167.16,167.56,126,0
20141002,167.96,169.96,167.96,169.96,83,0
20141003,170.48,170.48,169.16,169.16,73,0
20141006,167.16,168.36,167.16,168.36,452,0
20141007,161.16,161.16,154.76,155.96,540,0
20141008,151.96,151.96,147.56,147.96,264,0
20141009,146.76,147.8,144.76,147.16,135,0
20141010,131.81,136.45,130.77,131.97,286,0
20141013,115.97,117.97,109.97,109.97,654,0
20141014,110.37,111.17,110.37,111.17,158,0
20141015,114.97,115.97,111.17,111.17,64,0
20141016,111.17,115.97,111.17,114.63,204,0
20141017,113.09,115.37,113.09,114.77,60,0
20141020,113.97,114.77,113.57,114.77,104,0
