Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.204,12.439,12.097,12.439,59933,0
20050228,12.204,12.444,12.163,12.358,35982,0
20050301,12.451,12.904,12.434,12.875,49623,0
20050302,12.592,12.791,11.899,12.704,64469,0
20050303,12.552,12.738,12.515,12.559,33066,0
20050304,12.738,12.777,12.648,12.654,17389,0
20050307,12.77,12.862,11.962,12.711,33399,0
20050308,12.682,12.682,12.451,12.578,26341,0
20050309,12.571,12.571,12.331,12.444,21363,0
20050310,12.407,12.451,12.204,12.302,28365,0
20050311,12.339,12.578,12.339,12.507,25051,0
20050314,12.704,12.704,12.272,12.585,27288,0
20050315,12.668,12.821,12.515,12.515,42221,0
20050316,12.317,12.494,12.109,12.4,32195,0
20050317,12.191,12.662,12.191,12.451,58534,0
20050318,12.654,12.654,12.257,12.536,106993,0
20050321,12.536,12.559,12.309,12.515,18497,0
20050322,12.358,12.592,12.324,12.373,41140,0
20050323,12.324,12.393,12.191,12.197,24904,0
20050324,12.381,12.381,11.962,11.968,29604,0
20050328,11.948,12.494,11.948,12.358,35200,0
20050329,12.451,12.807,12.257,12.324,84077,0
20050330,12.479,12.862,12.472,12.829,43472,0
20050331,12.696,12.848,12.606,12.777,50256,0
20050401,12.875,12.875,12.365,12.565,67786,0
20050404,12.745,12.944,12.578,12.904,53879,0
20050405,12.763,13.407,12.718,13.359,85278,0
20050406,13.471,13.725,13.334,13.637,96550,0
20050407,13.427,13.427,12.988,13.235,75469,0
20050408,13.298,13.298,12.936,12.936,35219,0
20050411,13.166,13.166,12.904,12.974,40460,0
20050412,12.881,13.118,12.869,13.001,43253,0
20050413,12.995,13.055,12.875,12.875,18984,0
20050414,13.008,13.037,12.711,12.745,37031,0
20050415,12.745,12.936,12.745,12.862,42452,0
20050418,12.718,13.179,12.662,13.043,74794,0
20050419,13.138,13.199,12.951,13.037,57474,0
20050420,12.974,13.001,12.731,12.738,47441,0
20050421,12.974,13.043,12.472,12.888,65428,0
20050422,12.752,12.752,12.536,12.606,58767,0
20050425,12.784,13.166,12.578,12.763,48341,0
