Date,Open,High,Low,Close,Volume,OpenInt
20191015,24.98,25.05,24.98,24.99,15040,0
20191016,24.99,24.99,24.99,24.99,378,0
20191021,24.952,24.97,24.952,24.955,1102,0
20191022,24.95,24.95,24.95,24.95,400,0
20191023,24.97,24.98,24.955,24.973,2405,0
20191024,24.97,24.97,24.936,24.936,2697,0
20191025,24.92,24.92,24.92,24.92,1194,0
20191028,24.95,24.95,24.94,24.95,4000,0
20191029,24.97,24.97,24.96,24.96,1002,0
20191030,24.935,24.98,24.935,24.97,6734,0
20191031,24.999,25.02,24.999,25.02,8460,0
20191101,24.989,24.989,24.989,24.989,1605,0
20191105,24.98,24.98,24.98,24.98,101,0
20191106,25,25,25,25,19712,0
20191107,24.98,24.98,24.954,24.96,3275,0
20191108,24.976,24.976,24.976,24.976,200,0
20191113,24.983,24.99,24.98,24.99,2672,0
20191114,24.99,24.99,24.99,24.99,752,0
20191115,24.99,24.99,24.99,24.99,326,0
20191118,24.993,24.993,24.976,24.985,2175,0
20191119,25.02,25.02,24.985,24.985,2881,0
20191120,25.004,25.03,25.004,25.005,13968,0
20191121,24.985,24.998,24.985,24.998,301,0
20191122,25,25.01,24.99,24.99,2010,0
20191125,25,25,25,25,16209,0
20191126,25.011,25.02,25.005,25.005,1993,0
20191127,25.02,25.02,25.02,25.02,8071,0
20191129,25.03,25.03,25.03,25.03,110,0
20191202,24.99,25.01,24.99,25.01,1005,0
20191203,25.03,25.04,25.03,25.04,499,0
20191205,25.04,25.04,25.016,25.025,559,0
20191206,25.05,25.05,25.03,25.03,1378,0
20191209,25.055,25.06,25.035,25.035,535,0
20191210,25.04,25.06,25.035,25.035,1057,0
20191211,25.07,25.07,25.03,25.05,1519,0
20191212,25.057,25.06,25.055,25.055,810,0
20191213,25.055,25.07,25.055,25.06,2993,0
20191216,25.057,25.065,25.057,25.065,1007,0
20191217,25.07,25.08,25.068,25.075,11898,0
20191218,25.08,25.08,25.073,25.075,7933,0
20191219,25.07,25.08,25.07,25.07,9780,0
20191220,25.07,25.08,25.065,25.065,4035,0
20191223,25.09,25.09,25.0701,25.075,13585,0
20191226,25.0772,25.0772,25.065,25.065,140,0
20191227,25.0661,25.07,25.0501,25.07,2315,0
20191230,25.07,25.07,25.0549,25.06,2424,0
20191231,25.1,25.1,25.075,25.075,5514,0
20200102,25.085,25.09,25.0847,25.085,4815,0
20200103,25.13,25.13,25.0932,25.1,3670,0
20200106,25.13,25.14,25.1097,25.13,34556,0
20200107,25.14,25.14,25.12,25.12,465,0
20200108,25.15,25.16,25.14,25.15,12064,0
20200109,25.1398,25.14,25.1321,25.135,4690,0
20200113,25.16,25.16,25.13,25.13,6945,0
20200114,25.14,25.1498,25.14,25.14,1112,0
20200115,25.17,25.17,25.13,25.16,13567,0
20200116,25.18,25.18,25.1767,25.18,2001,0
20200117,25.164,25.18,25.16,25.16,4838,0
20200121,25.1524,25.1524,25.15,25.15,158,0
20200122,25.17,25.18,25.17,25.18,2655,0
20200123,25.1766,25.19,25.1766,25.1772,3374,0
