Date,Open,High,Low,Close,Volume,OpenInt
20150625,127.4,134.9,122.5,130,201360,0
20150626,130.8,134.7,128.5,134.7,11220,0
20150629,140,140,116.6,117,4640,0
20150630,115.1,122.1,115.1,122.1,3384,0
20150701,119.6,136,117.9,132,10230,0
20150702,127.3,143.4,122.2,124,10710,0
20150706,134.9,169.6,126.1,136.4,22530,0
20150707,139,147.2,130.2,134.2,5130,0
20150708,132.4,139.9,125.1,130,3600,0
20150709,132.8,133.8,123,125.5,3500,0
20150710,126.7,145.7,126.7,143.8,9900,0
20150713,149.5,149.5,125,129.5,4720,0
20150714,127.7,141.2,127.7,139.7,2672,0
20150715,142.3,142.3,131.4,133.7,2968,0
20150716,132,136,130.2,133,3320,0
20150717,134.2,142,132.4,140.5,4950,0
20150720,143,147.9,132.1,137.6,13050,0
20150721,140.1,143.2,138.7,140,23940,0
20150722,140,144.1,139,141.4,8640,0
20150723,144,146.4,142.8,145,9370,0
20150724,146,147.5,139,139,6450,0
20150727,139,139.2,120,120,17360,0
20150728,120,137.4,120,130.9,7930,0
20150729,125.2,135.9,125.2,135,3030,0
20150730,133.4,140.9,130,139.6,3310,0
20150731,138.3,141,130,130,6500,0
20150803,130,132.3,122.6,124.1,3161,0
20150804,132.1,134,125.1,130.5,5780,0
20150805,132.3,135.5,126.5,132.7,6030,0
20150806,136.8,136.8,127.6,128.7,3806,0
20150807,130,132.6,124.5,126.6,3700,0
20150810,128.5,130,125.1,128.4,5390,0
20150811,130,130,122,122.3,1389,0
20150812,123.8,123.9,109,114.2,4480,0
20150813,114.5,124.9,114.5,119.9,2770,0
20150814,124.8,125.1,114,119.9,2920,0
20150817,115,123.8,110,120.7,5130,0
20150818,119,123.6,115.8,118.9,5930,0
20150819,117.9,123,117.4,119.4,6130,0
20150820,123.5,123.5,113.4,118.7,3380,0
20150821,118.7,120.7,110.8,112.6,12940,0
20150824,105.2,111.7,100.5,111.7,3754,0
20150825,114.7,117.7,109.6,110.5,940,0
20150826,111,117.5,107.5,111.3,2880,0
20150827,111.6,120,111,119.3,3300,0
20150828,120.5,126,119.4,122.9,2290,0
20150831,121,123.9,110.2,113.9,2650,0
20150901,118.7,118.7,103.6,106.8,2470,0
20150902,108,121.5,108,119.8,4240,0
20150903,120.5,122.6,111.3,115,3150,0
20150904,112.5,119.9,109.6,111.9,2120,0
20150908,113,116,107,108.1,5020,0
20150909,112.1,119,106.3,119,4680,0
20150910,118.4,118.4,108.3,110.4,3945,0
20150911,111,111.5,104.4,106.2,1900,0
20150914,108.6,113.5,100.8,108.5,6290,0
20150915,112.5,113,108.7,110.9,2200,0
20150916,109.1,111.1,105.6,108.7,3480,0
20150917,109.9,112.1,108.9,111.1,3080,0
20150918,110.3,114.5,94.4,94.4,18550,0
20150921,97.7,100.8,92.1,97.8,8640,0
20150922,93.5,98.3,91.3,97.1,5800,0
20150923,98,99.8,93.9,95.9,3050,0
20150924,95,99.4,89.7,94.9,3617,0
20150925,92.9,92.9,75,79,7580,0
20150928,79.2,81.3,73.1,76,3384,0
20150929,90,90,75.1,77.1,7860,0
20150930,77.2,87.4,77,80.9,51870,0
20151001,80.8,80.8,68.7,72.4,4740,0
20151002,72.5,75.4,67.8,75.1,4620,0
20151005,63.5,76.5,63.5,71,4591,0
20151006,70.4,73.3,63.2,72.6,2300,0
20151007,72.5,76.9,72.5,76.4,1130,0
20151008,75.9,79,73.8,77.6,2010,0
20151009,77.2,78.8,75.3,76.6,1350,0
20151012,77.4,80.9,76.1,77.4,4560,0
20151013,80.8,87.6,74.7,84.5,4460,0
20151014,84,86.7,79,86.4,5080,0
20151015,86.6,89.8,72.7,89.8,4860,0
20151016,89.7,89.7,80.2,82.2,1960,0
20151019,80.5,84,76.6,82.7,2590,0
20151020,80.2,82.9,75.9,78.7,2253,0
20151021,79,79.5,70.7,70.7,2720,0
20151022,71.2,74.3,70,70.2,1650,0
20151023,71.1,79.8,70,79.8,2180,0
20151026,82.2,82.2,72.7,75.9,4670,0
20151027,75.1,82,68.6,69.8,7960,0
20151028,71.8,75.1,69,75.1,1720,0
20151029,75.1,79.4,72,72.3,780,0
20151030,72.2,72.2,68,69.8,1620,0
20151102,74,80.8,68.3,74.4,2108,0
20151103,73.6,76.5,69.6,73.7,910,0
20151104,74.4,75.8,71.1,75.8,1500,0
20151105,74,77.5,71.8,77.3,1690,0
20151106,76.7,78.3,72.5,75,2630,0
20151109,76.6,81,73.55,80.9,2825,0
20151110,79.8,85,78.4,83.5,1440,0
20151111,82.4,84.3,74.3,76.4,1990,0
20151112,79.3,80,71.5,72.5,3200,0
20151113,71.8,75.1,67.5,70.3,2060,0
20151116,69.5,69.5,65.8,67.6,1170,0
20151117,67.8,74.6,65.5,66.7,3340,0
20151118,69.9,71.3,64.5,71.2,4250,0
20151119,70.8,72.8,70.3,72.5,710,0
20151120,73,73.1,72,72.7,590,0
20151123,73.3,74.3,72,73.2,1670,0
20151124,74.9,78.3,72.5,77.4,850,0
20151125,76.9,82.7,75.5,82,1310,0
20151127,82.7,84.4,78,78.4,1540,0
20151130,80.8,84,80,83,730,0
20151201,83.9,90,83.8,87.6,2173,0
20151202,86.3,89,85.4,86.8,1697,0
20151203,88,88.7,80.7,82.2,2032,0
20151204,84.9,89,82.1,88.5,2410,0
20151207,87.8,87.9,84.4,85.9,1170,0
20151208,84.8,85.2,82,82.4,1538,0
20151209,83.3,83.9,82,83.8,870,0
20151210,84.1,88.7,82,85.4,3560,0
20151211,83.7,85.8,82.8,83.1,1450,0
20151214,84.9,84.9,82,82.1,3374,0
20151215,83.8,88.7,82.5,82.8,1030,0
20151216,84,84.1,82,82.1,1870,0
20151217,83.9,92.2,83.6,90.9,2450,0
20151218,90.9,100.2,87.7,99.9,3220,0
20151221,100,108.3,98,107.5,2750,0
20151222,105,105,86.7,97.8,5617,0
20151223,98.3,98.3,91.3,95.7,3530,0
20151224,94.9,97.6,92.3,94.3,658,0
20151228,93.3,93.3,87.3,89.2,1531,0
20151229,89.4,90,82,84.1,3913,0
20151230,83.1,84.699,73.45,75.9,7848,0
20151231,75.7,79.5,70.1,79.3,6805,0
20160104,77.7,77.7,70.101,72.9,4859,0
20160105,72.7,77.56,70.3,76.6,3636,0
20160106,73.3,77.3,72.8,76,2395,0
20160107,73.3,74.49,65.826,72.5,3885,0
20160108,72.3,74.8,68.501,72.9,2886,0
20160111,71.4,72,64.901,69.3,8240,0
20160112,68.6,72.1,67.5,69.1,5334,0
20160113,68.5,72.45,63.9,65.1,6019,0
