Date,Open,High,Low,Close,Volume,OpenInt
20181213,10,10.03,10,10.01,1753655,0
20181214,10.0001,10.01,10,10,223559,0
20181217,10.03,10.03,10,10,130434,0
20181218,10,10.03,10,10.03,4601,0
20181219,10.0395,10.04,10.0395,10.0399,3100,0
20181220,10.01,10.01,10,10,126313,0
20181221,10.04,10.04,10,10,72987,0
20181224,10.02,10.02,10.001,10.001,1000,0
20181226,10.01,10.01,10,10,100002,0
20181231,10.01,10.01,10,10,198600,0
20190102,10,10.03,10,10.0215,6450,0
20190103,10.02,10.0306,10.02,10.0306,36379,0
20190104,10.016,10.0356,10.016,10.03,4200,0
20190108,10.05,10.07,10.05,10.07,1100,0
20190111,10.06,10.06,10.06,10.06,1000,0
20190114,10.07,10.07,10.07,10.07,23201,0
20190115,10.01,10.07,10.01,10.06,9950,0
20190116,10.031,10.05,10.031,10.05,282,0
20190117,10.01,10.0927,10.01,10.09,26468,0
20190118,10.09,10.095,10.09,10.09,198000,0
20190122,10.1125,10.1125,10.0801,10.101,20222,0
20190123,10.1,10.1,10.07,10.09,10600,0
20190124,10.08,10.11,10.08,10.09,82600,0
20190128,10.08,10.09,10.05,10.06,128300,0
20190129,10.06,10.08,10.001,10.06,19500,0
20190130,10.1,10.11,10.061,10.1,170576,0
20190131,10.05,10.16,10.05,10.12,58700,0
20190201,10.14,10.15,10.12,10.15,70916,0
20190204,10.15,10.15,10.15,10.15,450,0
20190205,10.18,10.18,10.15,10.18,112600,0
20190208,10.14,10.17,10.14,10.17,3100,0
20190211,10.17,10.17,10.17,10.17,1250,0
20190212,10.15,10.17,10.1,10.14,33294,0
20190213,10.1301,10.1301,10.13,10.13,2000,0
20190214,10.15,10.2,10.15,10.17,204600,0
20190215,10.22,10.22,10.22,10.22,431,0
20190219,10.14,10.22,10.14,10.15,46646,0
20190220,10.15,10.15,10.14,10.14,88100,0
20190221,10.15,10.17,10.15,10.17,300346,0
20190222,10.17,10.17,10.17,10.17,1600,0
20190225,10.18,10.18,10.17,10.17,10000,0
20190226,10.17,10.17,10.17,10.17,1800,0
20190227,10.16,10.16,10.16,10.16,3000,0
20190228,10.15,10.19,10.15,10.19,1000,0
20190301,10.17,10.19,10.15,10.15,26236,0
20190305,10.15,10.15,10.15,10.15,196,0
20190307,10.17,10.18,10.17,10.18,150300,0
20190312,10.18,10.18,10.17,10.17,1200,0
20190318,10.22,10.22,10.22,10.22,10000,0
20190319,10.18,10.1825,10.18,10.1811,5144,0
20190320,10.1702,10.1702,10.1702,10.1702,100,0
20190321,10.16,10.2,10.16,10.2,4236,0
20190325,10.2,10.2,10.2,10.2,1900,0
20190328,10.2,10.2,10.16,10.16,5134,0
20190329,10.2,10.2,10.2,10.2,103200,0
20190403,10.2,10.2187,10.2,10.2,36700,0
20190404,10.15,10.23,10.15,10.21,102300,0
20190405,10.23,10.23,10.23,10.23,6926,0
20190409,10.22,10.22,10.22,10.22,4100,0
20190412,10.25,10.25,10.25,10.25,10000,0
20190416,10.2,10.2002,10.2,10.2002,2000,0
20190417,10.24,10.255,10.24,10.24,16200,0
20190422,10.24,10.24,10.24,10.24,3300,0
20190423,10.2461,10.2606,10.2461,10.2606,1100,0
