Date,Open,High,Low,Close,Volume,OpenInt
20190718,10.2,10.29,10.19,10.23,4243186,0
20190719,10.2,10.29,10.2,10.22,458352,0
20190722,10.2,10.25,10.2,10.2,537175,0
20190723,10.21,10.29,10.21,10.21,33370,0
20190724,10.21,10.24,10.2,10.2,898428,0
20190725,10.23,10.25,10.2,10.23,88274,0
20190726,10.25,10.25,10.2,10.22,52421,0
20190729,10.2,10.25,10.2,10.24,129776,0
20190730,10.24,10.25,10.24,10.25,200520,0
20190731,10.3,10.3,10.29,10.29,2404,0
20190801,10.3,10.3,10.2488,10.3,4104,0
20190802,10.3,10.35,10.3,10.35,3600,0
20190805,10.15,10.28,10.15,10.2699,17700,0
20190806,10.39,10.39,10.27,10.27,112601,0
20190807,10.4,10.4,10.4,10.4,267,0
20190808,10.3747,10.3747,10.3747,10.3747,1000,0
20190809,10.3475,10.35,10.33,10.3396,16858,0
20190813,10.37,10.37,10.35,10.35,88342,0
20190814,10.35,10.35,10.35,10.35,5000,0
20190815,10.39,10.39,10.39,10.39,6000,0
20190816,10.34,10.34,10.34,10.34,100,0
20190819,10.37,10.37,10.37,10.37,26003,0
20190820,10.37,10.37,10.33,10.36,1000,0
20190821,10.39,10.3908,10.3455,10.3455,10785,0
20190822,10.34,10.37,10.34,10.34,100600,0
20190823,10.35,10.35,10.35,10.35,15910,0
20190826,10.35,10.35,10.3,10.35,17789,0
20190827,10.37,10.37,10.35,10.35,29532,0
20190829,10.3316,10.3316,10.3316,10.3316,21034,0
20190830,10.38,10.39,10.38,10.39,4500,0
20190903,10.39,10.39,10.39,10.39,3920,0
20190904,10.36,10.39,10.3449,10.39,8700,0
20190905,10.37,10.37,10.37,10.37,700,0
20190906,10.37,10.37,10.37,10.37,400,0
20190909,10.37,10.45,10.37,10.45,12900,0
20190910,10.45,10.45,10.45,10.45,810,0
20190911,10.4,10.5,10.4,10.455,57504,0
20190913,10.48,10.52,10.48,10.52,1506,0
20190916,10.55,10.564,10.4568,10.48,59890,0
20190917,10.45,10.51,10.45,10.47,32428,0
20190918,10.45,10.4804,10.43,10.44,13100,0
20190919,10.45,10.45,10.45,10.45,5872,0
20190920,10.49,10.55,10.48,10.55,19556,0
20190923,10.525,10.55,10.525,10.55,2100,0
20190924,10.53,10.6,10.53,10.55,46844,0
20190925,10.56,10.56,10.56,10.56,204,0
20190926,10.57,10.58,10.57,10.57,3600,0
20190927,10.57,10.99,10.485,10.66,2998,0
20190930,10.66,10.66,10.59,10.65,7576,0
20191001,10.67,10.7,10.65,10.69,3750,0
20191002,10.72,11,10.72,10.81,66066,0
20191003,10.78,10.78,10.72,10.74,1888,0
20191007,10.8,10.82,10.68,10.7,35029,0
20191008,10.71,10.71,10.6517,10.6517,1105,0
20191010,10.651,10.651,10.651,10.651,100,0
20191011,10.825,10.9,10.63,10.71,56322,0
20191014,10.77,10.81,10.77,10.8,44290,0
20191021,10.7999,10.7999,10.79,10.79,1400,0
20191022,10.51,10.7991,10.51,10.79,3550,0
20191024,10.79,10.8,10.6673,10.6992,6800,0
20191025,10.79,10.79,10.79,10.79,1000,0
20191028,10.81,10.81,10.8,10.801,6220,0
20191029,10.79,10.8,10.71,10.79,9292,0
20191030,10.78,10.78,10.78,10.78,200,0
20191031,10.82,10.82,10.82,10.82,800,0
20191101,10.78,10.78,10.78,10.78,213,0
20191104,10.79,10.8,10.7873,10.8,54262,0
20191105,10.74,10.75,10.48,10.75,5344,0
20191106,10.6,10.75,10.6,10.74,884,0
20191107,10.74,10.74,10.73,10.73,4200,0
20191108,10.74,10.74,10.74,10.74,607,0
20191111,10.75,10.75,10.75,10.75,210,0
20191113,10.75,10.75,10.75,10.75,150000,0
20191114,10.74,10.74,10.7,10.7,1300,0
20191115,10.7,10.81,10.7,10.77,61802,0
20191119,10.79,10.79,10.75,10.77,31000,0
20191120,10.8,10.8,10.8,10.8,1300,0
20191121,10.76,10.77,10.75,10.75,21438,0
20191122,11.75,11.75,10.75,10.75,23666,0
20191125,10.75,10.8,10.73,10.76,12235,0
20191127,10.78,10.78,10.77,10.77,3000,0
20191129,11.78,11.78,10.77,10.77,1500,0
20191204,10.32,10.8,10.32,10.78,24503,0
20191205,10.78,10.8,10.73,10.8,33829,0
20191206,10.81,10.85,10.8,10.8,34872,0
20191209,10.8,10.8,10.8,10.8,200,0
20191210,11,11,11,11,100,0
20191212,10.86,10.94,10.8,10.8,7613,0
20191216,11.04,11.04,11.04,11.04,1000,0
20191217,11.01,11.04,10.8,11.04,6556,0
20191219,10.95,11.04,10.95,11.04,2000,0
20191220,11.11,11.11,11,11,19800,0
20191223,11,11.05,10.98,10.99,7800,0
20191224,11.07,11.07,11.03,11.03,2000,0
20191226,11.03,11.05,11.03,11.05,1350,0
20191227,11.06,11.06,11.05,11.05,6738,0
20191230,11.04,11.04,10.8,11,11200,0
20191231,11,11,10.88,10.88,10000,0
20200102,11,11.05,11,11.05,1145,0
20200103,11,11.06,10.41,10.41,1000,0
20200106,10.94,10.99,10.94,10.95,21931,0
20200108,10.99,11,10.99,11,3123,0
20200109,11.05,11.05,11.05,11.05,500,0
20200113,11,11.1,11,11,7080,0
20200114,11.06,11.08,11.05,11.06,1771,0
20200116,11.05,11.09,11.05,11.05,800,0
20200117,11.07,11.13,11.07,11.13,33145,0
