Date,Open,High,Low,Close,Volume,OpenInt
20180516,19.983,19.983,19.793,19.85,94907,0
20180517,20.033,20.033,19.813,19.876,1339260,0
20180518,19.733,19.913,19.683,19.883,17059,0
20180521,20.041,20.043,19.945,19.982,11632,0
20180522,19.993,20.033,19.923,19.941,24932,0
20180523,20.379,20.379,19.813,19.91,25844,0
20180524,19.983,20.023,19.853,19.999,11980,0
20180525,19.943,19.993,19.943,19.963,1107,0
20180529,19.883,19.923,19.703,19.799,11799,0
20180530,20.023,20.061,20.009,20.043,3058,0
20180531,20.017,20.017,19.898,19.953,12046,0
20180601,20.122,20.219,20.091,20.189,7225,0
20180604,20.239,20.309,20.212,20.309,12195,0
20180605,20.438,20.438,20.353,20.419,15369,0
20180606,20.479,20.897,20.427,20.576,7796,0
20180607,20.449,20.449,20.249,20.419,18171,0
20180608,20.359,20.509,20.359,20.509,6868,0
20180611,20.609,20.609,20.519,20.519,5847,0
20180612,20.657,20.657,20.559,20.629,43636,0
20180613,20.692,20.717,20.629,20.629,28223,0
20180614,20.707,20.717,20.657,20.667,6145,0
20180615,20.534,20.637,20.534,20.633,5264,0
20180618,20.629,20.737,20.609,20.737,3789,0
20180619,20.419,20.598,20.379,20.589,7206,0
20180620,20.747,20.777,20.737,20.757,17492,0
20180621,20.755,20.755,20.582,20.597,10955,0
20180622,20.557,20.557,20.407,20.407,2609,0
20180625,20.397,20.397,19.83,19.94,135429,0
20180626,19.95,20.04,19.944,20.02,25109,0
20180627,20.03,20.03,19.685,19.688,7785,0
20180629,19.96,19.96,19.9,19.9,2691,0
20180702,19.72,19.93,19.72,19.923,22897,0
20180703,20.197,20.197,19.9,19.9,9666,0
20180705,20.129,20.129,19.92,20.024,16429,0
20180706,20.306,20.306,20.277,20.296,27622,0
20180709,20.396,20.487,20.352,20.486,28100,0
20180710,20.497,20.497,20.447,20.456,3086,0
20180711,20.427,20.427,20.337,20.357,4734,0
20180712,20.429,20.587,20.429,20.567,13771,0
20180713,20.577,20.587,20.497,20.527,12622,0
20180716,20.645,20.645,20.467,20.477,2350,0
20180717,20.297,20.645,20.297,20.645,3274,0
20180718,20.745,20.745,20.622,20.685,5871,0
20180719,20.755,20.755,20.645,20.684,3971,0
20180720,20.685,20.705,20.675,20.675,2406,0
20180723,20.577,20.705,20.563,20.695,15290,0
20180724,20.567,20.567,20.537,20.537,338,0
20180725,20.597,20.725,20.537,20.705,16018,0
20180726,20.645,20.785,20.644,20.745,16623,0
20180727,20.885,20.885,20.307,20.387,6996,0
20180730,20.187,20.187,20.06,20.093,13984,0
20180731,20.157,20.217,20.025,20.138,33999,0
20180801,20.257,20.277,20.147,20.207,11883,0
20180802,20.247,20.387,20.247,20.387,4694,0
20180803,20.307,20.307,20.307,20.307,100,0
20180806,20.477,20.477,20.457,20.468,1066,0
20180807,20.645,20.66,20.645,20.655,5428,0
20180808,20.645,20.671,20.609,20.671,1721,0
20180809,20.735,20.735,20.665,20.665,9470,0
20180810,20.577,20.627,20.527,20.527,19366,0
20180813,20.607,20.627,20.414,20.414,25307,0
20180814,20.547,20.635,20.547,20.577,26088,0
20180815,20.307,20.347,20.277,20.347,2398,0
20180816,20.557,20.612,20.497,20.507,69927,0
20180817,20.417,20.557,20.397,20.552,8024,0
20180820,20.527,20.624,20.467,20.617,16097,0
20180821,20.715,20.825,20.715,20.765,7727,0
20180822,20.855,20.855,20.705,20.832,23876,0
20180823,20.895,20.915,20.82,20.845,30938,0
20180824,21.004,21.054,20.945,21.034,30190,0
20180827,21.212,21.282,21.142,21.212,21713,0
20180828,21.283,21.283,21.156,21.247,7388,0
20180829,21.372,21.382,21.272,21.362,6744,0
20180830,21.507,21.507,21.248,21.292,13926,0
20180831,21.252,21.292,21.252,21.287,1428,0
20180904,21.172,21.331,21.172,21.313,64616,0
20180905,21.034,21.114,21.008,21.099,11806,0
20180906,21.044,21.044,20.915,20.994,8308,0
20180907,21.004,21.104,20.958,20.965,28896,0
20180910,21.004,21.053,20.994,21.048,3210,0
20180911,21.132,21.89,21.084,21.162,29158,0
20180912,21.232,21.232,20.895,21.073,206687,0
20180913,21.212,21.212,21.142,21.142,9137,0
20180914,21.232,21.261,21.161,21.217,2860,0
20180917,21.302,21.302,20.94,20.94,9794,0
20180918,21.074,21.111,21.014,21.108,24815,0
20180919,21.123,21.123,20.925,21.024,11303,0
20180920,21.104,21.172,21.084,21.172,13772,0
20180921,21.141,21.141,21.084,21.084,3814,0
20180924,20.984,21.014,20.955,21.009,10297,0
20180925,21.004,21.084,21.004,21.084,843,0
20180926,21.104,21.142,20.98,20.98,11975,0
20180927,21.132,21.132,21.014,21.014,13214,0
20180928,21.004,21.054,20.965,21.007,8903,0
20181001,21.182,21.182,20.911,20.935,21577,0
20181002,20.984,20.984,20.636,20.641,10199,0
20181003,20.805,20.845,20.735,20.774,26927,0
20181004,20.795,20.795,20.322,20.387,6508,0
20181005,20.367,20.387,19.969,20.183,227329,0
20181008,20.049,20.069,19.699,19.928,5799,0
20181009,19.929,19.939,19.789,19.789,4493,0
20181010,19.839,19.839,19.083,19.083,16051,0
20181011,19.079,19.161,18.675,18.818,5732,0
20181012,19.151,19.152,18.814,19.087,16223,0
20181015,19.032,19.103,19.021,19.023,3784,0
20181016,19.276,19.591,19.27,19.591,5186,0
20181017,19.719,19.719,19.33,19.452,17408,0
20181018,19.378,19.411,19.056,19.126,3102,0
20181019,19.167,19.167,18.866,18.866,3141,0
20181022,19.063,19.063,18.754,18.914,6909,0
20181023,18.446,18.814,18.446,18.814,7014,0
20181024,18.844,18.844,17.848,17.848,6461,0
20181025,18.236,18.366,18.168,18.326,7102,0
20181026,17.739,18.167,17.699,17.958,20107,0
20181029,18.226,18.226,17.4,17.51,6552,0
20181030,17.738,17.999,17.738,17.999,11733,0
20181031,18.386,18.466,18.351,18.455,8448,0
20181101,18.586,18.655,18.586,18.655,5471,0
20181102,18.864,19.027,18.685,18.774,2478,0
20181105,18.606,18.734,18.591,18.734,3990,0
20181106,18.884,18.884,18.724,18.724,39790,0
20181107,19.053,19.271,19.053,19.271,23276,0
20181108,19.289,19.291,19.145,19.166,15523,0
20181109,19.133,19.133,18.744,18.744,9852,0
20181112,18.516,18.535,18.316,18.395,961,0
20181113,18.266,18.506,18.266,18.276,4035,0
20181114,18.466,18.466,18.058,18.078,8541,0
20181115,18.008,18.436,18.008,18.436,3979,0
20181116,18.426,18.446,18.296,18.376,4850,0
20181119,18.138,18.148,17.968,17.968,20378,0
20181120,17.57,17.6,17.37,17.6,8648,0
20181121,17.808,17.888,17.788,17.878,2918,0
20181123,17.818,17.908,17.818,17.908,648,0
20181126,18.068,18.167,18.068,18.167,14752,0
20181127,18.068,18.117,18.048,18.048,601,0
20181128,18.216,18.579,18.128,18.556,9496,0
20181129,18.665,18.724,18.516,18.724,17334,0
20181130,18.64,18.714,18.64,18.675,3539,0
20181203,19.064,19.073,18.924,19.057,13546,0
20181204,18.904,19.011,18.416,18.506,6333,0
20181206,18.078,18.366,17.958,18.366,147117,0
20181207,18.167,18.167,17.758,17.778,296562,0
20181210,17.788,17.871,17.59,17.871,661,0
20181211,18.148,18.148,17.953,17.958,14026,0
20181212,18.266,18.398,18.251,18.251,4037,0
20181213,18.186,18.187,18.068,18.068,12188,0
20181214,17.888,17.888,17.669,17.669,18698,0
20181217,17.37,17.53,17.134,17.134,15468,0
