Date,Open,High,Low,Close,Volume,OpenInt
20190417,9.74,9.74,9.74,9.74,100000,0
20190506,9.81,9.81,9.81,9.81,100,0
20190618,9.71,9.71,9.71,9.71,549999,0
20190619,9.72,9.72,9.71,9.72,675000,0
20190620,9.75,9.75,9.72,9.72,631300,0
20190621,9.73,9.73,9.72,9.72,300000,0
20190624,9.72,9.72,9.72,9.72,14900,0
20190716,9.75,10.45,9.75,9.77,11235,0
20190802,9.71,9.82,9.71,9.82,400,0
20190807,9.785,9.79,9.78,9.78,1975000,0
20190808,9.78,9.78,9.78,9.78,125159,0
20190819,9.79,9.79,9.79,9.79,349994,0
20190820,9.9,9.9,9.9,9.9,1000,0
20190823,9.8,9.9,9.8,9.9,200,0
20191007,9.82,9.92,9.82,9.92,700100,0
20191015,9.92,9.92,9.92,9.92,102,0
20191023,9.9,9.9,9.9,9.9,179,0
20191024,9.9,9.9,9.9,9.9,1899,0
20191029,9.86,9.92,9.86,9.92,1027280,0
20191111,9.9,9.93,9.9,9.9,402702,0
20191113,9.88,9.92,9.88,9.92,1200100,0
20191122,9.91,9.91,9.91,9.91,120,0
20191204,9.86,9.93,9.86,9.93,201000,0
20191205,9.9,9.93,9.9,9.9,231226,0
20191206,9.9,9.9,9.9,9.9,302,0
20191209,9.87,9.92,9.87,9.9,172250,0
20191210,9.9,9.9,9.9,9.9,263,0
20191212,9.9,9.94,9.9,9.94,225206,0
20191213,9.94,9.94,9.94,9.94,562,0
20191216,9.9329,9.94,9.9329,9.94,596,0
20191217,9.9398,9.94,9.92,9.92,3489,0
20191218,9.92,9.9292,9.92,9.9292,1461,0
20191219,9.95,9.95,9.95,9.95,301,0
20191220,9.91,9.91,9.91,9.91,122,0
20191224,9.92,9.92,9.92,9.92,7906,0
20191231,9.94,9.95,9.94,9.95,28866,0
20200102,9.97,9.97,9.97,9.97,114,0
20200106,9.97,10,9.965,10,176027,0
20200107,9.99,10.0372,9.97,9.97,23697,0
20200108,10,10.04,10,10.04,25235,0
20200109,10.04,10.12,10.04,10.04,5201,0
20200110,10.04,10.26,10.02,10.02,55751,0
20200113,10.02,10.06,10.02,10.06,76033,0
20200114,10.02,10.02,10.02,10.02,14227,0
20200116,10.04,10.04,10.04,10.04,100724,0
20200117,10.04,10.04,10.04,10.04,90321,0
20200121,10.06,10.06,10.05,10.05,2086,0
20200123,10.04,10.08,10.04,10.08,110405,0
