Date,Open,High,Low,Close,Volume,OpenInt
20180912,19.537,19.537,19.537,19.537,410,0
20180913,19.684,19.684,19.684,19.684,411994,0
20180914,19.752,19.792,19.703,19.752,31882,0
20180917,19.684,19.684,19.635,19.635,1130,0
20180918,19.625,19.684,19.625,19.684,13030,0
20180919,19.665,19.665,19.665,19.665,307,0
20180920,19.645,19.694,19.605,19.694,2328,0
20180921,19.701,19.701,19.701,19.701,192,0
20180924,19.602,19.602,19.595,19.595,522,0
20180925,19.615,19.615,19.577,19.577,2186,0
20180926,19.507,19.595,19.469,19.469,26744,0
20180927,19.497,19.557,19.466,19.469,155356,0
20180928,19.522,19.547,19.522,19.527,4419,0
20181001,19.595,19.595,19.507,19.507,11824,0
20181002,19.507,19.517,19.507,19.507,10174,0
20181003,19.537,19.567,19.507,19.507,4936,0
20181005,19.459,19.459,19.361,19.379,4555,0
20181008,19.283,19.293,19.281,19.281,4822,0
20181009,19.341,19.351,19.328,19.351,2612,0
20181010,19.097,19.097,18.905,18.905,1930,0
20181011,18.726,18.726,18.549,18.549,634,0
20181015,18.529,18.529,18.529,18.529,364,0
20181016,18.715,18.841,18.715,18.823,5619,0
20181017,18.881,18.881,18.881,18.881,363,0
20181018,18.886,18.886,18.708,18.708,4850,0
20181019,18.823,18.823,18.677,18.677,3447,0
20181022,18.678,18.678,18.678,18.678,1500,0
20181023,18.275,18.275,18.262,18.262,327,0
20181024,18.429,18.452,18.429,18.452,422,0
20181025,18.335,18.335,18.335,18.335,102,0
20181026,18.11,18.11,18.11,18.11,134,0
20181029,18.383,18.419,18.383,18.419,720,0
20181031,18.705,18.705,18.705,18.705,5968,0
20181101,18.528,18.626,18.528,18.598,11585,0
20181105,18.765,18.765,18.765,18.765,255,0
20181106,18.872,18.872,18.872,18.872,425,0
20181107,19.155,19.155,19.155,19.155,232,0
20181108,19.142,19.142,19.142,19.142,430,0
20181109,19.146,19.146,19.146,19.146,145,0
20181112,19.146,19.146,19.146,19.146,428,0
20181113,18.794,19.077,18.794,18.99,1922,0
20181114,18.931,18.931,18.931,18.931,498,0
20181115,18.882,18.902,18.842,18.852,3313,0
20181119,19.188,19.188,19.077,19.08,981,0
20181120,18.705,18.715,18.705,18.715,2770,0
20181121,18.705,18.794,18.705,18.794,1110,0
20181126,18.765,18.833,18.765,18.833,400,0
