Date,Open,High,Low,Close,Volume,OpenInt
20050225,8,8,8,8,200,0
20050228,7.75,7.75,7.5,7.5,1150,0
20050301,8.35,8.4,7.5,7.5,620,0
20050302,7.5,7.55,7.5,7.55,200,0
20050303,7.9,7.95,7.55,7.55,1220,0
20050304,7.8,8.4,7.8,8.05,1920,0
20050307,7.85,9.4,7.85,9.15,8654,0
20050308,9.25,9.3,8.75,9.05,1786,0
20050309,9,9.1,8.7,9.1,5922,0
20050310,9.1,9.4,8.9,9.4,10508,0
20050311,9.35,9.55,8.5,9.5,3531,0
20050314,9.45,10,9.2,9.7,26684,0
20050315,9.7,9.7,9.15,9.15,2165,0
20050316,9.4,9.4,8.55,9.25,1819,0
20050317,9.5,9.5,8.85,9.25,3420,0
20050318,9.25,9.25,8.5,8.5,3729,0
20050321,8.25,9.75,8.1,9.6,16771,0
20050322,11.35,18.95,10.8,18.75,1015263,0
20050323,20.95,28.75,20.4,22.25,2122783,0
20050324,21.75,22.7,19.05,20.35,480790,0
20050328,21,32,20.55,26.75,2411453,0
20050329,27.4,29,23.1,23.45,970839,0
20050330,24.3,26.2,21.8,23.3,503405,0
20050331,22.7,23.9,20.75,21.6,312084,0
20050401,20.75,22.5,19.3,19.35,367303,0
20050404,19.35,21,18.1,19.5,256118,0
20050405,19.25,22.4,19.15,20.2,547983,0
20050406,20.95,22.2,19.05,20.25,318312,0
20050407,21.2,21.6,17.7,18.1,259668,0
20050408,17.95,18.35,15.85,16.15,241860,0
20050411,16.2,17.25,14.65,15.25,278185,0
20050412,15.35,15.6,13.95,14.6,221285,0
20050413,14.6,17.2,14,15.1,491027,0
20050414,14.95,15.5,13.5,13.7,146832,0
20050415,13.7,13.75,12.6,12.65,135011,0
20050418,12.5,13.4,12.45,12.75,67912,0
20050419,12.85,15.75,12.85,14.75,330821,0
20050420,15.75,15.75,12.65,13,176780,0
20050421,13.45,14.55,12.55,13.8,149620,0
20050422,13.8,13.85,13,13.25,53899,0
20050425,13.15,14.95,13.1,14.25,110017,0
20050426,14.35,15,13.7,14.1,57957,0
20050427,14.5,14.5,13.05,13.4,52019,0
20050428,13.35,13.9,11.55,11.85,114573,0
20050429,12,12.35,10.6,11.45,135363,0
20050502,11.6,11.65,10.65,10.75,70513,0
20050503,10.9,12.65,10.5,11.35,198698,0
20050504,11.45,11.6,10.8,11.1,71882,0
20050505,11.25,11.85,10.8,11,54594,0
20050506,11.05,12,10.9,11.35,88295,0
20050509,12.2,13.65,11.25,13.05,205316,0
20050510,13.05,14.85,12.6,12.65,239174,0
20050511,12.55,13.6,12.25,13.35,71348,0
20050512,13.7,14.25,12.55,13.05,64903,0
20050513,13.45,14.65,12.8,13.65,134081,0
20050516,14.1,15.55,13.1,15.25,148817,0
20050517,16,16.9,14.55,15.6,313017,0
20050518,15.9,16,15,15.1,67512,0
20050519,15.1,15.5,13.5,14.05,97079,0
20050520,14.35,14.7,13.35,14.3,69970,0
20050523,14.25,15.35,13.75,14.65,114504,0
20050524,11.05,11.9,10.75,11.15,298874,0
20050525,11.05,11.2,10.5,10.6,86565,0
20050526,10.55,10.75,9.65,9.75,104374,0
20050527,10.25,10.25,9.5,9.7,51140,0
20050531,9.7,10.65,9.7,10.2,61816,0
20050601,10.1,10.3,8.9,9.35,81496,0
20050602,9.65,9.65,9.15,9.25,39766,0
20050603,9.15,9.25,8.8,8.95,35787,0
20050606,9.1,9.1,8.35,8.8,41764,0
20050607,8.1,8.95,8.1,8.45,41675,0
20050608,8.35,9.75,8.35,9.4,83765,0
20050609,9.4,9.4,8.9,9.05,22262,0
20050610,8.95,9.1,8.65,8.95,29010,0
20050613,8.9,9.6,8.6,9.15,56905,0
20050614,9.2,9.4,8.75,9.1,14365,0
20050615,9.15,9.15,8.55,8.85,21882,0
20050616,8.85,9.15,8.65,8.85,15855,0
20050617,8.9,9.4,8.8,9.05,35947,0
20050620,8.95,9.05,8.75,8.75,15782,0
20050621,8.8,10.25,8.35,9.65,198490,0
20050622,9.7,9.7,9.25,9.5,31052,0
20050623,9.55,9.9,8.85,9.05,34814,0
20050624,8.75,9.05,8.55,8.6,21848,0
20050627,8.65,8.9,8.55,8.8,23483,0
20050628,8.7,9.25,8.7,8.8,25942,0
20050629,8.65,9.4,8.45,8.75,63032,0
20050630,8.85,9,8.6,9,20624,0
20050701,8.95,8.95,8.4,8.75,24715,0
20050705,8.75,9.15,8.6,9.05,36477,0
20050706,9,9.5,8.8,8.8,13003,0
20050707,8.9,9.25,8.85,9.2,18498,0
20050708,9.2,9.2,8.95,9.05,7320,0
20050711,8.85,9.05,8.85,8.85,6246,0
20050712,8.95,9.95,8.95,9.25,63665,0
20050713,9.5,10.2,9.2,10.1,74688,0
20050714,10.6,14.1,10.4,14.1,434360,0
20050715,13.75,14,11.3,11.6,199851,0
20050718,11.6,12.25,11.35,11.8,52483,0
20050719,11.8,11.95,10.8,11.05,65169,0
20050720,11.1,13.55,11,12.65,200092,0
20050721,12.85,12.85,11.6,11.95,44295,0
20050722,11.9,13.1,11.65,12.25,53136,0
20050725,12.5,13.9,12.5,13.6,86282,0
20050726,13.8,16.2,12.8,15.3,309009,0
20050727,15.35,16.85,13.8,14.05,208736,0
20050728,14.5,14.75,14.05,14.15,49618,0
20050729,14.35,14.5,13.15,13.65,68766,0
20050801,13.75,14.6,13.75,14.05,37191,0
20050802,14.5,15.6,13.8,14.3,50691,0
20050803,15,15.85,14.65,15.15,68696,0
20050804,15.3,16.45,14.9,15.6,64620,0
20050805,15.6,15.6,14.5,15.15,30404,0
20050808,15.75,17.75,15.15,16.4,145831,0
20050809,16.4,18.2,16.4,17.5,76730,0
20050810,18,19.8,18,19.5,135648,0
20050811,20,20,17.75,19.1,110960,0
20050812,22.15,22.15,16.05,17.1,258225,0
20050815,19.15,19.5,17.5,18.45,188339,0
20050816,17.2,18.3,16.55,16.55,54435,0
20050817,17,17.9,16.55,16.85,51783,0
20050818,16.65,17.05,15.85,15.95,53599,0
20050819,16.5,16.7,15.85,16.45,13769,0
20050822,16.65,17.5,16.05,17.45,23247,0
20050823,17.5,17.8,16.65,16.75,16570,0
20050824,16.65,16.85,16,16,13079,0
20050825,16.05,16.2,15.25,15.35,24810,0
20050826,15.35,15.75,15.1,15.4,11161,0
20050829,15.1,16.9,15.05,16.35,19970,0
20050830,16.3,16.7,15.85,16.3,6857,0
20050831,16.25,16.75,16.25,16.5,5484,0
20050901,16.25,17.2,16.25,17,19290,0
20050902,16.9,16.9,16.55,16.55,7357,0
20050906,17,17,16.35,17,11292,0
20050907,17.25,18.35,17.15,17.95,40878,0
20050908,18.25,18.9,17.95,18.85,35064,0
20050909,19,19,18.5,18.75,12072,0
20050912,19.55,19.8,18.75,19.75,30081,0
20050913,20,20,19.4,19.6,31151,0
20050914,19.75,19.95,19.25,19.4,20287,0
20050915,19.5,19.5,18.3,18.65,15728,0
20050916,19.05,19.45,18.55,19.45,14695,0
20050919,19.4,20.25,19,19.15,14949,0
20050920,19,19.15,18.5,18.85,17288,0
20050921,18.75,18.8,18.15,18.5,18118,0
20050922,19.1,19.1,18,19.1,12121,0
20050923,19.1,19.1,18.7,18.8,5847,0
20050926,19.25,19.75,18.65,19,13149,0
20050927,19,19.6,19,19.3,8642,0
20050928,19.5,21.45,19.5,20.85,61818,0
20050929,21.2,21.2,19.75,20.2,31788,0
20050930,19.65,20.55,19.65,20.55,4430,0
20051003,20,20.7,19.8,20.05,20054,0
20051004,19.35,20.35,19.35,20.1,3113,0
20051005,20.15,20.55,19.95,20.1,9625,0
20051006,21.55,23.75,20.25,20.95,65723,0
20051007,21.1,21.1,20.2,20.6,15929,0
20051010,22,22,20,21,17105,0
20051011,21.9,21.9,20.9,21.05,11867,0
20051012,20.9,21.25,20.35,20.45,5856,0
20051013,20.35,20.65,19.8,20.4,11789,0
20051014,20.25,20.25,19.1,19.6,17639,0
20051017,20,20.35,19.4,20.35,10693,0
20051018,19.9,20.25,19.75,19.95,3943,0
20051019,19.45,20.25,19.45,20.15,9703,0
20051020,20.25,20.35,20.2,20.3,4359,0
20051021,20.25,20.75,20.25,20.3,13426,0
20051024,20.3,20.75,20.3,20.5,16748,0
20051025,20.45,21.45,20.45,21.2,12082,0
20051026,21.85,21.85,20.9,20.95,8270,0
20051027,21.25,21.25,20.6,21.15,3959,0
20051028,21.15,21.75,20.75,21.75,4211,0
20051031,21.9,22.25,21.65,21.9,21831,0
20051101,22.25,22.45,21.65,22.05,11439,0
20051102,22,22.15,21.55,21.65,13877,0
20051103,21.65,22,21.6,21.8,9051,0
20051104,21.95,22.45,21.9,22.35,15121,0
20051107,22.5,22.5,22,22.4,17973,0
20051108,22.5,22.5,21.25,21.4,14236,0
20051109,21.75,22.1,20.5,21.25,24040,0
20051110,20.75,21,20.5,20.5,5444,0
20051111,20.5,20.75,18.55,19.2,28714,0
