Date,Open,High,Low,Close,Volume,OpenInt
20050225,19.764,19.764,19.764,19.764,275,0
20050311,20.117,20.117,20.117,20.117,275,0
20050318,20.296,20.296,20.296,20.296,417,0
20050321,19.933,20.296,19.933,20.296,1867,0
20050406,19.933,19.933,19.933,19.933,4854,0
20050413,19.933,19.933,19.933,19.933,209,0
20050421,19.933,19.933,19.933,19.933,311,0
20050422,19.933,20.296,19.933,20.296,3047,0
20050425,20.648,20.648,20.648,20.648,135,0
20050427,19.971,19.971,19.971,19.971,275,0
20050502,20.47,20.47,20.47,20.47,207,0
20050503,20.47,20.47,20.47,20.47,135,0
20050517,20.47,20.47,20.47,20.47,483,0
20050524,20.832,20.832,20.832,20.832,679,0
20050602,20.832,21.003,20.832,21.003,1524,0
20050608,22.068,22.068,21.717,21.717,1081,0
20050610,22.604,22.604,22.604,22.604,135,0
20050616,21.539,21.539,21.539,21.539,344,0
20050620,22.432,22.432,22.432,22.432,2839,0
20050624,21.898,21.898,21.539,21.539,431,0
20050629,21.898,21.898,21.898,21.898,417,0
20050630,21.539,21.539,21.539,21.539,275,0
20050705,21.539,21.539,21.539,21.539,1387,0
20050708,21.182,21.182,21.182,21.182,4156,0
20050714,20.648,21.003,20.648,21.003,942,0
20050718,21.003,21.003,20.648,20.648,970,0
20050720,20.722,20.722,20.722,20.722,2771,0
20050726,21.182,21.182,21.182,21.182,2771,0
20050727,21.365,21.365,21.365,21.365,275,0
20050801,21.365,21.365,21.365,21.365,135,0
20050802,22.068,22.068,22.068,22.068,403,0
20050824,22.068,22.068,22.068,22.068,135,0
20050829,20.648,20.648,20.648,20.648,1246,0
20050830,20.648,20.648,20.648,20.648,743,0
20050906,20.648,20.648,20.648,20.648,518,0
20050908,21.365,21.365,21.365,21.365,275,0
20050915,21.717,21.717,21.717,21.717,233,0
20050926,21.427,21.999,21.427,21.999,5476,0
20050930,21.826,21.826,21.365,21.365,556,0
20051003,21.539,21.539,21.539,21.539,233,0
20051012,20.832,20.832,20.832,20.832,135,0
20051024,20.686,20.686,20.686,20.686,829,0
20051025,20.686,20.832,20.686,20.832,417,0
20051026,20.686,20.686,20.296,20.296,1108,0
20051027,19.971,19.971,19.971,19.971,601,0
20051028,20.117,20.117,20.117,20.117,556,0
20051031,20.117,20.117,20.117,20.117,275,0
20051101,20.433,20.433,20.433,20.433,153,0
20051102,20.433,20.433,20.433,20.433,178,0
20051103,20.117,20.117,20.117,20.117,135,0
20051104,20.117,20.433,19.764,20.433,1940,0
20051110,19.581,19.933,19.581,19.581,1667,0
20051117,20.117,20.117,20.117,20.117,1387,0
20051128,20.117,20.117,20.117,20.117,135,0
20051208,19.401,19.401,19.401,19.401,275,0
20051212,19.933,19.933,19.933,19.933,135,0
20051214,19.401,19.401,19.227,19.227,860,0
20051222,19.227,19.227,18.869,18.869,1667,0
20051227,19.086,19.581,18.869,19.581,25123,0
20051229,19.044,19.044,18.937,18.937,1000,0
20060106,19.401,19.401,19.401,19.401,148,0
20060109,18.937,18.937,18.937,18.937,275,0
20060112,19.401,19.401,19.401,19.401,694,0
20060125,19.227,19.227,19.227,19.227,556,0
20060201,19.227,19.227,18.937,18.937,667,0
20060206,18.937,18.937,18.869,18.869,1592,0
20060208,18.869,18.869,18.869,18.869,447,0
20060217,19.227,19.328,19.227,19.328,970,0
20060222,18.869,18.869,17.837,18.694,3671,0
20060224,18.333,18.333,18.333,18.333,973,0
20060227,18.333,18.333,18.333,18.333,187,0
20060228,18.333,18.333,18.333,18.333,275,0
20060301,18.371,18.371,18.371,18.371,187,0
20060303,18.371,18.371,18.371,18.371,556,0
20060306,18.371,18.371,18.371,18.371,275,0
20060308,18.869,18.869,18.869,18.869,829,0
20060313,18.513,18.513,18.513,18.513,1698,0
20060314,19.227,19.227,19.227,19.227,1667,0
20060321,18.937,18.937,18.333,18.333,3466,0
20060322,19.227,19.227,19.227,19.227,528,0
20060324,18.371,18.371,18.333,18.333,2183,0
20060327,18.333,18.333,18.333,18.333,310,0
20060329,18.513,18.513,18.513,18.513,694,0
20060404,18.513,18.513,18.513,18.513,1048,0
20060412,18.371,18.371,18.371,18.371,226,0
20060413,18.371,18.371,18.333,18.333,1810,0
20060417,18.371,18.371,18.371,18.371,3604,0
20060418,18.513,18.513,18.333,18.442,6098,0
20060425,18.513,18.513,18.513,18.513,756,0
20060427,18.513,18.513,18.513,18.513,1109,0
20060428,18.513,18.513,18.513,18.513,556,0
20060503,18.513,18.622,18.513,18.622,2386,0
20060508,18.442,18.622,18.403,18.403,1454,0
20060509,18.831,18.831,18.831,18.831,275,0
20060512,18.513,18.513,18.513,18.513,135,0
20060516,19.044,19.044,19.044,19.044,275,0
20060517,18.403,18.403,18.403,18.403,135,0
20060518,18.513,19.328,18.513,19.328,2275,0
