Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.197,12.277,11.967,12.277,4241,0
20050301,12.072,12.281,12.072,12.281,13521,0
20050302,12.079,12.281,12.079,12.281,586,0
20050303,12.086,12.23,12.086,12.23,6155,0
20050304,11.815,11.958,11.815,11.926,22352,0
20050307,11.905,12.106,11.905,12.054,2025,0
20050308,12.106,12.106,12.106,12.106,246,0
20050309,12.001,12.001,11.797,11.797,32941,0
20050310,11.836,11.893,11.828,11.852,9223,0
20050311,11.948,11.948,11.836,11.836,21578,0
20050314,11.836,11.902,11.772,11.802,52610,0
20050315,11.752,11.789,11.517,11.667,57718,0
20050316,11.564,11.776,11.434,11.476,21127,0
20050317,11.492,11.748,11.492,11.748,3032,0
20050318,11.667,11.706,11.54,11.571,5635,0
20050321,11.696,11.793,11.517,11.544,15829,0
20050322,11.583,11.784,11.227,11.514,16236,0
20050323,11.434,11.437,11.361,11.361,34944,0
20050324,11.335,11.413,11.222,11.413,83248,0
20050328,11.434,11.434,11.074,11.135,150130,0
20050329,11.116,11.327,11.012,11.187,22900,0
20050330,11.321,11.321,11.172,11.172,2626,0
20050331,11.023,11.03,11.012,11.012,7082,0
20050401,10.904,10.948,10.759,10.904,39903,0
20050404,10.926,10.926,10.838,10.926,3778,0
20050405,10.867,11.095,10.867,11.083,3308,0
20050406,11.111,11.111,10.892,10.892,937,0
20050407,11.09,11.09,11.09,11.09,378,0
20050408,10.981,11.111,10.981,11.111,4492,0
20050411,10.867,11.104,10.867,11.057,3349,0
20050412,11.064,11.109,10.994,11.023,1996,0
20050413,11.02,11.09,11.02,11.09,1409,0
20050414,11.222,11.222,10.933,10.933,2458,0
20050415,10.969,11.02,10.969,10.978,4023,0
20050418,10.926,10.926,10.926,10.926,4966,0
20050419,11.012,11.062,10.904,10.965,6650,0
20050420,10.965,11.074,10.709,10.892,27304,0
20050421,11.012,11.012,10.956,11.012,8029,0
20050422,11.012,11.646,10.904,11.327,60214,0
20050425,11.327,11.327,10.909,10.909,7640,0
20050426,11.201,11.282,11.201,11.227,19601,0
20050427,11.142,11.327,10.969,11.012,15507,0
20050428,11.212,11.218,10.904,11.183,256020,0
20050429,11.212,11.745,11.212,11.745,16790,0
20050502,11.748,11.836,11.728,11.756,7483,0
20050503,11.807,11.807,11.583,11.793,11510,0
20050504,11.714,11.714,11.54,11.54,2590,0
20050505,11.646,11.802,11.265,11.469,8855,0
20050506,11.095,11.674,11.095,11.641,15568,0
20050509,11.54,11.575,11.476,11.514,19593,0
20050510,11.514,11.514,11.375,11.469,12772,0
20050511,11.46,11.476,11.349,11.476,6916,0
20050512,11.476,11.476,11.312,11.476,33533,0
20050513,11.476,11.476,11.476,11.476,471,0
20050516,11.476,11.476,11.371,11.421,8029,0
20050517,11.244,11.26,10.842,10.956,39261,0
20050518,10.862,11.287,10.862,11.026,18116,0
20050519,11.205,11.367,11.148,11.367,15345,0
20050520,11.205,11.586,11.205,11.586,14920,0
20050523,11.602,11.637,11.421,11.637,36180,0
20050524,11.583,11.646,11.583,11.632,4023,0
20050525,11.481,11.646,11.481,11.523,17758,0
20050526,11.484,11.535,11.12,11.12,15442,0
20050527,11.078,11.205,11.057,11.164,4296,0
20050531,11.164,11.327,11.164,11.324,12798,0
20050601,11.295,11.641,11.295,11.575,13741,0
20050602,11.575,11.625,11.559,11.598,15010,0
20050603,11.465,11.615,11.375,11.615,3066,0
20050606,11.621,11.741,11.621,11.741,10574,0
20050607,11.752,11.857,11.745,11.745,14977,0
20050608,11.857,11.857,11.701,11.852,18424,0
20050609,11.646,12.696,11.646,12.535,94750,0
20050610,12.503,12.899,12.503,12.703,315334,0
20050613,12.811,12.811,12.509,12.642,31923,0
20050614,12.411,12.535,12.411,12.535,20441,0
20050615,12.503,12.518,12.197,12.518,29331,0
20050616,12.153,12.576,12.153,12.535,28102,0
20050617,12.535,12.576,12.535,12.535,15152,0
20050620,12.535,12.535,12.359,12.535,9098,0
