Date,Open,High,Low,Close,Volume,OpenInt
20160804,21.662,22.162,21.48,21.706,12714575,0
20160805,22.236,22.379,22.236,22.236,1214400,0
20160808,22.379,22.444,22,22,1091352,0
20160809,21.929,22.019,21.706,21.85,741300,0
20160810,22.315,22.315,21.723,21.89,380860,0
20160811,21.929,22.278,21.822,22.226,942551,0
20160812,22.109,22.486,21.938,22.386,262218,0
20160815,22.628,22.682,22.468,22.638,197104,0
20160816,22.665,22.665,22.153,22.567,571545,0
20160817,22.682,23.036,22.412,22.825,351127,0
20160818,22.602,23.12,22.602,23.067,315190,0
20160819,23.005,23.694,22.67,23.497,381330,0
20160822,23.712,23.712,23.247,23.497,403566,0
20160823,23.721,24.257,23.54,23.791,450391,0
20160824,23.971,24.071,23.675,23.738,388349,0
20160825,24.034,24.034,23.811,23.945,194187,0
20160826,24.141,24.286,23.675,23.781,402473,0
20160829,24.006,24.257,23.148,23.712,776304,0
20160830,23.64,23.945,23.497,23.731,586659,0
20160831,23.731,23.945,23.682,23.791,525057,0
20160901,23.987,23.987,23.497,23.82,352697,0
20160902,23.811,24.393,23.765,24.337,379167,0
20160906,24.472,25.035,23.471,23.605,843179,0
20160907,23.595,23.721,23.274,23.568,595519,0
20160908,23.461,23.605,23.111,23.408,564117,0
20160909,23.408,24.221,23.408,23.748,429113,0
20160912,23.549,24.178,23.514,23.918,332529,0
20160913,24.122,24.122,22.394,23.559,630375,0
20160914,23.451,23.837,23.274,23.631,323646,0
20160915,23.675,23.735,23.093,23.623,421927,0
20160916,23.577,23.863,23.321,23.434,2043349,0
20160919,23.389,24.114,23.389,23.979,730986,0
20160920,23.927,24.141,23.577,23.95,140593,0
20160921,23.971,24.373,23.971,24.204,364089,0
20160922,24.364,24.393,23.852,23.979,780888,0
20160923,23.987,24.17,23.886,23.964,222574,0
20160926,23.811,24.141,23.533,23.568,221865,0
20160927,23.64,24.016,23.434,23.997,319544,0
20160928,23.936,23.997,23.631,23.829,462461,0
20160929,23.791,24.248,23.738,23.908,266296,0
20160930,23.955,24.327,23.872,24.043,1373535,0
20161003,24.006,24.186,23.479,23.648,309446,0
20161004,23.731,24.024,23.648,23.936,226880,0
20161005,23.889,24.141,23.514,23.54,383880,0
20161006,23.479,23.889,23.479,23.772,394425,0
20161007,23.829,24.122,23.577,24.006,312038,0
20161010,24.006,24.221,23.829,24.043,283900,0
20161011,23.918,23.955,23.577,23.781,253510,0
20161012,23.721,23.829,23.631,23.648,171306,0
20161013,23.54,23.577,23.093,23.434,349181,0
20161014,23.605,23.837,23.389,23.595,193547,0
20161017,23.675,23.721,23.353,23.506,142316,0
20161018,23.684,24.034,23.533,23.899,117233,0
20161019,23.908,24.195,23.899,23.979,114074,0
20161020,23.997,24.16,23.873,24.034,106637,0
20161021,23.88,24.141,23.791,23.964,214011,0
20161024,24.095,24.776,24.006,24.418,195677,0
20161025,24.32,24.697,24.312,24.356,128373,0
20161026,24.418,24.444,24.078,24.104,76747,0
20161027,24.221,24.411,23.955,24.078,285054,0
20161028,24.57,24.57,23.918,24.221,189809,0
20161031,24.221,24.697,24.178,24.418,236192,0
20161101,24.472,24.669,23.781,23.987,274282,0
20161102,23.837,24.213,23.837,23.971,212280,0
20161103,23.889,24.016,23.748,23.964,148523,0
20161104,23.863,24.229,23.721,23.927,184481,0
20161107,24.151,24.19,23.64,23.899,214935,0
20161108,23.889,24.095,23.514,23.811,156874,0
20161109,23.605,25.011,23.605,24.74,415222,0
20161110,24.749,25.949,24.607,25.94,515505,0
20161111,25.868,25.949,25.637,25.815,421988,0
20161114,25.958,27.175,25.926,26.729,348338,0
20161115,26.657,26.837,26.425,26.503,247849,0
20161116,26.549,26.719,26.182,26.386,118975,0
20161117,26.415,26.682,25.958,26.476,160331,0
20161118,26.667,26.719,26.451,26.701,121732,0
20161121,26.719,27.306,26.706,27.283,119999,0
20161122,27.489,28.151,27.489,27.713,249037,0
20161123,27.74,28.46,27.632,28.424,182252,0
20161125,28.469,28.739,28.262,28.523,93555,0
20161128,28.551,28.621,27.586,27.802,251306,0
20161129,27.893,28.046,27.01,27.37,388595,0
20161130,27.775,27.937,26.752,27.019,734972,0
20161201,27.244,28.703,27.153,28.281,376253,0
20161202,28.342,28.703,27.865,28.407,267943,0
20161205,28.595,29.35,28.595,29.279,271859,0
20161206,29.522,30.09,29.315,29.904,192962,0
20161207,30.046,30.605,29.884,30.442,403946,0
20161208,30.631,30.983,30.146,30.254,263637,0
20161209,30.217,30.46,29.532,30.315,396610,0
20161212,30.272,30.687,29.395,29.472,319532,0
20161213,29.551,29.812,28.729,29.237,402620,0
20161214,29.037,29.659,28.443,29.136,278074,0
20161215,29.462,29.911,29.128,29.588,284715,0
20161216,29.785,29.785,29.018,29.57,942383,0
20161219,29.56,29.949,29.279,29.911,168883,0
20161220,30.146,30.885,30.138,30.795,300122,0
20161221,30.894,31.488,30.894,31.451,389672,0
20161222,31.659,31.908,31.224,31.641,217451,0
20161223,31.622,31.622,31.399,31.559,98585,0
20161227,31.632,31.957,31.559,31.703,114247,0
20161228,31.559,31.741,31.479,31.578,113817,0
20161229,31.829,31.938,31.399,31.46,214958,0
20161230,31.703,31.703,31.272,31.37,141220,0
20170103,31.768,31.768,30.983,31.224,222755,0
20170104,31.399,31.694,30.993,31.399,296035,0
20170105,31.434,31.82,31.084,31.282,278181,0
20170106,31.425,31.46,31.056,31.117,165946,0
20170109,31.084,31.164,30.465,30.596,412185,0
20170110,30.532,30.812,30.532,30.722,387752,0
20170111,30.28,30.587,29.938,30.021,331890,0
20170112,29.93,30.146,29.729,29.767,236039,0
20170113,30.002,30.32,29.865,29.904,203498,0
20170117,29.822,30.038,28.82,28.866,352919,0
20170118,29.001,29.118,28.677,29.055,367665,0
20170119,29.055,29.073,28.703,28.768,135100,0
20170120,28.91,29.729,28.91,29.414,273825,0
20170123,29.424,29.631,29.046,29.443,191009,0
20170124,29.443,30.272,28.877,30.002,395936,0
20170125,30.442,31.242,30.397,30.757,362435,0
20170126,30.965,31.2,30.786,31.164,165609,0
