Date,Open,High,Low,Close,Volume,OpenInt
19900326,0.4875,0.4875,0.4775,0.4825,744184,0
19900327,0.4775,0.4825,0.4775,0.4825,191360,0
19900328,0.4775,0.4875,0.4775,0.4775,628760,0
19900329,0.4775,0.4825,0.4775,0.4825,100236,0
19900330,0.4875,0.4875,0.4775,0.4825,297672,0
19900402,0.4825,0.4825,0.4825,0.4825,48600,0
19900403,0.4875,0.4875,0.4775,0.4825,291600,0
19900404,0.4875,0.4875,0.485,0.4875,249072,0
19900405,0.4825,0.4875,0.4825,0.4875,279448,0
19900406,0.4875,0.4875,0.475,0.4825,2824872,0
19900409,0.4875,0.4875,0.4775,0.4775,953772,0
19900410,0.4775,0.4825,0.4725,0.4825,249072,0
19900411,0.4825,0.4825,0.4725,0.4725,188324,0
19900412,0.4825,0.4825,0.4725,0.4825,82012,0
19900416,0.4825,0.4875,0.4775,0.4825,1066160,0
19900417,0.4825,0.4825,0.4775,0.4825,170100,0
19900418,0.4825,0.4875,0.4825,0.4875,69860,0
19900419,0.4875,0.5,0.4825,0.4875,722924,0
19900420,0.4875,0.495,0.4875,0.4875,580160,0
19900423,0.4875,0.4875,0.4825,0.4825,558900,0
19900424,0.4825,0.4875,0.4775,0.485,1527860,0
19900425,0.4775,0.4875,0.4775,0.4825,1081348,0
19900426,0.4875,0.4875,0.4825,0.4875,1837684,0
19900427,0.4825,0.4875,0.4825,0.4875,36448,0
19900430,0.4825,0.4875,0.4825,0.4875,379684,0
19900501,0.4875,0.4875,0.4825,0.4825,170100,0
19900502,0.4875,0.5,0.4825,0.4875,504224,0
19900503,0.5,0.51,0.495,0.5,306784,0
19900504,0.51,0.51,0.5,0.505,719884,0
19900507,0.5,0.51,0.5,0.5,865684,0
19900508,0.5,0.5075,0.5,0.5075,950736,0
19900509,0.5,0.515,0.5,0.515,1476224,0
19900510,0.515,0.515,0.505,0.505,188324,0
19900511,0.505,0.5225,0.505,0.5225,282484,0
19900514,0.5225,0.5225,0.51,0.51,914284,0
