Date,Open,High,Low,Close,Volume,OpenInt
20190725,10,10.09,9.925,9.95,1046200,0
20190726,9.96,9.98,9.94,9.95,268802,0
20190729,9.98,9.99,9.96,9.9602,78307,0
20190730,9.98,9.98,9.972,9.98,17401,0
20190731,9.98,9.98,9.9684,9.97,164805,0
20190801,10,10,9.97,9.97,24652,0
20190802,9.98,9.99,9.96,9.96,45447,0
20190805,9.96,10,9.95,9.95,88042,0
20190806,9.98,9.98,9.98,9.98,7801,0
20190807,9.97,9.97,9.95,9.95,154002,0
20190808,9.988,9.988,9.95,9.9502,15800,0
20190809,9.9804,10,9.96,9.9877,10458,0
20190813,9.98,9.981,9.9691,9.981,18999,0
20190814,9.96,9.97,9.96,9.96,60000,0
20190815,9.9799,9.98,9.96,9.9604,16000,0
20190816,9.9916,10.005,9.98,10,10380,0
20190820,9.99,10,9.99,10,800,0
20190821,9.98,9.98,9.98,9.98,948,0
20190822,9.98,9.98,9.98,9.98,490,0
20190830,9.99,9.9901,9.99,9.9901,10200,0
20190903,9.98,9.99,9.98,9.99,2350,0
20190904,10,10,9.9799,9.98,29032,0
20190905,10,10,9.98,9.995,85156,0
20190906,10,10.0099,9.98,10,73175,0
20190909,10,10.01,9.998,10,36900,0
20190910,9.99,10,9.99,10,10150,0
20190911,9.997,10.001,9.98,9.98,41426,0
20190912,9.99,10,9.97,10,8100,0
20190913,10.01,10.01,10,10,1720,0
20190916,9.99,9.99,9.97,9.97,6220,0
20190917,10,10.05,9.98,9.99,48830,0
20190918,10,10,9.98,9.99,5900,0
20190919,9.9898,9.99,9.98,9.98,2450,0
20190920,9.977,9.98,9.97,9.98,6550,0
20190923,9.98,10,9.96,9.98,54525,0
20190924,10.0262,10.0262,9.9834,9.9834,4200,0
20190925,9.9968,10.0299,9.9783,9.9783,19500,0
20190926,9.9773,9.9784,9.97,9.97,600,0
20190927,9.98,9.98,9.97,9.97,4100,0
20190930,9.97,9.97,9.95,9.96,136381,0
20191001,9.95,9.96,9.94,9.945,16950,0
20191003,9.96,9.96,9.95,9.95,25000,0
20191004,9.94,9.94,9.94,9.94,2000,0
20191007,9.9,9.94,9.9,9.94,63350,0
20191008,9.93,9.95,9.93,9.95,6500,0
20191010,9.95,9.95,9.94,9.94,2500,0
20191011,9.94,9.94,9.93,9.93,300,0
20191014,9.95,9.95,9.94,9.95,16100,0
20191015,9.95,9.96,9.95,9.95,7900,0
20191017,9.94,9.96,9.94,9.95,33300,0
20191018,9.9502,9.97,9.95,9.95,31200,0
20191022,9.99,10.04,9.99,10.03,43850,0
20191023,10.03,10.04,10.03,10.03,7261,0
20191024,10.05,10.06,10.0415,10.05,31400,0
20191025,10.03,10.05,10.03,10.05,1200,0
20191028,10.03,10.05,10.03,10.05,26979,0
20191030,10.05,10.05,10.04,10.05,14450,0
20191031,10.04,10.08,10.04,10.0799,89512,0
20191101,10.0631,10.0631,10.05,10.0502,804,0
20191104,10.05,10.1,10.05,10.1,20450,0
20191105,10.09,10.09,10.09,10.09,1500,0
20191106,10.09,10.1,10.09,10.09,8400,0
20191107,10.075,10.1,10.075,10.08,59700,0
20191108,10.08,10.1,10.08,10.08,23550,0
20191111,10.08,10.08,10.08,10.08,1700,0
20191112,10.086,10.09,10.08,10.09,2000,0
20191114,10.08,10.09,10.08,10.09,1500,0
20191115,10.09,10.09,10.08,10.08,1500,0
20191118,10.08,10.08,10.0601,10.0601,1693,0
20191120,10.07,10.07,10.07,10.07,5000,0
20191121,10.0763,10.0763,10.0763,10.0763,1000,0
20191122,10.07,10.08,10.06,10.08,15356,0
20191125,10.09,10.12,10.09,10.12,26900,0
20191126,10.1,10.11,10.1,10.11,2000,0
20191127,10.06,10.1,10.06,10.09,1903,0
20191129,10.1,10.11,10.1,10.11,1500,0
20191202,10.106,10.11,10.106,10.11,700,0
20191205,10.0951,10.12,10.0951,10.12,10500,0
20191206,10.11,10.11,10.11,10.11,500,0
20191210,10.12,10.12,10.1,10.1,1250,0
20191211,10.1,10.11,10.09,10.09,32642,0
20191212,10.08,10.1,10.08,10.1,5825,0
20191213,10.11,10.12,10.106,10.1185,9376,0
20191216,10.08,10.135,10.08,10.13,152648,0
20191217,10.12,10.1227,10.12,10.1227,54191,0
20191219,10.15,10.15,10.08,10.09,118932,0
20191220,10.08,10.095,9.05,10.05,67000,0
20191223,10.07,10.12,10.065,10.12,56100,0
20191224,10.09,10.11,9.96,10.09,16150,0
20191226,10.1,10.1,10.08,10.08,4620,0
20191227,10.13,10.14,10.07,10.14,56420,0
20191230,10.12,10.12,10.119,10.119,500,0
20191231,10.1,10.1,10.1,10.1,1300,0
20200103,10.0802,10.09,10.08,10.08,3000,0
20200106,10.09,10.09,10.09,10.09,1800,0
20200109,10.13,10.14,10.13,10.14,153742,0
20200113,10.13,10.1427,10.099,10.13,12419,0
20200114,10.2,10.2,10.13,10.1367,3000,0
20200115,10.15,10.1558,10.15,10.15,12355,0
20200116,10.15,10.16,10.15,10.16,23900,0
20200117,10.12,10.12,10.12,10.12,400,0
20200122,10.12,10.13,9.49,10.13,8110,0
20200123,10.13,10.13,10.13,10.13,400,0
