Date,Open,High,Low,Close,Volume,OpenInt
20190313,38.087,38.777,37.494,38.679,310110,0
20190314,38.975,40.11,38.797,39.429,283455,0
20190315,40.01,40.504,39.962,40.474,166390,0
20190318,41.175,41.175,39.932,40.316,589558,0
20190319,40.85,40.85,38.531,39.024,2574476,0
20190320,39.32,39.321,36.962,37.1,5217300,0
20190321,37.494,38.393,37.336,38.363,8985051,0
20190322,36.962,38.323,36.064,36.962,4968625,0
20190325,37.07,37.308,35.867,35.965,4089510,0
20190326,35.975,36.853,35.975,36.222,3396023,0
20190327,36.261,36.676,35.581,35.719,2910010,0
20190328,35.659,35.985,35.077,35.195,2250516,0
20190329,35.403,35.689,34.919,35.403,2715285,0
20190401,35.689,35.857,35.462,35.669,4396846,0
20190402,35.729,35.975,34.742,35.225,1511280,0
20190403,35.304,35.413,34.83,35.028,2869719,0
20190404,35.087,35.591,34.919,35.551,2253168,0
20190405,35.511,36.597,35.462,36.488,2144735,0
20190408,36.449,36.449,36.163,36.36,1954974,0
20190409,36.321,36.577,36.103,36.399,1818030,0
20190410,36.419,36.557,35.383,35.452,855007,0
20190411,35.501,36.015,35.057,35.925,991397,0
20190412,35.985,36.587,35.443,36.459,3217996,0
20190415,36.419,36.498,35.985,36.488,903234,0
20190416,36.616,36.784,36.439,36.715,1894523,0
20190417,36.686,37.741,36.686,37.702,2150716,0
20190418,37.83,37.86,37.416,37.416,2346382,0
20190422,37.336,37.376,36.616,36.745,1687446,0
20190423,36.725,37.317,36.577,37.1,5528629,0
20190424,37.011,37.258,36.834,36.952,1247412,0
20190425,36.982,37.178,36.547,37.14,1442104,0
20190426,37.298,37.436,36.902,37.406,2539466,0
20190429,37.238,38.393,37.188,38.215,1739971,0
20190430,38.077,38.264,37.386,37.988,1834363,0
20190501,38.146,38.284,37.584,38.225,1494854,0
20190502,38.235,38.284,36.015,36.35,2663163,0
20190503,36.37,36.764,36.153,36.528,1246259,0
20190506,36.231,36.902,35.985,36.814,1554833,0
20190507,36.478,36.725,36.088,36.212,1431362,0
20190508,36.073,36.587,35.787,36.33,2137106,0
20190509,37.574,38.116,36.459,37.465,3504785,0
20190510,37.396,37.741,36.488,37.544,1655521,0
20190513,36.982,37.642,36.725,37.002,1619914,0
20190514,37.04,37.519,36.907,36.982,1685553,0
20190515,36.745,36.982,36.636,36.735,885651,0
20190516,36.784,37.1,35.797,35.837,2716096,0
20190517,35.827,36.81,35.827,36.572,1092055,0
20190520,36.284,36.88,36.284,36.423,1003390,0
20190521,36.562,37.262,36.383,36.919,1281385,0
20190522,36.84,37.029,36.363,36.413,836092,0
20190523,36.135,36.373,35.926,36.254,1873263,0
20190524,36.254,36.502,36.145,36.194,833989,0
20190528,36.333,36.691,35.857,35.906,2401483,0
20190529,35.748,35.906,35.033,35.052,1447731,0
20190530,35.112,35.445,34.447,34.566,1087292,0
20190531,34.308,34.566,34.01,34.467,1748712,0
20190603,34.367,34.566,33.086,33.543,2235204,0
20190604,33.791,34.566,33.513,33.851,2292301,0
20190605,34,34.328,33.662,33.781,1356460,0
20190606,33.772,33.99,33.364,33.503,1217588,0
20190607,33.603,33.811,33.424,33.444,931663,0
20190610,33.623,33.799,33.325,33.503,1150881,0
20190611,33.533,33.801,33.414,33.593,1210319,0
20190612,33.573,34.491,33.563,34.457,2256126,0
20190613,34.715,34.874,34.357,34.695,1324715,0
20190614,34.745,34.913,34.318,34.715,2431795,0
20190617,34.933,35.713,34.794,35.549,2304126,0
20190618,35.837,36.463,35.46,35.579,2699793,0
20190619,35.628,35.827,35.102,35.489,2025719,0
20190620,35.897,35.897,35.062,35.102,1892993,0
20190621,35.112,36.741,34.794,35.628,4368970,0
20190624,35.47,35.539,35.142,35.291,1632516,0
20190625,35.201,35.271,34.655,34.943,1866765,0
20190626,35.211,35.638,34.913,35.062,2287922,0
20190627,35.112,35.867,34.814,35.499,2901211,0
20190628,35.638,36.383,35.42,36.274,4955856,0
20190701,36.562,36.611,35.465,35.708,2710319,0
20190702,35.708,36.314,35.708,36.274,1441259,0
20190703,36.443,36.512,36.055,36.095,925369,0
20190705,36.026,36.512,35.817,36.304,1198965,0
20190708,36.105,36.676,35.797,35.877,917173,0
20190709,35.728,36.036,35.539,35.757,1673006,0
20190710,35.857,36.155,35.777,35.887,1185934,0
20190711,35.877,36.115,35.599,36.055,1215022,0
20190712,36.065,36.75,36.065,36.701,1594071,0
20190715,36.86,36.949,36.353,36.78,1354423,0
20190716,36.82,36.85,36.353,36.433,1624511,0
20190717,36.363,36.463,35.84,35.916,1905514,0
20190718,35.847,36.502,35.748,36.353,3036995,0
20190719,36.453,36.502,35.946,36.194,1947940,0
20190722,36.214,36.383,36.026,36.065,1568766,0
20190723,36.095,36.492,35.738,36.254,2017360,0
20190724,36.204,36.82,36.184,36.631,1242235,0
20190725,36.651,37.277,36.641,37.168,1421773,0
20190726,37.108,37.763,37.068,37.227,922055,0
20190729,37.177,37.575,37.078,37.426,892010,0
20190730,37.237,37.793,37.237,37.585,1838366,0
20190731,37.436,37.436,36.514,36.939,1844265,0
20190801,36.899,37.187,36.433,36.582,1770358,0
20190802,36.582,36.592,36.036,36.304,1121231,0
20190805,36.026,36.224,35.499,35.748,2058159,0
20190806,35.678,36.254,35.599,36.145,1547157,0
20190807,35.797,36.671,35.509,36.532,1797463,0
20190808,37.078,37.078,34.645,34.755,3384868,0
20190809,34.705,35.311,34.635,35.122,1346556,0
20190812,35.033,35.033,34.427,34.566,1344527,0
20190813,34.556,35.281,34.427,34.755,1728268,0
20190814,34.536,34.536,33.136,33.424,1381940,0
20190815,33.414,33.791,32.481,32.58,2031188,0
20190816,32.828,33.057,32.481,32.779,1420273,0
20190819,33.076,33.662,33.066,33.364,1645067,0
20190820,33.265,33.583,33.017,33.126,1723242,0
20190821,33.235,33.275,32.64,32.918,1418686,0
20190822,32.957,33.106,32.5,32.59,1448911,0
20190823,32.431,32.491,31.11,31.22,1486011,0
20190826,31.448,31.597,31.061,31.488,1519261,0
20190827,31.676,31.825,31.388,31.398,1775949,0
20190828,31.448,31.716,31.11,31.339,1009062,0
20190829,31.557,32.57,31.443,32.222,1739955,0
20190830,33.037,33.076,32.242,32.57,1304677,0
20190903,32.4,32.735,32.16,32.43,986431,0
20190904,32.65,33.26,32.535,33.21,971059,0
20190905,33.52,34.03,33.23,33.91,965302,0
20190906,33.95,34.35,33.73,33.87,875145,0
20190909,33.68,34.02,33.31,33.99,792534,0
20190910,33.76,34.42,33.76,34.22,1421815,0
20190911,34.1,34.23,33.62,33.97,1073821,0
20190912,34.12,34.12,33.59,33.7,1159707,0
20190913,33.68,34.08,33.45,33.71,938782,0
20190916,33.52,33.66,33.35,33.49,653062,0
20190917,33.46,33.46,32.72,32.82,890641,0
20190918,32.68,32.84,32.03,32.5,1212803,0
20190919,32.57,32.66,31.9,31.97,635227,0
20190920,31.89,32.3,31.63,32.08,1598772,0
20190923,32.16,32.3354,31.88,32.18,855046,0
20190924,32.32,32.35,31.4,31.53,1208646,0
20190925,31.48,32.17,31.48,32,1459454,0
20190926,32.06,32.06,31.35,31.47,1318245,0
20190927,31.51,31.71,31.13,31.48,870745,0
20190930,31.68,31.85,31.34,31.54,712092,0
20191001,31.7,32.01,31.13,31.18,880723,0
20191002,30.99,31.2,30.26,30.31,1123876,0
20191003,30.25,30.43,29.67,30.39,1074102,0
20191004,30.5,30.78,30.34,30.485,998978,0
20191007,30.51,31.04,30.48,30.49,962561,0
20191008,30.21,30.21,29.61,30.035,1234910,0
20191009,30.21,30.41,29.94,30.26,1147602,0
20191010,30.22,30.53,30.05,30.425,1167354,0
20191011,30.65,31.48,30.63,31.16,1571702,0
20191014,31.06,31.13,30.745,31.01,1178758,0
20191015,31.02,31.51,30.8,31.44,1148910,0
20191016,31.35,31.59,31.26,31.585,1160056,0
20191017,31.5,31.72,31.15,31.49,2047636,0
20191018,31.63,32.07,31.48,31.525,2453810,0
20191021,31.71,32.155,31.57,32.09,1636786,0
20191022,32.16,32.86,31.9275,32.77,1523424,0
20191023,32.87,33.01,32.5,32.61,905060,0
20191024,32.56,32.73,31.2,31.6,1456268,0
20191025,31.62,32.06,31.62,31.7,1282118,0
20191028,31.72,32.66,31.72,32.21,2133578,0
20191029,32.16,32.21,31.84,32.05,1129562,0
20191030,31.98,32.06,31.3,31.36,1198136,0
20191031,31.17,31.26,30.9432,31.24,1531716,0
20191101,31.36,31.96,31.18,31.86,2996985,0
20191104,32.04,32.04,31.73,31.9,1476123,0
20191105,31.9,32.45,31.9,32.15,2289616,0
20191106,32.18,32.46,31.67,32.33,1430337,0
20191107,33.15,34.265,32.74,34.25,2731812,0
20191108,34.14,34.52,33.91,34.43,1551508,0
20191111,34.24,34.33,33.94,34.22,768824,0
20191112,34.21,34.37,33.755,33.81,995892,0
20191113,33.63,33.96,33.47,33.57,994882,0
20191114,33.46,33.78,33.28,33.45,1251312,0
20191115,33.75,33.97,33.39,33.595,1682434,0
20191118,33.58,34.48,33.55,34.46,1344346,0
20191119,34.67,35.48,34.47,35.43,1301555,0
20191120,35.19,35.55,34.9,34.995,1548949,0
20191121,35,35.43,34.69,34.78,992110,0
20191122,34.77,35.17,34.75,34.875,1140024,0
20191125,34.88,35,34.5799,34.85,1108775,0
20191126,34.88,35.29,34.78,35.19,1485605,0
20191127,35.3,35.39,34.895,35.03,757250,0
20191129,34.9,35.21,34.62,34.98,528728,0
20191202,34.96,35.23,34.745,34.815,1014358,0
20191203,34.54,34.63,33.99,34.35,1087081,0
20191204,34.29,34.84,34.19,34.64,1198067,0
20191205,34.79,35,34.45,34.635,1203137,0
20191206,34.88,35.05,34.535,34.6,892880,0
