Date,Open,High,Low,Close,Volume,OpenInt
20191003,11.2,13.84,11.17,13.7,1847152,0
20191004,13.5,13.8,12.9602,13.49,457249,0
20191007,13.44,14.1,13.17,14,269738,0
20191008,14,14.28,13.6,13.74,170849,0
20191009,13.76,13.99,13.01,13.3,119027,0
20191010,13.31,13.758,12.1,12.67,167633,0
20191011,12.84,13.1631,12.535,12.99,270889,0
20191014,12.98,14.0322,12.6,13.35,55885,0
20191015,13.7,14.56,12.97,12.98,47534,0
20191016,13,13.8,12.79,13.12,124072,0
20191017,13.01,13.98,12.85,13,40139,0
20191018,13.07,13.65,12.8,13.1,93210,0
20191021,13.34,13.99,13.1,13.27,189975,0
20191022,13.3,13.98,13.2835,13.73,47474,0
20191023,13.85,14.15,13.82,13.95,14404,0
20191024,14.13,14.84,13.76,14.05,55931,0
20191025,14.21,14.25,13.86,14.05,78818,0
20191028,14.25,14.695,14,14.27,196094,0
20191029,14.4,14.5554,14.12,14.34,60256,0
20191030,14.53,14.75,13.6,13.8,147070,0
20191031,13.91,14.465,13.65,14.4,125478,0
20191101,14.35,16.0911,14.149,15.575,93665,0
20191104,15.82,16.42,15.57,15.91,89216,0
20191105,16.13,16.35,15.5,15.73,45781,0
20191106,15.9,16.23,15.7108,15.76,38975,0
20191107,15.89,16.11,15.5389,15.76,44367,0
20191108,15.76,16,15.105,15.2,94112,0
20191111,15.15,15.95,14.285,15.08,121946,0
20191112,15.03,15.82,14.75,14.88,59479,0
20191113,14.79,15.86,14.6,15.19,76644,0
20191114,15.26,15.61,14.875,15.37,65204,0
20191115,15.29,16.3,14.98,15.74,215130,0
20191118,15.74,17.44,15.16,16.5,137016,0
20191119,16.79,17.41,16.5001,16.82,90557,0
20191120,16.92,17.3699,16.15,16.16,75339,0
20191121,16.27,16.55,15.41,16.34,124166,0
20191122,16.39,16.5,16,16.3,35629,0
20191125,16.3,16.98,16.14,16.25,79040,0
20191126,16.3,16.65,15.75,16.47,117341,0
20191127,16.4,16.91,16.1058,16.16,72132,0
20191129,16.16,16.92,16.16,16.7,32226,0
20191202,16.77,17.29,16.45,16.93,110332,0
20191203,16.96,17.225,15.5,15.74,138585,0
20191204,15.84,16.1,15.091,15.56,142795,0
20191205,15.67,15.88,15.2,15.24,167617,0
20191206,15.75,15.8,15.2,15.44,119278,0
20191209,15.47,16.18,15,15.7,101356,0
20191210,15.7,16.69,15.7,15.88,99882,0
20191211,15.94,17.7,15.54,16.79,227840,0
20191212,16.91,20.49,16.9,18.73,315184,0
20191213,18.95,19.82,18.45,18.48,146173,0
20191216,18.67,18.875,17.68,17.92,127592,0
20191217,17.88,18.2494,17.12,17.25,101740,0
20191218,17.26,18.085,17.18,17.54,75131,0
20191219,17.54,18.8,17.54,18.17,105156,0
20191220,18.41,20.38,17.2038,17.31,995422,0
20191223,17.46,18.82,17.46,18.03,217589,0
20191224,18.03,18.365,17.765,18.17,39574,0
20191226,18.2,19.37,18.04,18.62,107746,0
20191227,18.66,19.1,17.88,18.34,75051,0
20191230,18.49,18.49,17.53,17.95,65269,0
20191231,17.88,18.7,17.405,17.53,70876,0
20200102,17.62,18.39,16.7701,17.22,91746,0
20200103,17.31,17.94,16.5201,16.67,222877,0
20200106,16.96,17.45,16.5,17.22,159840,0
20200107,17.25,17.365,16.76,17.24,172396,0
20200108,17.31,18.57,17.1,18.22,121444,0
20200109,18.37,18.45,17.8,18.14,454945,0
20200110,18.25,18.55,17.965,18.42,115660,0
20200113,18.46,20.3,18.2896,20.19,264175,0
20200114,20.19,22,19.84,21.82,120017,0
20200115,22,24.67,21.8985,23.05,134937,0
20200116,23.39,25.26,22.5,25.16,213129,0
20200117,25.36,26.4,24.05,24.76,259594,0
20200121,25,27.5712,25,26,169787,0
20200122,26.94,27.08,24.5,24.945,183417,0
20200123,25.16,26.38,23.0301,23.11,70444,0
