Date,Open,High,Low,Close,Volume,OpenInt
20191016,13.59,13.91,13.58,13.8,81691,0
20191017,13.86,13.88,13.5,13.5,73228,0
20191018,13.45,13.45,12.67,12.95,173372,0
20191021,12.85,12.85,12.03,12.63,263906,0
20191022,12.63,13,12.5,12.85,113954,0
20191023,12.87,13.06,12.85,12.95,77870,0
20191024,12.99,13.03,12.86,12.9,41018,0
20191025,12.89,12.9,12.74,12.8,36919,0
20191028,12.9,13.2,12.87,13.18,87249,0
20191029,13.15,13.34,13.15,13.34,58239,0
20191030,13.35,13.98,13.33,13.65,97668,0
20191031,13.6,13.75,13.57,13.64,75614,0
20191101,13.47,13.79,13.3,13.74,26529,0
20191104,13.85,13.89,13.82,13.89,38309,0
20191105,13.93,14,13.91,13.97,44741,0
20191106,13.98,14,13.58,13.88,104999,0
20191107,13.89,14.23,13.82,14.15,113094,0
20191108,14.12,14.76,14.12,14.71,188809,0
20191111,14.62,15.58,14.51,15.2,500118,0
20191112,15.21,15.43,13.61,15.14,525492,0
20191113,15.08,15.23,14.3,15.03,284696,0
20191114,14.96,15,14.84,14.84,78300,0
20191115,14.8,15.19,14.71,14.71,116991,0
20191118,14.73,14.76,14.17,14.18,167647,0
20191119,14.25,14.28,13.98,14.03,143361,0
20191120,13.95,14.27,13.84,14.24,160912,0
20191121,14.25,14.62,14.22,14.48,183829,0
20191122,14.53,14.71,14.53,14.67,80531,0
20191125,14.76,15.04,14.72,14.86,140256,0
20191126,14.86,14.95,14.7,14.7,103504,0
20191127,14.71,14.79,14.62,14.76,80021,0
20191129,14.83,14.9,14.66,14.69,61739,0
20191202,14.69,14.74,14.56,14.58,72496,0
20191203,14.35,14.5,14.25,14.31,140779,0
20191204,14.3,14.67,13.71,14.38,145135,0
20191205,14.4,14.5,14.35,14.44,80151,0
20191206,14.59,14.6,14.5,14.53,68758,0
20191209,14.29,14.52,14.1,14.52,145293,0
20191210,14.53,14.55,14.33,14.41,142636,0
20191211,14.47,14.54,14.43,14.44,51824,0
20191212,14.41,14.54,14.4,14.54,39856,0
20191213,14.5,14.85,14.39,14.84,148053,0
20191216,14.98,15,14.79,14.91,111939,0
20191217,14.9,14.93,14.5,14.76,112273,0
20191218,14.76,14.84,14.55,14.74,143719,0
20191219,14.74,14.9,14.64,14.87,187661,0
20191220,14.8,14.82,14.63,14.7,147858,0
20191223,14.7,14.8,14.59,14.63,224775,0
20191224,14.63,14.74,14.59,14.71,141980,0
20191226,14.74,14.92,14.67,14.84,314066,0
20191227,14.87,14.96,14.75,14.87,196847,0
20191230,14.88,14.93,14.6,14.62,222536,0
20191231,14.6,14.65,14.47,14.54,115635,0
20200102,14.72,14.76,14.69,14.69,22261,0
20200103,14.53,14.62,14.52,14.61,22305,0
20200106,14.51,14.51,14.44,14.49,19444,0
20200107,14.43,14.48,14.39,14.45,24304,0
20200108,14.49,14.5,14.41,14.42,36977,0
20200109,14.54,14.67,14.54,14.63,36232,0
20200110,14.68,14.8,14.67,14.8,34620,0
20200113,14.87,14.95,14.83,14.94,70815,0
20200114,14.93,14.95,14.87,14.88,44654,0
20200115,14.87,14.89,14.67,14.69,78673,0
20200116,14.79,14.89,14.69,14.84,67478,0
20200117,14.87,14.98,14.84,14.98,83530,0
20200121,14.88,15.45,14.88,15.31,165929,0
20200122,15.33,15.49,15.2,15.47,123319,0
20200123,15.4,15.4,15.2,15.27,110565,0
