Date,Open,High,Low,Close,Volume,OpenInt
20081007,9.4568,9.4568,8.894,8.9129,65615,0
20081008,8.9129,8.9129,8.7403,8.7403,25457,0
20081009,8.7403,8.7403,8.5587,8.7403,10097,0
20081010,8.5495,8.595,8.4225,8.4679,8265,0
20081013,8.6039,8.6493,8.4679,8.6493,6059,0
20081014,8.8315,9.0031,8.8315,8.9946,28880,0
20081015,8.9946,8.9946,8.5587,8.9038,4960,0
20081016,8.3589,8.5587,7.7146,8.5039,58063,0
20081017,8.114,8.3501,8.114,8.3316,1380,0
20081020,8.232,8.3316,8.1047,8.3316,27544,0
20081021,8.3316,8.3316,8.1047,8.3316,14324,0
20081022,8.1959,8.3316,8.1959,8.3316,11954,0
20081023,8.1047,8.1047,7.9327,7.9327,6236,0
20081027,7.8778,7.8962,7.8509,7.8509,3625,0
20081028,7.8778,8.1047,7.8778,8.1047,442,0
20081030,8.1047,8.114,8.0868,8.1047,44183,0
20081031,8.4225,8.5587,8.4225,8.5587,664,0
20081104,8.5132,8.5132,8.5132,8.5132,1102,0
20081105,8.5132,8.5132,8.5132,8.5132,100,0
20081106,8.4679,8.4679,8.2864,8.2864,4010,0
20081107,8.1047,8.4679,8.1047,8.3047,1764,0
20081110,8.2864,8.2953,8.2864,8.2953,992,0
20081111,8.2864,8.3316,8.2864,8.3316,12674,0
20081112,8.1959,8.1959,8.1959,8.1959,1102,0
20081113,8.1959,8.368,8.1047,8.368,4629,0
20081114,8.1321,8.368,8.1047,8.368,546,0
20081117,8.1321,8.141,8.1321,8.141,328,0
20081118,8.2411,8.2411,8.2135,8.2411,5507,0
20081119,8.2411,8.2411,8.1047,8.1047,11126,0
20081120,8.1047,8.114,8.0685,8.0685,52970,0
20081121,8.0141,8.0141,7.9233,7.9233,4529,0
20081124,8.1047,8.1047,8.1047,8.1047,2424,0
20081125,8.114,8.114,8.114,8.114,100,0
20081202,8.1047,8.1047,8.1047,8.1047,9919,0
20081203,8.1959,8.1959,8.1959,8.1959,2867,0
20081204,8.1865,8.1865,8.1865,8.1865,100,0
20081205,8.1047,8.1865,8.1047,8.1865,2973,0
20081208,8.2773,8.2864,8.2773,8.2773,442,0
20081210,8.1503,8.2049,8.114,8.2049,5354,0
20081211,8.2049,8.2049,8.1047,8.1047,1653,0
20081212,8.1047,8.2135,8.1047,8.2135,13444,0
20081215,8.1047,8.2684,8.1047,8.2411,16197,0
20081216,8.232,8.3316,8.232,8.3316,5289,0
20081217,8.3589,8.3589,8.3316,8.3316,1653,0
20081218,8.3316,8.3316,8.2135,8.2135,1102,0
20081219,8.3316,8.3773,8.3316,8.3316,27423,0
20081222,8.3316,8.3773,8.3316,8.3773,22475,0
20081223,8.3316,8.3409,8.3316,8.3409,48513,0
20081224,8.3316,8.3589,8.3316,8.3589,328,0
20081226,8.3316,8.3316,8.3316,8.3316,1102,0
20081229,8.3773,8.3773,8.3316,8.3316,28017,0
20081230,8.3773,8.8678,8.3773,8.8315,32014,0
20081231,8.8315,8.8315,8.7858,8.8315,6925,0
20090102,8.8678,9.0031,8.8678,8.877,11126,0
20090105,8.985,9.0478,8.985,9.0031,57185,0
20090106,9.0478,9.0478,9.0031,9.0031,12223,0
20090107,9.0031,9.0398,9.0031,9.0398,20522,0
20090108,9.0478,9.0478,9.0478,9.0478,5182,0
20090109,8.9129,9.0398,8.9129,9.0398,442,0
20090112,8.9129,9.0031,8.9129,9.0031,442,0
