Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.6545,3.6655,3.6159,3.6545,69516,0
20050228,3.6819,3.6819,3.4833,3.5775,124887,0
20050301,3.5167,3.5829,3.467,3.5332,100522,0
20050302,3.5387,3.5499,3.5332,3.5387,54631,0
20050303,3.5551,3.5606,3.5332,3.5442,52388,0
20050304,3.5499,3.5661,3.5499,3.5499,33467,0
20050307,3.5277,3.5499,3.5277,3.5387,70522,0
20050308,3.5167,3.5387,3.4892,3.4892,64697,0
20050309,3.5551,3.5551,3.478,3.4892,52412,0
20050310,3.4727,3.5057,3.4727,3.4892,38393,0
20050311,3.5167,3.5167,3.4616,3.4727,50780,0
20050314,3.4394,3.478,3.434,3.467,56474,0
20050315,3.4727,3.478,3.445,3.4506,55213,0
20050316,3.4727,3.5332,3.4506,3.4616,74085,0
20050317,3.4559,3.4727,3.3845,3.467,57704,0
20050318,3.4727,3.5111,3.4727,3.478,47244,0
20050321,3.4727,3.4999,3.4175,3.4394,55982,0
20050322,3.4616,3.4833,3.434,3.4394,37520,0
20050323,3.4727,3.4727,3.434,3.4506,31181,0
20050324,3.467,3.478,3.467,3.4727,42870,0
20050328,3.4999,3.5167,3.4833,3.4892,48582,0
20050329,3.5332,3.5332,3.4394,3.4394,60454,0
20050330,3.434,3.4559,3.423,3.4506,63732,0
20050331,3.4175,3.4394,3.4064,3.434,56110,0
20050401,3.4119,3.4286,3.4119,3.423,36537,0
20050404,3.4064,3.4394,3.4009,3.423,67288,0
20050405,3.434,3.434,3.4064,3.4175,36229,0
20050406,3.4286,3.4286,3.3954,3.3954,73776,0
20050407,3.3845,3.3845,3.2301,3.2355,186182,0
20050408,3.2301,3.2521,3.1639,3.1913,102858,0
20050411,3.1857,3.2799,3.1804,3.2576,53945,0
20050412,3.2134,3.2301,3.197,3.2081,25122,0
20050413,3.2081,3.2081,3.1253,3.1253,67591,0
20050414,3.0702,3.1142,3.0261,3.0591,125945,0
20050415,3.081,3.081,3.0206,3.0313,32055,0
20050418,3.0042,3.0042,2.8995,2.9434,99055,0
20050419,3.037,3.0757,2.9985,3.0482,82319,0
20050420,3.037,3.1198,2.9874,3.0096,54570,0
20050421,3.015,3.2631,3.015,3.2191,100738,0
20050422,3.2906,3.2906,3.1198,3.1913,73668,0
20050425,3.2301,3.2466,3.1913,3.2301,57763,0
20050426,3.2134,3.2742,3.1364,3.2081,51190,0
20050427,3.1528,3.1528,3.0702,3.1032,30721,0
20050428,3.1253,3.2081,3.081,3.1416,40990,0
20050429,3.1142,3.1253,3.0702,3.1087,105528,0
20050502,3.1032,3.197,3.1032,3.1913,70849,0
20050503,3.2466,3.3129,3.2081,3.2853,114545,0
20050504,3.0757,3.1142,2.9874,3.1087,208469,0
20050505,3.1032,3.1198,3.0537,3.0649,55707,0
20050506,3.1032,3.1364,3.0591,3.0868,85506,0
20050509,3.0591,3.1032,3.0591,3.0868,84665,0
20050510,3.1142,3.1913,3.0482,3.0482,70058,0
20050511,3.0482,3.1032,3.0482,3.0868,64615,0
20050512,3.1087,3.1087,3.0757,3.0757,38460,0
20050513,3.081,3.081,3.0426,3.0482,47432,0
20050516,3.0426,3.0537,2.9489,2.993,44814,0
20050517,2.9489,2.9711,2.9379,2.9543,77515,0
20050518,2.9434,3.015,2.9434,3.0096,67161,0
20050519,3.0206,3.0261,2.9874,3.0042,19221,0
20050520,2.9656,2.9985,2.9656,2.993,42325,0
20050523,2.9434,3.0313,2.9434,2.993,52180,0
20050524,3.0206,3.0206,2.9599,2.9765,62307,0
20050525,3.0313,3.0591,2.9765,3.0042,84898,0
20050526,2.993,3.0313,2.9711,3.0206,49341,0
20050527,2.993,3.0206,2.982,3.0206,35976,0
20050531,3.0313,3.0313,3.015,3.0261,22415,0
20050601,3.0261,3.0313,2.9656,3.0261,95929,0
20050602,3.0042,3.0868,3.0042,3.081,103853,0
20050603,3.0978,3.1307,3.0921,3.1253,58205,0
20050606,3.1639,3.1639,3.1087,3.1474,49855,0
20050607,3.1474,3.1913,3.081,3.0978,94658,0
20050608,3.0868,3.0868,3.0649,3.0702,36342,0
20050609,3.0537,3.0537,2.9489,3.0537,115782,0
20050610,3.0206,3.0426,3.0206,3.0426,133893,0
20050613,3.0426,3.0702,3.0096,3.0206,155736,0
20050614,3.0096,3.081,3.0096,3.0757,54238,0
20050615,3.0868,3.0868,3.0096,3.0426,102355,0
20050616,3.081,3.0868,3.0313,3.0868,54551,0
20050617,3.0206,3.1253,3.0206,3.0978,57120,0
20050620,3.0978,3.0978,2.993,3.0313,197484,0
20050621,3.0426,3.0591,3.037,3.0482,131379,0
20050622,3.0313,3.0537,2.9489,3.0206,161485,0
20050623,3.0096,3.037,2.993,2.9985,73020,0
20050624,2.993,3.0261,2.982,2.982,82366,0
20050627,2.9711,3.0426,2.9711,3.0261,64406,0
20050628,3.0426,3.0426,2.9874,3.0096,160333,0
20050629,3.0426,3.0537,2.9985,3.0537,249949,0
20050630,3.0537,3.0649,2.9489,3.0096,153616,0
20050701,2.9985,3.0591,2.9985,3.0313,62939,0
20050705,3.0426,3.0702,3.0313,3.0702,89337,0
20050706,3.0702,3.0702,3.0096,3.0206,76687,0
20050707,3.0096,3.0261,2.982,3.0261,48227,0
20050708,3.0426,3.081,3.0426,3.081,99623,0
20050711,3.0978,3.1307,3.0868,3.1253,121789,0
20050712,3.1474,3.1639,3.1087,3.1307,78656,0
20050713,3.0978,3.1639,3.0978,3.1474,129892,0
20050714,3.1253,3.1587,3.1198,3.1364,69695,0
20050715,3.1587,3.1587,3.1416,3.1474,30767,0
20050718,3.1474,3.1474,3.1198,3.1364,59438,0
