Date,Open,High,Low,Close,Volume,OpenInt
20180824,23.93,23.958,23.911,23.957,48783,0
20180827,23.987,23.987,23.93,23.94,63734,0
20180828,23.968,24.001,23.939,23.977,58426,0
20180829,23.997,24.138,23.987,24.118,81357,0
20180830,24.119,24.138,24.04,24.082,44138,0
20180831,24.112,24.187,24.092,24.187,57117,0
20180904,24.233,24.291,24.184,24.215,65935,0
20180905,24.215,24.282,24.102,24.241,81833,0
20180906,24.192,24.242,24.052,24.177,64879,0
20180907,24.147,24.147,24.096,24.129,32091,0
20180910,24.168,24.177,24.119,24.177,23712,0
20180911,24.148,24.233,24.102,24.177,47037,0
20180912,24.191,24.196,24.148,24.178,10429,0
20180913,24.187,24.196,24.129,24.196,26198,0
20180914,24.196,24.196,24.129,24.16,19842,0
20180917,24.129,24.187,24.129,24.187,16588,0
20180918,24.092,24.092,24.049,24.063,27239,0
20180919,24.052,24.092,24.02,24.021,26817,0
20180920,24.052,24.092,23.968,24.033,46431,0
20180921,24.025,24.072,24.025,24.072,11020,0
20180924,24.082,24.092,24.052,24.052,19042,0
20180925,24.026,24.092,24.006,24.006,6714,0
20180926,24.023,24.196,24.013,24.196,15668,0
20180927,24.052,24.368,24.038,24.267,11691,0
20180928,24.368,24.368,24.119,24.119,11128,0
20181001,24.242,24.282,24.212,24.257,2430,0
20181002,24.148,24.196,24.052,24.072,24221,0
20181003,24.114,24.114,23.964,24.082,20141,0
20181004,24.052,24.092,24.015,24.072,7478,0
20181005,24.006,24.006,23.872,23.911,33188,0
20181008,23.873,24.006,23.873,23.912,3321,0
20181009,23.938,24.052,23.938,24.006,5535,0
20181010,23.958,23.958,23.912,23.938,5779,0
20181011,24.021,24.021,23.919,23.946,3068,0
20181012,24.072,24.072,23.906,23.939,7086,0
20181015,24.072,24.072,24.016,24.033,12585,0
20181016,24.148,24.148,24.148,24.148,2269,0
20181017,24.224,24.224,24.052,24.172,9183,0
20181018,24.102,24.111,23.997,23.997,4781,0
20181019,23.972,24.092,23.972,24.082,6398,0
20181022,24.025,24.127,24.025,24.127,2386,0
20181023,24.052,24.082,24.025,24.034,6601,0
20181024,24.074,24.101,24.015,24.015,5447,0
20181025,24.101,24.101,23.905,24.038,9185,0
20181026,24.09,24.101,23.902,23.902,3634,0
20181029,24.135,24.135,23.93,24.087,7999,0
20181030,24.1,24.1,24.001,24.001,724,0
