Date,Open,High,Low,Close,Volume,OpenInt
19920122,0.47289,0.5957,0.47289,0.5518,191811450,0
19920123,0.5736,0.6219,0.5518,0.6043,43800239,0
19920124,0.6088,0.635,0.587,0.6088,13750135,0
19920127,0.635,0.6571,0.6088,0.6571,12234111,0
19920128,0.6526,0.6613,0.6219,0.6441,22733020,0
19920129,0.6219,0.6441,0.5957,0.5957,15112729,0
19920130,0.6043,0.6088,0.5344,0.5344,12383889,0
19920131,0.5474,0.5695,0.5344,0.5695,2849390,0
19920203,0.5736,0.5736,0.5518,0.5606,2648472,0
19920204,0.5695,0.5957,0.5695,0.5957,2853044,0
19920205,0.5957,0.5957,0.5824,0.5824,1311452,0
19920206,0.5957,0.6043,0.5824,0.6043,6283271,0
19920207,0.587,0.6043,0.5695,0.5695,5205616,0
19920210,0.5695,0.587,0.5344,0.5431,16142892,0
19920211,0.5431,0.5431,0.49042,0.49042,11266048,0
19920212,0.49922,0.49922,0.47738,0.49922,4500574,0
19920213,0.49922,0.49922,0.47289,0.48592,3700554,0
19920214,0.49042,0.49042,0.46424,0.46873,15700871,0
19920218,0.47738,0.47738,0.4161,0.42923,3477716,0
19920219,0.4161,0.4598,0.4161,0.44239,4891453,0
19920220,0.49042,0.5256,0.47738,0.49922,5461331,0
19920221,0.49922,0.5213,0.48592,0.5213,2129735,0
19920224,0.5213,0.5606,0.5123,0.5256,3572696,0
19920225,0.5431,0.5431,0.47738,0.47738,3572696,0
19920226,0.47289,0.49042,0.47289,0.47738,1892287,0
19920227,0.49042,0.49042,0.47289,0.48592,233796,0
19920228,0.47738,0.49042,0.47289,0.48592,259367,0
19920302,0.49042,0.49042,0.43799,0.44239,5910657,0
19920303,0.45121,0.47289,0.43799,0.47289,606406,0
19920304,0.47289,0.49042,0.45121,0.47738,529693,0
19920305,0.47289,0.49042,0.46424,0.46424,518737,0
19920306,0.4598,0.47738,0.43799,0.45121,1990919,0
19920309,0.45121,0.48592,0.43799,0.47738,1231084,0
