Date,Open,High,Low,Close,Volume,OpenInt
20180618,17,17,17,17,100,0
20180625,10.85,15.5,9.552,15.5,7023,0
20180626,13.15,13.5,13.15,13.5,1290,0
20180627,20.18,20.5,19.9,19.9,860,0
20180628,19.9,19.9,14.4,14.4,435,0
20180629,13.55,17.8,13.55,17.8,832,0
20180702,13.56,14.06,13.56,14.06,524,0
20180705,14.1,15.6,14.1,15.6,645,0
20180706,16.05,16.05,15.99,15.99,1537,0
20180709,17.5,17.5,16,16,2121,0
20180710,15.9,16,13.7,13.7,3079,0
20180711,14.3,14.5,14,14,300,0
20180712,13.04,13.45,11.36,11.36,2574,0
20180716,12,12,12,12,391,0
20180718,11.6956,11.8999,11.3339,11.3339,1328,0
20180719,11.5,11.5,11.44,11.44,798,0
20180720,11.05,11.07,10.2705,10.9098,3149,0
20180723,11.3,11.39,10.64,10.8001,1148,0
20180724,11.15,11.2,11.15,11.2,1000,0
20180727,10.84,10.96,10.74,10.9,15957,0
20180730,10.35,10.4,10.25,10.36,3844,0
20180731,10.3,10.3,10.25,10.25,850,0
20180801,9.98,9.98,9.91,9.92,2006,0
20180802,9.73,9.8,9.6499,9.8,880,0
20180803,9.62,9.7399,9.62,9.7399,918,0
20180806,9.56,9.58,8.53,8.53,1666,0
20180807,9.5,9.65,9.5,9.62,1855,0
20180809,9.6,9.6,9.6,9.6,228,0
20180810,8.9999,8.9999,8.9999,8.9999,375,0
20180813,8.9773,9.26,8.9773,9.26,5300,0
20180814,8.9473,8.9473,8.9473,8.9473,223,0
20180815,8.69,8.8,8.69,8.8,1437,0
20180816,8.69,8.7,8.69,8.7,500,0
20180817,8.67,8.9,8.6229,8.8999,3950,0
20180820,9.35,16,9.3499,11.6,144811,0
20180821,10.64,10.949,9.6,9.75,65601,0
20180822,9.7511,9.9001,8.56,9.3518,26290,0
20180823,9.05,9.4897,9,9.2072,11811,0
20180824,9.35,9.77,9.0681,9.5,11750,0
20180827,9.26,9.7311,8.9085,9.6,9684,0
20180828,9.5,9.5475,8.5932,9.4994,8955,0
20180829,9.25,10.4001,8.751,9.8209,23989,0
20180830,8.68,9.04,8.31,8.5,39674,0
20180831,8.58,8.94,8.12,8.7968,5863,0
20180904,8.97,8.97,8.07,8.07,8806,0
20180905,7.9,7.99,7.5257,7.6,8977,0
20180906,7.65,7.9048,7.65,7.65,4410,0
20180907,8,8.75,8,8.57,1503,0
20180910,8.7,8.7,8.5,8.5,2404,0
20180911,8.328,8.375,8.07,8.07,2360,0
20180912,8.07,8.6201,8,8.06,4594,0
20180913,8.1001,8.17,8.06,8.06,1895,0
20180914,8.03,8.0549,8,8,3754,0
20180917,8,8,7.8,7.8,3911,0
20180918,7.99,7.99,7.51,7.51,6368,0
20180919,7.51,8.26,7.22,7.379,3914,0
20180920,7.4,7.834,7.24,7.834,2142,0
20180921,7.3,7.31,7.1,7.3,11324,0
20180924,7.34,7.34,7.25,7.25,835,0
20180925,7.423,9.97,7.1844,7.4925,97711,0
20180926,7.65,7.6989,6.93,7.34,57721,0
20180927,7.35,7.9503,7.3,7.5476,35631,0
20180928,7.5,7.756,7.4,7.5501,11661,0
20181001,7.4,8,6.95,7.7268,57188,0
20181002,7.84,7.84,7.25,7.3,27122,0
20181003,7.43,7.63,7.3,7.35,30888,0
20181004,7.3,7.6065,7.2822,7.3,44796,0
20181005,7.4929,7.8,7.2,7.2,25224,0
20181008,7.15,7.58,7.1115,7.27,17896,0
20181009,7.46,7.8,7.07,7.5,12668,0
20181010,7.639,7.7,7.52,7.52,13097,0
20181011,7.5999,7.8,7.52,7.58,7778,0
20181012,7.49,8.35,7.2,7.9,50809,0
20181015,7.35,8.1875,7.106,7.3604,166180,0
20181016,7.46,7.46,6.53,6.731,61878,0
20181017,6.91,7.0417,6.62,7,20295,0
20181018,7.25,7.25,6.67,7.06,9277,0
20181019,6.97,7.2999,6.9,6.9201,39799,0
20181022,7.21,8.25,7.07,7.5028,142016,0
20181023,7.01,7.166,6.82,6.9908,31164,0
20181024,6.9,7.236,6.72,6.89,25611,0
20181025,7.2,7.3,6.81,6.87,32060,0
20181026,6.87,7.2,6.87,6.9928,30723,0
20181029,7.03,7.389,6.76,7.0525,120079,0
20181030,6.83,6.97,6.401,6.67,34635,0
20181031,6.8,7.19,6.62,6.9557,43585,0
20181101,6.96,7.41,6.72,7,102841,0
20181102,6.99,7.098,6.8401,6.9,15889,0
20181105,7.08,7.1,6.6,6.6,11180,0
20181106,6.69,6.94,6.6,6.9142,7727,0
20181107,7.05,7.34,6.85,7.07,18407,0
20181108,7.3024,7.33,6.8928,7,28839,0
20181109,7.25,7.3,6.9,7.1,18703,0
20181112,7.31,7.6999,7.0056,7.4752,24384,0
20181113,7.4035,7.41,7.22,7.2461,12871,0
20181114,7.3,7.4,7,7,13591,0
20181115,7,7.2372,6.87,7.02,9571,0
20181116,6.89,7.2,6.6101,6.8448,11080,0
20181119,6.84,6.84,6.5001,6.52,10612,0
20181120,6.5,6.78,6.5,6.6,6742,0
