Date,Open,High,Low,Close,Volume,OpenInt
20190206,10.01,10.0598,10.01,10.01,1156592,0
20190207,10.02,10.0386,10.02,10.02,83904,0
20190208,10.03,10.04,10.02,10.03,12730,0
20190211,10.0299,10.04,10.0299,10.03,15130,0
20190212,10.02,10.03,10.02,10.03,5100,0
20190213,10.02,10.03,10.02,10.03,20817,0
20190214,10.02,10.04,10.02,10.04,27787,0
20190215,10.03,10.04,10.03,10.04,6346,0
20190220,10.02,10.0357,10.02,10.0357,6093,0
20190221,10.0471,10.05,10.0467,10.05,11146,0
20190222,10.05,10.06,10.05,10.06,56492,0
20190225,10.06,10.06,10.021,10.05,5505,0
20190227,10.05,10.05,10.04,10.04,5100,0
20190228,10.05,10.05,10.04,10.05,25900,0
20190301,10.08,10.08,10.06,10.06,7676,0
20190306,10.05,10.08,10.0439,10.08,48908,0
20190307,10.07,10.08,10.07,10.08,20400,0
20190308,10.08,10.08,10.06,10.06,10100,0
20190311,10.055,10.08,10.03,10.08,30020,0
20190312,10.08,10.12,10.07,10.07,99041,0
20190314,10.09,10.09,10.09,10.09,100,0
20190319,10.08,10.08,10.08,10.08,183,0
20190320,10.08,10.081,10.08,10.081,200,0
20190321,10.08,10.08,10.05,10.05,3234,0
20190325,10.0525,10.0525,10.0525,10.0525,100,0
20190326,10.05,10.07,10.05,10.07,22302,0
20190327,10.07,10.07,10.01,10.01,300,0
20190328,10.08,10.08,10.07,10.08,2800,0
20190401,10.08,10.08,10.03,10.08,8080,0
20190403,10.0001,10.0001,10.0001,10.0001,1000,0
20190404,10.07,10.07,10.07,10.07,100,0
20190409,10.07,10.08,10.055,10.055,1200,0
20190410,10.06,10.06,10.05,10.05,5350,0
20190411,10.08,10.09,10.08,10.09,15477,0
20190424,10.11,10.15,10.1,10.12,5405,0
20190425,10.12,10.14,10.12,10.12,10800,0
20190426,10.12,10.12,10.12,10.12,1000,0
20190503,10.15,10.15,10.15,10.15,219650,0
20190508,10.14,10.14,10.05,10.05,2000,0
20190517,10.1392,10.14,10.11,10.11,1053,0
20190520,10.137,10.14,10.11,10.11,700,0
20190522,10.13,10.15,10.1264,10.13,4100,0
20190523,10.0932,10.0932,10.0932,10.0932,100,0
20190528,10.1,10.105,10.09,10.1,7500,0
20190529,10.1253,10.1253,10.1253,10.1253,100,0
20190530,10.08,10.15,10.08,10.1419,13530,0
20190607,10.14,10.14,10.14,10.14,197,0
20190610,10.18,10.18,10.18,10.18,100,0
20190611,10.18,10.18,10.18,10.18,100,0
20190614,10.1684,10.172,10.05,10.05,1700,0
20190627,10.15,10.15,10.15,10.15,1000,0
20190702,10.15,10.1502,10.15,10.1502,200,0
20190705,10.2,10.2,10.2,10.2,1072,0
20190709,10.23,10.23,10.23,10.23,1428,0
20190711,10.21,10.21,10.21,10.21,2500,0
20190717,10.21,10.22,10.21,10.22,200,0
20190718,10.218,10.218,10.218,10.218,1000,0
20190719,10.24,10.24,10.22,10.22,1100,0
20190722,10.25,10.25,10.24,10.25,2334,0
20190724,10.25,10.3074,10.25,10.3074,600,0
20190725,10.3,10.3,10.25,10.29,1000,0
20190726,10.29,10.29,10.29,10.29,200,0
20190729,10.28,10.28,10.28,10.28,300,0
20190814,10.29,10.29,10.29,10.29,366,0
20190815,10.29,10.29,10.29,10.29,1300,0
20190819,10.35,10.35,10.35,10.35,1000,0
20190822,10.37,10.37,10.37,10.37,1093,0
20190911,10.38,10.38,10.38,10.38,200,0
20190913,10.38,10.3801,10.38,10.3801,200,0
20190917,10.38,10.3801,10.38,10.3801,210,0
20190924,10.4,10.4,10.4,10.4,4000,0
20190925,10.4,10.4,10.4,10.4,1000,0
20191007,10.3939,10.3939,10.3213,10.3213,1000,0
20191008,10.36,10.4,10.36,10.4,1900,0
20191010,10.41,10.41,10.335,10.335,5100,0
20191023,10.44,10.44,10.44,10.44,200,0
20191025,10.4,10.4,10.4,10.4,100,0
20191101,10.45,10.55,10.45,10.55,3500,0
20191115,10.48,10.48,10.48,10.48,100,0
20191118,10.5144,10.5144,10.5144,10.5144,100,0
20191203,10.5,10.5,10.49,10.5,4124,0
20191204,10.475,10.5,10.475,10.5,300,0
20191205,10.51,10.51,10.5,10.5,10000,0
20191206,10.5,10.5,10.5,10.5,5000,0
20191212,10.4001,10.4001,10.4001,10.4001,200,0
20191230,10.45,10.47,10.45,10.47,1700,0
20200108,10.52,10.52,10.52,10.52,1000,0
20200115,10.55,10.55,10.55,10.55,10000,0
20200117,10.62,10.62,10.62,10.62,401,0
