Date,Open,High,Low,Close,Volume,OpenInt
20180606,5.5101,5.7,5.5101,5.6001,18745,0
20180607,5.695,5.695,5.695,5.695,117,0
20180608,5.75,5.75,5.5501,5.69,11658,0
20180611,5.55,5.55,5.532,5.55,11800,0
20180612,5.55,5.55,5.501,5.533,10367,0
20180613,5.55,5.55,5.5001,5.5001,6924,0
20180614,5.5,5.5499,5.5,5.54,7499,0
20180615,5.6,5.6388,5.6,5.6388,643,0
20180618,5.5001,5.5199,5.3517,5.5,8146,0
20180619,5.42,5.45,5.416,5.45,26570,0
20180620,5.45,5.45,5.4234,5.45,8900,0
20180621,5.4892,5.8376,5.4835,5.817,6672,0
20180622,5.83,5.9,5.7397,5.8975,16304,0
20180625,5.8247,5.85,5.8,5.8,7303,0
20180626,5.7577,5.7577,5.651,5.651,5700,0
20180627,5.8,5.85,5.651,5.651,23385,0
20180628,5.68,5.68,5.68,5.68,500,0
20180629,5.7,5.7001,5.69,5.7001,6882,0
20180702,5.6,5.6954,5.55,5.69,16412,0
20180703,5.67,5.7,5.551,5.7,8624,0
20180705,5.71,5.71,5.35,5.4892,33258,0
20180706,5.592,5.592,5.566,5.566,5100,0
20180709,5.5724,5.84,5.57,5.84,28820,0
20180710,5.84,5.84,5.7186,5.8,7540,0
20180711,5.8119,5.839,5.8,5.83,8971,0
20180712,5.84,6.1499,5.84,6.02,50552,0
20180716,5.9,6.0517,5.9,6.0517,284,0
20180717,5.75,6.0898,5.749,6.08,9800,0
20180718,5.8526,6.15,5.8526,6.141,14515,0
20180719,6.1099,6.22,6.001,6.17,48268,0
20180720,6.18,6.35,6.1755,6.3,12208,0
20180723,6.041,6.25,6.0401,6.23,22221,0
20180724,6.1543,6.229,6.09,6.17,9783,0
20180725,6,6.145,6,6.145,337,0
20180726,6.07,6.0937,5.95,6.01,29178,0
20180727,6.02,6.02,5.931,5.995,5206,0
20180730,5.95,5.95,5.83,5.83,2946,0
20180731,6.1198,6.1208,5.861,5.8807,59066,0
20180801,5.96,6.26,5.86,5.9372,23135,0
20180802,5.75,6.13,5.75,5.99,6622,0
20180803,5.9614,5.991,5.9614,5.991,2384,0
20180806,5.8453,5.98,5.8453,5.98,347,0
20180807,5.91,5.9101,5.91,5.91,5220,0
20180809,5.83,5.858,5.81,5.83,10594,0
20180810,5.75,5.7974,5.6199,5.791,13002,0
20180813,5.8,6.25,5.8,5.9001,10828,0
20180814,5.88,5.88,5.55,5.7,10634,0
20180815,5.6656,5.68,5.6499,5.68,6960,0
20180816,5.688,5.7,5.5804,5.6,15692,0
20180817,5.6281,5.6281,4.981,5.57,24725,0
20180820,5.281,5.427,5.25,5.3,16522,0
20180821,5.217,5.2612,5.217,5.2575,9198,0
20180822,5.249,5.249,5.1245,5.2,40290,0
20180823,5.15,5.15,5,5.1439,16442,0
20180824,5.15,5.35,5.15,5.35,10547,0
20180828,5.32,5.51,5.266,5.49,23710,0
20180829,5.6,5.6,5.385,5.5722,10937,0
20180830,5.55,5.65,5.353,5.62,33432,0
20180831,5.64,5.64,5.31,5.31,398,0
20180904,5.6,5.6,5.322,5.47,7144,0
20180905,5.47,5.6,5.47,5.6,3883,0
20180906,5.6,5.65,5.5718,5.65,47116,0
20180907,5.6,5.6192,5.6,5.6086,33410,0
20180910,5.64,5.85,5.62,5.7,21813,0
20180911,5.73,6.225,5.73,6,54604,0
20180912,5.91,6.29,5.6101,5.75,20096,0
20180913,5.85,6.25,5.65,6.25,22284,0
20180914,5.85,6.09,5.6,5.83,19874,0
20180917,6.1,6.25,5.9,5.93,28349,0
20180918,6,6.05,5.73,5.97,22249,0
20180919,5.83,6,5.75,5.98,20109,0
20180920,6,6.3,5.82,5.87,16558,0
20180921,5.9,5.93,5.2,5.31,47789,0
20180924,5.35,5.61,5.35,5.5,7048,0
20180925,5.49,5.585,5.38,5.53,4573,0
20180926,5.56,5.74,5.56,5.74,9914,0
20180927,5.75,5.75,5.4773,5.54,7422,0
20180928,5.63,5.87,5.55,5.67,29316,0
20181001,5.69,5.7888,5.69,5.75,2673,0
20181002,5.6869,5.91,5.6869,5.91,556,0
20181003,5.6168,5.86,5.6168,5.63,1090,0
20181004,5.72,5.84,5.59,5.84,1258,0
20181005,5.5065,5.75,5.43,5.46,14999,0
20181008,5.52,5.75,5.52,5.75,1432,0
20181009,5.4672,5.73,5.4672,5.55,2746,0
20181010,5.4916,5.5324,5.36,5.36,2024,0
20181011,5.42,5.584,5.42,5.55,5235,0
20181012,5.5,5.5065,5.435,5.435,3619,0
20181015,5.48,5.55,5.4799,5.55,8621,0
20181016,5.5,5.58,5.5,5.58,222,0
20181017,5.5145,5.5145,5.5,5.5,965,0
20181018,5.55,5.55,5.5,5.55,1039,0
20181019,5.431,5.6,5.43,5.6,8426,0
20181022,5.59,5.601,5.43,5.44,5508,0
20181023,5.43,5.43,5.22,5.38,3081,0
20181024,5.3,5.3741,5.3,5.32,2718,0
20181025,5.21,5.21,5.21,5.21,510,0
20181026,5.3373,5.3489,5.21,5.21,7325,0
20181029,5.19,5.19,4.906,5,9844,0
20181030,5,5.03,4.9142,5.03,4548,0
20181031,5.04,5.13,5,5.12,12316,0
20181101,5.12,5.12,4.9001,5.007,4883,0
20181102,5.07,5.12,5.07,5.12,1302,0
20181105,5.0449,5.0449,5.02,5.02,1049,0
20181106,5.0881,5.0881,4.9,4.9,986,0
20181107,4.75,4.75,4.012,4.08,50080,0
20181108,3.65,4.35,3.62,4.15,31120,0
20181109,4.2292,4.28,4.16,4.2,18216,0
20181112,4.22,4.221,3.43,3.88,27809,0
20181113,3.6211,4.222,3.6211,4.2,2834,0
20181114,4.2001,4.217,4,4.2,13699,0
20181115,4.3,4.3,4.035,4.175,1207,0
20181116,4.035,4.347,4,4.347,1735,0
20181119,4.14,4.2243,3.68,3.76,18255,0
20181120,3.6683,3.9,3.6683,3.71,2006,0
20181121,3.7,4.12,3.7,3.7,5532,0
20181123,3.85,4,3.85,4,3843,0
20181126,3.7185,3.99,3.7185,3.8712,1383,0
20181127,3.8948,3.8948,3.84,3.84,811,0
20181128,3.9999,4.0922,3.995,4.0922,1866,0
20181130,4.08,4.245,3.76,3.97,10357,0
20181203,3.95,4.1,3.95,4.1,941,0
20181206,4,4.05,3.93,3.93,1471,0
20181207,4.075,4.1,4.075,4.1,500,0
20181210,4,4,3.85,3.85,4081,0
20181211,4.099,4.099,3.85,3.9923,8400,0
20181212,3.86,3.8989,3.76,3.8989,12944,0
20181214,3.81,4.31,3.7,4.31,5099,0
20181217,4.31,4.31,3.9404,3.9404,1629,0
20181219,3.98,3.98,3.98,3.98,185,0
20181224,3.65,3.85,3.55,3.55,4608,0
20181226,3.99,3.99,3.9,3.9,702,0
20181228,3.75,3.855,3.55,3.7722,13404,0
20181231,3.78,4.0601,3.78,4,11954,0
20190102,4,5.49,3.6094,5.49,40102,0
20190103,4.9,4.9,4.41,4.5819,795,0
20190104,4.7294,4.75,4.58,4.75,1312,0
20190107,4.74,4.8,4.74,4.75,3318,0
20190108,4.53,4.625,4.0006,4.2434,7828,0
20190109,4.25,4.25,4.0025,4.23,6039,0
20190110,4.2001,4.2001,4.2001,4.2001,400,0
20190111,4.3,4.3,4.25,4.255,2403,0
20190114,4.1805,4.1805,4.1805,4.1805,1159,0
20190115,3.7001,4.2,3.7001,4,16468,0
20190116,3.9,4.425,3.8,4.425,10572,0
20190128,4.23,4.35,4.2,4.2,16532,0
20190129,4.0001,4.2894,3.9,3.9,26453,0
20190130,3.9,4.29,3.85,4.2899,5107,0
20190131,4.0001,4.1,3.98,4.1,3673,0
20190201,4.09,4.1234,4.09,4.1,2212,0
20190205,4.1387,4.215,4.0001,4.15,18426,0
20190207,4.05,4.145,3.85,4,8349,0
20190208,3.9807,4,3.86,3.93,5697,0
20190211,3.92,3.92,3.92,3.92,249,0
20190212,3.9001,3.95,3.85,3.9,9268,0
20190213,3.99,4.0201,3.98,4.0201,6601,0
20190214,4.02,4.27,4.0001,4.03,1596,0
20190215,4.1,4.25,4.1,4.12,4612,0
20190219,4.0404,4.13,4,4.1,11714,0
20190220,4.02,4.02,3.96,4.01,6874,0
20190221,4.1102,4.1102,4.1102,4.1102,612,0
20190222,4.1273,4.1608,4,4.0001,16230,0
20190225,3.9601,4.16,3.9601,4.16,573,0
20190226,4.0983,4.17,4.0983,4.17,6117,0
20190227,4.2,4.2,4,4,3922,0
20190301,4.02,4.02,4.02,4.02,378,0
20190304,4,4.15,4,4.1499,2977,0
20190305,4.1039,4.2,4.1,4.1,4388,0
20190306,4.23,4.23,4.02,4.15,39046,0
20190307,4.03,4.03,4.03,4.03,382,0
20190308,4.21,4.21,4,4.1,1076,0
20190311,4.15,4.15,4.03,4.11,4653,0
20190312,4.0695,4.15,3.9396,3.98,4457,0
20190313,4.01,4.13,3.96,3.96,12773,0
20190314,3.97,4.01,3.97,4.01,1377,0
20190315,4.08,4.08,3.98,4.0247,43027,0
20190318,4.05,4.05,4,4,6493,0
20190319,4.05,4.1003,4.05,4.06,16207,0
20190320,4.06,4.06,4.04,4.04,2627,0
20190321,4.04,4.04,3.96,3.96,7027,0
20190322,3.9973,4.0207,3.98,3.98,6413,0
20190327,3.93,3.93,3.9296,3.9296,653,0
20190329,3.9642,3.9642,3.93,3.93,5307,0
20190401,3.98,4.048,3.968,3.968,10262,0
20190402,3.96,3.96,3.87,3.9,5316,0
20190403,3.8601,3.96,3.8601,3.88,10684,0
20190405,3.9299,3.9299,3.915,3.915,602,0
20190408,3.95,3.9899,3.92,3.92,11801,0
20190409,5.41,5.8,4.91,5.32,2379219,0
20190410,5.28,5.91,5.28,5.53,614180,0
20190411,5.19,5.6,5.1255,5.6,65949,0
20190412,5.64,5.65,5.305,5.57,49857,0
20190415,5.55,5.7,5.53,5.58,33078,0
20190416,5.679,5.679,5.5,5.59,12519,0
20190417,5.6875,5.69,5.58,5.6,22403,0
20190418,5.65,5.69,5.62,5.69,25731,0
20190422,5.69,5.7,5.6311,5.7,11741,0
20190423,5.7,5.83,5.6717,5.75,87554,0
20190424,5.695,5.77,5.6582,5.75,17131,0
20190425,5.695,5.78,5.64,5.715,29809,0
20190426,5.5,5.7,5.5,5.68,11474,0
20190429,5.65,5.76,5.63,5.76,40189,0
20190430,5.58,5.8,5.58,5.8,14304,0
20190501,5.566,5.7,5.5301,5.69,21749,0
20190502,5.77,5.78,5.54,5.5999,20468,0
20190503,5.5227,5.66,5.52,5.52,3505,0
20190506,5.6015,5.7499,5.6015,5.61,4093,0
20190507,5.7304,5.8,5.68,5.76,30980,0
20190508,5.75,5.75,5.66,5.66,13852,0
20190509,5.5792,5.68,5.45,5.6,39916,0
20190510,5.53,5.6,5.434,5.48,23865,0
20190513,5.31,5.59,5.3,5.42,19826,0
20190514,5.3888,5.4,5.02,5.29,55847,0
20190515,5.39,5.39,5.25,5.25,510,0
20190516,5.21,5.21,5.1939,5.2,6728,0
20190517,5.09,5.29,5.09,5.25,12205,0
20190520,5.4,5.5,5.4,5.5,27749,0
20190521,5.49,5.5,5.42,5.49,12931,0
20190522,5.45,5.4701,5.41,5.46,36742,0
20190524,5.4005,5.45,5.4,5.45,6523,0
20190528,5.24,5.3862,5.24,5.35,10424,0
20190529,5.3635,5.37,5.261,5.29,13471,0
20190530,5.26,5.5,5.176,5.2291,40711,0
20190531,5.24,5.4989,5.24,5.49,15202,0
20190603,5.45,5.6,5.356,5.49,40546,0
20190604,5.5,5.5,5.35,5.35,1518,0
20190605,5.2863,5.5,5.2863,5.5,1943,0
20190606,5.32,5.5,5.32,5.48,2009,0
20190610,5.27,5.5,5.27,5.4,7756,0
20190611,5.47,5.4962,5.47,5.47,408,0
20190612,5.3,5.45,5.3,5.37,2372,0
20190613,5.49,5.49,5.46,5.46,1534,0
20190614,5.46,5.46,5.31,5.3746,1110,0
20190617,5.321,5.4873,5.3,5.4363,3262,0
20190618,5.36,5.4427,5.31,5.44,7521,0
20190619,5.49,5.49,5.3,5.4873,2434,0
20190620,5.32,5.4889,5.29,5.48,5649,0
20190621,5.47,5.48,5.47,5.47,1902,0
20190624,5.48,5.5,5.48,5.4801,7296,0
20190625,5.47,5.47,5.4,5.47,5528,0
20190626,5.4,5.435,5.4,5.4,1419,0
20190627,5.55,5.68,5.5,5.6,89113,0
20190628,5.61,5.6889,5.61,5.62,7759,0
20190701,5.65,5.725,5.65,5.71,19543,0
20190702,5.6943,5.71,5.6943,5.71,2080,0
20190703,5.7,5.7,5.692,5.692,1400,0
20190705,5.74,5.775,5.7025,5.762,22353,0
20190708,5.75,5.8,5.73,5.77,21773,0
20190709,5.765,5.7899,5.73,5.7641,27019,0
20190710,5.76,5.78,5.7494,5.76,16328,0
20190711,5.77,5.829,5.75,5.79,49425,0
20190712,5.79,5.84,5.73,5.73,33220,0
20190715,5.74,5.7628,5.73,5.7628,11038,0
20190716,5.76,5.85,5.67,5.75,84460,0
20190717,5.68,5.75,5.6716,5.7,25528,0
20190718,5.73,5.745,5.6816,5.71,4133,0
20190719,5.721,5.7293,5.72,5.7211,7791,0
20190722,5.68,5.73,5.65,5.68,46851,0
20190723,5.74,5.75,5.51,5.61,40764,0
20190724,5.61,5.63,5.5,5.57,9396,0
20190725,5.58,5.65,5.4,5.4,7418,0
20190726,5.84,6.5,5.76,5.76,70043,0
20190729,5.99,6.68,5.9708,6.4,15411,0
20190730,6.3,6.99,6.2923,6.85,38773,0
20190731,6.99,8.55,6.99,7.4,68412,0
20190801,7.5,7.74,7.22,7.22,5204,0
20190802,7.46,7.46,7.27,7.43,24897,0
20190805,7.37,7.75,7.2342,7.2862,36967,0
20190806,7.28,7.74,7.1,7.1,3075,0
20190807,7.56,7.75,7.2252,7.69,14722,0
20190808,7.75,7.8,7.4801,7.8,12462,0
20190809,7.5677,7.94,7.5677,7.93,41624,0
20190812,7.93,8.03,7.9,8,12704,0
20190813,7.9826,7.9826,7.9826,7.9826,752,0
20190814,7.95,7.95,7.62,7.9,6860,0
20190815,7.81,7.81,7.5,7.74,8214,0
20190819,7.62,7.68,6.83,6.83,12909,0
20190820,6.84,7.4554,6.83,7.0349,6025,0
20190821,7.17,7.17,6.2,6.7575,26655,0
20190822,6.8,6.9722,6.6933,6.93,12566,0
20190823,7.14,7.14,6.69,6.96,3103,0
20190826,6.95,6.95,6.7,6.7,882,0
20190827,6.9,6.9,6.69,6.6995,2082,0
20190828,6.79,6.9,6.6,6.6,4567,0
20190830,6.63,6.63,6.5,6.5,4601,0
20190903,6.84,7.13,6.5,6.95,11341,0
20190904,6.98,7.06,6.8,7.06,4063,0
20190905,6.5401,7.16,6.5401,6.93,4964,0
20190906,6.9,6.9,6.9,6.9,144,0
20190909,6.94,7.1,6.55,6.88,7970,0
20190910,6.55,6.9,6.55,6.9,236,0
20190912,6.72,7.06,6.18,7,6262,0
20190913,6.26,6.82,6.26,6.82,4006,0
20190916,7.2,7.2,6.49,6.5,5736,0
20190917,6.52,6.81,6.23,6.42,7116,0
20190918,6.6,6.98,6.31,6.92,19401,0
20190919,6.46,7,6.46,7,1995,0
20190920,6.52,7.0636,6.4975,7.05,5905,0
20190923,7.15,7.1962,6.89,7.1962,1039,0
20190926,6.4967,7.095,6.4967,7,6524,0
20190927,6.71,7.05,6.71,7,2013,0
20190930,7.19,7.19,7.19,7.19,103,0
20191001,6.795,7.12,6.7784,7.12,2699,0
20191003,6.75,7.09,6.75,7.09,629,0
20191007,7.09,7.09,6.8386,7,1676,0
20191008,7,7,6.52,6.79,2808,0
20191009,6.91,7,6.91,7,2379,0
20191014,6.63,6.8801,6.54,6.7837,5184,0
20191015,6.4,6.74,6.4,6.74,3241,0
20191016,6.99,6.99,6.468,6.8,1824,0
20191017,6.7,6.7,6.5,6.7,1454,0
20191018,6.5,6.8,6.5,6.5,4321,0
20191021,6.4,6.5,6.4,6.5,694,0
20191022,6.39,6.47,6.358,6.47,2388,0
20191023,6.29,6.45,6.29,6.45,1446,0
20191024,6.45,6.48,6.4,6.48,796,0
20191025,6.4,6.48,6.2501,6.47,2585,0
20191029,6.27,6.49,5.55,5.61,10358,0
20191030,5.9,6.24,5.9,6.24,3615,0
20191031,6.14,6.3,5.96,6,9145,0
20191101,5.9819,6.24,5.96,6.2,6059,0
20191104,6,6,5.78,5.88,13533,0
20191105,6.16,6.16,6.16,6.16,204,0
20191106,6,6,5.958,6,2171,0
20191107,6,6.09,5.89,5.98,3530,0
20191108,6.1,6.12,5.89,6.12,1127,0
20191113,5.755,6.1,5.755,6.1,5606,0
20191114,5.81,6.05,5.81,6.05,6609,0
20191115,6,6,5.99,5.99,498,0
20191118,5.9,6.05,5.75,5.95,8219,0
20191119,6.01,6.45,5.94,6.26,18141,0
20191120,6.12,6.5,6.11,6.11,74851,0
20191121,6.41,6.46,6.41,6.46,609,0
20191122,6.35,6.35,6.27,6.35,14169,0
20191125,6.35,6.35,6.35,6.35,466,0
20191126,6.35,6.35,6.09,6.35,13303,0
20191127,6.09,6.35,6.09,6.35,3252,0
20191202,6.46,6.75,6.46,6.7,15382,0
20191203,6.87,7,6.75,7,7088,0
20191204,6.97,7,6.73,6.8602,9136,0
20191205,6.9832,7,6.9832,7,1168,0
20191206,6.66,7.01,6.66,7,11897,0
20191209,7.08,7.08,7.08,7.08,225,0
20191210,7,7,7,7,3311,0
20191211,7,7.05,6.385,6.76,8390,0
20191212,6.99,7,6.41,7,5006,0
20191213,7,7,7,7,920,0
20191216,6.68,7.1,6.6065,6.81,4840,0
20191217,6.95,7,6.5,6.5,23987,0
20191218,6.64,6.64,6.51,6.51,17211,0
20191219,6.6287,6.9,6.51,6.51,42558,0
20191220,6.8045,6.9,6.53,6.61,32973,0
20191223,6.9,6.9,6.56,6.61,20300,0
20191224,6.83,6.8463,6.72,6.79,1219,0
20191226,6.85,7,6.73,7,5917,0
20191227,6.97,7,6.97,6.99,2014,0
20191230,6.9,7,6.66,6.99,27340,0
20191231,6.9,7.25,6.9,7.09,16433,0
20200102,7.0088,7.07,7.0088,7.07,302,0
20200103,7.07,7.07,6.8,6.85,51041,0
20200106,6.9,6.9078,6.85,6.9078,706,0
20200107,6.905,6.91,6.905,6.91,485,0
20200108,6.9,6.9,6.58,6.58,7361,0
20200109,6.9399,6.9399,6.75,6.75,3679,0
20200110,6.65,6.65,6.65,6.65,226,0
20200113,6.95,7.25,6.85,6.85,7717,0
20200114,7,7,7,7,591,0
20200115,7,7,7,7,1949,0
20200117,6.9202,6.9202,6.9202,6.9202,1824,0
20200121,6.76,7,6.76,6.8207,2480,0
20200122,6.8402,6.8402,6.8,6.8,2658,0
20200123,6.8217,6.9005,6.8,6.9005,5564,0
