Date,Open,High,Low,Close,Volume,OpenInt
20150506,14,14.09,11.13,13.77,905963,0
20150507,13.65,14.89,12.79,13.94,157047,0
20150508,13.89,14.5,13.19,14.28,40900,0
20150511,14.5,14.77,13.98,14.64,90500,0
20150512,14.15,14.85,14,14.01,137610,0
20150513,14.33,14.8,14.15,14.18,31200,0
20150514,14.67,14.67,14.22,14.36,9600,0
20150515,14.3,14.5,14,14.18,81315,0
20150518,14.03,14.65,14.024,14.23,181953,0
20150519,14.1,14.65,13.5,14.2,171600,0
20150520,14.5,14.5,13.72,14.05,51300,0
20150521,14.5,14.5,13.66,14.06,135900,0
20150522,14.18,14.47,12.77,14.11,190200,0
20150526,13.81,14.43,13.57,13.83,24674,0
20150527,13.6,14.4,12.88,14.28,129000,0
20150528,14.05,14.24,13.6,14,28349,0
20150529,13.69,14.4,13.56,14.35,33400,0
20150601,14.2,14.2,13,13.91,15900,0
20150602,14.5,17.38,13.983,16.16,202307,0
20150603,16.65,19.75,16.08,17.56,226400,0
20150604,17.07,18.17,14.3,15.31,99700,0
20150605,15.39,16.9,14.77,15.61,30900,0
20150608,16.02,17.82,15.71,16.55,26300,0
20150609,16.77,17.23,15.97,16.19,150006,0
20150610,16.48,16.79,14.9,15.36,193204,0
20150611,15.15,15.87,14.57,15.23,58640,0
20150612,15.7,15.7,14.6,15.27,103400,0
20150615,14.82,15.6,14.82,15.44,35100,0
20150616,15.14,16.07,15,15.41,60600,0
20150617,15.31,15.65,14.08,14.72,226200,0
20150618,14.75,15.01,14.67,14.76,26900,0
20150619,14.87,14.96,13.5,13.71,197200,0
20150622,13.99,14.15,12.1,13.05,325200,0
20150623,13,13.11,12.26,12.399,42168,0
20150624,12.39,12.58,11.61,11.61,62500,0
20150625,11.69,12.13,10.75,11.29,159600,0
20150626,11.45,11.88,11.04,11.33,99800,0
20150629,11.01,11.4,10.22,10.74,18800,0
20150630,10.96,11.43,10.52,11.15,128100,0
20150701,11.09,12.36,10.7,11.99,127300,0
20150702,11.96,12.44,11.6,12.44,14100,0
20150706,12.39,12.92,11.82,12.59,16200,0
20150707,12.49,12.49,11.71,12.01,51500,0
20150708,11.73,12.4,11.57,11.57,26900,0
20150709,11.8,12.12,11.38,11.78,92200,0
20150710,11.8,11.87,11.64,11.64,47300,0
20150713,11.89,12.01,11.02,11.41,50800,0
20150714,11.51,11.51,10.04,10.69,16717,0
20150715,10.78,11.1,10.5,10.51,15803,0
20150716,10.78,11.47,10.52,10.7,47100,0
20150717,10.76,11.28,10.76,10.76,2400,0
20150720,10.87,11.22,9.97,10.5,22600,0
20150721,10.41,10.86,10.34,10.34,32900,0
20150722,10.39,11.13,10.15,10.38,14600,0
20150723,10.56,11.16,10.22,10.44,13300,0
20150724,10.44,11.33,10.23,10.37,15000,0
20150727,10.4,10.79,9.98,9.98,26100,0
20150728,10.03,10.46,9.99,10.41,13200,0
20150729,10.35,10.48,9.92,9.93,14500,0
20150730,9.92,10.09,9,9.23,90600,0
20150731,9.28,9.48,8.73,8.78,26500,0
20150803,8.78,8.78,7.9,8.08,37942,0
20150804,7.95,7.95,7.42,7.74,29600,0
20150805,7.98,8.01,6.81,7.26,50600,0
20150806,9,9.71,7.4,8.42,101085,0
20150807,7.95,8.51,7.45,7.64,44400,0
20150810,7.63,7.98,7.4,7.55,8500,0
20150811,7.39,7.67,7.3,7.35,43587,0
20150812,7.69,7.72,7.26,7.26,24500,0
20150813,7.32,7.68,5.74,6.05,22700,0
20150814,6.2,6.72,5.52,5.8,15000,0
20150817,5.83,6.37,5.65,5.73,31800,0
20150818,5.93,5.98,5.66,5.75,25200,0
20150819,5.85,6,5.45,5.45,8600,0
20150820,5.6,6.25,5.58,5.58,22100,0
20150821,5.64,6.02,5.45,5.58,12700,0
20150824,4.68,5.51,4.5,5.26,26966,0
20150825,5.94,6.07,5.5,5.52,20000,0
20150826,6,6,5.51,5.72,42800,0
20150827,5.8,6.02,5.3,5.45,42600,0
20150828,5.48,5.69,5.48,5.69,4500,0
20150831,5.7,5.8,5.55,5.57,8400,0
20150901,5.57,6.05,5.52,5.84,6800,0
20150902,5.88,5.88,5.51,5.58,13200,0
20150903,5.6,6.01,5.6,5.7,6500,0
20150904,5.77,6.03,5.68,5.93,11300,0
20150908,6.05,6.23,5.91,6.19,18200,0
20150909,6.09,6.28,5.91,6.21,6600,0
20150910,6.37,6.478,6.12,6.47,4703,0
20150911,6.65,7.33,6.41,7.16,27600,0
20150914,7.21,8,6.94,8,12900,0
20150915,8.09,8.27,7.3,8.1,7000,0
20150916,7.96,8.9,7.69,8.65,8600,0
20150917,10.32,11.29,9.01,11.29,48600,0
20150918,11.5,13.1,10.88,11.47,55000,0
20150921,12.34,12.69,11.35,11.89,20500,0
20150922,11.4,11.57,11.03,11.37,6300,0
20150923,11.03,11.34,11.02,11.31,8700,0
20150924,11.04,11.12,9.2163,11.12,16004,0
20150925,10.92,11.21,10.04,10.13,16100,0
20150928,8.9,9.43,8.11,8.29,16620,0
20150929,8.19,9.3,7.81,7.81,11100,0
20150930,7.96,8.85,7.5,7.62,28900,0
20151001,9.08,9.08,7.38,7.58,8600,0
20151002,7.78,8.19,7.55,7.65,5800,0
20151005,7.82,9.59,7.82,8.73,6781,0
20151006,8.5,8.7,8.04,8.04,5200,0
20151007,8.17,8.2,7.72,7.72,7800,0
20151008,7.69,8.2,6.76,7.33,11700,0
20151009,7.65,7.9,6.66,6.84,50300,0
20151012,6.91,6.91,6,6.13,3975,0
20151013,7.32,7.32,6,6.08,4500,0
20151014,6.01,6.8,6,6.02,9200,0
20151015,6.1,6.6,6.1,6.25,10000,0
20151016,6.22,6.22,5.66,5.66,5000,0
20151019,5.84,5.9,5.26,5.46,26900,0
20151020,5.5,5.7,4.75,5.04,7240,0
20151021,5.02,5.15,4.9,5.05,11500,0
20151022,5.11,5.37,5,5.06,8600,0
20151023,5.35,5.85,5.14,5.53,8400,0
20151026,6,6.03,5.15,5.36,15600,0
20151027,5.29,5.3,5.05,5.05,20500,0
20151028,5.22,5.41,5.06,5.41,6900,0
20151029,5.46,5.79,5.32,5.45,8300,0
20151030,5.12,5.62,5.06,5.27,6200,0
20151102,5.29,5.44,5.15,5.4,7477,0
20151103,5.67,5.96,5.28,5.96,11500,0
20151104,5.43,5.96,5.24,5.96,7037,0
20151105,5.47,5.96,5.28,5.86,5700,0
20151106,5.9,6.03,5.9,6.02,1800,0
20151109,6.02,6.02,5.76,5.82,6974,0
20151110,5.75,5.85,5.75,5.85,1000,0
20151111,5.75,5.85,5.39,5.54,3700,0
20151112,5.46,5.46,5.4,5.4,1900,0
20151113,5.53,5.93,4.9,5,28500,0
20151116,4.9,4.93,4.6,4.63,7600,0
20151117,4.98,5.46,4.82,5.42,16600,0
20151118,5.04,5.25,5,5.03,3900,0
20151119,5.15,5.23,5.11,5.11,1100,0
20151120,5.04,5.25,5,5.05,3700,0
20151123,5.18,5.24,5.05,5.13,7800,0
20151124,5.1,5.13,5,5.13,1700,0
20151125,5.15,5.15,4.8,5.08,12400,0
20151127,4.96,5.24,4.96,5.14,1200,0
20151130,5.15,5.2,4.76,4.95,5400,0
20151201,4.816,4.88,4.816,4.88,462,0
20151203,4.9,4.9999,4.61,4.855,3421,0
20151204,4.96,4.96,4.75,4.91,1800,0
20151207,4.75,4.75,4.6,4.75,1900,0
20151208,4.9882,4.9882,4.66,4.66,5492,0
20151209,4.96,4.96,4.65,4.78,1600,0
20151210,4.9,4.9,4.68,4.76,1800,0
20151211,4.8,4.8,4.66,4.7,5100,0
20151214,4.651,5.1,4.651,5.09,10561,0
20151215,5.15,5.5,4.93,5.07,12500,0
20151216,5.34,5.34,5.09,5.18,8500,0
20151217,5.14,5.34,5.14,5.2,2000,0
20151218,5.13,5.34,5.09,5.25,4100,0
20151221,5.34,5.34,4.69,4.69,21000,0
20151222,4.71,5.01,4.6,4.6,7812,0
20151223,4.6,4.71,4.32,4.66,26000,0
20151224,4.69,4.69,4.69,4.69,172,0
20151228,4.6999,4.6999,4.4,4.45,3061,0
20151229,4.4725,4.4725,4.16,4.2,12426,0
20151230,4.19,4.29,4.14,4.14,1125,0
20151231,4.21,4.48,4.08,4.36,4796,0
20160104,4.25,4.25,3.99,4.09,5844,0
20160105,4.0901,4.26,4.0901,4.26,4502,0
20160106,3.98,4.46,3.98,4.06,5972,0
20160107,3.88,4,3.75,3.98,5350,0
20160108,3.76,4.08,3.7,3.93,4382,0
20160111,4.6,4.68,3.84,4.14,41226,0
20160112,4.17,4.25,4.17,4.25,500,0
20160113,4.1205,4.3799,4,4.22,1770,0
20160114,4.34,4.34,4.01,4.24,2368,0
20160115,4.42,4.42,4,4.21,1800,0
20160119,4.23,4.42,4.08,4.25,9200,0
20160120,4.26,4.46,3.82,4.05,8820,0
20160121,4.21,4.21,3.38,3.76,27422,0
20160122,3.85,4.08,3.63,4.08,8500,0
20160125,3.68,4.13,3.59,3.67,101267,0
20160126,3.82,4.32,3.64,3.64,102135,0
20160127,3.7,3.87,3.18,3.58,78790,0
20160128,3.48,3.48,3.07,3.1,27465,0
20160129,3.12,3.6799,2.75,3.09,73566,0
20160201,3.38,3.38,2.45,3.09,3741,0
20160202,3.2,3.2,2.6,2.93,3498,0
20160203,2.6899,3.28,2.5501,2.645,32458,0
20160204,2.71,3,2.51,2.62,6699,0
20160205,2.98,3.04,2.7,2.73,4830,0
20160208,2.51,2.605,2.42,2.42,1900,0
20160209,2.42,2.49,2.25,2.25,7982,0
20160210,2.2701,2.2701,2.27,2.27,496,0
20160211,2.35,2.638,2.25,2.475,11308,0
20160212,2.5597,2.605,2.32,2.35,7928,0
20160216,2.37,2.37,2.07,2.364,20150,0
20160217,2.31,2.39,2.03,2.3655,9723,0
20160218,2.35,2.4023,2.17,2.34,17628,0
20160219,2.37,2.6798,2.22,2.55,19597,0
20160222,2.6,3,2.6,2.8801,21454,0
20160223,2.98,3.07,2.88,3.07,12515,0
20160224,3.05,3.1,2.97,2.97,14733,0
20160225,2.98,2.99,2.67,2.68,15230,0
20160226,2.73,3.09,2.68,3.09,9530,0
20160229,2.9,3.02,2.835,2.95,6242,0
20160301,3,3.0753,2.865,2.97,7614,0
20160302,2.8644,3,2.68,2.74,10235,0
20160303,2.9,3.04,2.8,2.91,16046,0
20160304,2.83,2.96,2.7,2.74,2390,0
20160307,2.83,2.99,2.83,2.99,3904,0
20160308,3,3.05,2.8838,3.05,6702,0
20160309,3.37,3.38,2.5,2.63,47344,0
20160310,2.51,2.7999,2.35,2.515,21494,0
20160311,2.54,2.59,2.12,2.24,65989,0
20160314,2.24,2.65,2.11,2.59,83543,0
20160315,2.59,2.89,2.5301,2.64,116443,0
20160316,2.74,2.847,2.53,2.62,15639,0
20160317,2.57,2.6699,2.55,2.61,7592,0
20160318,2.57,3.1,2.57,2.63,26550,0
20160321,2.66,3.145,2.56,3.1,28568,0
20160322,3.26,3.4399,2.8843,3.42,94212,0
20160323,3.42,3.42,2.92,2.92,50988,0
20160324,2.87,3.14,2.69,2.82,60490,0
20160328,2.83,3.34,2.6601,2.9,56989,0
20160329,2.9,2.96,2.8192,2.9,3405,0
20160330,3,3,2.8101,3,3338,0
20160331,2.9,3.15,2.77,2.87,17693,0
20160401,2.822,3.01,2.8,2.89,11237,0
20160404,3.14,3.14,2.89,3.115,8997,0
20160405,2.9087,3.27,2.9087,3.27,29743,0
20160406,3.3,3.43,3.0283,3.4,10376,0
