Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.456,11.599,11.401,11.51,372225,0
20050228,11.591,11.608,11.268,11.528,547719,0
20050301,11.519,11.733,11.456,11.536,486159,0
20050302,11.392,11.751,11.384,11.555,294302,0
20050303,11.653,11.679,11.357,11.51,220992,0
20050304,11.626,11.822,11.492,11.716,379196,0
20050307,11.706,12.079,11.679,11.945,405241,0
20050308,11.901,12.071,11.839,11.874,250984,0
20050309,11.777,12.034,11.635,11.671,198302,0
20050310,11.768,11.768,11.419,11.564,272409,0
20050311,11.635,11.706,11.483,11.573,179423,0
20050314,11.528,11.742,11.501,11.635,156936,0
20050315,11.706,11.857,11.465,11.465,186758,0
20050316,11.419,11.483,11.161,11.259,671375,0
20050317,11.153,11.366,11.099,11.304,574271,0
20050318,11.153,11.33,11.018,11.026,2369571,0
20050321,10.973,11.268,10.973,11.251,703744,0
20050322,11.224,11.483,11.134,11.242,665931,0
20050323,11.286,11.304,10.973,11.108,742042,0
20050324,11.072,11.233,11.054,11.054,419842,0
20050328,11.081,11.268,10.991,10.991,373413,0
20050329,11.018,11.044,10.683,10.735,591327,0
20050330,10.815,10.85,10.735,10.824,589673,0
20050331,10.877,10.877,10.656,10.718,525592,0
20050401,10.797,10.85,10.656,10.701,467550,0
20050404,10.628,10.665,10.494,10.593,421038,0
20050405,10.565,10.824,10.565,10.656,440329,0
20050406,10.628,10.815,10.611,10.656,327441,0
20050407,10.584,10.656,10.475,10.494,509260,0
20050408,10.44,10.449,10.074,10.404,2001263,0
20050411,10.369,10.575,10.306,10.36,904083,0
20050412,10.288,10.494,10.236,10.449,792281,0
20050413,10.394,10.458,10.19,10.199,1840070,0
20050414,10.172,10.199,9.925,9.933,1335740,0
20050415,10.351,10.521,10.109,10.154,2427312,0
20050418,10.199,10.342,10.127,10.154,708010,0
20050419,10.136,10.611,10.083,10.538,957206,0
20050420,10.538,10.619,10.325,10.44,784187,0
20050421,10.602,10.683,10.422,10.656,461553,0
20050422,10.584,10.718,10.297,10.36,749134,0
20050425,10.325,10.529,10.325,10.44,408911,0
20050426,10.36,10.475,10.172,10.28,679162,0
20050427,10.181,10.369,10.145,10.334,653034,0
20050428,10.245,10.342,10.181,10.19,566343,0
20050429,10.28,10.404,10.039,10.351,575478,0
20050502,10.394,10.611,10.386,10.556,593786,0
20050503,10.458,10.628,10.386,10.458,484238,0
20050504,10.494,10.674,10.325,10.656,339669,0
20050505,10.584,10.914,10.584,10.788,582195,0
