Date,Open,High,Low,Close,Volume,OpenInt
20160421,25.576,25.576,25.097,25.097,1906,0
20160422,25.067,25.067,24.995,24.995,1103,0
20160425,24.978,24.978,24.788,24.789,2208,0
20160426,24.798,24.858,24.798,24.798,1537,0
20160427,24.938,24.958,24.808,24.918,2106,0
20160428,24.908,24.948,24.501,24.501,1885,0
20160429,24.539,24.582,24.3,24.528,3213,0
20160502,24.565,24.728,24.481,24.728,9682,0
20160503,24.679,24.679,24.23,24.33,7787,0
20160504,24.399,24.399,24.158,24.331,5927,0
20160505,36.385,36.614,24.23,24.27,3213,0
20160506,25.237,25.237,23.931,24.23,8131,0
20160509,24.23,24.491,24.23,24.485,2006,0
20160510,24.581,24.708,24.509,24.679,4073,0
20160511,24.639,24.639,24.345,24.375,3821,0
20160512,24.449,24.449,24.03,24.127,2868,0
20160513,24.08,24.23,24.03,24.07,3761,0
20160516,24.369,24.369,24.1,24.24,8362,0
20160517,24.202,24.202,23.885,23.885,3625,0
20160518,24.17,24.17,23.721,23.721,2528,0
20160519,23.731,23.731,23.352,23.402,4121,0
20160520,23.322,23.933,23.322,23.861,2624,0
20160523,23.971,24.05,23.971,24.05,2519,0
20160524,24.19,24.419,24.15,24.379,1840,0
20160525,24.351,24.429,24.349,24.389,2538,0
20160526,24.579,24.649,24.539,24.617,2208,0
20160527,24.708,24.838,24.708,24.838,2170,0
20160531,24.841,24.888,24.818,24.818,813,0
20160601,24.689,24.849,24.679,24.808,2171,0
20160602,24.679,24.948,24.669,24.948,2550,0
20160603,25.157,25.157,24.828,24.858,1652,0
20160606,24.978,25.077,24.928,25.077,3330,0
20160607,25.087,25.148,25.073,25.097,717,0
20160608,25.028,25.078,25.028,25.078,426,0
20160609,25.177,25.177,24.869,24.869,1103,0
20160610,24.679,24.679,24.367,24.367,1790,0
20160613,24.18,24.447,24.1,24.107,2608,0
20160614,24.18,24.18,23.923,23.995,1906,0
20160615,24.286,24.286,24.286,24.286,100,0
20160616,24.03,24.03,23.891,24.008,426,0
20160617,24.065,24.19,24.05,24.179,1547,0
20160620,24.779,24.779,24.589,24.589,1206,0
20160621,24.539,24.539,24.399,24.461,1173,0
20160622,24.489,24.489,24.452,24.452,310,0
20160623,24.647,24.774,24.647,24.774,421,0
20160624,23.853,23.991,23.671,23.821,5077,0
20160627,24.669,24.669,22.874,22.874,8906,0
20160628,23.293,23.472,23.163,23.432,5636,0
20160629,24.03,24.03,24.017,24.017,301,0
20160630,24.08,24.26,24.08,24.26,702,0
20160701,24.479,24.609,24.479,24.559,3739,0
20160705,24.389,24.389,24.3,24.3,1031,0
20160706,24.25,24.411,24.25,24.386,1292,0
20160707,24.558,24.558,24.41,24.41,567,0
20160708,24.659,25.127,24.659,25.127,1268,0
20160711,25.157,25.396,25.157,25.363,2851,0
20160712,25.765,25.765,25.765,25.765,330,0
20160713,25.835,25.835,25.533,25.533,1931,0
20160714,25.486,25.72,25.486,25.676,1714,0
20160718,25.546,25.586,25.479,25.586,1136,0
20160719,25.372,25.426,25.321,25.321,517,0
20160720,25.526,25.639,25.526,25.639,201,0
20160721,25.656,25.656,25.596,25.596,354,0
20160722,25.646,25.666,25.486,25.666,2507,0
20160725,25.416,25.637,25.416,25.496,301,0
20160726,25.676,25.825,25.676,25.701,702,0
20160728,25.706,26.254,25.706,26.244,572,0
20160729,26.244,26.244,26.164,26.204,1105,0
20160801,26.517,26.603,26.504,26.573,3427,0
20160802,26.653,26.653,26.653,26.653,501,0
20160803,26.569,26.569,26.569,26.569,100,0
20160805,26.932,26.937,26.733,26.882,831,0
20160808,26.763,26.872,26.733,26.872,2238,0
20160809,26.772,26.772,26.772,26.772,1003,0
20160810,26.652,26.652,26.652,26.652,341,0
20160811,27.131,27.181,27.055,27.111,2537,0
20160812,27.241,27.321,27.142,27.293,7572,0
20160815,27.67,27.67,27.421,27.459,6162,0
20160816,27.451,27.451,27.226,27.226,4203,0
20160817,27.092,27.111,26.923,27.111,2279,0
20160818,27.291,28.318,27.123,27.376,2083,0
20160819,27.321,27.413,27.236,27.341,4082,0
20160822,27.221,27.231,27.032,27.231,3009,0
20160823,27.57,27.57,27.438,27.45,3343,0
20160824,27.441,27.441,27.34,27.343,3274,0
20160825,27.188,27.311,27.127,27.191,4151,0
20160826,27.237,27.321,27.011,27.098,953,0
20160829,27.401,27.401,27.241,27.261,1116,0
20160830,27.171,27.291,27.171,27.291,634,0
20160831,27.048,27.075,27.048,27.075,1812,0
20160901,27.361,27.441,27.361,27.441,301,0
20160902,27.62,27.62,27.513,27.523,1028,0
20160906,27.909,27.909,27.745,27.819,2076,0
20160907,28.039,28.039,27.839,27.839,455,0
20160908,27.919,27.919,27.77,27.819,2893,0
20160909,27.421,27.421,27.121,27.121,2000,0
20160912,26.922,27.391,26.922,27.337,1805,0
20160914,27.092,27.189,27.008,27.07,2211,0
20160915,27.125,27.125,27.125,27.125,215,0
20160916,27.221,27.221,27.221,27.221,635,0
20160919,27.63,27.63,27.311,27.311,1427,0
20160920,27.195,27.195,27.195,27.195,100,0
20160921,27.441,27.61,27.441,27.48,2835,0
20160922,27.809,27.937,27.809,27.937,1479,0
20160923,28,28.069,27.849,27.849,8775,0
20160926,27.919,27.929,27.919,27.919,1203,0
20160927,27.61,27.64,27.421,27.508,7147,0
20160928,27.527,27.55,27.321,27.55,7186,0
20160929,27.622,27.622,27.339,27.361,2459,0
20160930,27.68,27.68,27.421,27.55,1131,0
20161003,27.7,27.726,27.55,27.726,1273,0
20161004,27.919,27.919,27.799,27.874,1845,0
20161005,27.989,28.079,27.883,27.925,3885,0
20161006,28.109,28.109,27.5,27.615,1836,0
20161007,27.584,27.712,27.584,27.6,2680,0
20161010,28.089,28.089,27.55,27.67,972,0
20161011,27.72,27.72,27.171,27.211,6158,0
20161012,27.48,27.48,27.251,27.305,5458,0
20161013,27.231,27.231,26.653,27.089,6608,0
20161014,27.281,27.281,27.121,27.2,1404,0
20161017,27.271,27.271,27.003,27.066,6224,0
20161018,27.61,27.74,27.46,27.71,6069,0
20161019,27.809,27.889,27.546,27.889,3672,0
20161020,27.869,27.869,27.589,27.589,1709,0
20161021,27.52,27.829,27.52,27.8,6595,0
20161024,28.328,28.328,27.837,27.837,1747,0
20161025,28.119,28.119,27.67,27.71,5080,0
20161026,27.65,27.65,27.285,27.341,13672,0
20161027,27.61,27.61,26.972,26.972,7497,0
20161028,27.221,27.221,26.922,27.098,1840,0
20161031,27.391,27.391,27.101,27.191,2031,0
