Date,Open,High,Low,Close,Volume,OpenInt
20170328,17.5,17.51,14.355,14.4,167085,0
20170329,14.41,15.24,14.2001,15.23,61314,0
20170330,15.74,15.999,14.75,15.65,12585,0
20170331,15.6178,16.49,15.6178,16.4212,1967,0
20170403,16.3,16.3,15,15.3,14389,0
20170404,15,15.5,15,15.32,25046,0
20170405,15.3659,16.0763,15.25,15.55,18092,0
20170406,15.3663,15.4499,15.3663,15.4269,1504,0
20170407,15.42,15.4323,15.26,15.26,5602,0
20170410,15.26,15.44,15.25,15.44,11008,0
20170411,15.4,15.4999,15.3,15.3,6491,0
20170412,15.3,15.3,15.13,15.3,16311,0
20170417,15.3,15.3,15,15.09,3492,0
20170418,15.2,15.22,15.2,15.22,16165,0
20170419,15.25,15.2545,15.1499,15.25,4904,0
20170420,14.96,15.18,14.95,15.18,23001,0
20170421,15.1201,15.1201,15.1201,15.1201,204,0
20170424,15.29,15.29,15.174,15.174,502,0
20170425,15.24,15.3,15.24,15.3,5900,0
20170426,15,15.18,15,15.18,6106,0
20170427,14.9678,15.2266,14.9678,15.15,1214,0
20170428,15.12,15.33,15.0884,15.33,32487,0
20170501,15.35,16,15.35,15.75,27497,0
20170502,16,16,15.7,15.83,24514,0
20170503,15.8578,15.9501,15.8578,15.95,3940,0
20170504,15.94,15.95,15.55,15.95,4474,0
20170508,15.5001,15.95,15.5001,15.8,798,0
20170510,15.51,15.88,15.51,15.61,873,0
20170511,15.39,15.8767,15.39,15.83,1245,0
20170512,15.5001,15.99,15.5001,15.921,10875,0
20170515,15.7,15.95,15.7,15.93,702,0
20170516,15.9762,16.2,15.9001,16.2,23294,0
20170517,16.08,16.3,15.9101,16.3,24146,0
20170518,16.1,16.47,16.1,16.45,25669,0
20170519,16.45,17.99,16.45,17.45,57866,0
20170522,17.45,17.45,16.6701,17.36,1419,0
20170523,16.7601,17.25,16.76,17.24,6586,0
20170524,17.2,17.2,17.06,17.06,4800,0
20170525,17.0814,17.0982,17,17.06,10551,0
20170526,17.1,17.25,17.0656,17.23,1286,0
20170530,17.2125,17.25,17.13,17.24,4770,0
20170531,17.25,18,17.25,18,2897,0
20170601,18,18,17.582,17.96,1753,0
