Date,Open,High,Low,Close,Volume,OpenInt
20180914,24.329,24.425,24.329,24.425,311,0
20180918,25.053,25.053,25.053,25.053,206,0
20181001,25.044,25.044,25.044,25.044,142,0
20181011,24.039,24.039,23.507,23.507,930,0
20181016,23.864,23.864,23.864,23.864,311,0
20181024,22.926,22.926,22.926,22.926,105,0
20181026,22.916,22.916,22.49,22.684,314,0
20181031,23.032,23.052,23.032,23.052,723,0
20181106,23.274,23.274,23.274,23.274,205,0
20181120,22.743,22.743,22.606,22.606,620,0
20181211,22.49,22.49,22.49,22.49,206,0
20181224,21.72,21.72,21.72,21.72,204,0
20190104,22.208,22.208,22.208,22.208,104,0
20190123,22.208,22.959,22.208,22.871,308,0
20190315,24.16,24.16,24.16,24.16,409,0
20190319,24.287,24.385,24.287,24.385,1121,0
20190401,24.384,24.384,24.384,24.384,382,0
20190411,24.66,24.66,24.66,24.66,103,0
20190415,24.67,24.797,24.67,24.797,306,0
20190501,24.591,24.591,24.591,24.591,1633,0
20190502,24.414,24.474,24.346,24.474,65297,0
20190503,24.571,24.571,24.56,24.56,769,0
20190506,24.208,24.287,24.208,24.287,585,0
20190509,23.683,23.683,23.683,23.683,262,0
20190510,23.718,23.885,23.718,23.885,7458,0
20190517,23.855,23.855,23.855,23.855,8635,0
20190520,23.708,23.737,23.708,23.737,1113,0
20190522,23.757,23.757,23.757,23.757,5387,0
20190523,23.6,23.6,23.433,23.433,357,0
20190524,23.669,23.669,23.669,23.669,203,0
20190528,23.737,23.737,23.58,23.58,2293,0
20190603,23.433,23.433,23.433,23.433,159,0
20190604,23.728,23.728,23.728,23.728,136,0
20190610,24.208,24.208,24.19,24.19,3316,0
20190611,24.297,24.297,24.297,24.297,3101,0
20190613,24.12,24.37,24.12,24.37,6383,0
20190614,24.13,24.13,24.032,24.032,9285,0
20190617,24.032,24.032,24.003,24.003,8272,0
20190618,24.257,24.366,24.257,24.366,7590,0
20190619,24.346,24.346,24.337,24.337,5827,0
20190620,24.7,24.7,24.571,24.64,63299,0
20190624,24.611,24.67,24.601,24.67,884,0
20190626,24.551,24.551,24.551,24.551,6183,0
