Date,Open,High,Low,Close,Volume,OpenInt
20050225,20.441,20.65,20.033,20.496,36581,0
20050228,20.373,21.384,20.373,21.197,69606,0
20050301,21.162,21.549,21.143,21.512,70208,0
20050302,21.34,21.861,21.34,21.646,37698,0
20050303,21.789,22.175,21.44,22.06,81216,0
20050304,22.203,22.623,21.753,22.06,96439,0
20050307,22.158,22.284,21.834,22.052,34631,0
20050308,21.789,22.175,21.566,21.69,49671,0
20050309,21.683,21.871,21.349,21.365,32606,0
20050310,21.655,21.753,21.053,21.114,37071,0
20050311,20.975,21.17,20.965,21.162,30437,0
20050314,21.143,21.485,21.087,21.299,32080,0
20050315,21.457,21.646,21.08,21.162,30340,0
20050316,20.884,21.585,20.884,21.28,38999,0
20050317,21.585,21.585,20.697,21.207,38176,0
20050318,21.422,21.422,20.468,20.747,146507,0
20050321,20.911,21.365,20.633,20.809,45378,0
20050322,20.775,21.08,20.67,20.8,22589,0
20050323,20.587,20.847,20.587,20.714,25565,0
20050324,21.053,21.053,20.468,20.819,45125,0
20050328,20.893,21.097,20.642,21.036,44363,0
20050329,20.756,20.939,20.524,20.524,57157,0
20050330,20.828,21.036,20.468,20.982,36254,0
20050331,20.791,21.061,20.616,21.02,67623,0
20050401,21.036,21.036,20.311,20.486,41857,0
20050404,20.329,20.55,20.217,20.391,55105,0
20050405,20.587,20.587,20.139,20.291,59286,0
20050406,20.616,20.642,20.264,20.272,50555,0
20050407,20.199,20.704,20.199,20.704,14103,0
20050408,20.468,20.837,20.468,20.65,25058,0
20050411,20.65,20.66,20.254,20.364,36084,0
20050412,20.245,20.955,20.245,20.884,37150,0
20050413,20.975,20.975,20.282,20.441,36058,0
20050414,20.809,20.809,20.451,20.451,39788,0
20050415,20.67,20.874,20.506,20.633,53211,0
20050418,20.434,21.834,20.434,21.44,153926,0
20050419,21.356,21.638,21.34,21.585,93704,0
20050420,21.753,21.753,21.356,21.413,122791,0
20050421,21.324,22.4,21.324,22.203,184173,0
20050422,21.69,22.428,21.34,21.485,74999,0
20050425,21.853,21.935,21.143,21.356,47372,0
20050426,21.673,21.71,21.097,21.349,47040,0
20050427,21.448,21.738,21.225,21.549,71435,0
20050428,21.549,21.63,21.404,21.549,51173,0
20050429,21.655,22.122,21.485,21.979,45970,0
20050502,21.961,22.409,21.961,22.364,64380,0
20050503,22.231,24.707,22.15,22.977,81657,0
20050504,22.717,23.387,22.67,23.336,106718,0
20050505,23.328,23.773,23.263,23.423,30212,0
20050506,23.692,23.71,23.075,23.336,48231,0
20050509,23.111,23.719,22.872,23.57,90024,0
20050510,23.56,23.692,23.319,23.631,60299,0
20050511,23.302,23.57,23.04,23.152,76630,0
20050512,22.892,23.102,22.043,22.13,59550,0
20050513,22.043,22.15,21.7,21.808,63002,0
20050516,21.549,21.907,21.422,21.62,93540,0
20050517,21.593,21.818,21.349,21.728,114802,0
20050518,21.916,21.998,21.593,21.665,36623,0
20050519,21.789,21.897,21.549,21.69,66895,0
20050520,21.566,22.15,21.566,22.15,59690,0
20050523,22.016,22.4,22.016,22.231,36821,0
20050524,22.043,22.103,21.935,22.043,37089,0
20050525,21.881,22.075,21.753,21.818,55463,0
20050526,21.761,21.998,21.63,21.952,34505,0
20050527,21.818,22.094,21.719,21.77,14980,0
20050531,21.753,22.239,21.585,22.158,72750,0
20050601,22.158,22.892,22.033,22.892,61658,0
20050602,22.545,23.014,22.545,22.929,43057,0
20050603,23.056,23.119,22.311,22.428,107657,0
20050606,22.382,22.589,22.302,22.555,36267,0
20050607,22.447,22.788,22.338,22.499,42343,0
20050608,22.447,22.561,22.447,22.489,50194,0
20050609,22.447,22.57,22.321,22.57,90560,0
20050610,22.527,22.605,22.428,22.428,18822,0
20050613,22.329,22.508,22.284,22.508,67020,0
20050614,22.67,23.102,22.57,23.032,53514,0
20050615,23.075,23.102,22.527,22.91,68463,0
20050616,22.707,23.111,22.419,23.102,42867,0
20050617,23.119,23.344,22.977,23.119,110714,0
20050620,22.939,23.119,22.91,22.929,32473,0
20050621,22.751,22.957,22.508,22.91,19944,0
20050622,22.986,23.552,22.957,23.552,65835,0
20050623,23.344,23.495,22.977,23.084,50644,0
20050624,23.022,23.04,22.806,22.957,103317,0
20050627,22.872,23.302,22.872,23.075,36177,0
20050628,23.075,23.542,23.075,23.387,43111,0
20050629,23.552,23.552,22.977,23.135,25042,0
20050630,23.119,23.791,23.119,23.504,27951,0
20050701,23.37,23.513,22.939,23.235,9876,0
20050705,23.04,24.116,22.977,24.071,24021,0
20050706,24.016,24.959,23.91,24.051,49601,0
20050707,23.876,24.508,23.616,24.323,33643,0
20050708,24.051,25.213,23.892,25.157,21975,0
20050711,24.795,25.767,24.648,24.959,53669,0
20050712,24.814,25.023,24.795,24.952,91237,0
20050713,24.952,24.952,24.447,24.584,25018,0
20050714,24.996,25.039,23.736,23.773,86528,0
20050715,23.765,24.169,23.665,24.169,44751,0
20050718,24.231,24.341,24.144,24.27,58573,0
20050719,24.358,24.42,24.134,24.134,39943,0
20050720,24.097,24.565,24.097,24.305,47847,0
20050721,24.673,24.707,24.071,24.464,24741,0
20050722,24.648,25.834,24.395,25.777,28852,0
20050725,25.729,26.26,25.659,25.962,74913,0
20050726,25.711,26.044,25.711,25.87,52453,0
20050727,25.589,25.589,25.033,25.462,55359,0
20050728,25.598,25.939,25.535,25.834,21377,0
20050729,25.692,26.584,25.692,26.415,21678,0
20050801,26.504,26.773,26.073,26.073,32289,0
20050802,26.053,26.52,25.834,26.443,69377,0
20050803,26.235,26.235,25.777,25.777,48112,0
20050804,25.667,26.119,24.628,25.092,117709,0
20050805,25.048,25.767,24.464,25.302,69553,0
20050808,25.257,25.257,25.014,25.176,38208,0
20050809,25.176,26.226,25.176,25.675,69521,0
20050810,26.063,26.092,25.138,25.344,31478,0
20050811,25.176,25.711,25.176,25.5,21023,0
20050812,25.32,25.481,25.056,25.119,49746,0
20050815,25.092,25.5,24.919,25.073,14453,0
20050816,24.924,25.101,24.527,24.933,25543,0
20050817,24.648,24.673,24.305,24.376,40351,0
20050818,24.638,25.953,24.305,24.823,130889,0
20050819,24.952,25.138,24.447,24.628,105823,0
20050822,24.42,24.603,24.314,24.42,77460,0
20050823,24.42,25.014,24.368,24.87,48971,0
20050824,24.89,25.092,24.24,24.429,44624,0
20050825,24.833,24.833,24.296,24.296,22913,0
20050826,24.358,24.594,24.24,24.341,17231,0
20050829,24.196,24.62,24.079,24.62,16706,0
20050830,24.717,24.952,24.555,24.785,28191,0
20050831,25.039,26.934,24.969,26.916,185914,0
20050901,26.89,26.89,25.971,26.119,95124,0
20050902,26.487,26.487,25.997,26.26,23001,0
20050906,26.407,26.591,26.36,26.495,88598,0
20050907,26.487,26.549,26.278,26.53,27426,0
20050908,26.549,26.549,25.684,25.939,37751,0
20050909,26.035,26.549,26.035,26.549,13594,0
20050912,26.54,26.54,26.165,26.397,17677,0
20050913,26.703,26.703,25.749,25.878,34243,0
20050914,25.962,25.962,24.996,25.229,39369,0
20050915,25.092,25.284,24.833,25.138,34992,0
20050916,25.302,25.481,24.707,25.138,245379,0
20050919,25.073,25.509,25.033,25.462,34174,0
20050920,25.563,26.017,25.563,25.894,48153,0
20050921,25.988,26.025,25.138,25.222,66061,0
20050922,24.978,25.203,24.919,24.919,43537,0
20050923,25.157,25.248,24.744,24.752,20377,0
20050926,25.184,25.239,24.919,25.157,51603,0
20050927,24.978,25.203,24.919,25.111,40418,0
20050928,25.239,25.239,24.919,24.996,28395,0
20050929,25.033,25.758,25.014,25.758,48003,0
20050930,25.758,26.165,25.729,25.945,15428,0
20051003,25.684,26.235,25.38,25.39,27807,0
20051004,25.361,25.711,25.203,25.222,47814,0
20051005,25.203,25.203,24.959,24.959,48046,0
20051006,25.073,25.138,24.737,24.924,71086,0
20051007,25.014,25.176,24.737,24.737,28969,0
20051010,24.87,24.87,24.368,24.628,19677,0
20051011,24.628,25.056,24.628,24.759,77734,0
20051012,24.752,24.933,24.42,24.648,40101,0
20051013,24.42,25.344,24.42,25.203,37425,0
20051014,25.213,25.32,24.612,24.737,31127,0
20051017,24.638,24.638,24.27,24.546,23670,0
20051018,24.546,24.795,23.876,23.998,17361,0
20051019,23.838,25.056,23.838,25.056,44027,0
20051020,24.727,25.176,24.42,24.584,7856,0
20051021,24.403,24.814,24.323,24.612,15153,0
20051024,24.376,24.69,24.24,24.62,41955,0
20051025,24.648,24.648,24.24,24.42,27800,0
20051026,24.097,24.584,24.097,24.368,28471,0
20051027,24.278,24.574,24.169,24.24,39685,0
20051028,24.341,24.68,24.278,24.628,13560,0
20051031,24.851,25.406,24.851,25.32,32632,0
20051101,25.033,25.033,24.411,24.411,21306,0
20051102,24.594,24.87,24.42,24.87,26324,0
20051103,25.184,25.184,24.717,24.814,37877,0
20051104,24.969,24.969,24.464,24.638,7246,0
20051107,24.933,25.119,24.69,24.978,7216,0
20051108,24.804,24.978,24.744,24.978,9225,0
20051109,24.707,25.101,24.707,25.092,48845,0
20051110,25.119,25.138,24.699,25.138,23720,0
20051111,24.861,25.213,24.804,25.083,16822,0
20051114,24.785,25.056,24.785,24.978,28270,0
20051115,24.841,25.006,24.752,24.752,46853,0
20051116,24.707,25.138,24.707,24.933,36811,0
20051117,24.996,25.491,24.996,25.491,31619,0
20051118,25.815,26.092,25.425,25.711,44188,0
20051121,25.481,26.709,25.481,26.468,58926,0
20051122,26.26,26.773,26.119,26.36,20324,0
20051123,26.754,27.33,26.693,27.286,65716,0
20051125,27.159,27.384,27.113,27.321,12267,0
20051128,27.429,27.439,27.248,27.286,113773,0
20051129,27.448,28.101,27.429,27.77,83988,0
20051130,28.003,28.101,27.213,27.266,150688,0
20051201,27.707,28.184,27.635,28.12,52817,0
20051202,28.157,28.632,27.949,28.497,63922,0
20051205,28.686,28.903,28.47,28.55,102527,0
20051206,28.569,29.036,28.48,28.632,69377,0
20051207,28.947,28.947,27.959,28.02,59660,0
20051208,28.101,28.299,27.48,27.626,24082,0
20051209,27.753,27.903,27.365,27.643,19844,0
20051212,27.895,27.895,27.321,27.707,39922,0
20051213,27.959,28.28,27.609,27.994,54971,0
20051214,28.202,28.246,27.806,27.823,35367,0
20051215,28.038,28.038,26.591,26.728,45833,0
20051216,26.799,27.042,26.666,26.808,193313,0
20051219,26.591,26.648,26.226,26.226,30513,0
20051220,26.138,26.226,25.758,25.93,65510,0
20051221,25.851,26.584,25.851,26.331,35675,0
20051222,26.61,27.286,26.313,27.276,39511,0
20051223,27.07,27.689,26.675,26.675,30522,0
20051227,26.61,27.079,26.566,26.566,13741,0
20051228,26.53,27.015,26.53,26.693,34800,0
20051229,26.792,27.256,26.709,26.916,91991,0
20051230,26.808,26.971,26.495,26.666,29538,0
20060103,26.487,27.42,26.407,27.348,34109,0
20060104,26.981,27.59,26.954,27.59,38190,0
20060105,27.814,28.695,27.303,28.542,106635,0
20060106,28.739,29.234,27.448,28.194,77120,0
