Date,Open,High,Low,Close,Volume,OpenInt
20050225,18.852,19.287,18.359,19.28,57821,0
20050228,19.298,19.298,18.646,19.017,75200,0
20050301,18.762,19.127,18.725,18.916,66465,0
20050302,18.693,19.095,18.693,18.87,91999,0
20050303,19.111,19.116,18.792,19.08,83508,0
20050304,19.226,19.226,19.04,19.22,78176,0
20050307,19.011,19.394,19.011,19.073,81624,0
20050308,18.921,19.293,18.617,19.057,184180,0
20050309,18.858,19.182,18.601,19.08,1093404,0
20050310,19.231,19.241,18.911,18.943,53167,0
20050311,19.145,19.215,18.789,18.911,102143,0
20050314,18.858,19.145,18.852,19.145,85029,0
20050315,19.187,19.378,18.545,18.635,115236,0
20050316,18.901,18.953,18.327,18.55,74125,0
20050317,18.746,18.746,18.38,18.698,47257,0
20050318,18.731,18.846,18.19,18.354,174438,0
20050321,18.503,18.503,18.11,18.256,42181,0
20050322,18.261,18.519,18.057,18.11,97423,0
20050323,18.057,18.174,17.68,17.691,82594,0
20050324,17.847,17.972,17.612,17.68,45704,0
20050328,17.873,17.884,17.587,17.622,80025,0
20050329,17.747,17.817,17.192,17.428,91390,0
20050330,17.377,17.628,17.303,17.628,87224,0
20050331,17.408,17.935,17.387,17.603,126790,0
20050401,17.782,17.884,17.433,17.576,50015,0
20050404,17.542,17.796,17.417,17.68,70834,0
20050405,17.428,17.439,16.824,17.006,128738,0
20050406,17.256,17.668,17.106,17.129,83865,0
20050407,17.272,17.565,16.979,17.373,55838,0
20050408,17.417,17.459,16.83,16.862,60642,0
20050411,16.862,17.026,16.78,16.914,50315,0
20050412,16.836,17.206,16.208,17.094,102634,0
20050413,17.223,17.223,16.857,16.961,53219,0
20050414,17.031,17.345,16.848,16.876,114316,0
20050415,16.891,17.267,16.739,16.961,155005,0
20050418,16.994,17.18,16.198,17.129,154141,0
20050419,17.129,17.448,16.979,17.351,116019,0
20050420,17.228,17.228,16.463,16.559,83017,0
20050421,16.559,17.488,16.559,17.339,83331,0
20050422,17.17,17.256,16.739,17.051,68908,0
20050425,17.056,17.233,16.824,17.192,45216,0
20050426,17.334,17.334,16.994,17.048,73587,0
20050427,16.836,17.508,16.836,17.18,34344,0
20050428,16.967,17.228,16.967,17.071,68245,0
20050429,17.251,17.706,17,17.696,173929,0
20050502,17.686,17.686,17.048,17.368,75554,0
20050503,17.297,17.32,16.961,17.106,74238,0
20050504,17.026,17.368,17.026,17.174,76084,0
20050505,17.061,17.392,17.037,17.272,50385,0
20050506,17.413,17.459,17.261,17.261,17382,0
20050509,17.256,17.503,17.233,17.477,33784,0
20050510,17.192,17.941,17.192,17.86,159659,0
20050511,17.863,17.935,17.471,17.896,84043,0
20050512,17.947,18.369,17.165,17.428,91780,0
20050513,17.345,17.853,17.345,17.649,64821,0
20050516,17.674,18.072,17.674,18.023,53649,0
20050517,18.179,18.545,18.072,18.4,70703,0
20050518,18.38,19,18.38,18.846,102567,0
20050519,18.756,18.756,18.14,18.55,70500,0
20050520,18.884,18.953,18.503,18.581,41395,0
20050523,18.509,18.907,18.464,18.464,43763,0
20050524,18.327,18.519,18.279,18.458,48225,0
20050525,18.572,18.572,18.38,18.428,53226,0
20050526,18.375,18.953,18.375,18.943,116244,0
20050527,18.566,18.984,18.566,18.943,35649,0
20050531,18.778,19.353,18.75,19.116,82904,0
20050601,19.241,19.353,18.921,19.293,77646,0
