Date,Open,High,Low,Close,Volume,OpenInt
20120207,156,156.25,153,154,2691,0
20120208,155,155,151.25,153.75,1552,0
20120209,153,153.75,150.25,151.75,2273,0
20120210,150,151.25,150,150,4805,0
20120213,152.75,154.75,150.25,151.75,2508,0
20120214,153.75,155,152.5,155,1226,0
20120215,150.25,155,150.25,155,1161,0
20120216,156.25,168.75,156.25,159.75,1068,0
20120217,160.75,165,158.75,159.25,2734,0
20120221,153.5,164.75,153.5,161.75,2216,0
20120222,164.75,174,162.5,173.75,3975,0
20120223,175,192.5,171.5,189.75,1841,0
20120224,190,211.25,189.75,201.75,1661,0
20120227,198,201.25,189.75,200,2640,0
20120228,195,198,186.5,190.75,1260,0
20120229,190,191.25,165.5,187.5,772,0
20120301,180.75,204.75,180.75,187.5,1927,0
20120302,182.5,187.5,182.5,187.5,248,0
20120305,182.5,186.75,177.25,186.75,412,0
20120306,187,187,175,177,945,0
20120307,179,187,179,184.75,184,0
20120308,186,187.5,180,183.75,1220,0
20120309,183.75,183.75,177,179,121,0
20120312,187,191,179.5,191,1764,0
20120313,189.25,193.75,182.75,193.75,261,0
20120314,197.75,197.75,176.25,190.5,879,0
20120315,193.75,212.5,181,188.25,6331,0
20120316,190.5,190.5,180,181.5,1114,0
20120319,181.5,190,180,189.25,1541,0
20120320,188,193.75,187.5,190.5,2253,0
20120321,185.75,190.25,183.75,186.75,238,0
20120322,185,187.5,184.75,187.5,336,0
20120323,190.5,204.75,190.5,194.5,540,0
20120326,193.75,197.5,185.5,192.5,682,0
20120327,187.5,192.5,185,190,891,0
20120328,188.25,190.25,183.75,187.5,624,0
20120329,186.25,186.25,175.25,177.75,570,0
20120330,180.75,199.25,179.75,188.75,14919,0
20120402,188.25,199.75,176.25,188.75,1608,0
20120403,187.5,193,184.25,187.5,496,0
20120404,184.75,199.75,177.5,181.5,424,0
20120405,180.25,185.25,178,181.25,439,0
20120409,178.25,184.5,176.5,183.25,425,0
20120410,180.5,180.5,170,170.75,576,0
20120411,170.5,179,165.25,174.75,660,0
20120412,176.25,178.25,173,175.75,364,0
20120413,174.25,174.75,171.25,171.5,125,0
20120416,174.25,174.25,171,171,88,0
20120417,171.25,171.25,165,167.75,173,0
20120418,167.75,168.75,165.25,168,135,0
20120419,169,188.75,165,172.5,1009,0
20120420,173.25,178.5,167.75,176,272,0
20120423,173.5,173.5,154.75,159.75,610,0
20120424,158.25,172.5,155,160.25,310,0
20120425,167,170.5,165,165.25,1036,0
20120426,165.5,165.5,154.5,163,234,0
20120427,154.5,170.75,154.5,170.25,187,0
20120430,169,181.75,166.25,175,1338,0
20120501,163.75,174.25,156.5,156.75,333,0
20120502,157.75,166,157.75,166,215,0
20120503,166.5,174,161.25,171.75,240,0
20120504,171.5,171.5,160,163.75,214,0
20120507,163,172.5,163,169.5,427,0
20120508,172.5,175,169,171.25,424,0
20120509,169,172.25,161.25,161.25,192,0
20120510,161.5,177.25,161.25,161.25,218,0
20120511,161.75,181.25,156.25,170,647,0
20120514,180.75,180.75,158,158,190,0
20120515,158.25,169,158,159.25,252,0
20120516,162.25,188.5,162.25,167.5,2235,0
20120517,174.5,174.5,166.5,167.75,722,0
20120518,166,175,166,171.75,255,0
20120521,173.25,173.25,169.5,172.75,134,0
20120522,171,172.5,167.75,168.5,304,0
20120523,166.75,169.5,166.75,168,4680,0
20120524,167.75,175,162.75,165.5,346,0
20120525,170.75,170.75,170,170,85,0
20120529,170.75,174.5,158.25,169.75,218,0
20120530,167,187.5,163.25,175,474,0
20120531,175.5,193.75,167.5,193.75,1374,0
20120601,188.75,190,167.5,184.75,195,0
20120604,181.25,186,169.5,174.75,205,0
20120605,175,175,170,171,172,0
