Date,Open,High,Low,Close,Volume,OpenInt
20171107,17.5,18.4238,17.25,18.25,648034,0
20171108,18.01,18.4832,17.51,17.9,77703,0
20171109,17.65,18.4446,17.65,18.01,27647,0
20171110,18.63,18.63,17.9,18.25,18318,0
20171113,18.37,18.4,18.25,18.32,5017,0
20171114,18.25,18.25,18.12,18.14,2231,0
20171115,18.03,18.35,18,18.3,44985,0
20171116,18.35,18.35,18.13,18.25,8707,0
20171117,18.2483,18.25,18.15,18.15,17240,0
20171120,18.15,18.15,18.08,18.08,30358,0
20171121,18.01,18.26,18.01,18.26,16428,0
20171122,18.22,18.25,17.97,18.25,28295,0
20171124,18.2499,18.2499,17.98,17.98,2554,0
20171127,18.02,18.0232,17.81,17.9,20079,0
20171128,17.83,17.99,17.61,17.99,36280,0
20171129,17.9146,17.99,17.26,17.58,23751,0
20171130,17.6718,18.39,17.58,18.39,56632,0
20171201,18.3653,18.4,17.331,18.35,2958,0
20171204,18.01,18.25,18.01,18.03,11020,0
20171205,18.03,18.03,17.5,17.75,4131,0
20171206,17.68,18.0204,17.47,17.65,9598,0
20171207,17.7,17.75,17.68,17.75,3023,0
20171208,17.9,18.1,17.9,18,2069,0
20171211,18.2,19.24,18.2,19.19,30963,0
20171212,19.24,21.37,18.56,20.98,34524,0
20171213,20.875,21,19.8096,20.97,32145,0
20171214,20.45,20.5,19.31,20.46,21920,0
20171215,20.41,20.61,19.43,19.69,130302,0
20171218,19.6,20.11,19.2,20.11,4201,0
20171219,19.74,20.6,19.5,20.3,4424,0
20171220,20,20.35,19.75,20.3,12256,0
20171221,20.095,20.48,20.095,20.48,2889,0
20171222,20.29,20.29,19.63,20.0778,2301,0
20171226,19.15,19.5172,19.15,19.5172,1605,0
20171227,19.47,19.47,19.3074,19.39,1368,0
20171228,19.2423,20.05,19.05,19.06,16609,0
20171229,19.01,19.98,19.01,19.98,1260,0
20180102,19.21,19.95,19.05,19.07,10593,0
20180103,19.05,20.38,19.05,20.38,14530,0
20180104,20.01,20.25,19.204,19.5845,12776,0
20180105,19.915,20.79,19.25,20.44,44185,0
20180108,20.5,20.5,19.45,20,11911,0
20180109,19.61,19.73,19.46,19.46,4487,0
20180110,19.45,19.6,19.45,19.48,6383,0
20180111,19.99,20,19.5488,19.85,16597,0
20180116,20.24,20.24,19.6,20,1041,0
20180118,20,20.417,19.6386,20.1,8002,0
20180119,20.05,20.0704,19.45,20,15848,0
20180122,19.9505,19.9505,19.5129,19.5129,1201,0
20180123,19.34,19.63,19.283,19.29,3204,0
20180124,19.48,19.48,19.48,19.48,234,0
20180125,19.271,19.31,19.26,19.26,1100,0
20180126,19.45,19.45,18.4913,19.2,1958,0
20180129,19.28,19.3964,17.511,17.7,9109,0
20180130,16.56,18.4153,16.56,18.3997,19048,0
20180131,18.67,18.68,18.1,18.2399,19434,0
20180201,18.2999,18.57,18.2999,18.33,4300,0
20180202,18.31,18.38,18.11,18.1572,7449,0
20180205,18.12,18.12,17.03,17.49,12436,0
20180206,17.8713,18.06,17.7501,18,109,0
20180208,17.6146,17.75,17.6146,17.75,1180,0
20180209,17.7732,18.02,17.75,18.02,3477,0
20180212,18.01,18.56,17.71,17.71,3934,0
20180213,18.56,18.56,16.61,18,2257,0
20180214,17,18.25,16.89,18.25,4878,0
20180215,18,18,18,18,1220,0
20180220,17.76,17.98,17.75,17.98,3488,0
20180221,17.7865,18,17.7865,18,1265,0
20180222,17.75,17.99,17.75,17.99,1396,0
