Date,Open,High,Low,Close,Volume,OpenInt
20050225,19.86,20.22,19.86,20.22,183,0
20050228,19.32,20.7,19.32,20.28,562,0
20050301,21,23.4,21,22.32,857,0
20050302,22.8,23.64,22.8,23.64,800,0
20050303,23.4,23.7,22.38,23.7,4997,0
20050304,23.82,23.82,22.8,22.8,217,0
20050307,22.68,24,22.68,23.7,1267,0
20050308,24.54,24.54,23.58,23.58,3600,0
20050309,23.94,23.94,23.94,23.94,83,0
20050310,24,24,24,24,667,0
20050311,23.64,23.64,23.58,23.58,50,0
20050314,23.58,23.58,23.1,23.1,379,0
20050315,21.36,21.36,21.36,21.36,400,0
20050316,23.82,23.82,23.4,23.52,838,0
20050317,22.74,22.74,21.66,22.74,1450,0
20050318,21.66,22.68,21.6,22.68,810,0
20050321,22.8,22.8,22.5,22.5,1027,0
20050322,23.58,24.18,22.92,23.22,2293,0
20050323,24,24,23.52,23.94,167,0
20050330,23.7,23.7,22.56,22.56,100,0
20050401,23.7,23.7,22.5,22.5,67,0
20050404,21.72,22.62,21.72,22.62,458,0
20050405,22.62,22.62,22.26,22.62,533,0
20050406,23.16,23.4,22.8,22.8,1217,0
20050407,22.8,23.16,22.8,22.98,1150,0
20050408,22.56,22.56,22.5,22.5,200,0
20050411,21.24,21.9,21.24,21.9,257,0
20050412,22.32,22.32,22.32,22.32,833,0
20050414,22.32,22.32,22.2,22.2,1893,0
20050415,21.66,21.66,21.66,21.66,17,0
20050418,19.8,20.46,18.9,19.2,4261,0
20050419,18.3,19.32,18.3,19.32,22092,0
20050420,19.14,20.4,19.14,19.5,458,0
20050421,20.94,21.84,20.94,20.94,183,0
20050427,19.92,19.98,19.92,19.98,133,0
20050428,19.8,20.1,19.8,20.1,850,0
20050429,20.4,21,20.4,21,373,0
20050502,19.68,20.82,19.5,20.7,1833,0
20050503,19.8,20.94,19.8,20.94,283,0
20050504,20.94,20.94,20.28,20.4,583,0
20050505,19.5,20.94,19.5,20.94,267,0
20050506,20.94,22.26,18.6,22.26,1666,0
20050509,20.76,22.32,20.7,22.08,267,0
20050513,20.28,20.28,18.6,19.2,2101,0
20050517,20.4,20.4,19.5,19.5,217,0
20050518,20.67,20.67,20.67,20.67,102,0
20050519,20.4,20.52,20.4,20.52,583,0
20050520,20.4,21.24,18.84,20.73,491,0
20050523,20.28,20.34,19.32,20.1,768,0
20050524,17.16,19.8,17.16,19.74,482,0
20050525,19.68,20.28,19.68,20.28,431,0
20050527,20.31,20.4,20.31,20.4,183,0
20050531,17.22,20.4,17.22,20.28,356,0
20050603,18.3,20.28,18.3,18.72,733,0
20050606,19.8,19.8,19.8,19.8,701,0
20050607,18.78,20.7,18.78,20.7,2310,0
20050608,20.04,20.04,20.04,20.04,1500,0
20050613,18.72,18.72,18.72,18.72,833,0
20050614,19.98,19.98,19.74,19.74,83,0
20050615,20.4,21,20.4,21,167,0
20050616,18.78,19.8,18.72,19.8,525,0
20050617,20.19,20.19,18.6,18.6,133,0
20050620,18.84,18.84,18.84,18.84,167,0
20050621,19.44,19.8,19.2,19.2,250,0
20050623,19.8,19.8,18.6,19.5,337,0
20050630,19.26,19.26,17.1,19.2,917,0
20050705,17.58,19.74,17.58,19.74,296,0
20050707,17.97,19.5,17.97,19.5,102,0
20050708,19.5,19.74,17.58,18.12,217,0
20050711,19.14,20.04,19.14,20.04,183,0
20050713,19.2,19.8,19.2,19.8,317,0
20050714,19.5,19.8,18.93,19.8,83,0
20050715,19.68,20.1,18.6,20.1,533,0
20050718,19.8,20.34,18.72,20.34,667,0
20050719,19.8,20.7,19.8,20.46,483,0
20050720,19.8,20.7,19.02,20.7,387,0
20050721,19.86,20.64,19.5,20.64,217,0
20050722,20.88,20.88,20.82,20.82,200,0
20050725,20.04,20.64,20.04,20.64,33,0
20050726,20.7,20.7,20.7,20.7,17,0
20050727,20.7,21,19.74,20.1,230,0
20050728,19.8,20.94,19.62,19.98,150,0
20050729,20.28,20.28,19.86,19.86,600,0
20050801,20.16,20.94,20.16,20.94,67,0
20050802,21,21,18.36,20.94,128,0
20050803,20.1,20.58,18.06,18.06,383,0
20050804,21.6,21.6,19.2,20.82,1979,0
20050805,20.4,21.18,20.4,21,867,0
20050808,21,21.18,20.76,21,1867,0
20050809,21,23.34,21,23.28,8162,0
20050810,23.88,23.88,22.5,23.1,4176,0
20050811,20.52,25.38,20.52,25.38,5077,0
20050812,25.32,25.32,24,24.18,812,0
20050815,24.6,25.32,24.3,24.6,935,0
20050816,24.3,24.54,23.4,24.54,267,0
20050817,24.6,24.6,24.12,24.3,379,0
20050818,23.4,24.24,23.4,24.24,200,0
20050822,23.4,23.4,21.12,23.34,186,0
20050824,23.16,23.16,22.5,23.04,350,0
20050825,22.8,22.8,22.56,22.56,417,0
20050826,23.16,23.16,23.16,23.16,167,0
20050829,22.8,22.8,22.8,22.8,102,0
20050831,22.8,22.8,22.8,22.8,99,0
20050901,23.28,23.28,22.26,22.8,367,0
20050906,22.8,22.8,22.2,22.5,600,0
20050907,23.1,23.1,23.1,23.1,50,0
20050909,23.28,23.28,23.28,23.28,17,0
20050912,23.1,23.1,23.1,23.1,682,0
20050913,22.8,23.1,22.8,23.1,188,0
20050914,23.1,23.34,23.1,23.34,150,0
20050922,23.22,23.22,23.22,23.22,104,0
20050923,22.2,23.22,22.2,23.22,249,0
20050929,21.9,23.1,21.9,23.1,600,0
20050930,20.7,23.1,19.5,23.1,692,0
20051003,22.8,23.1,22.8,23.1,406,0
20051004,22.8,22.8,22.8,22.8,833,0
20051005,23.1,23.1,23.1,23.1,17,0
20051007,21.33,23.88,21.33,23.88,67,0
20051010,20.16,22.2,20.16,22.2,200,0
20051011,21.48,22.2,21.48,22.2,1442,0
20051014,20.22,21.9,20.1,21.9,432,0
20051018,19.56,21.48,17.76,21.48,251,0
20051020,18.3,18.3,18.3,18.3,167,0
20051021,18.3,20.88,18.3,20.88,67,0
20051027,19.5,20.76,19.5,20.76,33,0
20051028,20.7,20.7,20.7,20.7,29,0
20051031,20.64,20.64,20.64,20.64,167,0
20051101,20.76,20.76,20.4,20.4,550,0
20051108,19.74,20.4,19.74,20.4,175,0
20051109,19.8,20.4,19.8,20.4,200,0
20051110,19.11,20.34,19.11,20.34,50,0
20051114,19.5,19.98,19.5,19.98,217,0
20051115,19.5,19.92,19.5,19.92,183,0
20051118,18.36,19.92,18.36,19.92,350,0
20051121,18,18.96,18,18.48,3542,0
20051122,18.84,18.84,18.84,18.84,2172,0
20051123,18.3,18.54,18.24,18.54,1113,0
20051125,18.6,18.6,18.24,18.6,100,0
20051128,18.06,18.6,18.06,18.6,467,0
20051129,18.06,18.6,18.06,18.6,150,0
20051130,18.36,18.78,18.3,18.6,867,0
20051201,18.96,19.92,18.96,19.56,317,0
20051202,19.8,19.8,19.8,19.8,33,0
20051205,17.16,19.74,17.16,18.6,2400,0
20051206,18.3,18.42,18,18.42,9375,0
20051207,18.84,18.9,18.72,18.72,450,0
20051208,18.6,18.6,18.6,18.6,133,0
20051212,18.3,18.66,18,18.66,2050,0
20051213,17.94,19.92,17.4,19.08,834,0
20051214,19.8,19.8,19.8,19.8,167,0
20051215,19.92,20.46,19.8,20.46,1514,0
20051216,21.3,21.3,20.58,21,392,0
20051220,21,21,20.58,20.76,912,0
20051221,19.5,19.56,18.78,19.2,2321,0
20051222,18.72,20.28,18.72,20.28,231,0
20051227,18.48,19.68,18.36,19.14,686,0
20051228,18.48,19.08,18.48,19.08,254,0
20051229,18.6,19.14,18.6,19.14,467,0
20060104,19.14,20.7,19.14,20.4,1333,0
20060106,19.44,20.64,19.44,20.64,50,0
20060109,20.52,20.52,19.86,20.52,183,0
20060110,19.5,20.28,19.44,19.74,119,0
20060111,20.28,20.34,20.28,20.34,33,0
20060117,20.1,20.34,20.1,20.34,115,0
20060123,20.1,20.34,19.2,20.1,3706,0
20060124,19.14,20.4,19.14,20.4,277,0
20060125,18.78,20.4,18.78,20.4,429,0
20060126,18.96,20.4,18.96,20.34,165,0
20060127,20.34,20.7,19.92,20.64,283,0
20060130,20.4,21,19.8,21,1908,0
20060131,19.86,20.88,18.72,20.76,383,0
20060201,19.26,21,19.26,21,200,0
20060202,20.1,21,19.92,21,140,0
20060203,19.86,21,19.86,21,50,0
20060206,20.16,21,18.6,18.72,926,0
20060207,19.98,21,19.86,21,288,0
20060208,19.8,20.94,19.8,20.94,105,0
20060209,19.86,21,19.86,19.86,1311,0
20060210,19.86,21,19.86,21,200,0
20060216,20.82,20.82,20.76,20.76,333,0
20060217,20.82,20.94,20.82,20.94,183,0
20060221,20.16,20.94,20.16,20.94,183,0
20060222,20.7,20.7,19.92,20.7,367,0
20060227,20.04,20.64,19.8,20.64,1500,0
