Date,Open,High,Low,Close,Volume,OpenInt
20050225,4.4367,4.5757,4.4125,4.5757,8610,0
20050228,4.5334,4.7264,4.4065,4.6659,24019,0
20050301,4.5997,4.648,4.5997,4.648,2874,0
20050302,4.66,4.7264,4.66,4.7144,11790,0
20050303,4.7264,4.8291,4.7264,4.8291,10950,0
20050304,4.8291,5.1128,4.8291,4.98,6378,0
20050307,4.8349,4.9378,4.8291,4.8291,26035,0
20050308,4.9258,4.9258,4.8169,4.8231,6294,0
20050309,4.8109,4.8109,4.7626,4.7626,4016,0
20050310,4.7507,4.8231,4.7507,4.7688,3646,0
20050311,4.7807,4.7988,4.7566,4.7988,3368,0
20050314,4.8231,4.8894,4.7446,4.7446,4141,0
20050315,4.8231,4.8231,4.7385,4.7688,4474,0
20050316,4.7325,4.8231,4.7325,4.793,4640,0
20050317,4.7869,4.8291,4.7566,4.8291,12002,0
20050318,5.0707,5.0707,4.8048,4.8048,6047,0
20050321,4.7688,4.9559,4.7688,4.8472,5384,0
20050322,4.8291,4.8592,4.7507,4.8291,1821,0
20050323,5.0282,5.0282,4.8835,4.98,15068,0
20050324,5.0282,5.0645,4.98,5.0645,3521,0
20050328,5.0463,5.0645,4.9497,4.9982,2485,0
20050329,4.98,5.0403,4.9497,4.98,27167,0
20050330,4.98,5.0403,4.98,5.0403,10436,0
20050331,5.0101,5.1008,5.0101,5.1008,15195,0
20050401,4.98,5.0101,4.98,5.0101,2519,0
20050404,5.1189,5.1189,4.9861,4.9861,2336,0
20050405,4.98,4.9921,4.98,4.9861,8781,0
20050406,4.9861,4.9861,4.9861,4.9861,1966,0
20050407,4.9982,5.0645,4.9861,5.0645,827,0
20050408,4.9861,5.0524,4.9497,5.0101,5467,0
20050412,4.98,4.98,4.98,4.98,1821,0
20050413,4.98,4.98,4.9497,4.98,3106,0
20050414,4.8894,4.9197,4.7988,4.7988,8946,0
20050415,4.7688,4.8774,4.7688,4.8592,8444,0
20050418,4.8048,4.9075,4.8048,4.8592,6294,0
20050419,4.8291,4.8894,4.8291,4.8894,2239,0
20050420,4.8894,4.8894,4.5635,4.8169,12641,0
20050421,4.8592,4.98,4.7807,4.98,6125,0
20050422,4.98,4.98,4.7988,4.7988,3183,0
20050425,4.7988,4.7988,4.7688,4.7688,2650,0
20050426,4.7688,4.7688,4.7688,4.7688,166,0
20050427,4.841,4.841,4.7869,4.7869,994,0
20050428,4.8291,4.8835,4.8291,4.8835,4348,0
20050429,4.8291,4.8532,4.8291,4.8291,4948,0
20050502,4.7385,4.8048,4.7385,4.7385,1305,0
20050503,4.8291,4.9075,4.8291,4.8894,4762,0
20050504,4.7988,4.8532,4.7988,4.8109,13963,0
20050505,4.7988,4.7988,4.7988,4.7988,8282,0
20050506,4.7747,4.7747,4.7747,4.7747,1119,0
20050509,4.7988,4.8532,4.7688,4.7747,6681,0
20050510,4.7869,4.793,4.7688,4.7688,11523,0
20050511,4.7807,4.8532,4.7807,4.8532,3727,0
20050512,4.7807,4.7807,4.7807,4.7807,15904,0
20050513,4.7807,4.8291,4.648,4.7385,1899,0
20050516,4.7385,4.8532,4.7385,4.8532,3930,0
20050517,4.7688,4.8532,4.7688,4.7747,10445,0
20050518,4.7869,4.7869,4.7869,4.7869,4640,0
20050519,4.8532,4.8532,4.8349,4.8472,497,0
20050520,4.7747,4.841,4.7747,4.841,8101,0
20050523,4.8592,4.9497,4.8592,4.9497,10436,0
20050524,4.98,5.0101,4.8955,4.9921,2144,0
20050525,4.7747,4.9438,4.7747,4.9197,1821,0
20050526,4.9921,5.0101,4.8955,4.8955,7767,0
20050527,4.8291,5.0101,4.8169,5.0101,6956,0
20050531,4.8712,5.0041,4.8712,5.0041,1692,0
20050601,4.8592,5.131,4.8592,5.1189,30566,0
20050602,4.9921,5.1189,4.9197,5.1189,4981,0
20050603,4.9318,4.9861,4.9318,4.9861,497,0
20050606,5.1189,5.1189,5.1189,5.1189,332,0
20050607,5.1189,5.1791,5.1189,5.1791,31040,0
20050608,5.1791,5.4327,5.1791,5.4207,40589,0
20050609,5.4207,5.5173,5.4207,5.475,15572,0
20050610,5.475,5.475,5.2998,5.4327,17603,0
20050613,5.463,5.463,5.463,5.463,994,0
20050614,5.463,5.5173,5.463,5.463,4309,0
20050615,5.4569,5.493,5.3602,5.493,3148,0
20050616,5.5173,5.7224,5.5052,5.6258,25408,0
20050617,5.7224,5.7224,5.5836,5.6017,3463,0
20050620,5.5414,5.7345,5.5232,5.7224,10518,0
20050621,5.7224,5.7224,5.5836,5.6742,6751,0
20050622,5.6439,5.6439,5.6076,5.6076,2900,0
20050623,5.6742,5.7648,5.6076,5.7043,76188,0
20050624,5.7525,5.7648,5.6803,5.6861,4309,0
20050627,5.7648,5.7648,5.6861,5.7586,3479,0
20050628,5.5232,5.789,5.4388,5.7224,8161,0
20050629,5.7949,5.7949,5.6139,5.7949,4267,0
20050630,5.7949,5.7949,5.7648,5.7648,1863,0
20050701,5.7949,5.7949,5.6017,5.6017,994,0
20050705,5.493,5.6562,5.1611,5.3723,18187,0
20050706,5.4266,5.6742,5.2033,5.6742,5188,0
20050707,5.5836,5.5836,5.5836,5.5836,3395,0
20050708,5.7949,5.7949,5.6017,5.6742,7829,0
20050711,5.5414,5.5836,5.5414,5.5534,7786,0
20050712,5.4025,5.4327,5.4025,5.4327,2463,0
20050713,5.4449,5.4449,5.2818,5.4327,15552,0
20050714,5.5595,5.5595,5.4327,5.463,11387,0
20050715,5.5534,5.6742,5.5534,5.6562,3810,0
20050718,5.6742,5.6742,5.6139,5.6139,10319,0
20050719,5.5836,5.5836,5.5836,5.5836,911,0
20050720,5.5836,5.5836,5.3422,5.3542,8075,0
20050721,5.4327,5.4327,5.4327,5.4327,1657,0
20050722,5.463,5.4991,5.3542,5.4991,7622,0
20050725,5.3542,5.4509,5.3542,5.4086,2362,0
20050726,5.3542,5.4569,5.3542,5.4569,2073,0
20050727,5.4327,5.4327,5.4025,5.4025,3935,0
20050728,5.3785,5.3785,5.3785,5.3785,166,0
20050729,5.4327,5.4871,5.3723,5.4871,5275,0
20050801,5.1428,5.4327,5.1428,5.3422,12100,0
20050802,5.3483,5.3723,5.3483,5.3723,4640,0
20050803,5.4327,5.4327,5.3179,5.3179,3685,0
20050804,5.6379,5.6379,5.2818,5.4327,10427,0
20050805,5.4086,5.4327,5.4086,5.4327,1807,0
20050808,5.2818,5.4266,5.1611,5.3179,7237,0
20050809,5.6017,5.6017,5.3723,5.4025,20831,0
20050810,5.5897,5.6017,5.2516,5.2818,12764,0
20050811,5.3179,5.3422,5.1912,5.1912,4803,0
20050812,5.131,5.2818,4.9738,5.1671,18434,0
20050815,4.9921,5.2516,4.9921,5.1912,2872,0
20050816,5.131,5.2456,5.0707,5.2456,5920,0
20050817,5.1671,5.1671,5.0707,5.0707,1821,0
20050818,5.0707,5.1128,4.8291,4.8472,26715,0
20050819,4.8472,4.98,4.8472,4.98,7580,0
20050822,5.0282,5.3602,5.0282,5.2757,4929,0
20050823,5.0224,5.1428,5.0224,5.1428,2528,0
20050824,5.131,5.2757,5.131,5.2516,12705,0
20050825,5.2516,5.3723,5.2516,5.3422,3218,0
20050826,5.4327,5.5232,5.3422,5.4025,10934,0
20050829,5.4327,5.4327,5.3844,5.3844,497,0
20050830,5.4327,5.4327,5.2699,5.4025,26173,0
20050831,5.3422,5.5173,5.3422,5.493,18873,0
20050901,5.463,5.5232,5.3723,5.3723,145713,0
20050902,5.3422,5.5232,5.3179,5.5232,9586,0
20050906,5.5232,5.5534,5.493,5.5534,14681,0
20050907,5.5232,5.5232,5.5232,5.5232,2691,0
20050908,5.5232,5.5715,5.5232,5.5534,4069,0
20050909,5.3422,5.6742,5.3422,5.5173,2485,0
20050912,5.6562,5.6742,5.5836,5.5836,3562,0
