Date,Open,High,Low,Close,Volume,OpenInt
20160805,231.25,232.5,212.5,230,26536,0
20160808,236.25,236.25,222,222,1417,0
20160809,225,225,220.75,224,504,0
20160810,224.5,234.53,220.75,233.5,1401,0
20160811,250,250,220,221.75,2545,0
20160812,237.5,240.25,220.25,238.05,1435,0
20160815,243.45,262.5,239.48,250.76,3161,0
20160816,241.75,254.95,240.5,249.75,1952,0
20160817,250.4,253.5,232.75,250,2169,0
20160818,250.25,252.5,225.25,251.25,1112,0
20160819,255,255,250.75,250.75,358,0
20160822,250,252.5,250,250,1057,0
20160823,250,256.25,250,253.25,960,0
20160824,262.5,262.5,255,255,114,0
20160825,262.5,262.5,252.5,252.75,334,0
20160826,256,256.25,250.25,253.75,452,0
20160829,251.75,253.75,249.25,253.75,630,0
20160830,262.25,299.5,259.98,282.5,7195,0
20160831,300,349.5,299.11,331,18968,0
20160901,327,346.75,326.5,336.25,2324,0
20160902,327.75,337.5,327.75,330.75,1005,0
20160906,337.25,337.5,328.25,334,1281,0
20160907,337.5,337.5,314,320.75,1298,0
20160908,316.25,319.25,301.25,308.75,2471,0
20160909,314.98,314.98,302.5,310,762,0
20160912,313.5,313.5,299.91,307.5,451,0
20160913,275.25,307.5,262.5,285,1221,0
20160914,296.25,296.25,279.5,280.25,638,0
20160915,275.25,291.38,247.5,254.75,1897,0
20160916,233.1,274,225.25,240.75,2359,0
20160919,247.75,267.3,242.5,250,1526,0
20160920,247.25,256.62,244.81,249.75,653,0
20160921,250,261.75,237.5,251.5,659,0
20160922,263,324.75,237.75,290.25,1652,0
20160923,286.5,286.5,269.25,272.75,254,0
20160926,291,293.01,271.53,282.25,601,0
20160927,284.75,285,278.62,285,374,0
20160928,279,312.75,279,309,816,0
20160929,318.73,318.75,272,282.5,1044,0
20160930,276.25,317,250.75,273,2427,0
20161003,274.25,286.75,257.5,275,2296,0
20161004,275,291.75,251.52,260.5,2059,0
20161005,268.38,272,257.75,270,653,0
20161006,271.5,277.25,262.5,277.25,1102,0
20161007,277.75,277.75,255.75,268.75,879,0
20161010,272.5,281.75,256.5,280.75,1216,0
20161011,279.25,287.75,263.75,287.75,1038,0
20161012,286.5,298.75,281.5,282.25,1255,0
20161013,279.75,292.75,277.25,277.25,1628,0
20161014,279.75,284.5,252.75,252.75,1496,0
20161017,255,277.25,250.5,250.5,1333,0
20161018,258.25,260,250,250.25,909,0
20161019,252,267.09,252,255.5,286,0
20161020,263.75,270.34,263.75,268.87,82,0
20161021,261.25,261.25,252.75,258,104,0
20161024,261.47,264,255,255,65,0
20161025,259,259.73,254.49,257,193,0
20161026,255,261.97,241,253,881,0
20161027,250.25,256.97,244.12,247.25,476,0
20161028,249.75,257.23,244,244,293,0
20161031,247.25,253.25,234,234.75,486,0
20161101,238.57,248.64,237.5,237.5,137,0
20161102,231.7,239,231.7,239,113,0
20161103,233.75,234.1,225.5,225.5,86,0
20161104,227.25,236.42,227.25,227.5,60,0
20161107,232.25,249.75,232.25,249.75,641,0
20161108,242.25,247.5,234.75,234.75,409,0
20161109,230,232.85,225,230.25,1197,0
20161110,234.5,247.75,226,235.5,1084,0
20161111,232,235,228,228,100,0
20161114,235,235,227.5,229.5,36,0
20161115,229.75,245.79,227.5,235,146,0
20161116,231.25,238.1,231.25,238.1,52,0
20161117,238.75,246.5,238.75,239.75,117,0
20161118,245.1,245.1,236.75,236.75,20,0
20161121,234.75,234.75,234.75,234.75,4,0
20161122,229.57,240,229.25,240,80,0
20161123,240,240,240,240,4,0
20161125,235.54,241.25,227.5,241.25,24,0
20161128,235.5,237.5,235.5,235.5,229,0
20161129,227.5,240.5,227.5,233.75,199,0
20161130,241.5,241.5,232.5,238.25,48,0
20161201,230,234.5,227.75,233.75,171,0
20161202,234.25,237.25,226.25,230,411,0
20161205,225.5,234.5,225.5,234.5,151,0
20161206,227.5,229.88,212,218.75,160,0
20161207,227.25,236.5,208,226.25,1387,0
20161208,225,237,223.5,223.75,1396,0
20161209,223.75,224.5,220,220.25,171,0
20161212,220,221.25,210.25,213,570,0
20161213,215.75,215.75,181.25,202.5,1772,0
20161214,221.5,228.5,200.5,215,1330,0
20161215,201.25,214,185.25,190.25,1656,0
20161216,196.83,196.83,187.75,187.75,882,0
20161219,191,194.64,191,192.25,120,0
20161220,191,202.5,189.08,200,164,0
20161221,198.25,199.75,192.75,199.75,283,0
20161222,192.75,200,192.5,198.5,283,0
20161223,190,205,190,204.75,26,0
20161227,206.25,216,191,216,308,0
20161228,196.3,220,196.3,205.25,229,0
20161229,205.5,205.5,204.5,204.5,14,0
20161230,196.7,205.25,191.5,196,845,0
20170103,215.5,215.5,197.25,197.25,50,0
20170104,205.02,205.5,187.75,200,327,0
20170105,200,208.5,200,208.5,38,0
20170106,217.65,232.25,213.88,225.25,1173,0
20170109,250,250,231.44,237.5,516,0
20170110,241,254.25,241,254.25,77,0
20170111,253.28,254.22,249.98,249.98,52,0
20170112,235.75,247.88,235,247,98,0
20170113,248.75,253.5,248.75,250,53,0
20170117,226,246.88,225.5,246.88,147,0
20170118,245,252.25,244.25,251,172,0
20170119,251,270,251,261.25,159,0
20170120,268,268.88,267.5,267.75,54,0
20170123,266.25,266.25,262.75,262.75,149,0
20170124,263.5,263.75,251.75,251.75,98,0
20170125,263.75,264.25,257.75,264.25,68,0
20170126,264.83,264.83,249,252.5,499,0
20170127,252.5,266,252.5,266,225,0
20170130,265.25,265.75,256.24,259.03,239,0
20170131,267.5,275.75,267.5,275,237,0
20170201,274.19,274.75,261.92,274.75,68,0
20170202,271,272,251.5,271.75,468,0
20170203,272.5,274.75,264.25,272,642,0
20170206,275,275,268,268,329,0
20170207,256.25,265,256.25,262.5,200,0
20170208,258.75,263.45,256.54,262.5,1035,0
20170209,260,262.5,253,257,348,0
20170210,258.75,258.75,250.75,250.75,323,0
20170213,252.25,263.25,247,255.25,921,0
20170214,257.5,262.13,257.5,259,88,0
20170215,259,259,250.5,250.5,118,0
20170216,254.75,259.5,243.75,243.75,694,0
20170217,247,252,243.75,247.5,172,0
20170221,247,250,245.25,245.25,733,0
20170222,250,250,242.5,242.5,138,0
20170223,242.5,243.75,225.68,226.25,416,0
20170224,242.02,243.25,229.06,230,253,0
20170227,241.5,242.25,227.5,242.25,224,0
20170228,237.5,237.5,232.28,234.75,208,0
20170301,230,234.36,230,232.5,237,0
20170302,237.5,237.5,233,234.02,759,0
20170303,235,235.25,232.75,235,275,0
20170306,244.48,244.48,235.98,237.5,544,0
20170307,236.25,236.62,235,235,364,0
