Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.5056,8.6174,8.3689,8.5863,696768,0
20050228,8.636,8.7914,8.4248,8.5118,1292125,0
20050301,8.4745,8.7727,8.3875,8.6795,1178890,0
20050302,8.6919,8.7106,8.4807,8.6422,1016724,0
20050303,8.6671,8.9653,8.5118,8.8038,1171054,0
20050304,8.9156,9.2263,8.8597,9.1766,1636996,0
20050307,9.2511,9.4437,9.0896,9.1269,2256646,0
20050308,9.2325,9.506,9.102,9.1206,1691224,0
20050309,9.1082,9.643,9.1082,9.4624,1986975,0
20050310,9.4002,9.4561,9.2076,9.3692,592029,0
20050311,9.307,9.568,9.307,9.537,720521,0
20050314,9.618,9.792,9.512,9.767,1929142,0
20050315,9.773,9.816,9.4375,9.543,1189698,0
20050316,9.518,9.785,9.2884,9.3567,1179989,0
20050317,9.3257,9.568,9.3008,9.4934,1688968,0
20050318,9.4934,9.524,9.1517,9.307,896302,0
20050321,9.3505,9.3505,8.9343,9.0523,901498,0
20050322,9.4934,9.4996,9.1144,9.1455,1332777,0
20050323,9.0709,9.0709,8.7417,8.7417,1311937,0
20050324,8.7976,9.0088,8.7727,8.8659,665868,0
20050328,8.9529,9.0896,8.8597,8.8659,612472,0
20050329,8.928,8.9777,8.5739,8.6298,1075907,0
20050330,8.6857,9.0647,8.605,9.0461,794235,0
20050331,9.0212,9.4313,9.0212,9.3754,1756867,0
20050401,9.4189,9.63,9.3567,9.4499,1179929,0
20050404,9.4499,9.798,9.3567,9.779,2190645,0
20050405,9.773,9.804,9.556,9.754,916392,0
20050406,9.705,9.754,9.574,9.574,585829,0
20050407,9.574,9.599,9.4002,9.4437,1152928,0
20050408,9.3754,9.4313,9.1641,9.2884,1221478,0
20050411,9.276,9.4437,9.276,9.3816,646660,0
20050412,9.81,9.816,9.4251,9.537,4196548,0
20050413,9.556,9.754,9.4437,9.63,2374984,0
20050414,9.605,9.785,9.599,9.723,1912028,0
20050415,9.711,9.711,9.2573,9.3257,5492349,0
20050418,9.2573,9.2573,8.8597,9.1579,1596873,0
20050419,9.2511,9.524,9.1828,9.518,823306,0
20050420,9.562,9.574,9.0958,9.2014,950382,0
20050421,9.307,9.568,9.2884,9.4686,842254,0
20050422,9.4872,9.4872,8.8224,8.9591,1163287,0
20050425,9.0275,9.1144,8.8597,9.0958,633178,0
20050426,9.0523,9.1952,8.8597,9.0399,1026045,0
20050427,8.9529,9.1269,8.8908,9.0275,809329,0
20050428,8.928,9.0212,8.052,8.052,3286718,0
20050429,9.816,10.376,9.643,10.022,12269489,0
20050502,10.04,10.599,10.028,10.401,3168922,0
20050503,10.314,10.425,9.922,10.127,2145055,0
20050504,10.077,10.581,10.071,10.581,3196573,0
20050505,10.531,10.953,10.456,10.73,2054414,0
20050506,10.78,10.966,10.574,10.798,951063,0
20050509,10.873,10.966,10.761,10.873,1113168,0
20050510,10.848,11.177,10.693,11.078,2407942,0
20050511,11.028,11.059,10.624,10.693,1791331,0
20050512,10.717,11.059,10.705,10.798,976473,0
20050513,10.873,11.221,10.748,10.985,2534576,0
20050516,11.084,11.438,10.929,11.438,2456954,0
20050517,11.245,11.519,11.177,11.451,1261422,0
20050518,11.376,11.798,11.364,11.786,1173665,0
20050519,11.805,11.96,11.556,11.656,2344056,0
20050520,11.68,11.68,11.221,11.32,2079718,0
20050523,11.339,11.656,11.214,11.649,2130272,0
20050524,11.407,11.767,11.227,11.618,2047133,0
20050525,11.562,11.562,11.146,11.32,1927166,0
20050526,11.482,11.786,11.457,11.674,1338496,0
20050527,11.649,11.78,11.525,11.755,1137032,0
20050531,11.854,12.488,11.805,12.221,4881529,0
20050601,12.308,12.358,12.053,12.221,1524573,0
20050602,12.271,12.414,11.848,12.215,1744759,0
20050603,12.283,12.32,11.966,12.035,808494,0
20050606,12.115,12.115,11.662,11.885,895650,0
20050607,11.879,11.997,11.798,11.83,716206,0
20050608,11.898,11.972,11.556,11.718,999022,0
20050609,11.73,11.91,11.587,11.873,919032,0
20050610,11.923,11.991,11.817,11.979,596930,0
20050613,12.022,12.053,11.879,11.991,633067,0
20050614,12.022,12.053,11.873,11.96,757129,0
20050615,12.003,12.066,11.587,11.774,1101228,0
20050616,11.774,11.935,11.643,11.885,396086,0
20050617,11.91,11.997,11.805,11.985,1027793,0
20050620,11.929,11.991,11.817,11.96,620537,0
20050621,11.929,12.426,11.854,12.345,1624792,0
20050622,12.426,12.426,12.115,12.358,936531,0
20050623,12.389,12.911,11.96,12.097,2992783,0
20050624,12.084,12.159,11.382,11.904,2165833,0
20050627,11.805,11.904,11.245,11.637,1033064,0
20050628,11.506,11.898,11.463,11.724,1038480,0
20050629,11.811,11.811,11.575,11.612,616759,0
20050630,11.612,11.736,11.488,11.556,589338,0
20050701,11.556,11.724,11.506,11.699,399519,0
20050705,11.73,12.115,11.587,11.923,852873,0
20050706,11.823,12.053,11.767,11.892,886885,0
20050707,11.73,12.053,11.711,11.935,927392,0
20050708,11.985,12.258,11.879,12.202,1110418,0
20050711,12.208,12.382,12.208,12.295,1286986,0
20050712,12.358,13.047,12.302,12.861,1965635,0
20050713,12.966,13.669,12.78,13.65,2615865,0
20050714,13.669,13.917,13.482,13.706,2852357,0
20050715,13.65,13.762,13.377,13.513,1089012,0
20050718,13.544,13.544,13.06,13.097,988121,0
20050719,13.196,13.358,12.923,13.215,1680490,0
20050720,13.246,13.998,13.172,13.749,1750811,0
20050721,13.793,14.085,13.091,13.14,1179401,0
20050722,13.172,13.389,12.612,13.047,1289745,0
20050725,13.047,13.147,12.836,12.917,1118764,0
20050726,12.985,13.047,12.283,12.507,1601029,0
20050727,12.594,12.625,12.382,12.55,1454550,0
20050728,12.643,13.669,12.581,13.594,2653317,0
20050729,12.525,12.966,12.289,12.867,3573325,0
20050801,12.966,13.103,12.606,12.774,1449438,0
20050802,12.836,13.594,12.749,13.544,1404180,0
20050803,13.439,13.488,12.998,13.277,748870,0
20050804,13.234,13.283,12.867,12.873,552108,0
