Date,Open,High,Low,Close,Volume,OpenInt
20170829,24.5,27.95,24,27.65,66931,0
20170830,28,36.3,27.871,30.94,169925,0
20170831,33,36.6,32,35.5,126896,0
20170901,37,40.5,37,39,182082,0
20170905,40,40,32,37.44,110832,0
20170906,38.1,44.4347,38.1,44,128799,0
20170907,46,50.7,44.63,50.5,236301,0
20170908,51.9,51.9,46,49.93,148280,0
20170911,48.65,51,47,49.88,79979,0
20170912,49,49.4999,33.26,36,326482,0
20170913,36,38.541,35.11,36.98,108849,0
20170914,37.63,37.6607,22.75,26.79,347377,0
20170915,25.71,27.88,23.26,24.1155,199772,0
20170918,24.05,28.9752,24.02,27.55,155315,0
20170919,28.5,37.5,28.04,35.7,365002,0
20170920,36.99,39.542,34.7501,36.78,236746,0
20170921,35.31,37.5897,35.31,37,55901,0
20170922,37.75,41.94,37.1493,40.58,145769,0
20170925,40.6,41,35.3901,38.43,98611,0
20170926,39.1,40.86,38.8201,39.92,65539,0
20170927,40.03,41.34,38.28,38.81,80129,0
20170928,38.85,39.7489,37.0091,37.65,67402,0
20170929,37.68,38,35.5001,36.79,31287,0
20171002,36.05,36.6565,32.07,34.79,116261,0
20171003,33.42,34.02,31.02,31.8,76214,0
20171004,32.36,35.1598,30.7601,34.5,48222,0
20171005,34.7,36.5,34.52,36.35,51729,0
20171006,36.35,38.5,34.89,35.95,80328,0
20171009,35.9,37.95,35.5224,37.75,38298,0
20171010,38,39.3545,37.5141,38.65,50417,0
20171011,38.54,39,38,38.2474,17404,0
20171012,36.01,38.3876,36,36.11,31947,0
20171013,35.5,38.15,34.8359,37.98,25156,0
20171016,38.64,38.7,32.04,33.7,76366,0
20171017,34.5,36.8266,33.8937,35.78,31615,0
20171018,35.9,37.95,34,35.97,18075,0
20171019,36.7,36.7,35,35.49,10800,0
20171020,34.5,35.2999,30.0101,32,88047,0
20171023,32.56,36.4383,30.54,30.8,27829,0
20171024,30.38,31.73,28.1,29,108048,0
20171025,29.62,30.315,28.75,29.6,42792,0
20171026,30.5,48,30.4207,40.15,586916,0
20171027,42,42,34.85,36.59,291932,0
20171030,36,36.969,34.6,36.34,90930,0
20171031,37.58,39.2948,35.4,38.39,92128,0
20171101,39.49,40,37.1948,38.89,54146,0
20171102,39.03,41,37.8363,38.7,155383,0
20171103,39.25,40,36.39,37.62,39148,0
20171106,38.08,39.19,35.75,36.8,33481,0
20171107,36.1,36.469,35.5273,35.7,39846,0
20171108,36.76,36.77,35.758,35.99,15813,0
20171109,35.26,36.2322,35.26,35.76,16573,0
20171110,36,36.2697,34.17,34.5,42253,0
20171113,35.42,35.42,33.7,34.5,26298,0
20171114,35.2,35.43,34.4797,34.6515,15313,0
20171115,34.91,34.91,33.82,34.11,17984,0
20171116,34.1,34.3985,32.5518,33.16,40157,0
20171117,33.72,33.72,30.5004,30.89,50673,0
20171120,30.73,34.06,30.451,33.07,41163,0
20171121,33.98,35,33.5,34.48,23197,0
20171122,35.28,35.455,34.6,35.02,25338,0
20171124,35.49,35.49,33.25,34.45,20755,0
20171127,34.99,34.99,32.75,33.08,28725,0
20171128,33.73,34.45,33.0092,33.45,24068,0
20171129,34.23,34.23,32.21,33.09,19552,0
20171130,33.05,33.05,31.0412,31.74,25933,0
20171201,30.84,31.9126,30.45,30.56,33583,0
20171204,30.85,33.1,30.85,31.36,31396,0
20171205,30.55,31.94,30,30.41,44531,0
20171206,30.42,31.53,30.15,30.38,23223,0
20171207,30.32,31.49,30,30,23475,0
20171208,30.3,31,30,30.01,24504,0
20171211,30,30.89,28.5,29.5,72556,0
20171212,29.5,29.999,28.5,28.7,78488,0
20171213,28.5,29,24.0001,24.05,167811,0
20171214,24.1,24.76,21.35,23.51,163867,0
20171215,23,23.75,22.51,22.55,72520,0
20171218,23,23.5,19.01,19.05,198955,0
20171219,20.84,22.49,17.01,18.1939,123642,0
20171220,19.2,25.06,19.1,23.8001,393663,0
20171221,24,24.7,23,23.25,94960,0
20171222,23.99,25.4051,23.25,24.95,62810,0
20171226,24.59,25.5251,23.01,24.03,86584,0
20171227,23.74,23.74,20.61,21.06,140917,0
20171228,21.01,23.23,20.9501,23.23,66087,0
20171229,23.35,24,21.22,22.97,46162,0
20180102,23.37,24.8841,23.2768,23.87,46927,0
20180103,23.46,24.945,23.02,24.01,39594,0
20180104,24.63,25.15,24.1283,24.84,28459,0
20180105,24.69,25.2,24.2901,24.43,27195,0
20180108,24.71,24.94,24.1,24.11,18427,0
20180109,24.01,24.01,23.0901,23.25,22398,0
20180110,23.17,24.85,23.17,23.34,23141,0
20180111,23.5,24.78,21.7,22.46,63747,0
20180112,22.79,23.079,21.5,21.5,19931,0
20180116,21.5,22.3799,21.01,21.01,38526,0
20180117,21.01,21.8735,19.8,20.1,76483,0
20180118,20.02,20.8647,19.9222,20.41,35574,0
20180119,21.97,21.97,20.6,20.6,31365,0
20180122,20.6,21.229,20.3145,20.34,15533,0
20180123,20.34,21.03,19.5577,20.66,45324,0
20180124,21.41,21.45,19.93,20.86,35592,0
20180125,21.27,21.27,20.425,20.86,16338,0
20180126,21.22,21.8079,20.7364,21.77,15261,0
20180129,21.99,22.86,20.66,21.72,45575,0
20180130,21.07,21.79,20.9008,21.4,16284,0
20180131,21.51,21.99,20.5601,20.65,9337,0
20180201,21.28,21.28,20.65,20.65,5016,0
20180202,20.63,21,19.77,19.77,22432,0
20180205,19.8,20.999,19.2607,19.3,19787,0
20180206,18.58,19.4992,18.37,18.8,35466,0
20180207,18.99,20.8405,18.98,19.99,17251,0
20180208,21.14,21.499,20,21.47,33359,0
20180209,22,22,19.11,20.16,49060,0
20180212,20.5,21.74,20.01,20.17,16026,0
20180213,20,27.24,20,24.789,132229,0
20180214,24.85,25.439,24.0101,25.19,42143,0
20180215,25.71,26.7902,25.55,26.5,52407,0
20180216,26.65,26.65,25.0201,25.225,22831,0
20180220,25.35,25.35,24.0981,24.48,31796,0
20180221,24.7247,25.2,22.5032,22.72,37560,0
20180222,23.5,24.2797,22.3006,22.96,32645,0
20180223,23.7,23.7,22.2,22.44,14831,0
20180226,23.46,23.46,22.3001,22.44,10515,0
20180227,23,23.135,21.87,22.16,25811,0
