Date,Open,High,Low,Close,Volume,OpenInt
20171013,20,20.949,18.16,19,3917392,0
20171016,19,20.97,18.61,19.61,546939,0
20171017,19.56,19.909,18.73,19.22,359246,0
20171018,19.23,20.05,18.7,19.14,388721,0
20171019,19.02,19.65,18.905,19,80700,0
20171020,18.99,19.45,18.95,19.01,165904,0
20171023,19.05,19.57,18.65,19.04,100359,0
20171024,18.93,19.255,18.6818,19.1,191185,0
20171025,19,20,18.8,19.91,184962,0
20171026,19.76,20.08,19.1883,19.99,380026,0
20171027,20.05,20.4,19.7,20.3,334671,0
20171030,20,20.32,19.54,20.01,205481,0
20171031,19.63,20.39,19.63,20.16,95099,0
20171101,20.27,20.27,19.25,19.71,177892,0
20171102,19.53,20.35,19.38,19.89,138525,0
20171103,19.76,20.24,19.3,20.08,117764,0
20171106,19.84,21.46,19.83,20.76,177075,0
20171107,20.58,20.84,18.3201,19.02,447269,0
20171108,19.37,19.7306,18.9,19,105861,0
20171109,18.95,19.27,17.33,17.34,168772,0
20171110,17.2,17.999,16.66,17.32,154030,0
20171113,17.08,17.39,16.8,16.84,108858,0
20171114,16.95,16.961,15.01,15.2,114447,0
20171115,15.37,16.5,15.255,16.19,114757,0
20171116,16.28,16.5,15.475,15.93,89249,0
20171117,16,16,15.555,15.75,122695,0
20171120,15.8,17.02,15.5,16.58,86324,0
20171121,16.87,17.39,16.165,16.85,118101,0
20171122,16.77,18.53,16.77,18.46,82008,0
20171124,18.63,20.54,17.21,20.02,53430,0
20171127,20,20.1,19.035,19.22,111516,0
20171128,19.19,19.4,18.11,18.87,89731,0
20171129,18.84,20.13,18.3,18.83,74434,0
20171130,18.81,19.8399,18.45,19.25,126660,0
20171201,18.94,20.2107,17.61,18.77,136648,0
20171204,18.77,19.79,18.69,18.98,98079,0
20171205,19.16,20,18.52,18.89,98654,0
20171206,18.62,19.64,18.05,18.6,103183,0
20171207,18.065,18.95,17.93,17.93,83247,0
20171208,18.08,18.47,17.46,18.14,79534,0
20171211,18.18,19.415,18.13,18.99,198559,0
20171212,18.88,19.397,17,17,156891,0
20171213,17.3,19.25,17.2,18.66,160971,0
20171214,18.81,19.51,18.29,18.81,189499,0
20171215,18.8,20.5,18.37,19.13,799043,0
20171218,18.91,21.28,18.61,19.49,398590,0
20171219,19.6,20.34,18.5,19.19,133176,0
20171220,19.09,20.4,18.815,19.4,117111,0
20171221,19.33,20.69,19.33,19.89,112009,0
20171222,19.5,20.55,19.24,19.76,96683,0
20171226,19.58,20.22,19.12,19.6,120728,0
20171227,19.46,19.72,18.83,19.34,211740,0
20171228,19.04,19.73,18.73,19.5,266040,0
20171229,19.51,19.62,18.52,18.9,133479,0
20180102,18.82,19.44,18.4,19.03,66604,0
20180103,19.01,19.33,18.11,18.54,60084,0
20180104,18.57,19.24,17.08,17.42,85839,0
20180105,19.28,19.28,16.45,17.2,70974,0
20180108,17.11,17.9,16.96,17.68,31806,0
20180109,17.84,18.42,16.99,18.02,57960,0
20180110,17.95,19.22,17.6,18.59,113917,0
20180111,18.46,20.145,18.46,19.67,194592,0
20180112,20,21.5,19.56,19.87,146538,0
20180116,19.77,20.21,19.27,19.36,64992,0
20180117,19.39,19.62,18.75,19.1,32839,0
20180118,19.05,19.4,19.0375,19.15,57910,0
20180119,18.99,19.745,18.99,19.25,43580,0
20180122,19.29,20.31,19.12,19.27,46780,0
20180123,19.39,20,19.06,19.27,59735,0
20180124,19.38,20.605,19.09,19.66,93258,0
20180125,19.65,19.65,19.075,19.35,27885,0
20180126,19.34,20.079,19.26,19.98,25262,0
20180129,20.02,20.91,19.65,20.82,50959,0
20180130,20.6,20.61,19.31,19.71,66608,0
20180131,19.93,19.96,18.62,18.95,49077,0
20180201,18.87,19,18.32,18.65,69916,0
20180202,18.26,18.8347,18.01,18.41,16581,0
20180205,18.32,18.49,17.45,17.97,33329,0
20180206,17.7,18.4365,17.63,18,47416,0
20180207,18.05,18.51,18.05,18.41,17884,0
20180208,18.44,18.755,18.18,18.44,46190,0
20180209,18.64,18.79,16.8,17.26,71841,0
20180212,17.39,18.47,16.855,17.35,29371,0
20180213,17.18,17.65,16.85,16.9,24167,0
20180214,16.75,17.0582,16.53,16.7,36784,0
20180215,16.54,16.613,15.5,16.42,39020,0
20180216,16.28,16.5418,16,16.2,27696,0
20180220,16.09,16.48,15.5,15.91,62160,0
20180221,16.06,18.82,16,17.87,64573,0
20180222,18.05,18.5857,17.08,17.58,41036,0
20180223,18.1689,18.25,16.8948,17.31,40539,0
20180226,17.18,17.97,17.12,17.41,29479,0
20180227,17.29,18.13,17.215,17.55,38553,0
20180228,17.49,18.13,17.49,17.71,47030,0
20180301,17.65,17.77,17.02,17.52,73916,0
20180302,16.76,17.97,16.73,17.86,51750,0
20180305,17.75,18.12,17.45,17.87,48401,0
20180306,18.03,18.2932,17.61,17.87,19880,0
20180307,17.66,18.37,17.49,18.17,23209,0
20180308,18.15,18.15,17.02,17.41,41341,0
20180309,17.78,18.0849,17.22,17.69,27004,0
20180312,17.55,17.6359,17.055,17.36,16414,0
20180313,17.25,17.25,16.5,17.11,42820,0
20180314,17.16,18.61,17.16,18.32,79927,0
20180315,18.39,18.6,17.685,18.09,25507,0
20180316,18.21,19.98,18.21,19.94,89163,0
20180319,20.01,20.82,19.54,19.96,166932,0
20180320,20.22,20.22,17.581,18.51,44949,0
20180321,18.42,19.97,18.42,19.76,43981,0
20180322,18.6,19.98,18.53,19.5,35909,0
20180323,19.5,20.48,19.47,20,88320,0
20180326,20.2,21.71,20,20.75,82481,0
20180327,21.03,25.24,20.02,20.39,110324,0
20180328,21.01,23.436,19.361,20.22,90600,0
20180329,20.46,20.81,19.711,20.02,123799,0
20180402,20.3,20.97,18.47,19.28,94184,0
20180403,19.49,19.89,18.59,19.54,51090,0
20180404,19.19,20.69,18.48,19,99382,0
20180405,19.3,19.3,18.57,18.75,58312,0
20180406,18.99,19.96,18.75,19.3,246704,0
20180409,19.39,21.1884,19,19.11,235747,0
20180410,19.38,20.01,19.12,19.84,62040,0
20180411,19.74,20.29,19.52,19.74,277535,0
20180412,19.75,20.2208,18.83,19.64,104820,0
20180413,19.4,19.87,18.92,19.57,67042,0
20180416,19.78,20.39,19.31,19.72,70395,0
20180417,19.75,20.64,19.61,20.4,130115,0
20180418,20.49,20.99,19.29,19.58,280086,0
20180419,19.44,20.4,17.87,20.12,220152,0
20180420,19.97,20.54,19.87,20.14,68431,0
20180423,20.11,20.36,20,20.16,31342,0
20180424,20.4,21.13,20.01,20.25,112827,0
20180425,20.15,20.95,20.0762,20.48,46810,0
20180426,20.73,21.27,20.72,21.12,48162,0
20180427,21.21,21.38,20.2,21,110540,0
20180430,21.01,21.75,20.98,21.4,62759,0
20180501,21.29,21.67,21,21.15,50521,0
20180502,21.14,21.9853,21.1,21.26,34802,0
20180503,21.46,21.46,20.95,21.04,54690,0
20180504,21,22.02,21,21.54,27059,0
20180507,21.5,21.8,21.07,21.41,31600,0
20180508,21.66,23.48,21.11,22.1,64622,0
20180509,22.09,22.61,21.7794,22.01,31114,0
20180510,24.29,24.67,21.97,22.2,42964,0
20180511,22.19,23.625,22.19,22.69,89504,0
20180514,23.05,25.4,22.57,25,213854,0
20180515,24.76,25.74,22.54,25.74,282753,0
20180516,24.31,25.2,22.93,24.58,601870,0
20180517,24.49,24.69,24,24.02,203461,0
20180518,24.11,24.29,23.96,24.06,109495,0
20180521,24.44,24.5,24.02,24.2,72740,0
20180522,24.13,24.5,24.065,24.2,74222,0
20180523,24.18,24.579,23.021,23.99,110187,0
20180524,23.71,24.4056,23.71,24.05,48742,0
20180525,23.89,24.09,23.27,23.8,66397,0
20180529,23.87,24.08,22.61,23.38,90768,0
20180530,23.4,24.14,23.35,23.67,75571,0
20180531,23.65,23.65,21.83,23.07,275860,0
20180601,22.81,23.99,22.36,22.4,205117,0
20180604,23.0485,23.16,22.1,22.73,75193,0
20180605,20.57,22.99,20.52,22.76,351013,0
20180606,22.99,23.5,22.5,23.13,182144,0
20180607,22.76,22.83,22.01,22.5,2068626,0
20180608,22.5,23,22.3,22.7,510703,0
20180611,22.6,23.12,22.34,22.55,119727,0
20180612,23.04,23.18,22.09,22.45,760174,0
20180613,22.38,23.01,21.84,22.46,225266,0
20180614,22.43,22.9,22.15,22.6,188261,0
20180615,22.41,24.46,22.41,23.84,446257,0
20180618,23.8,24.425,23.41,23.79,224067,0
20180619,23.57,24.7046,23.57,24.47,314837,0
20180620,25.2,25.5,23.71,25.34,458201,0
20180621,25.39,25.76,24.76,25.01,340117,0
20180622,25.04,27.29,24.66,26.67,1973643,0
20180625,26.27,26.86,25.05,25.9,341308,0
20180626,25.83,26.83,25.2,26.75,225172,0
20180627,26.69,27.338,26.2,26.62,302705,0
20180628,26.61,28.73,26,28.46,501554,0
20180629,28.76,28.92,27.74,27.98,158557,0
20180702,28.15,28.47,27.71,28.18,86755,0
20180703,28.14,28.35,27.52,28.15,116222,0
20180705,28.35,28.63,27.29,28.41,172940,0
20180706,28.31,28.78,28.04,28.28,143406,0
20180709,28.27,30,28.27,29.76,175085,0
20180710,29.7,29.772,28.71,29.08,112128,0
20180711,29.05,29.6,28.77,29.34,87139,0
20180712,29.13,29.34,26.88,27.85,333137,0
20180713,27.87,28.0424,27.14,27.44,163667,0
20180716,26.87,27.28,25.91,26.9,282624,0
20180717,27.31,27.365,26.265,26.62,110741,0
20180718,27.25,27.515,26.31,26.95,279758,0
20180719,27.28,27.28,25.98,26.43,204380,0
20180720,26.23,26.23,24.03,24.09,304557,0
20180723,24.25,24.55,23.685,23.97,195025,0
20180724,23.88,24.1,22.21,22.26,251883,0
20180725,22.36,22.99,21.84,21.85,275947,0
20180726,21.95,22.935,21.61,22.37,443988,0
20180727,22.43,22.75,21.29,21.41,150400,0
20180730,21.3,21.335,20.43,20.5,188690,0
20180731,20.41,21.05,19.9,20.35,229442,0
20180801,20.47,20.99,19.81,20.86,226323,0
20180802,20.82,21.3695,20.47,21.26,94132,0
20180803,21.29,21.54,20.89,21.38,115332,0
20180806,21.43,22.13,21.2,21.67,127758,0
20180807,21.55,22.959,21.37,21.92,211717,0
20180808,22.17,22.3,21.05,21.07,125426,0
20180809,21.09,21.36,20.67,21.01,183303,0
20180810,21.03,21.48,20.66,20.98,128924,0
20180813,21.02,21.0537,19.26,19.5,194777,0
20180814,19.92,19.92,12.51,13.85,4133911,0
20180815,13.91,14.85,12.635,13.46,1205705,0
20180816,13.4,14.69,13.14,14.18,613379,0
20180817,14.13,14.97,13.45,13.8,406784,0
20180820,13.8,14.69,13.8,14.67,444356,0
20180821,14.68,15.29,14.51,15.09,466544,0
