Date,Open,High,Low,Close,Volume,OpenInt
20180413,10.1,10.15,10.08,10.12,6643697,0
20180416,10.15,10.15,10.11,10.11,855039,0
20180417,10.12,10.14,10.1,10.11,566260,0
20180418,10.11,10.15,10.11,10.14,925400,0
20180419,10.13,10.15,10.12,10.15,111503,0
20180420,10.12,10.15,10.12,10.15,232210,0
20180423,10.15,10.17,10.135,10.16,287229,0
20180424,10.17,10.17,10.15,10.16,52233,0
20180425,10.16,10.2,10.16,10.19,656126,0
20180426,10.19,10.19,10.17,10.19,278338,0
20180427,10.2,10.205,10.19,10.2,221675,0
20180430,10.1932,10.2,10.18,10.18,88456,0
20180501,10.193,10.2,10.17,10.17,58181,0
20180502,10.16,10.2,10.16,10.19,23485,0
20180503,10.18,10.2,10.18,10.2,10000,0
20180504,10.2,10.2,10.17,10.17,58525,0
20180507,10.17,10.18,10.16,10.17,65300,0
20180508,10.15,10.2,10.15,10.17,60871,0
20180509,10.1508,10.2,10.15,10.2,38816,0
20180510,10.185,10.19,10.18,10.19,54893,0
20180511,10.18,10.19,10.16,10.16,51541,0
20180514,10.17,10.17,10.15,10.15,49051,0
20180515,10.15,10.2,10.14,10.15,449397,0
20180516,10.16,10.16,10.12,10.15,32628,0
20180517,10.16,10.17,10.15,10.15,191371,0
20180518,10.1551,10.16,10.15,10.15,261455,0
20180521,10.15,10.2,10.15,10.19,168300,0
20180522,10.22,10.22,10.15,10.15,7725,0
20180523,10.18,10.18,10.17,10.17,6134,0
20180524,10.18,10.2,10.16,10.16,420859,0
20180525,10.21,10.23,10.21,10.23,12211,0
20180529,10.24,10.35,10.24,10.3,662916,0
20180530,10.2955,10.34,10.281,10.32,1373932,0
20180531,10.33,10.33,10.25,10.25,260904,0
20180601,10.3,10.3,10.29,10.29,115178,0
20180604,10.23,10.26,10.23,10.25,28328,0
20180605,10.25,10.3,10.21,10.26,190061,0
20180606,10.2613,10.3,10.26,10.26,60605,0
20180607,10.25,10.3,10.24,10.3,578510,0
20180612,10.35,10.35,10.2,10.21,5389,0
20180613,10.2,10.25,10.2,10.25,6409,0
20180614,10.27,10.289,10.27,10.27,671069,0
20180615,10.27,10.29,10.21,10.24,365165,0
20180622,10.2899,10.2899,10.2899,10.2899,202,0
20180626,10.25,10.25,10.2413,10.2444,25910,0
20180628,10.21,10.21,10.2,10.2,25363,0
20180629,10.2,10.25,10.2,10.25,37064,0
20180703,10.25,10.28,10.22,10.22,5627,0
20180705,10.25,10.25,10.25,10.25,7806,0
