Date,Open,High,Low,Close,Volume,OpenInt
20161202,24.099,24.206,23.657,23.907,23061,0
20161205,23.898,23.898,23.292,23.531,123755,0
20161206,24.099,24.099,23.256,23.704,84154,0
20161207,23.935,24.454,23.753,24.283,191649,0
20161208,24.522,24.522,23.98,24.042,32193,0
20161209,24.214,24.289,23.653,23.992,23800,0
20161212,23.992,23.992,23.135,23.704,15164,0
20161213,23.942,23.942,23.484,23.753,32239,0
20161214,24.022,24.146,23.753,24.022,72407,0
20161215,23.858,24.022,23.744,23.965,45859,0
20161216,24.002,24.042,23.826,23.984,30767,0
20161219,23.945,24.176,23.945,24.069,39765,0
20161220,24.283,24.283,23.865,24.069,52464,0
20161221,24.233,24.233,24.089,24.186,149064,0
20161222,24.283,24.283,24.186,24.196,54984,0
20161223,24.368,24.484,24.186,24.436,26027,0
20161227,24.436,24.907,24.281,24.897,26148,0
20161228,24.897,25.022,24.849,24.984,21491,0
20161229,24.984,25.042,24.859,25.042,18335,0
20161230,25.484,25.484,24.719,24.859,22379,0
20170103,24.945,24.955,24.283,24.859,26747,0
20170104,24.945,25.089,24.676,24.839,16994,0
20170105,25.484,25.484,24.715,24.762,32470,0
20170106,24.762,24.907,24.554,24.762,75578,0
20170109,24.897,24.984,24.31,24.628,89669,0
20170110,24.705,25.003,24.666,24.907,142134,0
20170111,24.984,24.984,24.785,24.907,54555,0
20170112,24.907,25.022,24.859,24.907,57408,0
20170113,24.984,25.209,24.898,25.042,47583,0
20170117,25.119,25.176,24.897,24.974,50683,0
20170118,25.032,25.051,24.811,24.907,494617,0
20170119,25.003,25.003,24.35,24.782,159494,0
20170120,24.666,24.839,24.436,24.676,567450,0
20170123,24.531,24.936,24.503,24.801,38662,0
20170124,24.792,24.888,24.628,24.859,30309,0
20170125,24.945,24.974,24.613,24.839,30688,0
20170126,24.955,24.955,24.653,24.676,21266,0
20170127,24.907,24.907,24.724,24.849,19117,0
20170130,24.907,25.051,24.859,24.965,42054,0
20170131,25.138,25.138,24.917,25.128,21127,0
20170201,25.186,25.186,25.003,25.119,15309,0
20170202,25.233,25.233,25.109,25.176,8082,0
20170203,25.196,25.253,25.128,25.224,33404,0
20170206,27.118,27.118,25.35,25.427,18869,0
20170207,25.859,25.859,25.312,25.445,17541,0
20170208,25.484,25.484,25.253,25.474,19045,0
20170209,25.715,25.782,25.223,25.484,13903,0
20170210,25.3,25.81,25.287,25.599,69129,0
20170213,25.369,25.685,25.369,25.638,13405,0
20170214,25.638,25.747,25.33,25.474,26537,0
20170215,25.273,25.581,25.253,25.263,30358,0
20170216,25.273,25.522,25.246,25.34,29614,0
20170217,25.436,25.508,25.215,25.233,14709,0
20170221,25.377,25.464,25.215,25.31,8443,0
20170222,25.35,25.377,25.003,25.369,18841,0
20170223,25.324,25.628,25.26,25.436,21029,0
20170224,25.907,25.907,25.07,25.522,12811,0
20170227,25.641,26.06,25.261,25.261,11701,0
20170228,25.553,25.63,25.027,25.387,19283,0
20170301,25.387,25.485,25.287,25.485,6505,0
20170302,25.485,25.631,25.173,25.397,893977,0
20170303,25.611,26.303,24.823,26.069,18794,0
20170306,25.689,26.069,25.436,26.06,8153,0
20170307,25.991,25.991,25.446,25.943,21818,0
20170308,25.943,25.943,25.163,25.407,13771,0
20170309,25.309,25.427,24.978,25.221,22186,0
20170310,25.524,25.524,24.754,25.193,10968,0
20170313,24.969,25.294,24.969,25.017,10589,0
20170314,25.202,25.202,24.861,24.861,19356,0
20170315,25.163,25.163,24.891,25.027,24870,0
20170316,25.047,25.455,25.017,25.455,45065,0
20170317,25.455,25.582,25.339,25.339,15739,0
20170320,25.563,25.563,25.349,25.349,6267,0
20170321,25.324,25.446,25.264,25.329,16744,0
20170322,25.505,25.582,25.231,25.582,11666,0
20170323,25.582,25.66,25.173,25.533,14454,0
20170324,25.602,25.602,25.408,25.592,12916,0
20170327,25.358,25.579,24.929,25.287,21541,0
20170328,25.251,25.563,25.251,25.436,11756,0
20170329,25.427,25.54,25.261,25.427,21769,0
20170330,25.28,25.436,25.28,25.339,16688,0
20170331,25.339,25.387,25.105,25.153,367463,0
20170403,25.29,25.495,25.213,25.299,45678,0
20170404,25.339,25.582,25.321,25.582,40464,0
20170405,25.387,25.738,25.271,25.455,21950,0
20170406,25.592,25.826,25.241,25.826,9635,0
20170407,25.826,25.826,25.485,25.826,6029,0
