Date,Open,High,Low,Close,Volume,OpenInt
20180726,26.5,27.45,25,26.7,43213196,0
20180727,27.54,27.54,23.21,24.6,19930507,0
20180730,23.31,23.9,21.88,22.5,13967711,0
20180731,22.2,22.71,19.62,22.59,13709586,0
20180801,19.38,21.4,18.62,20.31,19339027,0
20180802,19.27,20.18,19.03,19.66,9268462,0
20180803,20,20.2665,18.91,19.07,6996436,0
20180806,19.22,21.09,18.92,20.16,8338605,0
20180807,21.08,21.9,20.67,20.89,7573044,0
20180808,21.42,21.46,19.86,20.27,3721896,0
20180809,20.39,20.56,19.46,20,4839383,0
20180810,19.85,20.0312,19.49,19.51,2572517,0
20180813,19.21,20.1,19.2,19.44,2219753,0
20180814,19.46,19.52,18.88,19,8037782,0
20180815,17.9,18.5,17.58,17.7,11714053,0
20180816,18.27,19.1,18.16,19.04,5951170,0
20180817,18.65,19.03,18.38,19,2720471,0
20180820,18.82,19.335,18.795,18.95,3004493,0
20180821,19.14,19.5,18.45,18.75,3252046,0
20180822,18.67,18.9488,18.01,18.4,4433744,0
20180823,18.38,18.8,18.12,18.31,6116054,0
20180824,18.25,18.4999,17.2,17.22,7078443,0
20180827,17.7,19.21,17.5,19.17,5672482,0
20180828,19.49,19.96,18.82,19.54,4853896,0
20180829,19.54,21.24,18.91,21.15,5152986,0
20180830,20.68,20.846,17.88,17.99,9283451,0
20180831,18.87,19.67,17.55,19.35,10318405,0
20180904,18.66,21.18,18.6,20.75,10007463,0
20180905,20.44,20.45,18.8,18.8,7036915,0
20180906,19.28,19.78,18.91,19.11,3377685,0
20180907,19.03,20.25,19,19.57,4413298,0
20180910,19.68,20.05,19.48,19.74,2649273,0
20180911,19.55,23.77,19.31,23.57,10914552,0
20180912,22.77,23.75,22.02,23.04,8982960,0
20180913,24.5,30.48,24.42,29.96,17080830,0
20180914,28.89,30,26.28,26.34,16722784,0
20180917,25.98,27.88,24.2,24.36,7534353,0
20180918,24.66,25.66,22.31,22.64,6798250,0
20180919,23.28,24.36,22.48,23,4487955,0
20180920,23.36,25.25,23.06,24.65,5147645,0
20180921,25.51,26.59,24.431,25.6,6063532,0
20180924,24.76,27.13,24.22,26.49,4746799,0
20180925,26.15,27.8,26.1,26.94,4184582,0
20180926,26.98,27.11,25.5,26.06,4111404,0
20180927,26.36,26.59,25.34,26.33,3154660,0
20180928,26,26.3,25.52,26.29,2564709,0
20181001,26.23,28.18,26.06,27.69,4350983,0
20181002,27.3,27.39,25.45,25.66,3859041,0
20181003,26.3,26.9725,25.86,26.28,2121868,0
20181004,25.73,25.85,22.551,22.7,6983691,0
20181005,23.08,23.79,20.5,21.78,10332444,0
20181008,20.61,21.94,20.33,21.19,4564002,0
20181009,20.97,22.62,20.89,22.34,4449236,0
20181010,22.78,22.88,20.2,20.33,6765471,0
20181011,20.24,21.49,20.03,20.82,8272945,0
20181012,22.1012,22.48,21.02,21.62,3531493,0
20181015,21.28,21.88,21,21.11,2336056,0
20181016,21.23,21.49,20.48,20.81,4621794,0
20181017,20.85,21,19.6,19.99,4017731,0
20181018,19.67,19.87,18.8,18.8,5339638,0
20181019,19.58,19.681,18.21,18.68,5746161,0
20181022,19.7,20.09,18.91,19.95,7486947,0
20181023,19,19.09,17.93,18.51,9665999,0
20181024,18.71,18.71,17.25,17.32,5495965,0
20181025,17.97,18.74,17.55,18.56,4701021,0
20181026,17.77,20,17.72,18.2,5880777,0
20181029,18.62,18.93,17.07,17.37,4300422,0
20181030,17.5,18.045,17,17.2,4671137,0
20181031,17.88,18,17.2,17.65,5928459,0
20181101,17.86,20.74,17.86,20.34,15333353,0
20181102,21.15,21.78,19.88,20.37,8802067,0
20181105,20.19,20.21,19.19,20.05,3931814,0
20181106,20,21.39,19.32,19.64,3085863,0
20181107,20.22,20.98,19.8,20.72,4071823,0
20181108,20.21,20.5999,19.11,19.28,3459588,0
20181109,18.95,19.1806,18.01,18.31,4940396,0
20181112,18.34,18.57,17.15,17.22,5884575,0
20181113,17.68,18.17,17.11,17.15,7546895,0
20181114,17.2,19.39,16.53,19.15,24727622,0
20181115,18.7,20.49,18.5,20.38,8212353,0
20181116,20,20.96,19.8139,20.83,6843740,0
20181119,20.43,21.58,19.66,19.84,7193150,0
20181120,20.85,23.98,18.61,23.14,21308496,0
20181121,23.5,24.59,23.05,23.66,7482054,0
20181123,23.65,24.2,22.26,22.5,3182627,0
20181126,22.9,23,21.01,21.22,4411001,0
20181127,20.95,22.54,20.85,22.45,5675150,0
20181128,22.7,23.27,22.5,22.9,3826105,0
20181129,22.98,23.4,21.87,22.44,3056750,0
20181130,22.56,23.43,22.43,22.96,4771488,0
20181203,24.33,25,23.62,23.97,6443438,0
20181204,23.9,24.19,23.16,23.32,3992723,0
20181206,22.5,22.97,22.1,22.54,3842912,0
20181207,22.53,23,20.05,20.61,5801185,0
20181210,21,21.23,19.92,20.11,4588134,0
20181211,20.84,21.21,20.52,20.81,2200220,0
20181212,21.12,22.84,21.1,22.65,4692895,0
20181213,22.82,23.38,22.1396,22.58,3231768,0
20181214,21.91,23.37,21.78,23.1,5094219,0
20181217,22.69,22.77,21.54,22.18,2719165,0
20181218,22.26,23.18,22.1,23,2353699,0
20181219,22.65,23.15,21.6701,22.32,2702550,0
20181220,22.02,22.66,21.3179,21.49,3940664,0
20181221,21.81,22.6,20.5,21.13,4861626,0
20181224,20.84,22.03,20.76,21.3,1210715,0
20181226,21.4,21.9,21.1596,21.51,2520573,0
20181227,21.59,22.2,21.11,21.9,1635265,0
20181228,22.11,22.63,21.316,22.06,1675846,0
20181231,22.52,22.68,21.8,22.44,1444454,0
