Date,Open,High,Low,Close,Volume,OpenInt
20180323,22.531,22.531,22.299,22.347,3305,0
20180326,22.531,22.531,22.531,22.531,2266,0
20180327,22.504,22.629,22.495,22.625,2273,0
20180328,22.823,22.823,22.703,22.717,10334,0
20180329,22.717,22.719,22.717,22.719,1527,0
20180402,22.717,22.717,22.623,22.623,1522,0
20180403,22.716,22.716,22.485,22.485,2120,0
20180404,22.486,22.573,22.486,22.573,1858,0
20180405,22.536,22.623,22.531,22.607,5087,0
20180406,22.642,22.642,22.623,22.623,2351,0
20180409,22.67,22.67,22.649,22.649,521,0
20180410,23.086,23.086,22.487,22.67,2657,0
20180411,22.717,23.086,22.7,22.951,5485,0
20180412,23.048,23.048,23.048,23.048,301,0
20180413,23.086,23.086,23.086,23.086,819,0
20180416,23.04,23.179,23.04,23.086,1857,0
20180417,23.086,23.086,23.04,23.085,5092,0
20180418,23.04,23.086,23.021,23.086,6281,0
20180419,23.049,23.049,23.021,23.021,1084,0
20180420,23.085,23.179,23.085,23.178,2822,0
20180423,23.086,23.086,23.086,23.086,1838,0
20180426,23.179,23.179,23.105,23.105,1525,0
20180427,23.132,23.141,23.132,23.141,432,0
20180430,22.629,22.629,22.629,22.629,165,0
20180502,25.856,25.856,23.484,23.484,1445,0
20180503,23.732,24.009,23.547,23.547,4627,0
20180507,25.8,25.846,24.573,24.573,1370,0
20180508,24.517,24.517,24.471,24.471,758,0
20180509,24.037,24.145,23.778,23.963,996,0
20180510,23.576,23.649,23.556,23.556,3427,0
20180511,23.649,23.672,23.639,23.639,1505,0
20180515,23.723,23.732,23.576,23.576,2499,0
20180516,23.639,23.639,23.547,23.547,2987,0
20180517,23.631,23.639,23.612,23.612,1041,0
20180518,23.547,23.593,23.547,23.593,964,0
20180521,25.745,25.745,24.008,24.008,1357,0
20180522,23.734,23.734,23.639,23.639,1497,0
20180524,23.732,24.244,23.547,23.825,8500,0
20180525,23.825,23.856,23.585,23.856,2301,0
20180529,24.093,24.093,23.778,23.778,541,0
20180530,24.353,24.353,24.353,24.353,758,0
20180531,23.639,23.735,23.639,23.735,4191,0
20180604,24.018,24.101,24.018,24.101,495,0
20180607,24.009,24.009,23.973,23.982,3205,0
20180608,24.009,24.009,23.982,23.982,2791,0
20180611,24.009,24.009,23.593,23.593,2478,0
20180612,23.944,23.944,23.944,23.944,108,0
20180613,23.694,23.868,23.694,23.868,541,0
20180614,23.686,23.686,23.593,23.593,1866,0
20180618,23.834,23.834,23.769,23.778,534,0
20180619,23.704,23.706,23.547,23.651,1478,0
20180625,23.686,23.741,23.602,23.628,9448,0
20180627,23.963,23.963,23.639,23.963,1224,0
20180628,23.631,23.631,23.631,23.631,461,0
20180629,23.631,23.714,23.631,23.631,1375,0
20180702,23.889,23.889,23.743,23.743,586,0
20180703,23.907,23.917,23.658,23.658,10666,0
20180705,23.741,23.741,23.741,23.741,432,0
20180706,23.778,23.991,23.778,23.88,3140,0
20180709,23.842,23.842,23.778,23.778,975,0
20180710,23.778,23.778,23.778,23.778,520,0
20180711,23.813,23.813,23.686,23.756,591,0
20180712,23.741,23.778,23.714,23.778,5379,0
20180713,23.703,23.733,23.695,23.732,2063,0
20180716,23.732,23.778,23.547,23.547,5095,0
20180717,23.741,23.76,23.741,23.759,1121,0
20180718,23.778,23.953,23.778,23.928,2744,0
20180719,23.953,23.953,23.179,23.179,7432,0
20180720,23.454,23.501,23.454,23.492,2208,0
20180723,23.454,23.454,23.408,23.408,422,0
20180724,23.316,23.454,23.289,23.454,1287,0
20180725,23.818,23.818,23.639,23.639,1733,0
20180726,23.454,23.454,23.408,23.408,1625,0
20180727,23.454,23.454,23.454,23.454,216,0
20180731,23.723,23.75,23.687,23.687,1373,0
20180803,23.945,23.945,23.945,23.945,432,0
20180806,23.917,23.926,23.851,23.926,2350,0
20180807,23.926,23.926,23.926,23.926,216,0
20180808,23.926,23.926,23.926,23.926,185,0
20180809,23.945,23.953,23.945,23.953,1971,0
20180813,23.953,24.628,23.917,24.628,4145,0
20180814,24.739,24.739,24.088,24.137,1499,0
20180815,23.593,24.009,23.593,24.009,14956,0
20180816,24.098,24.098,24.098,24.098,428,0
20180817,24.148,24.148,24.148,24.148,270,0
20180820,23.825,23.825,23.825,23.825,438,0
20180821,23.871,23.917,23.825,23.843,3444,0
20180822,23.815,24.009,23.801,24.009,2754,0
20180823,24.461,24.461,23.658,23.778,4667,0
20180827,23.991,23.991,23.991,23.991,137,0
20180828,23.982,24.093,23.871,24.093,7001,0
20180829,24.471,24.471,23.945,23.952,9601,0
20180830,24.009,24.009,23.492,23.492,2101,0
20180831,23.631,23.631,23.547,23.547,758,0
20180904,23.682,23.682,23.622,23.622,4418,0
20180905,23.639,23.639,23.639,23.639,168,0
20180906,23.639,23.764,23.566,23.631,2006,0
20180910,23.547,23.622,23.547,23.622,4472,0
20180911,23.569,23.593,23.501,23.501,3249,0
20180912,23.501,23.501,23.457,23.501,3381,0
20180913,23.464,23.638,23.408,23.408,1814,0
20180914,23.408,23.454,23.408,23.454,882,0
20180917,23.372,23.372,23.372,23.372,812,0
20180918,23.453,23.458,23.437,23.458,626,0
20180919,23.454,23.454,23.141,23.141,3670,0
20180920,23.345,23.345,23.345,23.345,602,0
20180921,23.313,23.313,23.233,23.233,1516,0
20180925,23.243,23.247,23.225,23.225,1126,0
20180926,23.316,23.316,23.161,23.161,2816,0
