Date,Open,High,Low,Close,Volume,OpenInt
20050225,25.498,25.498,25.263,25.439,36033,0
20050228,25.498,25.498,23.691,24.969,14589,0
20050301,25.498,25.498,24.984,25.482,8492,0
20050302,24.074,24.786,22.715,24.437,5945,0
20050303,24.302,24.449,24.191,24.422,993,0
20050304,24.813,25.062,24.611,24.617,4572,0
20050307,25.053,25.082,24.03,24.212,7293,0
20050308,22.616,24.231,22.616,23.938,8286,0
20050309,23.628,24.366,23.628,24.154,4207,0
20050310,23.564,24.869,23.564,23.999,10528,0
20050311,24.414,25.088,24.414,24.761,8668,0
20050314,24.921,25.662,24.884,25.558,21344,0
20050315,25.183,25.662,25.183,25.396,7878,0
20050316,25.662,25.662,25.173,25.592,3707,0
20050317,25.662,25.662,24.067,25.425,7036,0
20050318,23.399,24.984,23.399,24.308,4416,0
20050321,24.289,24.586,24.067,24.414,3568,0
20050322,23.705,25.425,23.705,24.753,5420,0
20050323,25.088,25.662,24.753,25.63,9098,0
20050324,25.662,25.662,24.676,25.425,5601,0
20050328,25.63,25.63,24.414,25.016,2579,0
20050329,25.498,25.498,24.414,24.997,5334,0
20050330,25.088,25.088,24.414,24.813,5444,0
20050331,24.212,24.813,24.212,24.813,5014,0
20050401,25.066,25.088,24.414,24.962,8828,0
20050404,25.088,25.088,24.316,24.344,2279,0
20050405,24.074,25.082,24.074,24.884,3916,0
20050406,25.075,25.088,24.414,24.772,3505,0
20050407,24.414,24.753,24.067,24.577,25601,0
20050408,24.753,24.753,23.813,24.516,10865,0
20050411,24.067,24.067,23.732,23.732,3844,0
20050412,24.715,24.715,23.185,23.671,11238,0
20050413,24.182,24.182,23.399,23.732,3105,0
20050414,23.063,23.991,23.063,23.991,7976,0
20050415,23.063,24.036,23.063,23.524,3424,0
20050418,23.054,23.399,22.379,23.054,15274,0
20050419,22.724,23.494,22.724,22.848,3662,0
20050420,22.769,23.067,22.769,22.884,1071,0
20050421,22.724,23.2,22.59,23.018,5539,0
20050422,22.715,22.939,22.715,22.823,2137,0
20050425,22.455,22.784,22.455,22.784,344,0
20050426,22.455,22.769,22.455,22.769,2053,0
20050427,22.455,22.778,22.455,22.778,4418,0
20050428,22.646,22.769,21.6,22.769,18277,0
20050429,22.792,23.054,21.698,23.054,5474,0
20050502,23.157,23.157,21.874,22.478,3843,0
20050503,22.478,22.848,22.478,22.707,3377,0
20050504,22.848,22.848,22.379,22.379,1927,0
20050505,22.379,22.876,22.379,22.869,2118,0
20050506,22.21,23.054,22.21,23.054,2503,0
20050509,22.8,23.046,22.792,22.848,2629,0
20050510,22.394,22.848,22.379,22.733,4956,0
20050511,22.724,22.724,22.715,22.724,4041,0
20050512,23.157,23.222,22.624,23.222,1260,0
20050513,23.732,23.732,23.564,23.698,4127,0
20050516,23.698,24.414,23.144,23.83,14451,0
20050517,24.238,24.238,23.665,23.665,1339,0
20050518,23.208,23.346,23.208,23.326,7648,0
20050519,23.263,23.333,23.263,23.326,3534,0
20050520,23.698,23.698,23.517,23.517,290,0
20050523,23.869,23.869,23.222,23.633,3169,0
20050524,23.633,23.633,23.222,23.524,3642,0
20050525,23.222,23.732,23.222,23.416,12612,0
20050526,23.34,23.571,23.298,23.298,7239,0
20050527,23.837,23.837,23.474,23.494,11293,0
20050531,23.494,23.797,23.399,23.537,6152,0
20050601,23.601,23.837,23.601,23.837,2737,0
20050602,24.006,24.351,24.006,24.098,5615,0
20050603,24.521,24.676,24.521,24.676,505,0
20050606,24.855,24.855,24.689,24.689,1738,0
20050607,24.761,24.997,24.528,24.528,2339,0
20050608,24.761,25.032,24.761,24.962,2138,0
20050609,24.962,25.608,24.869,24.891,10759,0
20050610,25.032,25.662,25.032,25.662,462,0
20050613,24.695,24.907,24.695,24.793,3720,0
20050614,24.689,24.689,23.399,24.212,7261,0
20050615,24.212,25.419,24.212,25.419,3256,0
20050616,25.608,25.608,24.862,24.862,297,0
20050617,24.926,24.99,24.926,24.99,1381,0
20050620,24.689,24.99,23.705,24.351,5646,0
20050621,24.351,24.553,24.351,24.553,430,0
20050622,24.351,25.192,23.601,25.192,2065,0
20050623,25.199,25.199,24.689,24.689,702,0
20050624,24.521,24.855,24.174,24.351,4712,0
20050627,25.032,25.032,24.56,24.689,1136,0
20050628,24.586,24.586,24.455,24.462,567,0
20050629,24.586,24.628,24.174,24.628,1699,0
20050706,24.617,24.617,24.617,24.617,712,0
20050707,23.837,24.182,23.837,24.182,3152,0
20050708,24.252,24.521,24.252,24.521,654,0
20050711,25.032,25.032,24.182,24.449,8962,0
20050712,24.351,24.855,24.344,24.855,4064,0
20050713,24.351,24.351,24.191,24.212,1851,0
20050714,24.174,24.212,24.174,24.212,1126,0
20050715,24.174,24.174,24.064,24.064,769,0
20050718,24.786,24.786,24.351,24.351,1602,0
20050719,24.528,24.617,24.521,24.521,3226,0
20050720,24.351,24.516,23.971,24.484,2047,0
20050721,24.351,24.351,24.006,24.351,3275,0
20050722,24.174,24.351,24.044,24.351,1783,0
20050725,24.351,24.721,24.351,24.721,2946,0
20050726,24.855,24.855,24.378,24.855,893,0
20050727,24.598,24.606,24.598,24.606,567,0
20050728,24.521,25.199,24.174,25.023,4193,0
20050729,25.062,25.062,25.062,25.062,853,0
20050801,25.062,25.062,24.521,24.521,8770,0
20050802,24.351,24.661,24.351,24.661,1215,0
20050803,24.521,24.553,24.521,24.537,609,0
20050804,24.521,24.645,24.521,24.521,4458,0
20050805,24.316,24.676,24.316,24.676,9403,0
20050808,24.521,24.586,24.521,24.586,645,0
20050809,24.259,24.689,24.259,24.689,2791,0
20050810,24.689,24.793,24.689,24.793,677,0
20050811,24.637,24.689,24.637,24.637,1961,0
20050812,24.637,24.637,24.182,24.182,6722,0
20050815,23.885,24.006,23.837,24.006,430,0
20050816,24.006,24.134,24.006,24.014,1282,0
20050817,23.671,24.366,23.671,24.174,1495,0
20050818,24.074,24.074,22.823,23.754,4985,0
20050819,23.665,23.837,23.665,23.837,853,0
20050822,23.837,23.898,23.018,23.837,9081,0
20050823,23.494,23.494,23.163,23.494,3062,0
20050824,23.494,24.057,23.494,23.923,3206,0
20050825,23.679,23.876,23.665,23.876,2385,0
20050826,23.094,23.885,23.094,23.53,1069,0
20050829,24.344,24.344,23.564,23.971,12947,0
20050830,23.642,23.966,23.642,23.966,5409,0
20050831,23.966,23.966,23.403,23.837,8691,0
20050901,23.837,23.837,23.837,23.837,1569,0
20050902,23.423,23.423,22.519,22.608,22389,0
20050906,22.412,22.983,22.412,22.769,8321,0
20050907,23.914,23.914,22.8,22.815,8202,0
20050908,22.715,23.144,22.715,23.144,5056,0
20050909,24.198,24.198,22.815,23.333,3568,0
20050912,23.333,23.601,22.655,23.601,2876,0
20050913,23.333,23.333,23.333,23.333,1424,0
20050914,22.848,23.466,22.848,23.333,8093,0
20050915,23.501,23.501,23.403,23.403,993,0
20050916,22.715,23.354,22.715,23.354,3018,0
20050919,22.715,23.157,22.569,22.715,7014,0
20050920,22.869,23.157,22.646,22.646,9980,0
20050921,22.646,22.869,22.646,22.715,5207,0
20050922,22.715,22.912,22.504,22.673,6254,0
20050923,23.08,23.08,22.163,22.239,6046,0
20050926,22.373,22.373,21.957,22.302,5912,0
20050927,22.302,22.302,22.302,22.302,1089,0
20050928,22.302,22.302,22.302,22.302,430,0
20050929,22.232,22.485,21.832,21.844,8193,0
20050930,21.844,21.844,21.339,21.478,5846,0
20051003,21.339,21.612,21.256,21.256,8856,0
20051004,21.268,21.268,20.898,20.898,13429,0
20051005,20.898,21.172,20.864,20.96,5947,0
20051006,21.191,21.402,20.864,20.864,5661,0
20051007,20.813,20.813,20.035,20.553,12758,0
20051010,20.588,20.588,19.486,19.509,15325,0
20051011,19.836,19.836,19.218,19.725,7110,0
20051012,19.486,20.271,19.465,19.502,3867,0
20051013,19.78,19.78,19.38,19.38,5703,0
20051014,20.322,20.322,19.218,19.226,5801,0
20051017,19.248,19.556,19.218,19.38,7569,0
20051018,19.38,19.38,19.38,19.38,6545,0
20051019,19.185,19.556,19.185,19.354,3755,0
20051020,20.491,20.491,19.263,19.761,1710,0
20051021,19.359,20.081,19.359,19.601,2529,0
20051024,19.282,19.354,19.107,19.107,3186,0
20051025,19.178,19.618,19.178,19.486,9941,0
20051026,19.624,19.689,19.624,19.689,5464,0
20051027,19.418,20.231,19.418,19.897,1772,0
20051028,20.484,21.067,19.725,19.725,9098,0
20051031,20.244,20.244,19.689,20.035,1383,0
20051101,20.756,20.898,20.069,20.793,3580,0
20051102,20.898,20.898,20.631,20.722,3709,0
20051103,20.793,20.864,20.076,20.588,13215,0
20051104,20.413,20.925,20.413,20.925,8539,0
20051107,21.41,21.41,21.375,21.375,1509,0
20051108,21.375,21.375,21.375,21.375,712,0
20051109,21.268,21.41,21.268,21.41,7028,0
20051110,21.698,21.957,21.424,21.957,2468,0
20051111,21.79,22.028,21.478,21.682,1891,0
20051114,21.311,21.957,21.311,21.612,9918,0
20051115,21.612,21.79,21.268,21.326,7961,0
20051116,21.957,21.957,20.911,20.911,6084,0
20051117,21.172,21.172,20.588,20.588,4243,0
20051118,21.432,21.432,20.582,20.645,5764,0
20051121,20.996,20.996,20.925,20.996,1142,0
20051122,21.268,21.581,21.087,21.581,1584,0
20051123,21.581,21.69,21.581,21.69,1971,0
20051125,21.724,21.724,21.724,21.724,290,0
20051128,21.915,21.915,21.915,21.915,142,0
20051129,22.28,22.28,22.091,22.099,2687,0
20051130,22.062,22.195,21.972,22.195,2564,0
20051201,21.832,22.035,21.612,21.612,5788,0
20051202,20.286,22.099,20.286,22.049,7225,0
20051205,22.195,22.195,21.784,21.784,2352,0
20051206,21.612,21.698,21.593,21.593,2441,0
20051207,21.593,21.593,21.249,21.249,3347,0
20051208,20.898,20.898,20.743,20.756,8188,0
20051209,20.756,20.756,20.747,20.747,715,0
20051212,20.833,20.833,20.747,20.756,6031,0
20051213,21.424,21.424,20.821,21.067,2634,0
20051214,21.078,21.094,20.821,21.024,3440,0
20051215,21.061,21.061,21.003,21.003,8263,0
20051216,21.114,21.114,21.024,21.024,2303,0
20051219,20.953,21.158,20.953,21.094,2424,0
20051220,20.932,20.953,20.821,20.945,1707,0
20051221,20.87,21.094,20.87,21.094,714,0
20051222,21.432,21.439,21.311,21.439,2917,0
20051223,21.268,21.439,21.268,21.367,1945,0
20051227,21.439,21.51,21.367,21.51,2326,0
20051228,21.935,21.935,21.79,21.85,5274,0
20051229,21.619,21.837,21.446,21.837,2571,0
20051230,21.649,21.649,21.402,21.452,3083,0
20060103,22.013,22.013,21.333,21.333,5626,0
20060104,21.887,21.887,21.41,21.41,2145,0
20060105,21.439,21.439,21.333,21.333,5179,0
20060106,21.333,21.367,20.793,20.877,13141,0
20060109,21.347,21.347,20.883,20.945,851,0
20060111,20.945,21.102,20.756,20.756,5369,0
20060112,20.747,20.939,20.747,20.821,4143,0
20060113,20.855,20.945,20.847,20.847,1089,0
20060117,20.918,21.236,20.918,21.236,5702,0
20060118,21.244,21.244,21.165,21.244,1893,0
20060119,21.305,21.339,21.305,21.305,1996,0
20060120,21.361,21.663,21.361,21.452,3001,0
20060123,21.236,21.236,20.841,20.925,7845,0
20060124,20.826,20.826,20.826,20.826,382,0
20060125,20.821,21.102,20.747,20.787,7350,0
20060126,21.053,21.326,20.976,21.122,2279,0
20060127,21.165,21.367,20.906,21.165,2223,0
20060130,20.883,20.953,20.821,20.821,10146,0
