Date,Open,High,Low,Close,Volume,OpenInt
20050225,22.532,22.685,22.348,22.647,13562,0
20050228,22.546,22.919,22.453,22.677,17404,0
20050301,22.984,22.984,22.623,22.919,20462,0
20050302,22.984,23.065,22.655,22.709,9765,0
20050303,23.105,23.15,22.838,22.911,27640,0
20050304,22.889,23.381,22.889,23.298,7886,0
20050307,23.298,23.539,23.123,23.396,6507,0
20050308,23.516,23.516,23.185,23.213,17184,0
20050309,23.185,23.194,22.978,23.194,9645,0
20050310,23.401,23.516,23.204,23.485,26159,0
20050311,23.453,23.509,23.194,23.194,4910,0
20050314,23.427,23.638,23.268,23.638,17427,0
20050315,23.773,23.79,23.591,23.79,8620,0
20050316,23.477,23.638,23.396,23.638,20564,0
20050317,23.401,24.003,23.289,24.003,9439,0
20050318,24.048,24.048,23.622,23.882,27056,0
20050321,24.114,24.187,23.926,24.097,7033,0
20050322,24.024,24.193,23.873,23.984,10904,0
20050323,23.797,23.976,23.712,23.976,12172,0
20050324,24.009,24.193,24.009,24.193,9227,0
20050328,24.073,24.161,23.548,24.154,17699,0
20050329,23.91,24.457,23.91,24.347,18214,0
20050330,24.193,24.971,24.193,24.862,10497,0
20050331,24.436,24.662,23.726,23.984,28286,0
20050401,24.14,24.14,23.695,23.953,20712,0
20050404,24.04,24.04,23.268,23.401,22714,0
20050405,23.516,23.524,23.185,23.194,12870,0
20050406,23.389,23.493,22.7,23.28,29762,0
20050407,23.389,23.993,23.389,23.993,7444,0
20050408,23.824,24.032,23.557,23.615,9457,0
20050411,23.889,23.889,23.185,23.381,8237,0
20050412,23.289,23.289,22.978,23.091,81706,0
20050413,23.356,23.419,23.039,23.075,7551,0
20050414,23.35,23.35,22.137,22.204,22012,0
20050415,22.476,22.864,22.186,22.453,14452,0
20050418,22.097,22.527,22.097,22.251,9720,0
20050419,22.58,22.953,22.453,22.953,22407,0
20050420,23.099,23.099,21.873,21.873,25881,0
20050421,22.539,22.539,21.774,21.774,8509,0
20050422,21.759,21.774,20.644,20.765,50370,0
20050425,21.194,21.684,21.04,21.677,36171,0
20050426,21.494,21.814,21.494,21.684,60058,0
20050427,21.63,21.848,21.54,21.848,12404,0
20050428,21.574,22.381,21.574,22.204,10791,0
20050429,22.137,22.204,21.532,21.759,7752,0
20050502,21.63,22.168,21.63,22.168,3741,0
20050503,22.168,22.671,22.168,22.671,11528,0
20050504,22.389,22.881,22.389,22.539,15180,0
20050505,22.539,22.761,22.333,22.46,23044,0
20050506,22.808,22.822,22.623,22.822,7929,0
20050509,22.511,22.774,22.389,22.389,2813,0
20050510,22.607,22.815,21.806,21.951,10327,0
20050511,21.895,22.177,21.774,22.177,16159,0
20050512,22.564,22.822,22.131,22.131,13645,0
20050513,22.089,22.131,21.702,21.702,6286,0
20050516,21.822,21.822,21.532,21.532,6285,0
20050517,21.745,21.873,21.6,21.745,4084,0
20050518,22.532,22.782,22.008,22.527,14519,0
20050519,21.72,22.251,21.607,21.831,23174,0
20050520,22.131,22.266,21.735,22.002,62269,0
20050523,22.34,22.34,22.122,22.122,5093,0
20050524,21.936,22.213,21.936,22.204,5207,0
20050525,21.791,22.564,21.791,22.564,47185,0
20050526,22.122,22.476,22.122,22.283,3967,0
20050527,22.333,22.453,22.333,22.453,2972,0
20050531,22.418,22.518,22.365,22.434,8452,0
20050601,22.049,22.555,22.049,22.555,5302,0
20050602,22.381,22.564,22.381,22.476,8003,0
20050603,22.58,22.58,22.381,22.546,5768,0
20050606,22.589,22.782,22.572,22.782,11907,0
20050607,22.735,22.782,22.58,22.58,10804,0
20050608,22.58,22.774,22.58,22.727,14794,0
20050609,22.774,23.176,22.58,23.13,9070,0
20050610,23.204,23.298,22.993,23.105,19145,0
20050613,23.13,23.228,22.589,22.607,6304,0
20050614,22.919,22.969,22.539,22.539,11840,0
20050615,22.502,22.768,22.381,22.685,11234,0
20050616,23.065,23.26,22.692,23.26,4331,0
20050617,23.356,23.372,22.7,22.727,30439,0
20050620,22.662,22.742,22.518,22.539,18230,0
20050621,22.532,22.532,21.856,22.234,24428,0
20050622,22.389,22.511,22.195,22.502,3924,0
20050623,22.58,22.607,22.016,22.348,9025,0
20050624,22.22,22.395,22.213,22.34,59844,0
20050627,22.22,22.22,21.895,21.96,31391,0
20050628,22.137,22.404,22.067,22.404,29979,0
20050629,22.409,22.815,22.22,22.815,14549,0
20050630,22.735,22.822,22.443,22.671,33855,0
20050701,22.476,23.273,22.476,23.168,15346,0
20050705,23.273,23.631,23.075,23.501,28400,0
20050706,23.668,23.678,23.419,23.566,11917,0
20050707,23.123,23.833,23.123,23.833,5764,0
20050708,23.873,24.187,23.573,24.187,13097,0
20050711,24.193,24.936,24.193,24.595,17130,0
20050712,24.604,24.757,24.218,24.475,8715,0
20050713,24.307,24.315,24.048,24.048,1861,0
20050714,24.193,24.26,23.591,23.659,10455,0
20050715,23.298,23.668,23.298,23.668,1888,0
20050718,23.591,23.591,23.273,23.273,4914,0
20050719,23.824,24.024,23.389,24.024,2015,0
20050720,24.003,24.655,24.003,24.655,8905,0
20050721,24.574,24.595,24.466,24.466,6263,0
20050722,24.574,24.655,24.244,24.655,6647,0
20050725,24.337,24.588,24.079,24.161,20177,0
20050726,24.337,24.355,24.105,24.14,9856,0
20050727,24.397,24.397,23.631,24.187,6892,0
20050728,24.209,24.291,24.154,24.193,9271,0
20050729,24.277,24.595,24.154,24.154,4217,0
20050801,24.193,24.355,24.154,24.178,7358,0
20050802,24.154,24.355,24.154,24.218,17336,0
20050803,24.235,24.235,24.154,24.161,1742,0
20050804,24.235,24.268,24.161,24.161,29497,0
20050805,24.14,24.154,23.419,23.524,24179,0
20050808,23.396,24.024,23.222,24.024,23302,0
20050809,23.78,23.944,23.26,23.419,18936,0
20050810,23.824,23.953,22.486,22.486,31352,0
20050811,22.476,22.752,22.381,22.494,24266,0
20050812,22.34,22.34,21.904,21.96,20660,0
20050815,21.791,22.494,21.791,22.443,7768,0
20050816,22.081,22.443,22.081,22.283,5818,0
20050817,22.283,22.494,22.177,22.297,5181,0
20050818,22.186,22.774,22.114,22.774,28702,0
20050819,22.647,23.381,22.647,23.381,11809,0
20050822,22.937,23.323,22.782,23.323,5803,0
20050823,22.953,23.016,22.831,22.946,5207,0
20050824,23.342,23.342,22.791,22.911,8152,0
20050825,23.273,23.396,23.001,23.26,7532,0
20050826,23.185,23.453,22.822,23.159,5947,0
20050829,23.228,23.712,23.144,23.356,3547,0
20050830,23.631,23.645,23.427,23.645,3394,0
20050831,23.591,23.726,23.591,23.668,5647,0
20050901,23.753,23.753,23.573,23.573,20794,0
20050902,23.298,23.896,23.298,23.896,5462,0
20050906,23.695,24.131,23.695,23.953,4128,0
20050907,24.065,24.193,23.968,24.114,5568,0
20050908,23.84,23.84,23.41,23.638,5092,0
20050909,23.712,23.79,23.477,23.79,4194,0
20050912,23.566,23.566,23.548,23.566,2605,0
20050913,23.342,23.477,23.185,23.185,2934,0
20050914,23.138,23.298,22.511,22.631,5068,0
20050915,22.631,22.937,22.539,22.801,57435,0
20050916,22.984,23.485,22.937,23.485,28125,0
20050919,23.668,23.668,23.427,23.548,1629,0
20050920,23.138,23.631,23.138,23.485,13378,0
20050921,23.213,23.306,22.709,22.709,5981,0
20050922,22.993,23.159,22.801,23.016,5972,0
20050923,23.289,23.35,22.946,23.35,2706,0
20050926,23.222,23.41,23.222,23.251,1241,0
20050927,22.953,22.953,22.283,22.486,12837,0
20050928,22.791,22.791,21.711,21.919,11193,0
20050929,22.243,22.365,21.904,22.365,4707,0
20050930,22.623,22.623,22.395,22.623,2112,0
20051003,22.409,22.476,22.234,22.283,7227,0
20051004,21.951,22.381,21.951,22.266,10045,0
20051005,22.002,22.145,20.839,21.072,27156,0
20051006,21.185,21.29,20.969,21.009,14973,0
20051007,21.282,21.332,21.194,21.226,1645,0
20051010,21.219,21.607,21.17,21.364,13035,0
20051011,21.564,21.729,21.131,21.17,12754,0
20051012,20.977,21.081,20.969,21.009,5255,0
20051013,20.911,21.341,20.911,21.089,3771,0
20051014,21.478,21.623,21.252,21.623,1796,0
20051017,21.152,21.305,20.969,20.994,9570,0
20051018,21.17,21.17,20.969,20.969,6377,0
20051019,20.969,21.364,20.969,21.364,2019,0
20051020,21.403,22.049,21.403,22.049,7537,0
20051021,21.753,22.607,21.753,22.607,4412,0
20051024,22.348,22.389,22.225,22.34,69543,0
20051025,22.555,22.555,21.856,21.856,11028,0
